yrs WSU CSU ESU WB GrB SMI CMI NCMI NMI NHU EHU CHU SB SMR NCGeB WER CER EER LSC WON EON CON
1973 33.2 27.6 21.1 70 79.1 8.2 3.7 7.4 40.1 19.5 15.9 17.1 55.4 97.3 60.1 47.5 32.2 25.9 55.7 13.7 40.4 10.6
1974 71.5 61.4 33.1 89.6 93.2 11 7 16.1 64.2 32.8 11.5 21.3 67.2 99.4 65.9 43.8 30 34.6 61.7 5.1 42.9 5.2
1975 24.4 25.6 15.5 71.2 85.6 8.4 4.6 6.4 45.1 13.9 9.8 13.4 62.7 85 46.3 38.5 28.1 24 53.3 0 21.2 0.5
1976 16 27 24.6 87 85.1 13 5.5 8.7 55 20.4 19 19.4 70.8 95.8 65.2 53.3 44.8 54.6 65.9 2.2 31.5 2.8
1977 79.2 80.8 71.3 99.2 99.7 50.1 48 61.6 94.6 64.8 71.2 69.8 79.7 99.8 87.5 76.2 83.8 92.8 81.1 20.4 87.5 20.5
1978 50.9 50.1 40.3 88 96.3 36.6 20.5 27.5 78.6 50.8 53.2 61.3 86.8 99.4 80.7 93.8 91.4 87.4 95.1 27.6 70.8 18.8
1979 87.8 78.2 58.2 89.6 99.4 49.5 35.1 45.2 76.5 58.9 53.8 58.8 84.4 99.5 77.4 75.5 75.1 79.4 84.4 24.8 55.8 20.1
1980 38.3 42.5 33.3 75.5 84.2 16.9 9.8 16.8 56.5 23 17.3 28.4 72.2 93.5 63.4 60.6 52.7 58.3 80 7.4 44.5 9.1
1981 45.7 57.1 41.3 97.6 90.1 23.5 14.1 19.9 81.9 34.3 42 43.4 69.1 99.3 82 60.2 64.6 87.5 70.8 18.3 47.8 13
1982 54.6 58.1 38.5 91.5 92.3 22.5 14.4 34.6 83.3 49.9 42 58.2 85.5 92.5 77 83.9 78 80.8 90.7 22.6 61.8 17.3
1983 19.7 17.4 9.3 48.6 65.6 5 5 8 43.8 11.4 8.4 8.5 43.3 88.2 38.4 37.1 8.5 8.4 39.5 8.7 17.2 5.8
1984 52.9 47.6 38.2 92 91.1 11.9 7.4 16 65.4 39.9 30 44.2 75.5 99.5 72.6 79.7 81.8 80.3 84.3 8.4 58.7 11.1
1985 53.2 55.2 42.8 95.3 95.5 21.7 12 18.3 71.9 32.9 25.9 34.6 81.6 96.7 71.4 70.6 54.1 63.1 76.7 15.7 55.5 13.3
1986 50 55 49.7 94.6 99.2 24.8 20.5 29.1 67.2 42.6 33.4 48.8 78.3 99 69 74.9 83.2 82.8 87.6 18.8 68 16.5
1987 8.2 10 5.3 49.9 75.1 3.5 3.3 5.7 32.4 7.6 7.3 13 54 80.1 42.7 40.2 29.2 22.8 55.5 3.1 16.4 3.2
1988 33 48.6 27.6 78.8 88.6 11.9 8.6 13.3 66.7 30.4 19.5 29.7 65.8 95.7 63.2 63.5 56.1 63.3 76.3 8.8 48.2 7.4
1989 42.2 44.8 33.8 78.1 89.4 5.4 2.3 12.6 56.7 24.6 11.1 22.4 70 94.9 65.9 53.2 41.1 41.5 69.2 2 26.9 0.7
1990 47.5 40.9 20 85.5 84.3 4.9 1.6 4.8 60.1 26.4 14 16 54.5 96.9 59.5 37.7 26.7 55.1 64.9 8.2 42.1 2.9
1991 52.1 46.2 22.9 84.7 86.9 4.1 2.2 2.5 43.1 10.5 4.4 6.3 50.3 94.9 48.2 41.6 9.1 7.9 55.6 0.3 27.3 0.5
1992 21.4 26.1 18.9 69 78.3 2.1 1.5 3.9 41.9 20.8 8.7 9.3 62.6 89.1 60.2 43.5 28.4 19.4 49.4 1.5 29.6 0.6
1993 18.1 30.4 18.2 71.4 86.5 2.6 0.9 6.3 48.9 22.4 8.6 24.2 75.9 97.6 63.6 69.3 41.3 36.8 75.9 0.8 36.4 1.9
1994 65.6 67 63.7 94.9 98.3 27.4 22.6 32.4 82.3 62.2 64.6 67.3 88 99.9 89 77.1 75.8 80.3 86.7 14.1 67.9 15.8
1995 23.7 14.3 5.2 50.3 71.4 4.1 1.1 1.9 28.1 9.7 5.4 14.6 58.8 84.4 40.6 54.2 38.2 41.7 64.3 0.3 26.7 1.3
1996 60.6 64 47.6 90.9 97.2 17.5 8.7 25 74.1 45.1 38.7 53.8 82.1 99.7 83.8 75.8 78.8 78.7 82.8 1.6 49.8 4.9
1997 67 59.6 31.6 80.6 94.2 10.3 4.2 8.4 66.8 32.1 17.5 26.4 72.2 98.9 66.4 46.4 47 58.4 57.9 0.6 37 1.7
1998 4.2 6.9 0.7 19.1 64.9 0.2 0.1 1.3 19.3 6.6 0.9 1.8 38.8 86.6 30.5 3.5 0 1.6 18.5 0.3 10.3 0.1
1999 4.7 7.8 2.9 53.6 82.1 1.6 0.3 1.8 32.6 8.1 1.1 3.9 48.8 98.6 37 48.4 36.1 19.5 63.3 1.3 21.5 1.7
2000 9 10.1 4 48.3 69 2.9 0.6 2.2 32.1 6 2.3 12.1 52.2 91.4 37.4 47.4 33.5 27.7 59 2.8 27.3 1.8
2001 16.2 27.2 13 76.2 88.4 12 3.2 4.3 48.2 14.4 7.6 19.5 69.4 99.5 55.4 51.4 58.9 76.2 70.3 1 37.9 1.4
2002 3.1 6.9 0.9 39 66.7 0.1 0 0.9 18 3.8 1.1 2.3 41.8 77.7 23.3 10 0.8 2 24.5 0 5.9 0
2003 43.8 50.4 44.9 82 91.6 16.6 6.3 19.8 69.1 48.1 42.7 55.5 80.5 97.1 68.8 83.2 75.2 73.7 85.9 4.1 57.5 8.5
2004 22.4 24.4 14.4 79.8 88 11.6 4.9 7.3 49.8 16.1 13.1 30.4 66.8 96.1 59.6 52.7 46.6 66.7 65.3 3.6 47.4 4.8
2005 28.1 20.1 12.1 75.6 92.1 5.3 1.6 7.7 55.8 21.6 8.2 30.2 78.4 98.6 65.1 63 61.9 50.9 80.7 6.7 41.2 5.5
2006 3.4 8 1.7 43.9 67.5 0.9 0.4 1.8 24.3 5.5 2.8 5.4 44.6 93.9 36.1 17 3.5 6 29.3 0.3 15 0.6
2007 24 17.2 7.9 57.9 72.6 10.7 2.8 5.4 37.3 9.6 7.4 28.8 54.7 80 48 52.2 47.7 54.2 57 2.3 32.8 3.1
2008 30.9 25 14.8 68.9 86 12 4.4 7.4 48.2 16.7 10.2 24.7 67.4 92.6 52.3 58.8 53.6 49.4 70.6 2.6 34.8 2.7
