WSU CSU ESU WB GrB SMI CMI NCMI NMI NHU EHU CHU SB SMR NCGeB WER CER EER LSC WON EON CON
1973 95 93 60 67 49 31 42 25 80 58 45 46 68 88 108 42 52 46 54 46 67 52
1974 121 122 104 110 75 40 52 56 98 94 55 60 72 108 120 40 64 68 59 29 90 45
1975 68 86 59 85 58 40 37 19 95 61 32 50 59 83 103 38 52 62 55 0 65 0
1976 71 91 78 95 48 46 45 31 111 77 73 72 86 90 119 59 66 80 67 19 88 17
1977 135 129 133 119 110 89 117 118 125 108 136 111 91 121 135 85 111 131 92 82 131 105
1978 90 122 92 105 72 73 83 77 120 88 98 108 111 114 134 102 117 132 101 80 121 102
1979 133 139 115 108 102 80 88 82 117 97 95 96 92 106 124 74 90 104 82 80 92 85
1980 69 104 78 84 40 46 46 52 99 65 67 72 70 78 105 53 73 87 85 38 71 66
1981 89 112 100 107 63 61 69 59 107 77 103 81 66 106 113 63 95 111 70 67 75 75
1982 92 113 101 119 71 61 75 83 114 84 103 96 87 89 132 83 96 129 109 63 90 76
1983 58 89 40 45 38 0 0 24 69 43 30 28 44 73 88 38 16 22 35 41 40 41
1984 127 126 116 107 70 35 35 63 115 96 78 105 97 107 127 94 115 123 96 59 102 91
1985 101 109 100 105 76 54 69 76 96 72 72 80 84 91 117 68 88 108 72 61 97 75
1986 101 122 95 102 106 58 92 74 110 84 111 105 96 101 127 96 97 120 99 87 110 94
1987 23 39 2 59 29 0 4 9 65 23 25 44 56 55 82 37 53 46 47 0 62 15
1988 69 93 83 88 49 30 53 42 93 87 74 80 69 79 104 67 81 98 67 13 92 68
1989 98 109 84 101 70 20 16 38 112 71 42 54 75 103 127 49 49 58 64 10 79 3
1990 101 98 71 115 49 18 2 5 116 81 38 54 77 124 127 51 68 89 79 49 109 15
1991 83 84 53 91 62 10 11 1 85 40 14 17 48 85 104 40 25 21 59 3 73 0
1992 75 105 64 85 60 4 4 13 79 57 36 36 60 73 120 43 36 44 48 10 83 2
1993 58 69 43 80 64 9 4 16 86 63 30 63 83 90 121 74 75 57 78 6 79 8
1994 100 108 99 118 85 59 57 69 110 87 92 101 96 102 125 71 104 112 83 41 111 52
1995 53 54 17 51 34 13 5 2 50 36 12 41 59 56 85 57 49 53 67 0 48 7
1996 116 121 93 125 86 53 40 62 118 81 73 98 102 128 145 98 101 108 100 7 96 22
1997 104 114 72 100 82 34 32 26 118 75 71 71 84 112 128 43 72 86 58 3 84 7
1998 17 30 0 4 26 0 0 0 50 24 0 0 38 52 81 0 0 2 19 2 39 0
1999 9 16 7 50 32 4 3 0 79 25 0 16 53 93 98 46 75 55 64 8 80 13
2000 19 41 12 36 38 8 2 3 67 27 0 40 60 67 77 46 41 48 62 15 57 16
2001 53 97 50 76 56 53 26 1 109 60 22 77 93 109 120 70 81 116 84 10 98 7
2002 2 12 0 45 10 0 0 0 55 7 0 0 30 58 80 5 0 0 13 0 17 0
2003 74 90 84 93 80 59 39 59 102 85 76 80 85 102 120 87 87 92 89 21 87 47
2004 48 71 57 79 59 34 33 23 93 51 57 61 69 90 107 53 68 98 60 22 84 23
2005 64 71 43 80 79 21 10 26 106 74 28 77 97 98 121 69 74 73 90 25 75 23
2006 8 23 0 39 29 1 0 0 67 10 3 24 50 75 105 28 15 24 47 0 39 0
2007 54 60 28 69 39 38 18 11 73 50 32 68 51 61 88 51 65 75 52 6 72 22
2008 74 76 47 80 69 46 26 21 100 66 38 73 73 88 113 61 79 88 68 5 83 11
2009 101 112 82 80 71 62 53 60 111 76 74 89 93 97 125 71 84 89 81 24 84 33
2010 37 42 0 46 41 37 26 0 75 16 6 38 75 65 92 70 74 71 78 11 68 1
2011 54 69 39 79 49 46 23 12 95 66 33 85 110 91 121 81 93 96 97 14 68 27
2012 1 5 0 2 6 2 0 0 51 3 0 3 18 29 69 4 0 0 12 0 2 0
2013 42 63 25 69 43 15 3 2 76 22 12 35 58 80 102 39 43 39 56 0 55 3
2014 123 139 129 132 119 89 88 111 148 111 113 107 115 138 150 104 106 123 114 43 118 67
2015 49 105 110 118 69 64 57 68 114 80 102 103 86 105 126 80 101 104 86 58 96 77
2016 13 26 6 22 24 14 5 1 60 11 8 21 41 49 69 20 24 15 35 3 34 3
2017 3 20 6 58 37 6 0 0 84 9 3 14 49 52 93 18 9 7 38 0 38 0
2018 64 100 75 128 54 39 23 12 98 45 46 62 66 112 141 56 74 97 66 6 80 23
2019 77 89 73 97 72 42 44 46 92 61 64 59 59 90 119 50 63 97 61 10 89 35
2020 17 28 9 51 29 1 0 0 66 13 0 8 32 72 89 0 0 0 14 0 33 0
2021 19 41 21 38 29 17 10 5 59 15 7 24 46 50 68 31 33 33 39 6 47 12
2022 65 89 71 90 62 25 20 32 100 64 35 65 72 87 109 52 51 64 65 11 68 16
2023 21 31 4 46 20 1 1 0 59 7 4 5 25 46 92 20 8 5 23 1 30 2
2024 0 3 0 1 7 3 1 0 42 1 0 4 19 24 54 17 8 3 16 0 3 0
2025 14 46 31 76 40 26 8 4 82 25 21 51 60 72 102 53 64 80 65 8 71 14
2026 54 81 68 86 48 28 21 32 102 75 62 59 73 98 123 61 65 76 73 20 85 30
