WSU CSU ESU WB GrB SMI CMI NCMI NMI NHU EHU CHU SB SMR NCGeB WER CER EER LSC WON EON CON
1973 84 80 76 76 68 62 63 65 70 75 70 70 68 83 95 64 70 69 65 63 69 63
1974 119 120 106 111 82 57 61 90 98 97 75 79 75 106 118 55 75 77 61 57 89 61
1975 95 96 97 111 92 63 63 94 105 96 66 100 73 108 113 66 75 77 72 NA 81 NA
1976 79 90 97 103 68 52 50 72 102 85 84 80 79 103 110 51 72 86 60 43 88 39
1977 118 112 116 111 93 83 101 101 108 93 123 94 74 104 118 68 94 115 75 66 115 96
1978 91 112 98 116 87 83 86 87 110 94 108 105 101 109 122 93 107 122 91 72 110 93
1979 133 133 122 113 101 80 83 94 114 97 97 96 86 100 116 74 90 104 79 103 88 101
1980 88 105 103 106 68 70 70 79 102 83 98 97 85 96 106 75 97 104 86 70 95 91
1981 88 103 95 103 63 52 61 53 98 78 100 88 59 97 104 54 87 104 61 82 67 82
1982 98 113 108 125 80 71 86 98 117 94 112 103 92 98 130 89 101 134 97 74 100 86
1983 84 93 54 82 54 NA NA 51 79 57 48 41 57 89 98 54 54 51 52 58 58 58
1984 118 114 114 105 75 77 44 80 106 106 87 110 92 95 115 95 111 113 86 65 98 93
1985 92 99 94 106 88 73 73 83 92 73 86 84 84 103 113 69 92 116 71 73 93 87
1986 91 103 99 99 94 72 79 76 99 89 100 89 83 96 109 81 86 108 82 86 91 86
1987 35 59 47 85 48 NA 30 55 79 57 51 67 75 81 94 61 71 64 61 NA 82 75
1988 93 96 89 97 72 57 71 72 96 90 85 84 73 88 107 71 84 106 69 15 96 78
1989 108 111 107 114 87 59 61 88 113 93 87 88 88 113 119 76 83 83 77 74 94 48
1990 92 91 86 103 68 67 49 73 97 81 73 73 73 112 108 69 73 79 73 70 91 69
1991 97 91 79 96 72 55 56 55 85 70 27 50 69 91 108 58 65 62 64 25 78 NA
1992 89 95 96 113 83 34 34 40 94 89 88 88 88 112 122 63 78 86 86 36 99 33
1993 89 94 91 105 74 59 59 68 93 90 81 94 94 96 114 90 93 93 87 66 100 62
1994 99 105 111 123 86 68 68 81 106 90 106 103 90 104 118 73 103 110 82 66 107 68
1995 82 79 76 90 70 64 47 69 87 79 71 77 75 87 104 69 79 88 76 NA 84 44
1996 131 131 118 128 91 78 77 100 119 101 92 108 84 113 124 79 102 111 79 36 92 73
1997 110 121 99 116 84 52 49 83 111 89 95 85 83 106 121 51 83 100 59 49 98 50
1998 43 44 NA 38 46 NA NA NA 79 46 NA NA 47 82 89 NA NA 30 29 30 55 NA
1999 53 55 67 86 67 15 15 NA 78 69 NA 68 71 92 99 73 79 76 74 54 81 68
2000 56 58 55 61 58 38 38 28 77 52 NA 58 61 73 85 56 62 67 58 33 72 48
2001 96 100 90 100 77 54 54 52 98 77 71 68 75 101 109 53 71 106 62 8 96 46
2002 73 86 NA 103 83 NA NA NA 88 84 NA NA 83 98 109 6 NA NA 65 NA 59 NA
2003 102 106 107 110 94 77 70 97 107 101 99 94 85 106 121 85 95 101 86 60 95 79
2004 68 81 79 93 77 52 58 48 100 65 91 78 76 97 112 61 82 110 66 47 90 48
2005 88 92 91 96 87 37 29 74 98 87 70 90 89 97 110 67 91 92 84 63 91 62
2006 66 69 NA 89 70 50 NA NA 77 60 58 71 70 82 102 8 67 71 65 NA 77 NA
2007 82 80 66 101 71 64 53 67 89 75 84 91 75 86 104 73 93 101 74 45 93 56
2008 90 95 90 108 91 73 71 71 104 88 81 95 87 107 113 81 97 108 83 43 102 71
2009 95 109 95 92 69 66 65 72 95 83 85 85 70 92 111 66 85 95 66 37 84 58
2010 67 66 NA 78 57 72 73 NA 73 45 40 68 73 73 89 72 79 78 73 44 73 13
2011 92 92 92 99 77 54 53 71 93 91 73 92 94 95 105 67 92 100 83 54 78 54
2012 21 30 NA 65 43 20 NA NA 76 21 NA 21 44 77 82 25 NA NA 46 NA 47 NA
2013 89 89 77 109 77 54 61 61 100 63 53 66 82 100 115 68 70 70 80 NA 82 53
2014 130 130 139 132 105 97 94 123 126 104 128 104 96 119 129 87 107 119 94 67 108 94
2015 82 106 126 126 74 83 80 99 110 98 121 107 87 107 121 85 107 108 91 80 105 88
2016 50 65 64 67 64 48 48 44 75 64 64 65 68 75 84 54 65 54 65 45 74 48
2017 62 75 74 93 72 17 NA NA 89 72 72 74 79 89 97 38 38 74 74 NA 87 NA
2018 98 104 104 128 63 53 53 53 91 56 66 59 54 109 128 54 87 93 59 40 78 43
2019 98 106 100 111 88 68 68 72 100 79 97 77 72 100 116 69 85 113 73 63 99 67
2020 51 67 66 88 60 51 NA NA 87 60 NA 62 63 88 98 NA NA NA 63 NA 62 NA
2021 66 69 67 79 67 53 51 49 84 60 50 55 68 82 88 58 68 79 67 49 78 50
2022 91 102 101 107 76 56 56 74 103 77 77 76 77 98 112 61 69 83 75 37 82 59
2023 64 72 63 93 63 34 34 NA 81 60 61 55 60 76 105 37 37 37 39 34 72 35
2024 NA 49 NA 49 52 21 21 NA 64 49 NA 22 51 62 67 31 26 21 29 NA 49 NA
2025 84 73 81 104 67 56 53 51 89 81 74 73 63 84 108 58 74 96 67 52 78 53
2026 85 97 90 107 78 48 45 78 101 99 86 83 77 105 114 59 71 86 66 46 84 65
