WSU CSU ESU WB GrB SMI CMI NCMI NMI NHU EHU CHU SB SMR NCGeB WER CER EER LSC WON EON CON
1973 -11 -11 5 6 9 9 -11 9 -9 6 -11 6 -11 -11 -11 6 8 7 -11 4 4 5
1974 0 0 3 3 9 2 1 6 2 5 5 4 5 0 0 4 2 1 0 1 1 0
1975 19 12 33 16 19 18 14 25 12 26 32 23 16 21 12 20 20 17 15 NA 18 NA
1976 -8 -4 9 9 12 8 7 8 -8 9 12 2 -8 -8 -8 -6 7 7 -6 19 -8 24
1977 -15 -15 -15 -6 -15 -4 -15 -15 -15 -15 -11 -15 -15 -15 -15 -15 -15 -14 -15 -15 -14 -7
1978 0 -8 8 13 3 12 5 12 -8 8 12 -1 -8 -3 -10 -7 -8 -8 -8 -9 -9 -8
1979 2 -4 9 7 1 2 -3 5 -1 2 4 2 -4 -4 -13 -4 2 2 -1 9 -2 9
1980 2 2 26 23 29 25 25 27 2 19 31 26 6 19 2 2 25 7 2 31 25 25
1981 -5 -7 -3 -2 2 -7 -6 -4 -7 -5 -1 -5 -5 -7 -7 -7 -6 -5 -7 -6 -6 -6
1982 0 2 9 8 11 12 12 13 5 12 11 9 7 11 0 8 7 7 -10 12 12 12
1983 21 -1 2 10 18 NA NA 29 12 16 20 15 15 17 12 16 40 14 16 19 20 19
1984 -11 -11 -4 -1 -5 22 11 0 -8 11 2 0 -9 -11 -11 -6 -3 -9 -11 -10 -3 -8
1985 -7 -8 -4 3 5 21 6 7 -2 3 16 6 -3 5 -2 3 6 10 1 13 -2 13
1986 -8 -17 4 -1 -10 3 -16 -12 -9 -3 -14 -14 -11 -10 -16 -13 -9 -10 -15 -2 -17 -8
1987 14 18 28 22 21 NA 28 48 16 24 24 22 21 28 13 21 20 20 16 NA 22 62
1988 13 4 7 10 10 9 4 4 4 4 5 5 5 10 4 4 4 4 3 4 5 4
1989 10 4 16 -1 11 40 47 47 3 11 42 11 0 -1 -17 11 36 10 2 66 17 47
1990 -9 -5 -4 -10 -5 -6 17 50 -17 -5 30 -3 -14 -16 -17 -18 -12 -8 -18 -7 -16 56
1991 8 8 14 7 7 24 22 56 2 12 14 24 10 8 6 7 15 28 -2 24 7 NA
1992 -7 -25 28 29 21 32 32 29 16 23 31 32 28 17 -7 20 31 30 20 28 16 33
1993 -4 10 50 10 11 52 57 50 9 12 40 33 -2 8 -5 18 20 38 -4 59 15 53
1994 0 -1 14 4 3 11 11 11 -2 4 10 3 -4 1 -5 1 -1 0 -1 13 -2 13
1995 6 6 59 39 27 40 42 69 38 39 48 36 6 11 10 6 11 11 6 NA 38 39
1996 8 7 22 4 -2 8 12 22 2 8 8 5 -20 -14 -20 -20 2 4 -21 11 -3 7
1997 -4 -1 27 18 -4 12 12 21 -5 16 20 16 -5 -4 -5 -4 12 16 -11 48 16 35
1998 15 15 NA 36 20 NA NA NA 14 24 NA NA 2 16 1 NA NA 30 1 30 18 NA
1999 8 9 53 8 5 13 14 NA 1 8 NA 8 -3 1 3 3 6 9 -2 13 2 11
2000 27 14 45 26 20 26 28 27 11 20 NA 20 0 3 0 2 22 20 -4 20 16 21
2001 -1 -1 41 26 0 -9 0 53 -9 -6 20 -8 -20 -6 -9 -15 -8 -8 -20 -1 -1 6
2002 73 31 NA 48 38 NA NA NA 33 62 NA NA 3 35 31 3 NA NA -1 NA 9 NA
2003 28 18 25 19 15 18 20 30 4 18 24 16 -8 6 3 -1 10 11 -26 25 10 23
2004 21 10 23 15 14 20 23 27 7 14 24 10 8 8 6 8 13 13 7 15 7 22
2005 12 11 50 16 9 18 21 22 -6 15 22 -4 -9 -4 -9 -8 19 21 -11 22 18 21
2006 60 46 NA 40 40 51 NA NA -9 40 57 48 -16 9 -9 -19 53 49 -20 NA 18 NA
2007 30 22 40 33 28 28 37 43 18 25 44 25 26 27 18 24 30 28 24 41 23 36
2008 2 20 44 23 20 26 39 42 -3 19 41 20 -16 20 -15 20 19 19 -15 40 -19 42
2009 -8 -7 15 12 -6 -10 13 7 -14 9 13 -10 -23 -10 -12 -10 3 5 -13 11 2 4
2010 31 20 NA 34 11 6 6 NA -10 31 36 4 0 9 -1 0 7 4 -15 14 3 14
2011 11 10 32 20 6 -13 11 31 -10 11 23 -2 -15 -10 -16 -15 -10 -1 -15 -1 0 18
2012 22 21 NA 65 20 20 NA NA 16 20 NA 20 4 18 3 21 NA NA 19 NA 29 NA
2013 27 19 34 23 22 22 36 49 20 23 27 23 3 22 0 5 23 23 3 NA 23 41
2014 -14 -14 3 -6 -13 -6 -6 -6 -21 -15 2 -17 -21 -18 -19 -19 1 -15 -19 -15 -14 -15
2015 8 3 15 10 5 7 7 8 -11 7 13 6 -11 4 -11 7 8 5 3 10 11 11
2016 15 15 45 43 20 18 20 45 13 42 45 19 6 17 11 19 20 21 13 44 21 45
2017 11 9 63 34 7 9 NA NA 6 37 71 10 -14 11 6 -15 8 10 -15 NA 18 NA
2018 5 -3 8 2 1 0 2 35 -5 0 1 -3 -16 -16 -16 -4 -2 -2 -16 1 -15 -2
2019 21 19 22 13 18 25 25 22 2 17 20 17 14 11 -1 20 21 17 14 29 12 28
2020 17 12 45 31 17 52 NA NA 12 19 NA 45 -11 17 -12 NA NA NA 22 NA -6 NA
2021 28 24 43 41 30 38 43 46 27 38 43 24 1 28 9 28 30 38 28 40 30 38
2022 8 8 26 14 10 21 21 23 3 11 21 8 7 8 3 11 20 17 7 1 16 22
2023 27 30 55 35 23 35 35 NA 14 34 55 34 -8 14 14 -6 -5 34 -7 35 32 35
2024 NA 19 NA 50 21 20 22 NA 16 50 NA 20 17 14 13 16 19 20 15 NA 21 NA
2025 10 20 43 23 19 16 24 49 8 21 24 10 -5 10 6 7 10 16 -9 22 -6 11
2026 24 4 24 16 3 20 23 24 -4 4 23 3 -19 4 -17 -16 2 2 -17 6 1 23
