Master List of stations from stndata files. This is a template for the
GHCND data extraction/processing program.

Column 2 specifies which data can be extracted for each station.
The interpretation of this string of characters is:
  position 1 = TMIN
  position 2 = TMAX
  position 3 = PREC
  position 4 = TAVG
  position 5 = DEWP
  position 6 = WIND
  position 7 = CLDC
e.g. We may want to use everything EXCEPT precipitation, in which case
the string will be YY.YYYY
Y (upper or lower case) means yes (use it) while anything else means no.
A dot is used for no in hopes of making it easier to visualize at a glance.

The station name is also for user convenience and is not used.

The excluded years section for each station is usually blank, but in
some cases the station is one that we want to use except for a specific
period(s) during which it had obvious bad data.
If there are multiple periods they need to be separated by semicolons
Note that if an excluded period is specified it will apply to ALL data types.

station_id,   Latitude,  Longitude, UseData, station_name,              excluded_years
------------, ---------, ---------, -------, -------------------------, --------- 
690110-99999,    42.608,   -82.830, ...YYYY, SELFRIDGE ANGB/TRAIN     , 
710720-99999,    48.367,   -89.310, ...YYYY, THUNDER BAY              , 1993-1997
711610-99999,    44.633,   -75.730, ...YY.., BROCKVILLE CLIMATE       , 
711710-99999,    43.183,   -79.400, ...YYY., VINELAND STATION RCS  ONT, 
712600-99999,    46.485,   -84.500, ...YYYY, SAULT STE MARIE          , 
712610-99999,    43.767,   -81.710, ...YYY., GODERICH  ONT            , 
712625-99999,    43.192,   -79.170, ...YYYY, NIAGARA DISTRICT         , 
712630-99999,    43.174,   -79.930, ...YYYY, HAMILTON                 , 
712643-99999,    43.862,   -79.370, ...YYYY, BUTTONVILLE MUNI         , 
712650-99999,    43.617,   -79.380, ...YYYY, TORONTO CITY CENTRE      , 
712700-99999,    44.500,   -80.210, ...YYY., COLLINGWOOD  ONT         , 
712810-99999,    44.417,   -75.850, ...YYY., GRENADIER ISLAND  ONT    , 
712970-99999,    43.283,   -79.900, ...Y.Y., HAMILTON RBG CS  ONT     , 
713070-99999,    42.450,   -81.880, ...YYY., RIDGETOWN RCS  ONT       , 
714620-99999,    45.633,   -82.960, ...Y.Y., GREAT DUCK ISLAND        , 
715080-99999,    43.667,   -79.400, ...YY.., TORONTO CITY  ONT        , 
715340-99999,    44.250,   -79.910, ...YYYY, BORDEN                   , 2002-2003
715380-99999,    42.276,   -82.950, ...YYYY, WINDSOR                  , 
715730-99999,    42.867,   -80.550, ...YYY., DELHI CS  ONT            , 
716200-99999,    44.225,   -76.590, ...YYYY, KINGSTON                 , 
716210-99999,    44.117,   -77.530, ...YYYY, TRENTON                  , 
716240-99999,    43.677,   -79.630, ...YYYY, LESTER B PEARSON INTL    , 
716330-99999,    44.750,   -81.100, ...YYYY, WIARTON A                , 
716670-99999,    48.370,   -89.320, ...YYY., THUNDER BAY CS           , 
717334-99999,    46.351,   -82.560, ...YYYY, ELLIOT LAKE MUNI         , 
717380-99999,    47.967,   -84.780, ...YYYY, WAWA                     , 
717490-99999,    48.367,   -89.330, ...YYYY, THUNDER BAY A            , 
717493-99999,    48.813,   -87.090, ...YYYY, TERRACE BAY              , 
718200-99999,    44.217,   -76.600, ...YYY., KINGSTON CLIMATE         , 
720113-54829,    42.543,   -83.170, ...YYYY, OAKLAND/TROY AIRPORT     , 
720198-54813,    46.412,   -86.650, .....Y., MUNISING LAKESHORE       , 
722343-54826,    42.351,   -86.250, ...YYYY, SOUTH HAVEN AREA REGIONAL, 
724287-04848,    41.563,   -83.470, ...Y.YY, METCALF FIELD AIRPORT    , 
724289-99999,    41.700,   -83.450, ...Y.Y., TOLEDO COAST GUARD STATIO, 
725146-54773,    43.350,   -76.380, ......Y, OSWEGO COUNTY AIRPORT    , 
725195-99999,    43.470,   -76.520, ...Y.Y., OSWEGO COAST GUARD STATIO, 
725215-99999,    41.470,   -82.180, ...Y.Y., LORAIN COAST GUARD STATIO, 
