code	name	lake	area	depth	lon	lat
GrB	Green Bay	Michigan	4.19e+09	1.74e+01	-87.2795861736001	45.2662451542186
WER	Western Erie	Erie	4.51e+09	7.68e+00	-82.826800712883	41.7324502032909
CER	Central Erie	Erie	1.67e+10	1.91e+01	-81.2691944034218	42.1252211710722
EER	Eastern Erie	Erie	4.52e+09	2.43e+01	-79.618534979313	42.6479374274186
NHU	Northern Huron	Huron	1.17e+10	8.48e+01	-83.2903463313868	45.5663388428254
EHU	Eastern Huron	Huron	8.96e+09	9.57e+01	-81.8932321928755	44.8641356206028
CHU	Central Huron	Huron	1.68e+10	4.81e+01	-82.478277151123	44.1405973756477
SMI	Southern Mich.	Michigan	1.61e+10	7.13e+01	-87.0624587970736	42.4022753147121
CMI	Central Mich.	Michigan	1.35e+10	9.21e+01	-87.1251822517568	43.4937413831439
NCMI	North Central Mich.	Michigan	1.81e+10	1.23e+02	-86.5582607087436	44.9141282911804
NMI	Northern Mich.	Michigan	5.91e+09	3.65e+01	-85.4081865816124	45.6328609022104
WON	Western Ont.	Ontario	1.82e+09	6.24e+01	-79.436444575514	43.3761393800102
EON	Eastern Ont.	Ontario	3.64e+09	3.30e+01	-76.5053115621732	43.9370166396813
WSU	Western Sup.	Superior	6.39e+09	1.47e+02	-90.9009902816534	47.2944668023286
CSU	Central Sup.	Superior	3.55e+10	1.52e+02	-88.8097993993477	47.7655527565015
ESU	Eastern Sup.	Superior	3.84e+10	1.54e+02	-86.4206989595902	47.3810663873363
LSC	St. Clair	Erie	1.23e+09	2.64e+00	-82.6828603677563	42.4556865622522
NR	Niagara River	Ontario	5.68e+07	4.51e+00	-78.9857211405256	43.0433079505682
SB	Saginaw Bay	Huron	3.38e+09	1.19e+01	-83.45126533804	43.9944952463281
SMR	St. Marys River	Huron	1.00e+09	1.25e+01	-83.894954087225	46.2035711330079
WB	Whitefish Bay	Superior	1.91e+09	3.94e+01	-84.7285574343959	46.6868243761244
NCGeB	N. Chan. & Geo. Bay	Huron	1.76e+10	4.46e+01	-81.218499452515	45.4366667271916
CON	Central Ont.	Ontario	1.39e+10	1.04e+02	-77.8758940311193	43.618102846028
