Daily data for a single station.
StationID:,690110-99999
StationName:,"SELFRIDGE ANGB/TRAIN"
Lat&Long:,42.608,-82.830
Elevation:,-999.900
Starts(YMD):,1943-06-14
Ends(YMD):,1992-05-07
Date,AirTempMax,AirTempMin,Precipitation,AirTemp,Dewpoint,WindSpeed,CloudCover
YYYY-MM-DD,Celsius,Celsius,Millimeters,Celsius,Celsius,MetersPerSecond,Percent
1943-06-14,NA,NA,NA,13.0,5.3,3.43,65.2
1943-06-15,NA,NA,NA,13.8,4.0,2.59,27.9
1943-06-16,NA,NA,NA,17.3,2.1,2.35,NA
1943-06-17,NA,NA,NA,21.5,1.5,2.50,5.0
1943-06-18,NA,NA,NA,25.7,-2.8,3.48,44.2
1943-06-19,NA,NA,NA,25.6,-3.2,5.90,55.4
1943-06-20,NA,NA,NA,24.3,-0.1,2.23,35.0
1943-06-21,NA,NA,NA,25.7,-7.9,5.99,NA
1943-06-22,NA,NA,NA,23.5,-3.5,4.45,28.7
1943-06-23,NA,NA,NA,21.7,-3.8,3.22,NA
1943-06-24,NA,NA,NA,22.7,-2.4,5.17,44.3
1943-06-25,NA,NA,NA,24.2,-3.9,3.71,NA
1943-06-26,NA,NA,NA,23.8,-3.5,3.63,5.0
1943-06-27,NA,NA,NA,24.0,-3.7,3.10,NA
1943-06-28,NA,NA,NA,23.4,-0.3,2.70,56.2
1943-06-29,NA,NA,NA,28.1,1.3,4.83,45.7
1943-06-30,NA,NA,NA,24.0,-8.2,2.88,NA
1943-07-01,NA,NA,NA,24.9,-8.6,3.73,15.0
1943-07-02,NA,NA,NA,22.6,-2.6,4.06,68.5
1943-07-03,NA,NA,NA,21.6,2.3,2.20,72.2
1943-07-04,NA,NA,NA,23.8,6.0,3.05,39.4
1943-07-05,NA,NA,NA,25.6,3.2,2.42,NA
1943-07-06,NA,NA,NA,28.1,-0.8,3.05,42.7
1943-07-07,NA,NA,NA,29.4,3.8,2.45,62.3
1943-07-08,NA,NA,NA,30.0,5.0,2.65,31.8
1943-07-09,NA,NA,NA,28.4,2.1,3.07,5.0
1943-07-10,NA,NA,NA,27.3,3.2,2.52,5.0
1943-07-11,NA,NA,NA,27.2,0.9,3.11,16.1
1943-07-12,NA,NA,NA,23.4,1.6,4.05,NA
1943-07-13,NA,NA,NA,21.1,-3.6,3.79,58.1
1943-07-14,NA,NA,NA,22.2,-0.9,2.70,60.4
1943-07-15,NA,NA,NA,21.5,9.6,3.79,90.6
1943-07-16,NA,NA,NA,21.6,7.1,1.90,43.3
1943-07-17,NA,NA,NA,24.6,1.9,2.31,28.9
1943-07-18,NA,NA,NA,25.9,0.4,1.86,55.8
1943-07-19,NA,NA,NA,27.7,2.7,2.29,86.9
1943-07-20,NA,NA,NA,25.4,10.1,2.95,90.7
1943-07-21,NA,NA,NA,20.2,16.1,2.07,91.9
1943-07-22,NA,NA,NA,23.0,11.1,1.77,28.8
1943-07-23,NA,NA,NA,27.1,7.1,2.04,32.0
1943-07-24,NA,NA,NA,29.1,4.7,1.72,28.1
1943-07-25,NA,NA,NA,30.2,5.8,2.65,40.0
1943-07-26,NA,NA,NA,30.9,6.9,2.37,25.2
1943-07-27,NA,NA,NA,32.0,7.1,2.10,21.8
1943-07-28,NA,NA,NA,30.5,7.5,3.12,57.4
1943-07-29,NA,NA,NA,29.2,10.0,3.08,48.5
1943-07-30,NA,NA,NA,27.9,10.0,3.16,57.1
1943-07-31,NA,NA,NA,27.6,8.5,2.13,41.2
1943-08-01,NA,NA,NA,29.0,9.9,3.98,59.4
1943-08-02,NA,NA,NA,27.3,8.2,4.00,18.2
1943-08-03,NA,NA,NA,25.4,5.4,3.25,21.4
1943-08-04,NA,NA,NA,28.3,7.7,4.27,15.0
1943-08-05,NA,NA,NA,26.9,9.1,4.19,50.5
1943-08-06,NA,NA,NA,28.1,11.1,4.79,42.5
1943-08-07,NA,NA,NA,28.1,11.1,4.10,36.0
1943-08-08,NA,NA,NA,25.7,5.2,2.13,18.8
1943-08-09,NA,NA,NA,29.2,6.4,2.48,24.7
1943-08-10,NA,NA,NA,26.6,3.1,2.81,59.2
1943-08-11,NA,NA,NA,28.2,7.4,3.68,38.8
1943-08-12,NA,NA,NA,27.5,7.2,2.72,33.8
1943-08-13,NA,NA,NA,26.8,3.0,2.82,26.5
1943-08-14,NA,NA,NA,28.1,4.8,3.02,42.1
1943-08-15,NA,NA,NA,28.0,10.0,3.39,76.5
1943-08-16,NA,NA,NA,23.2,13.4,2.52,44.7
1943-08-17,NA,NA,NA,24.6,12.2,2.30,74.8
1943-08-18,NA,NA,NA,23.3,13.5,3.25,64.2
1943-08-19,NA,NA,NA,24.6,9.7,2.66,30.5
1943-08-20,NA,NA,NA,27.0,1.3,3.76,18.3
1943-08-21,NA,NA,NA,28.4,4.5,5.11,27.7
1943-08-22,NA,NA,NA,26.6,1.5,3.62,15.0
1943-08-23,NA,NA,NA,27.0,1.3,5.90,20.0
1943-08-24,NA,NA,NA,26.6,-1.9,5.52,5.0
1943-08-25,NA,NA,NA,23.1,-0.8,2.48,NA
1943-08-26,NA,NA,NA,23.9,-2.8,2.47,NA
1943-08-27,NA,NA,NA,24.6,-4.9,2.47,NA
1943-08-28,NA,NA,NA,24.2,-4.2,2.28,46.8
1943-08-29,NA,NA,NA,28.4,2.8,5.89,23.2
1943-08-30,NA,NA,NA,16.0,-2.2,4.51,NA
1943-08-31,NA,NA,NA,15.1,-0.6,1.72,NA
1943-09-01,NA,NA,NA,20.3,-2.1,2.12,53.6
1943-09-02,NA,NA,NA,22.8,-2.9,5.09,39.5
1943-09-03,NA,NA,NA,17.8,-1.2,2.97,NA
1943-09-04,NA,NA,NA,18.2,-5.0,2.47,15.0
1943-09-05,NA,NA,NA,18.7,-4.7,3.15,NA
1943-09-06,NA,NA,NA,17.4,-5.1,2.58,21.7
1943-09-07,NA,NA,NA,19.4,-5.4,2.44,NA
1943-09-08,NA,NA,NA,21.1,-1.5,2.57,NA
1943-09-09,NA,NA,NA,21.5,-1.8,2.13,27.5
1943-09-10,NA,NA,NA,23.1,-1.8,2.52,NA
1943-09-11,NA,NA,NA,23.6,-4.8,3.03,24.4
1943-09-12,NA,NA,NA,23.5,-0.8,2.30,28.3
1943-09-13,NA,NA,NA,22.2,-0.7,2.16,9.0
1943-09-14,NA,NA,NA,21.5,-3.3,2.74,5.0
1943-09-15,NA,NA,NA,22.3,-6.9,2.27,15.0
1943-09-16,NA,NA,NA,23.0,-3.5,2.97,48.0
1943-09-17,NA,NA,NA,25.8,-2.5,6.03,18.6
1943-09-18,NA,NA,NA,20.9,-4.9,2.99,50.0
1943-09-19,NA,NA,NA,17.0,-2.3,3.42,40.0
1943-09-20,NA,NA,NA,16.4,-5.7,2.07,NA
1943-09-21,NA,NA,NA,18.4,-3.8,2.46,NA
1943-09-22,NA,NA,NA,18.6,-0.6,2.77,NA
1943-09-23,NA,NA,NA,18.4,0.2,2.35,NA
1943-09-24,NA,NA,NA,20.4,2.9,2.21,76.2
1943-09-25,NA,NA,NA,19.6,9.7,2.42,66.5
1943-09-26,NA,NA,NA,18.4,11.8,1.90,57.0
1943-09-27,NA,NA,NA,18.4,9.0,2.28,47.8
1943-09-28,NA,NA,NA,19.5,8.6,2.35,41.3
1943-09-29,NA,NA,NA,19.3,5.6,2.06,12.5
1943-09-30,NA,NA,NA,18.9,2.1,2.24,NA
1943-10-01,NA,NA,NA,18.1,-0.4,1.89,NA
1943-10-02,NA,NA,NA,19.3,-2.0,2.19,15.7
1943-10-03,NA,NA,NA,17.8,3.3,3.40,80.9
1943-10-04,NA,NA,NA,17.2,6.8,2.30,24.2
1943-10-05,NA,NA,NA,17.1,3.8,2.60,30.6
1943-10-06,NA,NA,NA,20.3,2.3,3.97,58.9
1943-10-07,NA,NA,NA,21.2,1.8,3.07,61.5
1943-10-08,NA,NA,NA,17.2,2.2,2.67,40.8
1943-10-09,NA,NA,NA,15.6,2.7,2.65,17.4
1943-10-10,NA,NA,NA,17.1,-0.0,3.30,36.2
1943-10-11,NA,NA,NA,13.1,5.9,3.90,70.4
1943-10-12,NA,NA,NA,9.6,0.1,2.23,38.6
1943-10-13,NA,NA,NA,11.0,-1.4,1.55,39.6
1943-10-14,NA,NA,NA,11.4,-1.1,2.37,42.5
1943-10-15,NA,NA,NA,12.4,-1.5,1.70,NA
1943-10-16,NA,NA,NA,15.7,-0.7,1.38,42.1
1943-10-17,NA,NA,NA,19.9,-3.1,5.76,67.9
1943-10-18,NA,NA,NA,11.6,1.3,3.01,82.1
1943-10-19,NA,NA,NA,4.5,01.0,4.39,85.4
1943-10-20,NA,NA,NA,6.0,-0.4,3.02,62.8
1943-10-21,NA,NA,NA,7.2,2.5,4.24,69.1
1943-10-22,NA,NA,NA,4.9,0.8,1.70,60.0
1943-10-23,NA,NA,NA,6.5,0.7,1.40,51.7
1943-10-24,NA,NA,NA,10.7,0.8,2.25,49.3
1943-10-25,NA,NA,NA,11.9,1.7,1.95,36.2
1943-10-26,NA,NA,NA,13.6,1.9,2.51,49.0
1943-10-27,NA,NA,NA,16.6,0.4,6.33,28.4
1943-10-28,NA,NA,NA,11.1,-0.3,3.85,13.9
1943-10-29,NA,NA,NA,8.3,1.1,2.32,53.1
1943-10-30,NA,NA,NA,4.7,-1.1,3.65,63.3
1943-10-31,NA,NA,NA,1.9,-5.4,1.74,63.1
1943-11-01,NA,NA,NA,0.9,-6.7,1.73,25.0
1943-11-02,NA,NA,NA,1.4,-6.8,1.63,23.3
1943-11-03,NA,NA,NA,3.9,-6.4,1.61,52.0
1943-11-04,NA,NA,NA,7.6,-3.5,1.74,74.7
1943-11-05,NA,NA,NA,7.3,-2.2,4.92,33.8
1943-11-06,NA,NA,NA,1.4,-8.7,3.96,10.0
1943-11-07,NA,NA,NA,-1.6,-10.8,2.10,NA
1943-11-08,NA,NA,NA,-0.4,-10.0,1.72,35.3
1943-11-09,NA,NA,NA,1.6,-7.9,2.10,44.4
1943-11-10,NA,NA,NA,3.5,-7.8,1.53,77.5
1943-11-11,NA,NA,NA,3.6,-6.3,1.37,77.1
1943-11-12,NA,NA,NA,4.5,-4.7,1.35,75.6
1943-11-13,NA,NA,NA,3.2,-4.5,1.39,45.8
1943-11-14,NA,NA,NA,2.3,-4.7,1.62,43.6
1943-11-15,NA,NA,NA,2.8,-4.2,1.75,NA
1943-11-16,NA,NA,NA,3.0,-4.7,1.54,33.3
1943-11-17,NA,NA,NA,4.2,-3.2,1.42,80.4
1943-11-18,NA,NA,NA,9.0,2.7,1.97,85.0
1943-11-19,NA,NA,NA,8.2,-2.4,2.80,66.7
1943-11-20,NA,NA,NA,8.5,0.8,1.69,52.6
