Daily data for a single station.
StationID:,712625-99999
StationName:,"NIAGARA DISTRICT"
Lat&Long:,43.192,-79.170
Elevation:,-999.900
Starts(YMD):,1983-12-22
Ends(YMD):,2024-10-21
Date,AirTempMax,AirTempMin,Precipitation,AirTemp,Dewpoint,WindSpeed,CloudCover
YYYY-MM-DD,Celsius,Celsius,Millimeters,Celsius,Celsius,MetersPerSecond,Percent
1983-12-22,NA,NA,NA,-2.0,-6.0,10.20,100.0
1983-12-23,NA,NA,NA,-11.3,-16.8,6.75,66.6
1983-12-24,NA,NA,NA,-13.2,-17.4,8.49,83.6
1983-12-25,NA,NA,NA,-13.6,-17.5,2.39,79.3
1983-12-26,NA,NA,NA,-11.9,-15.3,9.15,63.9
1983-12-27,NA,NA,NA,-5.5,-9.3,4.06,93.0
1983-12-28,NA,NA,NA,-4.0,-5.5,2.23,100.0
1983-12-29,NA,NA,NA,-8.2,-12.8,8.52,43.0
1983-12-30,NA,NA,NA,-12.5,-16.5,8.43,43.0
1983-12-31,NA,NA,NA,-7.8,-11.5,9.86,46.2
1984-01-01,NA,NA,NA,-3.9,-8.0,4.12,100.0
1984-01-02,NA,NA,NA,-1.2,-4.5,5.98,94.4
1984-01-03,NA,NA,NA,-0.5,-2.7,8.68,100.0
1984-01-04,NA,NA,NA,1.7,-2.0,6.19,100.0
1984-01-05,NA,NA,NA,2.0,0.7,6.41,85.1
1984-01-06,NA,NA,NA,1.8,-0.3,5.81,84.5
1984-01-07,NA,NA,NA,-9.5,-12.8,6.26,69.0
1984-01-08,NA,NA,NA,-3.6,-6.1,5.47,88.4
1984-01-09,NA,NA,NA,-7.8,-11.6,2.89,75.9
1984-01-10,NA,NA,NA,-4.9,-7.6,3.36,83.1
1984-01-11,NA,NA,NA,-11.8,-15.2,6.12,52.3
1984-01-12,NA,NA,NA,-11.8,-16.3,4.63,61.9
1984-01-13,NA,NA,NA,-7.5,-11.1,3.64,74.6
1984-01-14,NA,NA,NA,-4.4,-6.8,5.99,100.0
1984-01-15,NA,NA,NA,-12.6,-15.5,3.34,73.5
1984-01-16,NA,NA,NA,-12.6,-16.0,2.71,58.6
1984-01-17,NA,NA,NA,-5.1,-7.6,5.91,68.3
1984-01-18,NA,NA,NA,-8.0,-11.3,3.69,100.0
1984-01-19,NA,NA,NA,-14.0,-18.8,7.64,43.0
1984-01-20,NA,NA,NA,-13.5,-17.4,8.63,43.0
1984-01-21,NA,NA,NA,-17.4,-23.1,6.84,43.0
1984-01-22,NA,NA,NA,-12.8,-17.5,8.32,56.0
1984-01-23,NA,NA,NA,-4.9,-9.6,3.83,72.3
1984-01-24,NA,NA,NA,2.7,1.2,7.80,97.2
1984-01-25,NA,NA,NA,2.2,-2.6,9.46,60.9
1984-01-26,NA,NA,NA,-2.7,-5.2,3.24,100.0
1984-01-27,NA,NA,NA,0.3,-2.7,7.83,78.4
1984-01-28,NA,NA,NA,-7.0,-11.6,3.03,46.2
1984-01-29,NA,NA,NA,-0.1,-3.5,6.19,100.0
1984-01-30,NA,NA,NA,-1.4,-3.9,3.89,100.0
1984-01-31,NA,NA,NA,-7.6,-12.7,7.30,64.2
1984-02-01,NA,NA,NA,-9.7,-15.3,4.90,45.9
1984-02-02,NA,NA,NA,1.7,-3.9,4.15,64.3
1984-02-03,NA,NA,NA,4.5,2.7,7.70,95.8
1984-02-04,NA,NA,NA,2.2,-1.7,4.62,89.7
1984-02-05,NA,NA,NA,0.8,-1.9,3.10,89.7
1984-02-06,NA,NA,NA,-6.4,-10.4,6.50,85.9
1984-02-07,NA,NA,NA,-9.0,-14.7,5.65,54.8
1984-02-08,NA,NA,NA,-5.7,-11.1,6.69,78.3
1984-02-09,NA,NA,NA,-1.4,-6.2,3.51,60.5
1984-02-10,NA,NA,NA,-0.6,-4.5,1.83,62.8
1984-02-11,NA,NA,NA,5.8,3.2,5.46,88.4
1984-02-12,NA,NA,NA,4.1,2.2,2.65,68.3
1984-02-13,NA,NA,NA,10.5,6.5,5.63,83.1
1984-02-14,NA,NA,NA,7.9,6.2,3.51,100.0
1984-02-15,NA,NA,NA,1.5,0.1,3.26,65.8
1984-02-16,NA,NA,NA,2.6,-0.3,4.50,62.5
1984-02-17,NA,NA,NA,5.2,2.3,3.65,85.9
1984-02-18,NA,NA,NA,5.2,3.5,4.58,92.2
1984-02-19,NA,NA,NA,9.5,6.0,7.52,78.7
1984-02-20,NA,NA,NA,2.0,-2.4,8.42,91.5
1984-02-21,NA,NA,NA,0.7,-3.7,7.61,80.3
1984-02-22,NA,NA,NA,4.7,-2.4,8.67,56.0
1984-02-23,NA,NA,NA,10.5,-0.7,6.14,50.8
1984-02-24,NA,NA,NA,7.2,0.3,4.47,61.9
1984-02-25,NA,NA,NA,-0.8,-2.5,9.62,100.0
1984-02-26,NA,NA,NA,-2.5,-6.9,5.25,59.2
1984-02-27,NA,NA,NA,-3.2,-7.7,5.85,91.5
1984-02-28,NA,NA,NA,-4.3,-5.8,12.27,100.0
1984-02-29,NA,NA,NA,-9.5,-13.2,9.95,77.5
1984-03-01,NA,NA,NA,-6.1,-9.8,8.46,79.3
1984-03-02,NA,NA,NA,-4.9,-8.7,7.40,89.7
1984-03-03,NA,NA,NA,-6.0,-10.2,5.44,61.8
1984-03-04,NA,NA,NA,-7.4,-12.9,3.66,54.1
1984-03-05,NA,NA,NA,0.8,-0.5,4.97,100.0
1984-03-06,NA,NA,NA,-0.3,-4.8,7.00,61.2
1984-03-07,NA,NA,NA,-11.2,-16.5,5.65,57.2
1984-03-08,NA,NA,NA,-11.2,-14.8,7.27,81.6
1984-03-09,NA,NA,NA,-9.5,-15.6,3.74,48.9
1984-03-10,NA,NA,NA,-7.2,-13.0,6.50,46.2
1984-03-11,NA,NA,NA,-8.5,-14.1,12.86,63.8
1984-03-12,NA,NA,NA,-10.8,-16.2,4.30,70.0
1984-03-13,NA,NA,NA,-5.2,-7.3,5.26,100.0
1984-03-14,NA,NA,NA,-2.5,-5.9,2.67,80.4
1984-03-15,NA,NA,NA,0.8,-4.4,2.18,83.3
1984-03-16,NA,NA,NA,1.2,-0.5,7.72,100.0
1984-03-17,NA,NA,NA,-6.8,-10.6,7.51,96.1
1984-03-18,NA,NA,NA,-3.2,-6.6,8.60,100.0
1984-03-19,NA,NA,NA,-0.5,-3.2,4.70,100.0
1984-03-20,NA,NA,NA,2.0,-1.1,5.76,78.3
1984-03-21,NA,NA,NA,5.5,3.3,7.85,97.2
1984-03-22,NA,NA,NA,1.8,-0.4,11.69,100.0
1984-03-23,NA,NA,NA,-2.2,-6.2,8.91,83.1
1984-03-24,NA,NA,NA,0.8,-5.4,3.53,59.2
1984-03-25,NA,NA,NA,1.2,-4.4,4.57,43.0
1984-03-26,NA,NA,NA,0.5,-6.6,3.78,43.0
1984-03-27,NA,NA,NA,1.8,-4.9,6.56,52.5
1984-03-28,NA,NA,NA,2.7,-2.3,9.03,64.8
1984-03-29,NA,NA,NA,0.5,-0.9,8.47,100.0
1984-03-30,NA,NA,NA,3.5,-1.4,4.17,87.6
1984-03-31,NA,NA,NA,3.9,-3.5,2.59,65.8
1984-04-01,NA,NA,NA,5.5,-4.4,3.35,46.7
1984-04-02,NA,NA,NA,7.9,-1.5,4.94,57.2
1984-04-03,NA,NA,NA,8.9,-2.2,5.94,65.4
1984-04-04,NA,NA,NA,8.4,3.9,6.11,90.7
1984-04-05,NA,NA,NA,7.0,5.7,3.76,97.2
1984-04-06,NA,NA,NA,3.4,1.9,7.47,100.0
1984-04-07,NA,NA,NA,1.1,-2.3,6.73,100.0
1984-04-08,NA,NA,NA,4.0,-5.6,5.15,43.0
1984-04-09,NA,NA,NA,7.0,-3.4,7.26,43.0
1984-04-10,NA,NA,NA,5.3,-5.0,5.38,43.0
1984-04-11,NA,NA,NA,8.2,-2.7,6.17,43.0
1984-04-12,NA,NA,NA,12.1,1.4,6.14,43.0
1984-04-13,NA,NA,NA,8.1,5.2,4.07,81.2
1984-04-14,NA,NA,NA,7.4,5.2,3.48,69.0
1984-04-15,NA,NA,NA,10.7,8.7,4.22,80.2
1984-04-16,NA,NA,NA,5.4,4.7,4.84,100.0
1984-04-17,NA,NA,NA,5.8,2.2,6.62,83.1
1984-04-18,NA,NA,NA,6.8,4.4,3.75,93.8
1984-04-19,NA,NA,NA,8.4,4.2,4.52,84.5
1984-04-20,NA,NA,NA,10.0,5.4,4.57,75.5
1984-04-21,NA,NA,NA,5.2,-5.1,5.84,43.0
1984-04-22,NA,NA,NA,6.6,-4.6,7.38,84.5
1984-04-23,NA,NA,NA,6.8,5.1,3.78,100.0
1984-04-24,NA,NA,NA,6.3,5.6,4.75,100.0
1984-04-25,NA,NA,NA,11.5,5.9,5.15,51.3
1984-04-26,NA,NA,NA,15.1,8.0,3.71,48.2
1984-04-27,NA,NA,NA,12.2,7.3,3.55,54.8
1984-04-28,NA,NA,NA,14.5,9.6,2.66,81.2
1984-04-29,NA,NA,NA,13.1,3.8,2.89,62.5
1984-04-30,NA,NA,NA,18.8,10.5,14.18,68.9
1984-05-01,NA,NA,NA,6.7,0.1,9.47,66.6
1984-05-02,NA,NA,NA,6.9,-1.2,5.26,51.7
1984-05-03,NA,NA,NA,8.3,3.1,5.99,93.1
1984-05-04,NA,NA,NA,6.8,6.2,5.59,100.0
1984-05-05,NA,NA,NA,9.6,7.1,5.56,92.2
1984-05-06,NA,NA,NA,11.6,8.2,3.35,62.5
1984-05-07,NA,NA,NA,15.4,7.7,5.86,88.7
1984-05-08,NA,NA,NA,11.2,10.5,5.76,100.0
1984-05-09,NA,NA,NA,6.9,3.6,8.69,67.1
1984-05-10,NA,NA,NA,12.0,5.2,6.80,45.6
1984-05-11,NA,NA,NA,15.3,10.0,7.93,97.2
1984-05-12,NA,NA,NA,14.2,9.4,7.12,48.8
1984-05-13,NA,NA,NA,6.1,1.1,3.91,96.1
1984-05-14,NA,NA,NA,9.0,3.8,5.94,53.4
1984-05-15,NA,NA,NA,7.6,1.6,7.43,61.9
1984-05-16,NA,NA,NA,9.4,0.1,6.78,43.0
1984-05-17,NA,NA,NA,12.1,0.7,3.19,77.9
1984-05-18,NA,NA,NA,13.2,7.4,5.72,84.5
1984-05-19,NA,NA,NA,20.0,12.8,7.60,52.8
1984-05-20,NA,NA,NA,14.0,10.4,3.40,100.0
1984-05-21,NA,NA,NA,14.8,9.6,3.31,54.8
1984-05-22,NA,NA,NA,23.9,16.6,7.82,57.2
1984-05-23,NA,NA,NA,15.6,13.0,5.77,83.5
1984-05-24,NA,NA,NA,16.7,6.2,5.57,53.4
1984-05-25,NA,NA,NA,22.0,11.5,10.22,67.1
1984-05-26,NA,NA,NA,17.5,12.2,8.12,72.9
1984-05-27,NA,NA,NA,12.1,-0.2,2.78,46.2
1984-05-28,NA,NA,NA,8.6,6.5,7.14,100.0
1984-05-29,NA,NA,NA,9.2,7.3,6.34,100.0
1984-05-30,NA,NA,NA,9.8,4.2,6.22,69.0
1984-05-31,NA,NA,NA,12.0,5.4,4.44,43.0
1984-06-01,NA,NA,NA,16.5,8.6,3.70,43.0
1984-06-02,NA,NA,NA,15.6,6.4,3.48,46.2
1984-06-03,NA,NA,NA,15.0,11.3,5.80,83.0
1984-06-04,NA,NA,NA,23.5,8.7,6.85,43.0
1984-06-05,NA,NA,NA,23.1,10.7,4.71,69.5
1984-06-06,NA,NA,NA,25.3,19.1,7.03,52.8
1984-06-07,NA,NA,NA,26.6,18.2,7.73,50.1
1984-06-08,NA,NA,NA,27.5,17.6,9.69,80.3
1984-06-09,NA,NA,NA,26.1,17.9,6.69,50.4
1984-06-10,NA,NA,NA,26.9,18.2,7.71,43.0
1984-06-11,NA,NA,NA,19.3,11.1,6.27,43.0
1984-06-12,NA,NA,NA,22.3,11.2,4.10,64.3
1984-06-13,NA,NA,NA,26.5,18.7,4.98,43.0
1984-06-14,NA,NA,NA,19.8,15.1,6.83,53.4
1984-06-15,NA,NA,NA,14.6,6.5,4.13,69.0
1984-06-16,NA,NA,NA,15.6,7.5,3.78,59.2
1984-06-17,NA,NA,NA,16.2,15.4,5.20,100.0
1984-06-18,NA,NA,NA,24.4,22.5,6.86,81.4
1984-06-19,NA,NA,NA,23.5,14.8,5.48,43.0
1984-06-20,NA,NA,NA,18.2,11.7,4.80,47.7
1984-06-21,NA,NA,NA,19.0,12.8,2.94,43.0
1984-06-22,NA,NA,NA,20.7,13.1,4.71,69.0
1984-06-23,NA,NA,NA,21.1,15.0,3.68,47.3
1984-06-24,NA,NA,NA,21.9,19.5,7.62,92.2
1984-06-25,NA,NA,NA,17.9,10.7,5.18,59.5
1984-06-26,NA,NA,NA,17.5,9.4,2.87,43.0
1984-06-27,NA,NA,NA,22.0,16.3,8.27,75.2
1984-06-28,NA,NA,NA,21.4,14.6,6.41,60.3
1984-06-29,NA,NA,NA,16.9,13.2,3.50,63.2
1984-06-30,NA,NA,NA,18.1,15.1,4.15,59.2
1984-07-01,NA,NA,NA,19.8,15.9,2.89,69.0
1984-07-02,NA,NA,NA,23.8,16.4,4.05,59.5
1984-07-03,NA,NA,NA,24.8,17.3,5.66,43.0
1984-07-04,NA,NA,NA,23.8,19.4,7.66,85.0
1984-07-05,NA,NA,NA,22.2,19.2,2.95,94.4
1984-07-06,NA,NA,NA,19.8,17.1,6.70,77.9
1984-07-07,NA,NA,NA,14.8,8.2,7.01,56.0
1984-07-08,NA,NA,NA,17.4,7.8,4.29,43.0
1984-07-09,NA,NA,NA,20.9,12.6,4.86,67.1
1984-07-10,NA,NA,NA,20.9,19.6,2.90,100.0
1984-07-11,NA,NA,NA,23.8,21.0,7.30,76.0
1984-07-12,NA,NA,NA,24.4,15.2,5.75,48.2
1984-07-13,NA,NA,NA,25.9,17.8,5.14,50.1
1984-07-14,NA,NA,NA,27.2,18.1,6.10,43.0
1984-07-15,NA,NA,NA,26.4,20.4,7.01,69.0
1984-07-16,NA,NA,NA,23.6,16.3,6.96,50.1
1984-07-17,NA,NA,NA,23.0,15.7,6.60,67.5
1984-07-18,NA,NA,NA,18.5,15.2,4.14,64.5
1984-07-19,NA,NA,NA,21.5,13.3,5.61,43.0
1984-07-20,NA,NA,NA,24.4,16.3,7.82,43.0
1984-07-21,NA,NA,NA,22.2,18.2,3.60,63.1
1984-07-22,NA,NA,NA,22.4,19.4,2.86,43.0
1984-07-23,NA,NA,NA,26.9,19.8,8.46,54.8
1984-07-24,NA,NA,NA,23.1,14.2,5.66,53.4
1984-07-25,NA,NA,NA,20.5,11.5,3.56,43.0
1984-07-26,NA,NA,NA,20.0,11.4,2.60,86.2
1984-07-27,NA,NA,NA,18.8,14.9,4.22,66.6
1984-07-28,NA,NA,NA,18.2,14.5,3.82,49.5
1984-07-29,NA,NA,NA,20.0,13.1,2.83,43.0
1984-07-30,NA,NA,NA,23.3,13.4,3.55,43.0
1984-07-31,NA,NA,NA,24.5,16.1,5.05,52.8
1984-08-01,NA,NA,NA,26.6,18.5,4.67,72.1
1984-08-02,NA,NA,NA,24.1,21.5,3.06,83.1
1984-08-03,NA,NA,NA,23.5,20.5,2.92,100.0
1984-08-04,NA,NA,NA,23.7,18.9,2.89,100.0
1984-08-05,NA,NA,NA,24.3,18.4,3.60,54.4
1984-08-06,NA,NA,NA,26.6,20.9,6.04,67.1
1984-08-07,NA,NA,NA,26.5,19.4,4.88,54.6
1984-08-08,NA,NA,NA,25.5,20.9,3.48,57.2
1984-08-09,NA,NA,NA,27.0,22.0,6.40,72.3
1984-08-10,NA,NA,NA,24.9,22.1,4.25,63.7
1984-08-11,NA,NA,NA,21.9,18.5,5.93,89.0
1984-08-12,NA,NA,NA,21.9,20.9,3.12,95.6
1984-08-13,NA,NA,NA,23.5,21.1,3.01,80.3
1984-08-14,NA,NA,NA,24.8,21.8,2.53,77.5
1984-08-15,NA,NA,NA,25.5,15.8,4.24,57.4
1984-08-16,NA,NA,NA,26.4,19.0,5.30,47.7
1984-08-17,NA,NA,NA,20.1,12.4,4.15,53.4
1984-08-18,NA,NA,NA,19.8,12.6,2.90,65.8
1984-08-19,NA,NA,NA,18.9,16.0,5.89,82.3
1984-08-20,NA,NA,NA,17.5,5.7,4.86,43.0
1984-08-21,NA,NA,NA,21.3,11.8,4.67,54.8
1984-08-22,NA,NA,NA,22.6,16.5,6.32,86.4
1984-08-23,NA,NA,NA,19.3,14.3,7.15,61.2
1984-08-24,NA,NA,NA,18.5,10.1,4.40,43.0
1984-08-25,NA,NA,NA,19.5,11.8,3.66,43.0
1984-08-26,NA,NA,NA,20.4,10.2,2.84,43.0
1984-08-27,NA,NA,NA,24.5,14.0,7.05,66.6
1984-08-28,NA,NA,NA,24.4,19.5,4.67,83.1
