Daily data for a single station.
StationID:,712630-99999
StationName:,"HAMILTON"
Lat&Long:,43.174,-79.930
Elevation:,-999.900
Starts(YMD):,1993-05-20
Ends(YMD):,2024-10-21
Date,AirTempMax,AirTempMin,Precipitation,AirTemp,Dewpoint,WindSpeed,CloudCover
YYYY-MM-DD,Celsius,Celsius,Millimeters,Celsius,Celsius,MetersPerSecond,Percent
1993-05-20,NA,NA,NA,4.0,3.0,3.00,43.0
1993-05-21,NA,NA,NA,NA,NA,NA,NA
1993-05-22,NA,NA,NA,NA,NA,NA,NA
1993-05-23,NA,NA,NA,NA,NA,NA,NA
1993-05-24,NA,NA,NA,NA,NA,NA,NA
1993-05-25,NA,NA,NA,NA,NA,NA,NA
1993-05-26,NA,NA,NA,NA,NA,NA,NA
1993-05-27,NA,NA,NA,12.6,3.9,3.49,65.3
1993-05-28,NA,NA,NA,18.2,13.2,6.52,71.6
1993-05-29,NA,NA,NA,13.4,1.8,4.73,51.1
1993-05-30,NA,NA,NA,13.4,2.1,4.31,64.1
1993-05-31,NA,NA,NA,11.7,9.9,5.84,94.2
1993-06-01,NA,NA,NA,10.2,4.6,7.07,64.1
1993-06-02,NA,NA,NA,13.6,5.6,5.29,59.2
1993-06-03,NA,NA,NA,15.1,6.2,4.10,56.0
1993-06-04,NA,NA,NA,14.5,5.4,3.69,60.9
1993-06-05,NA,NA,NA,9.5,9.0,6.27,95.6
1993-06-06,NA,NA,NA,16.6,8.8,5.13,44.7
1993-06-07,NA,NA,NA,17.4,13.4,2.99,73.5
1993-06-08,NA,NA,NA,13.9,13.2,2.76,89.0
1993-06-09,NA,NA,NA,21.5,18.6,9.48,70.2
1993-06-10,NA,NA,NA,21.5,15.6,6.65,59.2
1993-06-11,NA,NA,NA,20.6,12.0,3.37,46.2
1993-06-12,NA,NA,NA,19.6,11.2,3.66,47.9
1993-06-13,NA,NA,NA,21.2,13.1,3.56,43.0
1993-06-14,NA,NA,NA,21.8,15.2,5.80,62.5
1993-06-15,NA,NA,NA,19.9,14.3,6.38,58.6
1993-06-16,NA,NA,NA,16.9,10.4,2.07,56.0
1993-06-17,NA,NA,NA,21.7,14.2,3.10,64.1
1993-06-18,NA,NA,NA,24.4,18.5,4.62,72.9
1993-06-19,NA,NA,NA,18.6,17.8,3.09,95.2
1993-06-20,NA,NA,NA,19.2,18.4,2.70,94.0
1993-06-21,NA,NA,NA,21.6,18.4,5.87,64.5
1993-06-22,NA,NA,NA,20.9,14.2,5.67,51.7
1993-06-23,NA,NA,NA,17.8,4.8,3.19,52.3
1993-06-24,NA,NA,NA,20.3,11.9,3.81,43.0
1993-06-25,NA,NA,NA,24.9,18.5,5.75,67.4
1993-06-26,NA,NA,NA,21.5,15.5,5.36,60.9
1993-06-27,NA,NA,NA,21.9,17.3,6.68,67.4
1993-06-28,NA,NA,NA,19.0,14.4,2.96,60.2
1993-06-29,NA,NA,NA,18.9,11.5,3.10,59.2
