Daily data for a single station.
StationID:,712643-99999
StationName:,"BUTTONVILLE MUNI"
Lat&Long:,43.862,-79.370
Elevation:,-999.900
Starts(YMD):,1986-06-20
Ends(YMD):,2019-01-03
Date,AirTempMax,AirTempMin,Precipitation,AirTemp,Dewpoint,WindSpeed,CloudCover
YYYY-MM-DD,Celsius,Celsius,Millimeters,Celsius,Celsius,MetersPerSecond,Percent
1986-06-20,NA,NA,NA,-7.1,-11.0,2.69,47.6
1986-06-21,NA,NA,NA,-7.6,-12.1,2.09,55.3
1986-06-22,NA,NA,NA,-6.2,-8.3,2.70,73.5
1986-06-23,NA,NA,NA,-5.9,-9.9,4.75,52.9
1986-06-24,NA,NA,NA,-9.9,-12.6,4.52,65.4
1986-06-25,NA,NA,NA,-10.1,-14.8,3.89,51.3
1986-06-26,NA,NA,NA,-7.2,-11.5,3.00,74.9
1986-06-27,NA,NA,NA,-6.0,-8.5,3.42,84.3
1986-06-28,NA,NA,NA,-5.6,-9.3,2.72,58.6
1986-06-29,NA,NA,NA,-7.6,-11.6,3.73,52.7
1986-06-30,NA,NA,NA,-8.7,-12.8,3.29,53.9
1986-07-01,NA,NA,NA,-8.7,-13.1,2.72,72.1
1986-07-02,NA,NA,NA,-7.5,-11.1,3.70,73.6
1986-07-03,NA,NA,NA,-9.7,-13.5,4.60,48.9
1986-07-04,NA,NA,NA,-7.6,-11.9,4.02,69.2
1986-07-05,NA,NA,NA,-3.7,-6.9,3.67,75.9
1986-07-06,NA,NA,NA,-2.4,-6.8,3.22,58.8
1986-07-07,NA,NA,NA,-3.8,-8.5,2.09,53.6
1986-07-08,NA,NA,NA,-4.5,-9.3,2.60,70.1
1986-07-09,NA,NA,NA,-6.5,-11.4,3.56,63.2
1986-07-10,NA,NA,NA,-7.7,-12.6,3.06,68.9
1986-07-11,NA,NA,NA,-8.9,-12.5,2.88,71.2
1986-07-12,NA,NA,NA,-9.1,-10.8,3.22,100.0
1986-07-13,NA,NA,NA,-7.4,-9.1,3.84,77.8
1986-07-14,NA,NA,NA,-7.2,-10.1,4.89,58.0
1986-07-15,NA,NA,NA,-6.1,-10.7,2.51,52.1
1986-07-16,NA,NA,NA,-6.3,-9.3,1.94,63.3
1986-07-17,NA,NA,NA,-6.0,-7.3,1.68,72.2
1986-07-18,NA,NA,NA,-5.1,-6.1,1.97,81.9
1986-07-19,NA,NA,NA,-4.9,-6.1,1.73,81.2
1986-07-20,NA,NA,NA,-4.8,-6.6,3.47,69.2
1986-07-21,NA,NA,NA,-7.7,-11.1,2.40,44.4
1986-07-22,NA,NA,NA,-7.3,-10.4,2.33,43.0
1986-07-23,NA,NA,NA,-5.4,-8.6,1.94,55.0
1986-07-24,NA,NA,NA,-4.4,-9.1,2.72,50.9
1986-07-25,NA,NA,NA,-4.9,-7.3,2.46,79.3
1986-07-26,NA,NA,NA,-5.3,-6.9,3.43,84.7
1986-07-27,NA,NA,NA,-5.5,-8.0,1.42,67.7
1986-07-28,NA,NA,NA,-5.3,-7.7,2.81,57.2
1986-07-29,NA,NA,NA,-6.8,-8.2,4.75,77.7
1986-07-30,NA,NA,NA,-6.1,-8.0,3.54,70.6
1986-07-31,NA,NA,NA,-6.5,-8.0,1.65,78.0
1986-08-01,NA,NA,NA,-6.5,-8.0,1.18,71.1
1986-08-02,NA,NA,NA,-6.7,-9.5,2.85,60.2
1986-08-03,NA,NA,NA,-7.8,-10.7,2.38,53.6
1986-08-04,NA,NA,NA,-7.5,-10.3,1.95,51.3
