Daily data for a single station.
StationID:,712650-99999
StationName:,"TORONTO CITY CENTRE"
Lat&Long:,43.617,-79.380
Elevation:,-999.900
Starts(YMD):,1979-05-07
Ends(YMD):,2024-10-21
Date,AirTempMax,AirTempMin,Precipitation,AirTemp,Dewpoint,WindSpeed,CloudCover
YYYY-MM-DD,Celsius,Celsius,Millimeters,Celsius,Celsius,MetersPerSecond,Percent
1979-05-07,NA,NA,NA,9.4,4.5,9.48,43.0
1979-05-08,NA,NA,NA,10.8,5.8,4.06,43.0
1979-05-09,NA,NA,NA,15.8,11.2,2.34,43.0
1979-05-10,NA,NA,NA,16.2,13.5,2.59,51.5
1979-05-11,NA,NA,NA,13.4,11.8,5.36,43.0
1979-05-12,NA,NA,NA,18.1,14.7,3.19,90.7
1979-05-13,NA,NA,NA,11.0,4.5,5.05,64.3
1979-05-14,NA,NA,NA,12.8,8.2,3.45,43.0
1979-05-15,NA,NA,NA,10.8,9.5,2.80,81.7
1979-05-16,NA,NA,NA,13.0,1.8,5.70,43.0
1979-05-17,NA,NA,NA,11.4,2.3,2.12,53.4
1979-05-18,NA,NA,NA,11.1,4.9,5.33,43.0
1979-05-19,NA,NA,NA,13.7,10.1,5.79,47.7
1979-05-20,NA,NA,NA,12.6,9.8,4.64,59.5
1979-05-21,NA,NA,NA,14.3,7.6,5.62,73.6
1979-05-22,NA,NA,NA,11.4,1.3,3.55,43.0
1979-05-23,NA,NA,NA,12.1,3.9,4.36,83.1
1979-05-24,NA,NA,NA,14.5,4.4,5.98,83.1
1979-05-25,NA,NA,NA,10.5,4.0,6.27,100.0
1979-05-26,NA,NA,NA,9.0,7.3,3.88,86.2
1979-05-27,NA,NA,NA,10.4,6.8,3.04,84.5
1979-05-28,NA,NA,NA,12.1,8.3,2.37,93.0
1979-05-29,NA,NA,NA,11.2,8.7,1.60,93.8
1979-05-30,NA,NA,NA,13.8,9.4,2.35,54.8
1979-05-31,NA,NA,NA,15.1,9.8,2.86,43.0
1979-06-01,NA,NA,NA,17.1,9.7,6.88,43.0
1979-06-02,NA,NA,NA,16.5,11.5,2.92,85.8
1979-06-03,NA,NA,NA,17.1,10.7,4.18,87.6
1979-06-04,NA,NA,NA,18.0,12.4,2.59,47.3
1979-06-05,NA,NA,NA,18.4,13.2,4.35,75.1
1979-06-06,NA,NA,NA,14.6,6.8,7.31,43.0
1979-06-07,NA,NA,NA,15.5,12.1,5.60,79.3
1979-06-08,NA,NA,NA,18.0,15.3,3.22,70.8
1979-06-09,NA,NA,NA,19.8,16.6,2.36,60.9
1979-06-10,NA,NA,NA,20.1,17.2,3.63,83.4
1979-06-11,NA,NA,NA,13.2,4.7,8.96,75.3
1979-06-12,NA,NA,NA,14.5,1.9,5.81,57.2
1979-06-13,NA,NA,NA,18.7,3.9,5.47,45.6
1979-06-14,NA,NA,NA,17.6,7.8,2.76,43.0
1979-06-15,NA,NA,NA,19.6,13.7,4.62,45.9
1979-06-16,NA,NA,NA,23.5,14.5,4.15,50.1
1979-06-17,NA,NA,NA,20.2,13.5,2.32,43.0
1979-06-18,NA,NA,NA,15.3,8.8,3.95,66.4
1979-06-19,NA,NA,NA,19.1,7.7,3.03,43.0
1979-06-20,NA,NA,NA,17.1,9.7,6.78,63.3
1979-06-21,NA,NA,NA,16.7,12.8,4.58,97.2
1979-06-22,NA,NA,NA,19.0,13.8,3.95,69.0
1979-06-23,NA,NA,NA,12.2,4.2,7.31,100.0
1979-06-24,NA,NA,NA,15.7,4.2,5.56,64.3
1979-06-25,NA,NA,NA,16.9,5.2,3.69,43.0
1979-06-26,NA,NA,NA,15.6,9.0,4.02,60.9
1979-06-27,NA,NA,NA,17.5,12.0,4.03,77.4
1979-06-28,NA,NA,NA,16.9,13.9,2.87,54.7
1979-06-29,NA,NA,NA,13.6,11.8,5.88,84.9
1979-06-30,NA,NA,NA,16.8,14.3,6.00,91.8
1979-07-01,NA,NA,NA,17.5,14.1,3.05,97.2
1979-07-02,NA,NA,NA,19.2,14.2,5.75,69.0
1979-07-03,NA,NA,NA,20.4,8.1,4.26,43.0
1979-07-04,NA,NA,NA,18.3,6.8,4.35,47.7
1979-07-05,NA,NA,NA,16.5,5.5,5.46,65.2
1979-07-06,NA,NA,NA,20.0,7.3,2.85,43.0
1979-07-07,NA,NA,NA,19.0,9.2,3.50,43.0
1979-07-08,NA,NA,NA,21.0,11.2,1.79,63.8
1979-07-09,NA,NA,NA,20.3,13.8,3.42,100.0
1979-07-10,NA,NA,NA,19.6,16.7,3.88,86.8
1979-07-11,NA,NA,NA,21.4,17.1,2.47,74.1
1979-07-12,NA,NA,NA,23.5,18.6,0.50,43.0
1979-07-13,NA,NA,NA,24.3,18.4,2.81,57.9
1979-07-14,NA,NA,NA,24.2,18.7,3.59,56.0
1979-07-15,NA,NA,NA,24.9,21.0,1.97,61.6
1979-07-16,NA,NA,NA,24.8,18.8,2.85,55.7
1979-07-17,NA,NA,NA,21.3,13.4,4.49,67.1
1979-07-18,NA,NA,NA,22.2,13.6,2.79,43.0
1979-07-19,NA,NA,NA,22.7,11.0,3.06,43.0
1979-07-20,NA,NA,NA,22.7,13.6,3.05,43.0
1979-07-21,NA,NA,NA,23.8,16.3,2.51,43.0
1979-07-22,NA,NA,NA,24.2,16.6,3.89,53.4
1979-07-23,NA,NA,NA,24.9,18.1,2.87,62.5
1979-07-24,NA,NA,NA,25.0,20.6,3.28,43.0
1979-07-25,NA,NA,NA,24.8,20.9,3.82,73.7
1979-07-26,NA,NA,NA,22.5,17.9,5.53,85.9
1979-07-27,NA,NA,NA,20.3,14.8,2.18,62.5
1979-07-28,NA,NA,NA,20.7,17.3,3.85,84.7
1979-07-29,NA,NA,NA,20.6,14.9,2.05,52.5
1979-07-30,NA,NA,NA,23.2,16.1,1.05,67.4
1979-07-31,NA,NA,NA,19.2,14.0,1.83,92.2
1979-08-01,NA,NA,NA,21.4,17.1,3.86,91.1
1979-08-02,NA,NA,NA,22.9,18.3,6.75,78.3
1979-08-03,NA,NA,NA,21.2,17.5,1.95,59.2
1979-08-04,NA,NA,NA,23.4,18.5,1.99,47.3
1979-08-05,NA,NA,NA,25.2,18.3,4.08,51.7
1979-08-06,NA,NA,NA,21.5,13.5,3.23,50.1
1979-08-07,NA,NA,NA,19.6,15.2,4.86,100.0
1979-08-08,NA,NA,NA,21.7,14.4,4.26,69.0
1979-08-09,NA,NA,NA,18.5,10.6,5.60,58.6
1979-08-10,NA,NA,NA,21.4,16.1,5.05,81.4
1979-08-11,NA,NA,NA,18.2,10.5,3.41,74.6
1979-08-12,NA,NA,NA,17.9,9.1,4.33,45.6
1979-08-13,NA,NA,NA,18.4,9.7,3.05,59.5
1979-08-14,NA,NA,NA,18.4,8.6,8.38,58.6
1979-08-15,NA,NA,NA,16.0,7.8,6.51,86.2
1979-08-16,NA,NA,NA,16.8,5.6,2.67,43.0
1979-08-17,NA,NA,NA,16.7,9.2,1.55,87.6
1979-08-18,NA,NA,NA,15.3,14.0,2.10,100.0
1979-08-19,NA,NA,NA,19.9,14.3,2.99,55.3
1979-08-20,NA,NA,NA,19.6,13.9,1.36,94.4
1979-08-21,NA,NA,NA,21.2,13.6,1.76,43.0
1979-08-22,NA,NA,NA,19.1,13.0,5.86,43.0
1979-08-23,NA,NA,NA,18.2,15.9,2.97,100.0
1979-08-24,NA,NA,NA,21.6,17.7,2.45,57.2
1979-08-25,NA,NA,NA,19.0,13.3,4.85,71.0
1979-08-26,NA,NA,NA,19.6,13.2,3.38,91.5
1979-08-27,NA,NA,NA,19.5,14.6,2.35,51.5
1979-08-28,NA,NA,NA,19.8,16.5,3.42,100.0
1979-08-29,NA,NA,NA,21.1,18.1,2.93,100.0
1979-08-30,NA,NA,NA,24.2,17.5,6.04,48.2
1979-08-31,NA,NA,NA,19.5,14.9,3.44,46.7
1979-09-01,NA,NA,NA,21.0,17.1,3.47,43.0
1979-09-02,NA,NA,NA,21.9,18.7,4.70,97.2
1979-09-03,NA,NA,NA,23.0,16.3,4.21,58.6
1979-09-04,NA,NA,NA,18.7,13.5,3.75,52.5
1979-09-05,NA,NA,NA,20.6,16.5,5.34,51.3
1979-09-06,NA,NA,NA,26.1,18.4,4.74,78.3
1979-09-07,NA,NA,NA,16.9,10.1,2.91,81.4
1979-09-08,NA,NA,NA,14.1,2.7,3.97,45.4
1979-09-09,NA,NA,NA,16.2,7.1,3.17,45.2
1979-09-10,NA,NA,NA,18.1,12.5,7.04,73.0
1979-09-11,NA,NA,NA,14.2,4.8,2.90,59.5
1979-09-12,NA,NA,NA,17.0,11.2,6.75,43.0
1979-09-13,NA,NA,NA,21.4,16.7,3.18,88.7
1979-09-14,NA,NA,NA,17.2,12.8,6.32,85.3
1979-09-15,NA,NA,NA,15.8,5.8,6.51,57.2
1979-09-16,NA,NA,NA,17.5,10.6,2.98,57.2
1979-09-17,NA,NA,NA,19.0,13.1,5.28,NA
1979-09-18,NA,NA,NA,19.5,14.0,5.71,56.0
1979-09-19,NA,NA,NA,11.2,0.1,5.45,43.0
1979-09-20,NA,NA,NA,13.9,6.1,4.22,43.0
1979-09-21,NA,NA,NA,16.5,11.6,3.23,100.0
1979-09-22,NA,NA,NA,14.7,3.1,4.69,66.6
1979-09-23,NA,NA,NA,12.0,0.7,3.25,43.0
1979-09-24,NA,NA,NA,13.1,6.4,3.55,43.0
1979-09-25,NA,NA,NA,16.0,12.1,2.45,61.0
1979-09-26,NA,NA,NA,17.6,9.0,2.72,43.0
1979-09-27,NA,NA,NA,16.8,11.1,1.79,46.7
1979-09-28,NA,NA,NA,16.1,13.8,0.82,100.0
1979-09-29,NA,NA,NA,16.9,14.1,1.30,80.4
1979-09-30,NA,NA,NA,15.0,13.9,1.07,76.8
1979-10-01,NA,NA,NA,16.8,10.5,1.64,76.0
1979-10-02,NA,NA,NA,16.0,13.8,3.98,100.0
1979-10-03,NA,NA,NA,16.8,14.5,3.53,98.6
1979-10-04,NA,NA,NA,13.7,10.6,2.53,100.0
1979-10-05,NA,NA,NA,13.5,9.9,2.34,90.6
1979-10-06,NA,NA,NA,12.7,6.2,5.72,76.5
1979-10-07,NA,NA,NA,11.5,3.7,7.58,66.6
1979-10-08,NA,NA,NA,6.9,-0.7,2.95,63.3
1979-10-09,NA,NA,NA,6.5,-0.5,5.74,71.8
1979-10-10,NA,NA,NA,7.3,-0.8,2.39,62.8
1979-10-11,NA,NA,NA,7.6,1.0,2.35,89.2
1979-10-12,NA,NA,NA,10.4,5.5,6.26,78.9
1979-10-13,NA,NA,NA,7.6,1.7,7.05,70.4
1979-10-14,NA,NA,NA,7.0,0.4,4.57,66.6
1979-10-15,NA,NA,NA,9.3,4.1,5.63,81.2
1979-10-16,NA,NA,NA,6.7,2.6,6.85,54.8
1979-10-17,NA,NA,NA,7.9,6.7,1.90,100.0
1979-10-18,NA,NA,NA,8.7,5.9,5.89,81.6
1979-10-19,NA,NA,NA,10.5,9.5,5.64,96.7
1979-10-20,NA,NA,NA,14.7,12.6,2.53,74.5
1979-10-21,NA,NA,NA,15.1,12.2,3.47,56.5
1979-10-22,NA,NA,NA,16.1,13.6,2.38,67.1
1979-10-23,NA,NA,NA,11.3,7.6,7.80,83.5
1979-10-24,NA,NA,NA,8.0,2.8,8.24,83.5
1979-10-25,NA,NA,NA,4.5,-2.5,6.46,73.1
1979-10-26,NA,NA,NA,2.8,-4.8,4.86,91.7
1979-10-27,NA,NA,NA,5.1,-1.3,3.81,93.8
1979-10-28,NA,NA,NA,8.0,5.1,6.70,95.9
1979-10-29,NA,NA,NA,6.6,1.1,3.08,100.0
1979-10-30,NA,NA,NA,5.7,1.7,6.18,78.6
1979-10-31,NA,NA,NA,8.7,6.0,7.98,57.4
1979-11-01,NA,NA,NA,10.5,7.9,4.49,93.8
1979-11-02,NA,NA,NA,7.3,3.3,4.62,63.8
1979-11-03,NA,NA,NA,6.9,2.1,5.21,59.8
1979-11-04,NA,NA,NA,6.7,0.4,4.32,67.3
1979-11-05,NA,NA,NA,7.3,3.4,3.42,84.5
1979-11-06,NA,NA,NA,7.7,5.6,2.98,100.0
1979-11-07,NA,NA,NA,4.7,-1.3,7.15,95.9
1979-11-08,NA,NA,NA,5.6,1.9,10.32,90.3
1979-11-09,NA,NA,NA,5.1,2.9,7.05,100.0
1979-11-10,NA,NA,NA,6.5,1.1,5.03,74.1
1979-11-11,NA,NA,NA,3.4,-1.5,5.46,80.1
1979-11-12,NA,NA,NA,1.8,-4.7,3.25,43.0
1979-11-13,NA,NA,NA,4.3,-1.0,4.72,85.5
1979-11-14,NA,NA,NA,3.5,-1.0,5.10,67.3
1979-11-15,NA,NA,NA,3.8,1.7,7.11,97.9
1979-11-16,NA,NA,NA,-0.4,-7.5,7.99,64.1
1979-11-17,NA,NA,NA,7.1,3.1,6.63,75.4
1979-11-18,NA,NA,NA,4.5,4.1,2.98,58.9
1979-11-19,NA,NA,NA,5.9,5.4,4.77,86.8
1979-11-20,NA,NA,NA,10.6,6.7,6.12,62.7
1979-11-21,NA,NA,NA,7.1,4.4,7.08,97.9
1979-11-22,NA,NA,NA,8.8,8.5,2.63,100.0
1979-11-23,NA,NA,NA,10.4,8.8,3.54,93.8
1979-11-24,NA,NA,NA,7.4,3.6,5.51,73.6
1979-11-25,NA,NA,NA,6.6,5.5,7.92,97.4
1979-11-26,NA,NA,NA,10.6,5.9,12.47,91.2
1979-11-27,NA,NA,NA,7.9,2.7,7.11,75.9
1979-11-28,NA,NA,NA,3.9,-2.5,10.24,69.3
1979-11-29,NA,NA,NA,0.4,-5.7,8.70,65.6
1979-11-30,NA,NA,NA,-0.1,-6.3,9.75,58.6
1979-12-01,NA,NA,NA,-1.6,-4.5,3.96,97.4
