Daily data for a single station.
StationID:,715340-99999
StationName:,"BORDEN"
Lat&Long:,44.250,-79.910
Elevation:,-999.900
Starts(YMD):,2003-06-17
Ends(YMD):,2022-01-06
Date,AirTempMax,AirTempMin,Precipitation,AirTemp,Dewpoint,WindSpeed,CloudCover
YYYY-MM-DD,Celsius,Celsius,Millimeters,Celsius,Celsius,MetersPerSecond,Percent
2003-06-17,NA,NA,NA,NA,NA,NA,NA
2003-06-18,NA,NA,NA,NA,NA,NA,NA
2003-06-19,NA,NA,NA,NA,NA,NA,NA
2003-06-20,NA,NA,NA,NA,NA,NA,NA
2003-06-21,NA,NA,NA,NA,NA,NA,NA
2003-06-22,NA,NA,NA,NA,NA,NA,NA
2003-06-23,NA,NA,NA,NA,NA,NA,NA
2003-06-24,NA,NA,NA,NA,NA,NA,NA
2003-06-25,NA,NA,NA,NA,NA,NA,NA
2003-06-26,NA,NA,NA,NA,NA,NA,NA
2003-06-27,NA,NA,NA,NA,NA,NA,NA
2003-06-28,NA,NA,NA,NA,NA,NA,NA
2003-06-29,NA,NA,NA,NA,NA,NA,NA
2003-06-30,NA,NA,NA,NA,NA,NA,NA
2003-07-01,NA,NA,NA,NA,NA,NA,NA
2003-07-02,NA,NA,NA,NA,NA,NA,NA
2003-07-03,NA,NA,NA,NA,NA,NA,NA
2003-07-04,NA,NA,NA,NA,NA,NA,NA
2003-07-05,NA,NA,NA,NA,NA,NA,NA
2003-07-06,NA,NA,NA,NA,NA,NA,NA
2003-07-07,NA,NA,NA,NA,NA,NA,NA
2003-07-08,NA,NA,NA,NA,NA,NA,NA
2003-07-09,NA,NA,NA,NA,NA,NA,NA
2003-07-10,NA,NA,NA,NA,NA,NA,NA
2003-07-11,NA,NA,NA,NA,NA,NA,NA
2003-07-12,NA,NA,NA,NA,NA,NA,NA
2003-07-13,NA,NA,NA,NA,NA,NA,NA
2003-07-14,NA,NA,NA,NA,NA,NA,NA
2003-07-15,NA,NA,NA,NA,NA,NA,NA
2003-07-16,NA,NA,NA,NA,NA,NA,NA
2003-07-17,NA,NA,NA,NA,NA,NA,NA
2003-07-18,NA,NA,NA,NA,NA,NA,NA
2003-07-19,NA,NA,NA,NA,NA,NA,NA
2003-07-20,NA,NA,NA,NA,NA,NA,NA
2003-07-21,NA,NA,NA,NA,NA,NA,NA
2003-07-22,NA,NA,NA,NA,NA,NA,NA
2003-07-23,NA,NA,NA,NA,NA,NA,NA
2003-07-24,NA,NA,NA,NA,NA,NA,NA
2003-07-25,NA,NA,NA,NA,NA,NA,NA
2003-07-26,NA,NA,NA,NA,NA,NA,NA
2003-07-27,NA,NA,NA,NA,NA,NA,NA
2003-07-28,NA,NA,NA,NA,NA,NA,NA
2003-07-29,NA,NA,NA,NA,NA,NA,NA
2003-07-30,NA,NA,NA,NA,NA,NA,NA
2003-07-31,NA,NA,NA,NA,NA,NA,NA
2003-08-01,NA,NA,NA,NA,NA,NA,NA
2003-08-02,NA,NA,NA,NA,NA,NA,NA
2003-08-03,NA,NA,NA,NA,NA,NA,NA
2003-08-04,NA,NA,NA,NA,NA,NA,NA
2003-08-05,NA,NA,NA,NA,NA,NA,NA
2003-08-06,NA,NA,NA,NA,NA,NA,NA
2003-08-07,NA,NA,NA,NA,NA,NA,NA
2003-08-08,NA,NA,NA,NA,NA,NA,NA
2003-08-09,NA,NA,NA,NA,NA,NA,NA
2003-08-10,NA,NA,NA,NA,NA,NA,NA
2003-08-11,NA,NA,NA,NA,NA,NA,NA
2003-08-12,NA,NA,NA,NA,NA,NA,NA
2003-08-13,NA,NA,NA,NA,NA,NA,NA
2003-08-14,NA,NA,NA,NA,NA,NA,NA
2003-08-15,NA,NA,NA,NA,NA,NA,NA
2003-08-16,NA,NA,NA,NA,NA,NA,NA
2003-08-17,NA,NA,NA,NA,NA,NA,NA
2003-08-18,NA,NA,NA,NA,NA,NA,NA
2003-08-19,NA,NA,NA,NA,NA,NA,NA
2003-08-20,NA,NA,NA,NA,NA,NA,NA
2003-08-21,NA,NA,NA,NA,NA,NA,NA
2003-08-22,NA,NA,NA,NA,NA,NA,NA
2003-08-23,NA,NA,NA,NA,NA,NA,NA
2003-08-24,NA,NA,NA,NA,NA,NA,NA
2003-08-25,NA,NA,NA,NA,NA,NA,NA
2003-08-26,NA,NA,NA,NA,NA,NA,NA
2003-08-27,NA,NA,NA,NA,NA,NA,NA
2003-08-28,NA,NA,NA,NA,NA,NA,NA
2003-08-29,NA,NA,NA,NA,NA,NA,NA
2003-08-30,NA,NA,NA,NA,NA,NA,NA
2003-08-31,NA,NA,NA,NA,NA,NA,NA
2003-09-01,NA,NA,NA,NA,NA,NA,NA
2003-09-02,NA,NA,NA,NA,NA,NA,NA
2003-09-03,NA,NA,NA,NA,NA,NA,NA
2003-09-04,NA,NA,NA,NA,NA,NA,NA
2003-09-05,NA,NA,NA,NA,NA,NA,NA
2003-09-06,NA,NA,NA,NA,NA,NA,NA
2003-09-07,NA,NA,NA,NA,NA,NA,NA
2003-09-08,NA,NA,NA,NA,NA,NA,NA
2003-09-09,NA,NA,NA,NA,NA,NA,NA
2003-09-10,NA,NA,NA,NA,NA,NA,NA
2003-09-11,NA,NA,NA,NA,NA,NA,NA
2003-09-12,NA,NA,NA,NA,NA,NA,NA
2003-09-13,NA,NA,NA,NA,NA,NA,NA
2003-09-14,NA,NA,NA,NA,NA,NA,NA
2003-09-15,NA,NA,NA,NA,NA,NA,NA
2003-09-16,NA,NA,NA,NA,NA,NA,NA
2003-09-17,NA,NA,NA,NA,NA,NA,NA
2003-09-18,NA,NA,NA,NA,NA,NA,NA
2003-09-19,NA,NA,NA,NA,NA,NA,NA
2003-09-20,NA,NA,NA,NA,NA,NA,NA
2003-09-21,NA,NA,NA,NA,NA,NA,NA
2003-09-22,NA,NA,NA,NA,NA,NA,NA
2003-09-23,NA,NA,NA,NA,NA,NA,NA
2003-09-24,NA,NA,NA,NA,NA,NA,NA
2003-09-25,NA,NA,NA,NA,NA,NA,NA
2003-09-26,NA,NA,NA,NA,NA,NA,NA
2003-09-27,NA,NA,NA,NA,NA,NA,NA
2003-09-28,NA,NA,NA,NA,NA,NA,NA
2003-09-29,NA,NA,NA,NA,NA,NA,NA
2003-09-30,NA,NA,NA,NA,NA,NA,NA
2003-10-01,NA,NA,NA,NA,NA,NA,NA
2003-10-02,NA,NA,NA,NA,NA,NA,NA
2003-10-03,NA,NA,NA,NA,NA,NA,NA
2003-10-04,NA,NA,NA,NA,NA,NA,NA
2003-10-05,NA,NA,NA,NA,NA,NA,NA
2003-10-06,NA,NA,NA,NA,NA,NA,NA
2003-10-07,NA,NA,NA,NA,NA,NA,NA
2003-10-08,NA,NA,NA,NA,NA,NA,NA
2003-10-09,NA,NA,NA,NA,NA,NA,NA
2003-10-10,NA,NA,NA,NA,NA,NA,NA
2003-10-11,NA,NA,NA,NA,NA,NA,NA
2003-10-12,NA,NA,NA,NA,NA,NA,NA
2003-10-13,NA,NA,NA,NA,NA,NA,NA
2003-10-14,NA,NA,NA,NA,NA,NA,NA
2003-10-15,NA,NA,NA,NA,NA,NA,NA
2003-10-16,NA,NA,NA,NA,NA,NA,NA
2003-10-17,NA,NA,NA,NA,NA,NA,NA
2003-10-18,NA,NA,NA,NA,NA,NA,NA
2003-10-19,NA,NA,NA,NA,NA,NA,NA
2003-10-20,NA,NA,NA,NA,NA,NA,NA
2003-10-21,NA,NA,NA,NA,NA,NA,NA
2003-10-22,NA,NA,NA,NA,NA,NA,NA
2003-10-23,NA,NA,NA,NA,NA,NA,NA
2003-10-24,NA,NA,NA,NA,NA,NA,NA
2003-10-25,NA,NA,NA,NA,NA,NA,NA
2003-10-26,NA,NA,NA,NA,NA,NA,NA
2003-10-27,NA,NA,NA,NA,NA,NA,NA
2003-10-28,NA,NA,NA,NA,NA,NA,NA
2003-10-29,NA,NA,NA,NA,NA,NA,NA
2003-10-30,NA,NA,NA,NA,NA,NA,NA
2003-10-31,NA,NA,NA,NA,NA,NA,NA
2003-11-01,NA,NA,NA,NA,NA,NA,NA
2003-11-02,NA,NA,NA,NA,NA,NA,NA
2003-11-03,NA,NA,NA,NA,NA,NA,NA
2003-11-04,NA,NA,NA,NA,NA,NA,NA
2003-11-05,NA,NA,NA,NA,NA,NA,NA
2003-11-06,NA,NA,NA,NA,NA,NA,NA
2003-11-07,NA,NA,NA,NA,NA,NA,NA
2003-11-08,NA,NA,NA,NA,NA,NA,NA
2003-11-09,NA,NA,NA,NA,NA,NA,NA
2003-11-10,NA,NA,NA,NA,NA,NA,NA
2003-11-11,NA,NA,NA,NA,NA,NA,NA
2003-11-12,NA,NA,NA,NA,NA,NA,NA
2003-11-13,NA,NA,NA,NA,NA,NA,NA
2003-11-14,NA,NA,NA,NA,NA,NA,NA
2003-11-15,NA,NA,NA,NA,NA,NA,NA
2003-11-16,NA,NA,NA,NA,NA,NA,NA
2003-11-17,NA,NA,NA,NA,NA,NA,NA
