Daily data for a single station.
StationID:,716200-99999
StationName:,"KINGSTON"
Lat&Long:,44.225,-76.590
Elevation:,-999.900
Starts(YMD):,1982-01-01
Ends(YMD):,2024-10-21
Date,AirTempMax,AirTempMin,Precipitation,AirTemp,Dewpoint,WindSpeed,CloudCover
YYYY-MM-DD,Celsius,Celsius,Millimeters,Celsius,Celsius,MetersPerSecond,Percent
1982-01-01,NA,NA,NA,1.3,-1.9,9.12,82.9
1982-01-02,NA,NA,NA,-12.8,-17.9,3.07,43.0
1982-01-03,NA,NA,NA,-0.2,-3.7,7.54,100.0
1982-01-04,NA,NA,NA,3.1,1.2,9.24,96.4
1982-01-05,NA,NA,NA,-7.6,-11.9,6.47,50.9
1982-01-06,NA,NA,NA,1.9,-1.5,6.39,96.4
1982-01-07,NA,NA,NA,-4.8,-9.8,4.86,71.2
1982-01-08,NA,NA,NA,-11.4,-15.2,3.38,69.6
1982-01-09,NA,NA,NA,-13.8,-18.2,3.72,69.9
1982-01-10,NA,NA,NA,-20.9,-24.6,7.57,58.6
1982-01-11,NA,NA,NA,-19.1,-22.8,8.20,52.9
1982-01-12,NA,NA,NA,-23.1,-27.1,1.44,43.0
1982-01-13,NA,NA,NA,-13.5,-16.5,5.82,81.9
1982-01-14,NA,NA,NA,-13.7,-17.2,4.83,60.9
1982-01-15,NA,NA,NA,-11.7,-16.2,4.18,60.3
1982-01-16,NA,NA,NA,-7.4,-10.1,10.45,79.3
1982-01-17,NA,NA,NA,-21.1,-26.9,5.45,60.3
1982-01-18,NA,NA,NA,-15.5,-18.8,2.09,48.9
1982-01-19,NA,NA,NA,-15.1,-18.9,5.00,63.8
1982-01-20,NA,NA,NA,-9.4,-14.1,5.26,61.4
1982-01-21,NA,NA,NA,-18.8,-25.0,5.86,77.0
1982-01-22,NA,NA,NA,-19.6,-27.5,5.61,61.0
1982-01-23,NA,NA,NA,-4.0,-5.6,12.11,97.2
1982-01-24,NA,NA,NA,-11.0,-14.1,8.38,87.4
1982-01-25,NA,NA,NA,-18.8,-23.7,1.47,43.0
1982-01-26,NA,NA,NA,-19.1,-23.9,0.72,43.0
1982-01-27,NA,NA,NA,-15.8,-19.5,2.58,78.4
1982-01-28,NA,NA,NA,-0.8,-3.1,10.01,85.6
1982-01-29,NA,NA,NA,-5.4,-9.3,6.05,50.0
1982-01-30,NA,NA,NA,-0.8,-1.8,6.30,100.0
1982-01-31,NA,NA,NA,-11.9,-15.9,9.09,89.6
1982-02-01,NA,NA,NA,-9.3,-12.6,5.96,70.6
1982-02-02,NA,NA,NA,-5.8,-9.9,4.66,90.3
1982-02-03,NA,NA,NA,-0.4,-1.1,4.60,100.0
1982-02-04,NA,NA,NA,-10.0,-14.4,2.47,43.0
1982-02-05,NA,NA,NA,-13.0,-15.4,4.63,93.2
1982-02-06,NA,NA,NA,-10.8,-14.6,5.26,50.6
1982-02-07,NA,NA,NA,-7.6,-10.1,9.15,93.5
1982-02-08,NA,NA,NA,-6.1,-10.2,5.22,66.2
1982-02-09,NA,NA,NA,-6.2,-8.1,2.48,85.0
1982-02-10,NA,NA,NA,-12.0,-14.8,5.66,72.8
1982-02-11,NA,NA,NA,-9.1,-12.1,5.58,85.3
1982-02-12,NA,NA,NA,-10.0,-13.2,2.84,74.9
1982-02-13,NA,NA,NA,-8.3,-11.9,3.44,75.4
1982-02-14,NA,NA,NA,-8.8,-12.1,1.91,56.0
1982-02-15,NA,NA,NA,2.7,-1.5,7.89,72.3
1982-02-16,NA,NA,NA,-1.1,-7.3,4.96,65.6
1982-02-17,NA,NA,NA,-8.8,-14.7,7.78,65.9
1982-02-18,NA,NA,NA,-4.4,-10.9,4.40,71.1
1982-02-19,NA,NA,NA,0.1,-0.7,5.08,100.0
1982-02-20,NA,NA,NA,0.2,-0.9,2.41,96.4
