Daily data for a single station.
StationID:,716210-99999
StationName:,"TRENTON"
Lat&Long:,44.117,-77.530
Elevation:,-999.900
Starts(YMD):,1955-07-03
Ends(YMD):,2024-10-21
Date,AirTempMax,AirTempMin,Precipitation,AirTemp,Dewpoint,WindSpeed,CloudCover
YYYY-MM-DD,Celsius,Celsius,Millimeters,Celsius,Celsius,MetersPerSecond,Percent
1955-07-03,NA,NA,NA,24.4,NA,4.60,NA
1955-07-04,NA,NA,NA,23.3,NA,4.60,NA
1955-07-05,NA,NA,NA,26.7,NA,8.20,NA
1955-07-06,NA,NA,NA,20.0,NA,0.00,NA
1955-07-07,NA,NA,NA,20.0,NA,2.10,NA
1955-07-08,NA,NA,NA,20.6,NA,2.60,NA
1955-07-09,NA,NA,NA,25.0,NA,4.60,NA
1955-07-10,NA,NA,NA,23.9,NA,5.10,NA
1955-07-11,NA,NA,NA,18.3,NA,5.10,NA
1955-07-12,NA,NA,NA,16.7,NA,5.70,NA
1955-07-13,NA,NA,NA,18.3,NA,0.00,NA
1955-07-14,NA,NA,NA,21.7,NA,2.10,NA
1955-07-15,NA,NA,NA,25.0,NA,2.10,NA
1955-07-16,NA,NA,NA,22.8,NA,4.60,NA
1955-07-17,NA,NA,NA,23.3,NA,2.60,NA
1955-07-18,NA,NA,NA,23.3,NA,4.60,NA
1955-07-19,NA,NA,NA,18.3,NA,2.60,NA
1955-07-20,NA,NA,NA,18.9,NA,0.00,NA
1955-07-21,NA,NA,NA,22.2,NA,3.60,NA
1955-07-22,NA,NA,NA,24.4,NA,2.10,NA
1955-07-23,NA,NA,NA,22.8,NA,0.00,NA
1955-07-24,NA,NA,NA,17.2,NA,6.20,NA
1955-07-25,NA,NA,NA,17.2,NA,2.10,NA
1955-07-26,NA,NA,NA,21.7,NA,4.10,NA
1955-07-27,NA,NA,NA,23.3,NA,6.70,NA
1955-07-28,NA,NA,NA,18.9,NA,5.10,NA
1955-07-29,NA,NA,NA,18.9,NA,3.60,NA
1955-07-30,NA,NA,NA,21.7,NA,5.70,NA
1955-07-31,NA,NA,NA,25.0,NA,3.60,NA
1955-08-01,NA,NA,NA,NA,NA,NA,NA
1955-08-02,NA,NA,NA,25.0,NA,2.60,NA
1955-08-03,NA,NA,NA,23.3,NA,2.60,NA
1955-08-04,NA,NA,NA,26.1,NA,2.60,NA
1955-08-05,NA,NA,NA,25.6,NA,4.10,NA
1955-08-06,NA,NA,NA,23.3,NA,3.10,NA
1955-08-07,NA,NA,NA,24.4,NA,8.20,NA
1955-08-08,NA,NA,NA,13.9,NA,5.10,NA
1955-08-09,NA,NA,NA,16.7,NA,2.10,NA
1955-08-10,NA,NA,NA,21.7,NA,7.70,NA
1955-08-11,NA,NA,NA,20.0,NA,0.00,NA
1955-08-12,NA,NA,NA,18.9,NA,2.60,NA
1955-08-13,NA,NA,NA,20.0,NA,6.70,NA
1955-08-14,NA,NA,NA,23.9,NA,8.20,NA
1955-08-15,NA,NA,NA,21.7,NA,1.50,NA
1955-08-16,NA,NA,NA,21.7,NA,2.10,NA
1955-08-17,NA,NA,NA,20.0,NA,0.00,NA
1955-08-18,NA,NA,NA,23.3,NA,1.00,NA
1955-08-19,NA,NA,NA,22.8,NA,5.10,NA
1955-08-20,NA,NA,NA,23.3,NA,4.60,NA
1955-08-21,NA,NA,NA,25.0,NA,5.10,NA
1955-08-22,NA,NA,NA,23.3,NA,6.20,NA
1955-08-23,NA,NA,NA,14.4,NA,6.70,NA
1955-08-24,NA,NA,NA,13.9,NA,2.10,NA
1955-08-25,NA,NA,NA,15.0,NA,2.10,NA
1955-08-26,NA,NA,NA,18.9,NA,0.00,NA
1955-08-27,NA,NA,NA,20.0,NA,4.10,NA
1955-08-28,NA,NA,NA,12.2,NA,3.10,NA
1955-08-29,NA,NA,NA,13.9,NA,1.50,NA
1955-08-30,NA,NA,NA,21.7,NA,1.50,NA
1955-08-31,NA,NA,NA,18.9,NA,11.30,NA
1955-09-01,NA,NA,NA,NA,NA,NA,NA
1955-09-02,NA,NA,NA,13.3,NA,2.60,NA
1955-09-03,NA,NA,NA,13.9,NA,1.50,NA
1955-09-04,NA,NA,NA,13.3,NA,0.00,NA
1955-09-05,NA,NA,NA,18.9,NA,2.10,NA
1955-09-06,NA,NA,NA,12.8,NA,0.00,NA
1955-09-07,NA,NA,NA,11.1,NA,8.20,NA
1955-09-08,NA,NA,NA,8.3,NA,4.10,NA
1955-09-09,NA,NA,NA,10.0,NA,3.60,NA
1955-09-10,NA,NA,NA,21.1,NA,7.20,NA
1955-09-11,NA,NA,NA,13.3,NA,3.60,NA
1955-09-12,NA,NA,NA,11.1,NA,5.10,NA
1955-09-13,NA,NA,NA,7.2,NA,3.10,NA
1955-09-14,NA,NA,NA,15.0,NA,4.60,NA
1955-09-15,NA,NA,NA,16.7,NA,4.10,NA
1955-09-16,NA,NA,NA,10.6,NA,4.10,NA
1955-09-17,NA,NA,NA,15.6,NA,2.10,NA
1955-09-18,NA,NA,NA,15.0,NA,0.00,NA
1955-09-19,NA,NA,NA,19.4,NA,5.10,NA
1955-09-20,NA,NA,NA,17.2,NA,5.10,NA
1955-09-21,NA,NA,NA,6.7,NA,1.50,NA
1955-09-22,NA,NA,NA,7.2,NA,3.10,NA
1955-09-23,NA,NA,NA,6.7,NA,4.60,NA
1955-09-24,NA,NA,NA,13.3,NA,4.60,NA
1955-09-25,NA,NA,NA,9.4,NA,2.10,NA
1955-09-26,NA,NA,NA,3.9,NA,2.10,NA
1955-09-27,NA,NA,NA,7.8,NA,2.60,NA
1955-09-28,NA,NA,NA,15.6,NA,3.60,NA
1955-09-29,NA,NA,NA,8.3,NA,0.00,NA
1955-09-30,NA,NA,NA,17.2,NA,6.70,NA
1955-10-01,NA,NA,NA,NA,NA,NA,NA
1955-10-02,NA,NA,NA,3.9,NA,1.50,NA
1955-10-03,NA,NA,NA,6.1,NA,0.00,NA
1955-10-04,NA,NA,NA,9.4,NA,0.00,NA
1955-10-05,NA,NA,NA,11.7,NA,6.20,NA
1955-10-06,NA,NA,NA,15.6,NA,8.20,NA
1955-10-07,NA,NA,NA,17.8,NA,4.60,NA
1955-10-08,NA,NA,NA,12.2,NA,5.70,NA
1955-10-09,NA,NA,NA,10.0,NA,4.60,NA
1955-10-10,NA,NA,NA,13.9,NA,7.20,NA
1955-10-11,NA,NA,NA,10.6,NA,0.00,NA
1955-10-12,NA,NA,NA,9.4,NA,0.00,NA
1955-10-13,NA,NA,NA,15.6,NA,7.20,NA
1955-10-14,NA,NA,NA,13.3,NA,0.00,NA
1955-10-15,NA,NA,NA,13.3,NA,6.70,NA
1955-10-16,NA,NA,NA,7.8,NA,8.20,NA
1955-10-17,NA,NA,NA,8.3,NA,3.10,NA
1955-10-18,NA,NA,NA,7.8,NA,3.10,NA
1955-10-19,NA,NA,NA,7.8,NA,2.10,NA
1955-10-20,NA,NA,NA,7.8,NA,3.10,NA
1955-10-21,NA,NA,NA,8.3,NA,8.70,NA
1955-10-22,NA,NA,NA,-1.7,NA,2.10,NA
1955-10-23,NA,NA,NA,6.7,NA,4.60,NA
1955-10-24,NA,NA,NA,16.7,NA,8.20,NA
1955-10-25,NA,NA,NA,-2.2,NA,4.60,NA
1955-10-26,NA,NA,NA,8.3,NA,5.10,NA
1955-10-27,NA,NA,NA,0.6,NA,0.00,NA
1955-10-28,NA,NA,NA,2.8,NA,0.00,NA
1955-10-29,NA,NA,NA,7.8,NA,3.60,NA
1955-10-30,NA,NA,NA,13.9,NA,7.20,NA
1955-10-31,NA,NA,NA,4.4,NA,1.00,NA
1955-11-01,NA,NA,NA,NA,NA,NA,NA
1955-11-02,NA,NA,NA,10.0,NA,1.50,NA
1955-11-03,NA,NA,NA,11.7,NA,8.70,NA
1955-11-04,NA,NA,NA,2.2,NA,2.10,NA
1955-11-05,NA,NA,NA,-2.8,NA,3.10,NA
1955-11-06,NA,NA,NA,-3.9,NA,2.60,NA
1955-11-07,NA,NA,NA,4.4,NA,3.10,NA
1955-11-08,NA,NA,NA,0.6,NA,2.10,NA
1955-11-09,NA,NA,NA,3.3,NA,2.10,NA
1955-11-10,NA,NA,NA,4.4,NA,3.60,NA
1955-11-11,NA,NA,NA,6.7,NA,5.10,NA
1955-11-12,NA,NA,NA,6.7,NA,3.60,NA
1955-11-13,NA,NA,NA,0.0,NA,3.10,NA
1955-11-14,NA,NA,NA,6.7,NA,3.60,NA
1955-11-15,NA,NA,NA,0.6,NA,2.60,NA
1955-11-16,NA,NA,NA,2.2,NA,5.70,NA
1955-11-17,NA,NA,NA,-3.9,NA,15.40,NA
1955-11-18,NA,NA,NA,-2.2,NA,5.10,NA
1955-11-19,NA,NA,NA,-3.3,NA,3.10,NA
1955-11-20,NA,NA,NA,-8.3,NA,3.60,NA
1955-11-21,NA,NA,NA,2.2,NA,15.90,NA
1955-11-22,NA,NA,NA,-5.6,NA,2.10,NA
1955-11-23,NA,NA,NA,0.0,NA,4.60,NA
1955-11-24,NA,NA,NA,1.7,NA,4.60,NA
1955-11-25,NA,NA,NA,-0.6,NA,2.10,NA
1955-11-26,NA,NA,NA,-5.0,NA,0.00,NA
1955-11-27,NA,NA,NA,-2.8,NA,0.00,NA
1955-11-28,NA,NA,NA,2.2,NA,7.70,NA
1955-11-29,NA,NA,NA,-11.7,NA,6.70,NA
1955-11-30,NA,NA,NA,-2.2,NA,6.20,NA
1955-12-01,NA,NA,NA,NA,NA,NA,NA
1955-12-02,NA,NA,NA,-0.6,NA,2.60,NA
1955-12-03,NA,NA,NA,1.7,NA,2.10,NA
1955-12-04,NA,NA,NA,-0.6,NA,6.70,NA
1955-12-05,NA,NA,NA,1.7,NA,11.80,NA
1955-12-06,NA,NA,NA,-9.4,NA,2.10,NA
1955-12-07,NA,NA,NA,-3.3,NA,2.10,NA
1955-12-08,NA,NA,NA,-6.7,NA,5.70,NA
1955-12-09,NA,NA,NA,-7.8,NA,7.70,NA
1955-12-10,NA,NA,NA,-7.2,NA,8.20,NA
1955-12-11,NA,NA,NA,-6.1,NA,4.60,NA
1955-12-12,NA,NA,NA,-7.8,NA,5.70,NA
1955-12-13,NA,NA,NA,-5.0,NA,1.50,NA
1955-12-14,NA,NA,NA,0.0,NA,5.10,NA
1955-12-15,NA,NA,NA,-0.6,NA,3.60,NA
1955-12-16,NA,NA,NA,-12.2,NA,6.70,NA
1955-12-17,NA,NA,NA,-3.3,NA,8.20,NA
1955-12-18,NA,NA,NA,-3.9,NA,4.10,NA
1955-12-19,NA,NA,NA,-14.4,NA,3.60,NA
1955-12-20,NA,NA,NA,-22.8,NA,6.20,NA
1955-12-21,NA,NA,NA,-25.6,NA,0.00,NA
1955-12-22,NA,NA,NA,-18.3,NA,5.10,NA
1955-12-23,NA,NA,NA,-22.2,NA,3.10,NA
1955-12-24,NA,NA,NA,-3.9,NA,0.00,NA
1955-12-25,NA,NA,NA,1.7,NA,11.30,NA
1955-12-26,NA,NA,NA,-10.0,NA,2.10,NA
1955-12-27,NA,NA,NA,-13.3,NA,2.10,NA
1955-12-28,NA,NA,NA,-15.6,NA,1.50,NA
1955-12-29,NA,NA,NA,-1.1,NA,5.10,NA
1955-12-30,NA,NA,NA,-9.4,NA,6.70,NA
1955-12-31,NA,NA,NA,-11.1,NA,7.70,NA
1956-01-01,NA,NA,NA,-18.3,-20.0,4.60,NA
1956-01-02,NA,NA,NA,-16.7,-20.6,6.20,NA
1956-01-03,NA,NA,NA,0.6,0.6,5.10,NA
1956-01-04,NA,NA,NA,-0.6,-0.6,0.00,NA
1956-01-05,NA,NA,NA,-0.6,-3.9,4.60,NA
1956-01-06,NA,NA,NA,-8.9,-13.3,4.10,NA
1956-01-07,NA,NA,NA,-10.0,-14.4,8.20,NA
1956-01-08,NA,NA,NA,-14.4,-20.6,4.60,NA
1956-01-09,NA,NA,NA,-3.9,-4.4,1.50,NA
1956-01-10,NA,NA,NA,3.9,1.7,7.70,NA
1956-01-11,NA,NA,NA,2.8,1.1,6.70,NA
1956-01-12,NA,NA,NA,0.6,-2.8,8.70,NA
1956-01-13,NA,NA,NA,-6.1,-12.8,7.20,NA
1956-01-14,NA,NA,NA,-9.4,-15.6,8.20,NA
1956-01-15,NA,NA,NA,-5.6,-15.0,3.10,NA
1956-01-16,NA,NA,NA,-8.9,-13.3,2.60,NA
1956-01-17,NA,NA,NA,-6.1,-10.6,6.70,NA
1956-01-18,NA,NA,NA,-12.2,-14.4,5.10,NA
1956-01-19,NA,NA,NA,-12.8,-17.8,5.10,NA
1956-01-20,NA,NA,NA,-10.0,-13.3,5.10,NA
1956-01-21,NA,NA,NA,-12.8,-14.4,0.00,NA
1956-01-22,NA,NA,NA,-2.2,-5.6,3.60,NA
1956-01-23,NA,NA,NA,-8.3,-10.0,6.70,NA
1956-01-24,NA,NA,NA,-12.8,-15.0,6.70,NA
1956-01-25,NA,NA,NA,-13.3,-17.2,3.10,NA
1956-01-26,NA,NA,NA,-10.6,-14.4,2.60,NA
1956-01-27,NA,NA,NA,-7.2,-11.1,2.60,NA
1956-01-28,NA,NA,NA,-13.3,-16.1,2.10,NA
1956-01-29,NA,NA,NA,1.7,1.1,4.60,NA
1956-01-30,NA,NA,NA,-2.8,-5.6,0.00,NA
1956-01-31,NA,NA,NA,-12.8,-15.6,4.60,NA
1956-02-01,NA,NA,NA,-11.1,-12.2,0.00,NA
1956-02-02,NA,NA,NA,-1.1,-1.1,3.10,NA
1956-02-03,NA,NA,NA,-7.8,-10.6,4.60,NA
1956-02-04,NA,NA,NA,-14.4,-17.2,0.00,NA
1956-02-05,NA,NA,NA,-3.9,-6.7,6.70,NA
1956-02-06,NA,NA,NA,-5.0,-8.3,2.60,NA
1956-02-07,NA,NA,NA,-1.1,-2.2,6.20,NA
1956-02-08,NA,NA,NA,1.1,-1.7,5.10,NA
1956-02-09,NA,NA,NA,-1.1,-2.2,2.60,NA
1956-02-10,NA,NA,NA,-5.6,-10.0,0.00,NA
1956-02-11,NA,NA,NA,-5.6,-6.7,2.10,NA
1956-02-12,NA,NA,NA,0.0,-0.6,2.60,NA
1956-02-13,NA,NA,NA,-0.6,-3.3,5.10,NA
1956-02-14,NA,NA,NA,0.0,-1.7,4.60,NA
1956-02-15,NA,NA,NA,-2.2,-7.2,4.60,NA
1956-02-16,NA,NA,NA,-11.7,-13.9,5.10,NA
1956-02-17,NA,NA,NA,-11.1,-15.6,6.70,NA
1956-02-18,NA,NA,NA,-3.9,-5.0,4.60,NA
1956-02-19,NA,NA,NA,-3.9,-6.1,3.10,NA
1956-02-20,NA,NA,NA,-2.8,-5.6,3.10,NA
1956-02-21,NA,NA,NA,-11.1,-15.6,3.10,NA
1956-02-22,NA,NA,NA,-15.6,-20.6,5.10,NA
1956-02-23,NA,NA,NA,-13.9,-18.3,6.70,NA
1956-02-24,NA,NA,NA,-17.8,-20.6,2.10,NA
1956-02-25,NA,NA,NA,2.8,1.1,5.10,NA
1956-02-26,NA,NA,NA,-9.4,-15.0,4.60,NA
1956-02-27,NA,NA,NA,-7.8,-14.4,2.10,NA
1956-02-28,NA,NA,NA,-9.4,-12.8,4.60,NA
1956-02-29,NA,NA,NA,-11.7,-15.0,2.60,NA
1956-03-01,NA,NA,NA,-11.1,-13.9,0.00,NA
1956-03-02,NA,NA,NA,3.3,2.2,6.70,NA
1956-03-03,NA,NA,NA,0.0,-3.3,3.60,NA
1956-03-04,NA,NA,NA,0.0,-4.4,8.20,NA
1956-03-05,NA,NA,NA,0.6,-0.6,4.60,NA
1956-03-06,NA,NA,NA,-1.7,-5.0,4.60,NA
1956-03-07,NA,NA,NA,-0.6,-2.2,7.20,NA
1956-03-08,NA,NA,NA,-2.8,-4.4,3.60,NA
1956-03-09,NA,NA,NA,-9.4,-15.6,8.70,NA
1956-03-10,NA,NA,NA,-10.6,-12.2,3.10,NA
1956-03-11,NA,NA,NA,3.9,-0.6,11.30,NA
1956-03-12,NA,NA,NA,-7.8,-12.2,4.10,NA
1956-03-13,NA,NA,NA,-7.2,-8.9,2.10,NA
1956-03-14,NA,NA,NA,-1.1,-3.9,2.10,NA
1956-03-15,NA,NA,NA,-13.9,-15.6,0.00,NA
1956-03-16,NA,NA,NA,-8.3,-13.3,6.20,NA
1956-03-17,NA,NA,NA,-14.4,-16.7,3.10,NA
1956-03-18,NA,NA,NA,-17.8,-18.3,0.00,NA
1956-03-19,NA,NA,NA,-12.2,-16.7,2.10,NA
1956-03-20,NA,NA,NA,-8.9,-16.7,5.10,NA
1956-03-21,NA,NA,NA,-6.1,-8.3,0.00,NA
