Daily data for a single station.
StationID:,716240-99999
StationName:,"LESTER B PEARSON INTL"
Lat&Long:,43.677,-79.630
Elevation:,-999.900
Starts(YMD):,1950-01-01
Ends(YMD):,2024-10-21
Date,AirTempMax,AirTempMin,Precipitation,AirTemp,Dewpoint,WindSpeed,CloudCover
YYYY-MM-DD,Celsius,Celsius,Millimeters,Celsius,Celsius,MetersPerSecond,Percent
1950-01-01,NA,NA,NA,1.9,1.2,1.62,97.5
1950-01-02,NA,NA,NA,2.8,2.6,0.81,NA
1950-01-03,NA,NA,NA,9.3,8.9,5.96,93.2
1950-01-04,NA,NA,NA,8.6,6.9,7.75,81.5
1950-01-05,NA,NA,NA,-0.6,-3.0,3.07,98.5
1950-01-06,NA,NA,NA,-2.1,-3.1,3.87,93.5
1950-01-07,NA,NA,NA,-5.5,-7.3,6.80,73.1
1950-01-08,NA,NA,NA,-15.6,-16.8,3.81,60.3
1950-01-09,NA,NA,NA,-2.0,-4.3,3.86,68.9
1950-01-10,NA,NA,NA,2.8,1.2,8.65,65.9
1950-01-11,NA,NA,NA,-5.0,-8.5,9.00,72.3
1950-01-12,NA,NA,NA,-3.0,-6.0,3.83,66.8
1950-01-13,NA,NA,NA,5.7,4.4,6.91,100.0
1950-01-14,NA,NA,NA,2.4,-1.6,15.58,82.1
1950-01-15,NA,NA,NA,-0.3,-2.5,6.32,92.4
1950-01-16,NA,NA,NA,-3.2,-8.8,17.30,20.0
1950-01-17,NA,NA,NA,-4.9,-9.2,6.03,65.0
1950-01-18,NA,NA,NA,-3.2,-7.3,11.02,63.6
1950-01-19,NA,NA,NA,-10.3,-13.0,5.76,35.5
1950-01-20,NA,NA,NA,-10.3,-13.2,3.93,77.2
1950-01-21,NA,NA,NA,-3.8,-5.5,2.29,81.4
1950-01-22,NA,NA,NA,2.0,0.1,3.37,87.7
1950-01-23,NA,NA,NA,0.6,-0.5,3.82,87.8
1950-01-24,NA,NA,NA,-2.9,-3.5,6.49,95.7
1950-01-25,NA,NA,NA,6.9,5.2,4.71,70.3
1950-01-26,NA,NA,NA,6.0,2.5,9.89,82.7
1950-01-27,NA,NA,NA,-5.2,-9.4,5.50,58.1
1950-01-28,NA,NA,NA,-1.8,-5.3,4.26,58.7
1950-01-29,NA,NA,NA,3.7,0.6,6.58,93.5
1950-01-30,NA,NA,NA,-7.4,-12.4,5.87,82.9
1950-01-31,NA,NA,NA,-11.0,-12.1,4.64,82.5
1950-02-01,NA,NA,NA,-9.7,-11.5,2.62,49.2
1950-02-02,NA,NA,NA,-5.2,-7.4,5.31,82.4
1950-02-03,NA,NA,NA,-6.2,-9.7,6.82,41.6
1950-02-04,NA,NA,NA,-3.9,-7.9,6.90,54.2
1950-02-05,NA,NA,NA,-4.0,-7.1,2.28,79.6
1950-02-06,NA,NA,NA,0.6,-1.6,2.21,82.0
1950-02-07,NA,NA,NA,-7.3,-11.0,3.98,88.1
1950-02-08,NA,NA,NA,-4.8,-8.0,4.40,89.4
1950-02-09,NA,NA,NA,0.3,-1.5,5.09,59.6
1950-02-10,NA,NA,NA,-1.7,-3.8,2.52,89.5
1950-02-11,NA,NA,NA,0.6,-2.7,7.06,60.2
1950-02-12,NA,NA,NA,-2.4,-5.7,4.32,73.1
1950-02-13,NA,NA,NA,-4.3,-6.8,7.48,73.2
1950-02-14,NA,NA,NA,-0.3,-0.7,12.25,95.0
1950-02-15,NA,NA,NA,1.8,0.0,5.83,92.5
1950-02-16,NA,NA,NA,-0.6,-3.7,4.42,83.3
1950-02-17,NA,NA,NA,-0.6,-3.2,4.12,86.7
1950-02-18,NA,NA,NA,-0.7,-3.3,4.51,90.8
1950-02-19,NA,NA,NA,-8.0,-10.6,8.95,42.3
1950-02-20,NA,NA,NA,-20.0,-21.9,6.88,33.3
1950-02-21,NA,NA,NA,-16.1,-17.4,6.13,82.3
1950-02-22,NA,NA,NA,-12.6,-13.3,6.70,82.6
1950-02-23,NA,NA,NA,-8.0,-9.2,7.82,70.3
1950-02-24,NA,NA,NA,-6.7,-7.7,8.07,50.0
1950-02-25,NA,NA,NA,-13.2,-14.6,6.34,40.0
1950-02-26,NA,NA,NA,-13.5,-15.2,6.85,41.8
1950-02-27,NA,NA,NA,-14.7,-16.3,3.47,35.9
1950-02-28,NA,NA,NA,-4.2,-5.2,6.40,90.3
1950-03-01,NA,NA,NA,-7.6,-11.0,12.03,49.3
1950-03-02,NA,NA,NA,-14.8,-17.0,7.99,47.1
1950-03-03,NA,NA,NA,-16.7,-18.5,3.82,48.6
1950-03-04,NA,NA,NA,-13.6,-15.6,3.10,83.3
1950-03-05,NA,NA,NA,2.8,-2.3,10.08,71.0
1950-03-06,NA,NA,NA,-8.5,-12.9,4.00,40.7
1950-03-07,NA,NA,NA,-1.5,-5.6,3.93,54.4
1950-03-08,NA,NA,NA,1.8,-1.5,8.02,87.7
1950-03-09,NA,NA,NA,-9.5,-12.8,13.05,77.3
1950-03-10,NA,NA,NA,-6.6,-10.3,5.17,55.3
1950-03-11,NA,NA,NA,-1.7,-2.8,3.18,88.1
1950-03-12,NA,NA,NA,-3.9,-7.0,5.24,81.2
1950-03-13,NA,NA,NA,-5.9,-7.6,4.82,63.6
1950-03-14,NA,NA,NA,-7.3,-9.6,6.30,34.1
1950-03-15,NA,NA,NA,-5.3,-8.3,7.58,45.7
1950-03-16,NA,NA,NA,-9.3,-12.7,2.10,55.3
1950-03-17,NA,NA,NA,-8.4,-10.0,3.99,65.5
1950-03-18,NA,NA,NA,-8.7,-11.0,7.62,64.6
1950-03-19,NA,NA,NA,-8.4,-10.8,3.26,52.9
1950-03-20,NA,NA,NA,-3.1,-4.9,5.21,79.2
1950-03-21,NA,NA,NA,0.2,-2.3,3.18,87.3
1950-03-22,NA,NA,NA,2.7,0.9,4.29,95.6
1950-03-23,NA,NA,NA,1.9,0.6,5.70,91.2
1950-03-24,NA,NA,NA,3.3,0.1,4.01,89.4
1950-03-25,NA,NA,NA,2.3,-1.8,3.83,64.7
1950-03-26,NA,NA,NA,0.8,-2.4,5.12,79.4
1950-03-27,NA,NA,NA,4.8,3.7,5.05,87.0
1950-03-28,NA,NA,NA,7.3,3.1,7.68,74.1
1950-03-29,NA,NA,NA,-1.7,-5.5,9.29,66.5
1950-03-30,NA,NA,NA,-2.7,-8.8,6.23,25.0
1950-03-31,NA,NA,NA,1.2,-4.9,3.79,63.1
1950-04-01,NA,NA,NA,2.1,-0.6,9.21,75.0
1950-04-02,NA,NA,NA,2.1,-1.2,8.24,87.2
1950-04-03,NA,NA,NA,6.6,5.0,2.97,66.5
1950-04-04,NA,NA,NA,9.9,8.3,6.85,85.0
1950-04-05,NA,NA,NA,0.8,-3.8,9.95,82.3
1950-04-06,NA,NA,NA,-4.0,-8.1,6.33,36.4
1950-04-07,NA,NA,NA,0.7,-5.2,2.57,56.1
1950-04-08,NA,NA,NA,-2.9,-7.3,9.22,66.2
1950-04-09,NA,NA,NA,-2.0,-7.8,4.97,24.2
1950-04-10,NA,NA,NA,01.0,-5.2,5.52,75.5
1950-04-11,NA,NA,NA,4.2,0.7,8.82,89.6
1950-04-12,NA,NA,NA,-1.1,-5.5,8.85,63.8
1950-04-13,NA,NA,NA,-5.4,-9.9,5.52,46.7
1950-04-14,NA,NA,NA,-1.7,-6.9,6.21,54.1
1950-04-15,NA,NA,NA,1.2,-5.0,4.42,37.5
1950-04-16,NA,NA,NA,6.1,-2.7,3.46,57.1
1950-04-17,NA,NA,NA,11.3,5.8,6.47,64.3
1950-04-18,NA,NA,NA,9.4,3.1,2.97,38.2
1950-04-19,NA,NA,NA,8.2,6.2,3.23,73.8
1950-04-20,NA,NA,NA,5.6,2.2,4.52,60.7
1950-04-21,NA,NA,NA,2.9,-0.4,3.51,71.8
1950-04-22,NA,NA,NA,4.6,-1.8,4.07,57.8
1950-04-23,NA,NA,NA,6.3,2.3,5.43,43.5
1950-04-24,NA,NA,NA,4.6,-2.0,4.90,79.3
1950-04-25,NA,NA,NA,5.1,1.5,7.40,82.1
1950-04-26,NA,NA,NA,7.4,2.7,6.55,68.8
1950-04-27,NA,NA,NA,3.9,1.1,3.49,73.8
1950-04-28,NA,NA,NA,3.7,-0.7,3.75,89.8
1950-04-29,NA,NA,NA,4.0,-0.7,2.82,61.7
1950-04-30,NA,NA,NA,4.6,-0.6,7.00,79.6
1950-05-01,NA,NA,NA,7.6,4.6,4.54,85.0
1950-05-02,NA,NA,NA,7.3,0.3,2.75,66.3
1950-05-03,NA,NA,NA,9.1,0.7,3.27,39.3
1950-05-04,NA,NA,NA,10.5,5.2,3.86,69.4
1950-05-05,NA,NA,NA,11.7,8.2,4.13,75.2
1950-05-06,NA,NA,NA,18.2,8.1,14.00,55.6
1950-05-07,NA,NA,NA,6.7,0.9,8.11,66.0
1950-05-08,NA,NA,NA,6.4,-0.3,3.72,42.3
1950-05-09,NA,NA,NA,8.2,3.8,3.80,66.4
1950-05-10,NA,NA,NA,12.4,7.0,8.19,66.0
1950-05-11,NA,NA,NA,9.3,3.8,4.64,56.4
1950-05-12,NA,NA,NA,14.1,5.2,5.01,53.0
1950-05-13,NA,NA,NA,12.2,6.2,6.70,55.4
1950-05-14,NA,NA,NA,10.1,3.4,3.30,56.5
1950-05-15,NA,NA,NA,13.2,6.5,3.29,73.9
1950-05-16,NA,NA,NA,12.5,3.7,5.18,47.3
1950-05-17,NA,NA,NA,13.3,7.0,4.03,80.9
1950-05-18,NA,NA,NA,12.3,9.8,3.45,71.5
1950-05-19,NA,NA,NA,10.5,8.8,3.50,75.0
1950-05-20,NA,NA,NA,12.2,7.4,2.29,34.8
1950-05-21,NA,NA,NA,16.4,7.0,2.77,31.4
1950-05-22,NA,NA,NA,15.7,10.1,2.68,68.5
1950-05-23,NA,NA,NA,15.2,13.3,2.95,54.4
1950-05-24,NA,NA,NA,15.4,10.8,2.09,25.0
1950-05-25,NA,NA,NA,17.4,12.3,3.59,35.0
1950-05-26,NA,NA,NA,17.5,14.2,2.78,54.2
1950-05-27,NA,NA,NA,14.6,10.9,3.91,66.7
1950-05-28,NA,NA,NA,12.4,9.2,2.22,92.9
1950-05-29,NA,NA,NA,12.9,8.1,1.93,82.1
1950-05-30,NA,NA,NA,14.1,7.6,2.14,41.0
1950-05-31,NA,NA,NA,14.4,12.1,2.64,76.5
1950-06-01,NA,NA,NA,16.7,9.7,4.49,58.4
1950-06-02,NA,NA,NA,16.2,11.6,4.11,72.9
1950-06-03,NA,NA,NA,14.2,11.1,3.74,81.2
1950-06-04,NA,NA,NA,13.1,5.6,6.82,21.2
1950-06-05,NA,NA,NA,16.4,10.6,3.68,63.3
1950-06-06,NA,NA,NA,22.0,15.9,6.83,49.8
1950-06-07,NA,NA,NA,23.6,14.1,4.52,21.9
1950-06-08,NA,NA,NA,24.5,15.5,3.51,56.4
1950-06-09,NA,NA,NA,23.9,18.2,5.44,47.1
1950-06-10,NA,NA,NA,20.3,15.1,7.15,64.5
1950-06-11,NA,NA,NA,14.2,7.0,5.48,11.0
1950-06-12,NA,NA,NA,16.9,10.8,4.10,42.9
1950-06-13,NA,NA,NA,17.9,14.4,3.59,65.6
1950-06-14,NA,NA,NA,17.9,15.6,2.37,54.2
1950-06-15,NA,NA,NA,18.9,15.2,2.30,26.2
1950-06-16,NA,NA,NA,19.1,16.3,3.63,71.5
1950-06-17,NA,NA,NA,10.0,4.6,7.33,67.2
1950-06-18,NA,NA,NA,11.4,4.9,2.74,65.3
1950-06-19,NA,NA,NA,14.2,7.8,1.75,70.4
1950-06-20,NA,NA,NA,19.6,12.8,5.07,71.1
1950-06-21,NA,NA,NA,16.4,8.1,4.75,54.6
1950-06-22,NA,NA,NA,12.9,10.9,1.37,77.5
1950-06-23,NA,NA,NA,20.2,17.8,2.90,53.1
1950-06-24,NA,NA,NA,24.8,21.1,5.29,54.6
1950-06-25,NA,NA,NA,23.2,14.6,3.32,36.2
1950-06-26,NA,NA,NA,22.5,16.7,4.02,34.5
1950-06-27,NA,NA,NA,16.2,9.4,7.54,49.2
1950-06-28,NA,NA,NA,18.5,10.2,6.27,60.0
1950-06-29,NA,NA,NA,18.0,12.6,4.78,63.3
1950-06-30,NA,NA,NA,16.8,11.0,6.58,40.0
1950-07-01,NA,NA,NA,15.3,8.7,4.21,50.7
1950-07-02,NA,NA,NA,15.9,13.5,3.87,74.4
1950-07-03,NA,NA,NA,18.4,12.9,3.66,51.8
1950-07-04,NA,NA,NA,20.5,15.6,3.74,47.3
1950-07-05,NA,NA,NA,18.5,14.8,3.50,60.2
1950-07-06,NA,NA,NA,17.0,11.0,5.44,29.3
1950-07-07,NA,NA,NA,21.0,11.3,4.92,29.0
1950-07-08,NA,NA,NA,21.9,11.6,3.06,35.0
1950-07-09,NA,NA,NA,23.1,12.3,3.55,38.3
1950-07-10,NA,NA,NA,20.6,14.9,3.53,70.8
1950-07-11,NA,NA,NA,19.7,17.6,2.94,72.7
1950-07-12,NA,NA,NA,23.3,17.0,4.08,46.3
1950-07-13,NA,NA,NA,20.1,15.2,6.30,48.5
1950-07-14,NA,NA,NA,15.2,6.3,4.92,19.3
1950-07-15,NA,NA,NA,18.2,10.3,2.72,29.3
1950-07-16,NA,NA,NA,22.7,16.3,5.47,54.0
1950-07-17,NA,NA,NA,23.8,19.6,6.42,66.9
1950-07-18,NA,NA,NA,20.5,14.4,7.36,49.3
1950-07-19,NA,NA,NA,18.7,13.0,3.25,73.1
1950-07-20,NA,NA,NA,17.6,9.3,4.92,57.8
1950-07-21,NA,NA,NA,18.7,9.8,4.32,39.5
1950-07-22,NA,NA,NA,21.2,13.2,2.76,52.0
1950-07-23,NA,NA,NA,21.5,13.2,3.35,72.5
1950-07-24,NA,NA,NA,19.6,17.6,4.61,61.0
1950-07-25,NA,NA,NA,18.7,12.8,6.75,39.2
1950-07-26,NA,NA,NA,19.7,11.9,3.70,39.5
1950-07-27,NA,NA,NA,22.4,14.8,5.62,38.9
1950-07-28,NA,NA,NA,23.7,15.3,5.35,40.2
1950-07-29,NA,NA,NA,23.2,16.2,6.01,41.6
1950-07-30,NA,NA,NA,21.1,17.6,3.77,53.8
1950-07-31,NA,NA,NA,19.5,18.2,2.37,64.6
1950-08-01,NA,NA,NA,19.3,15.9,5.23,87.9
1950-08-02,NA,NA,NA,20.1,15.9,3.89,39.2
1950-08-03,NA,NA,NA,16.8,13.4,6.30,52.6
1950-08-04,NA,NA,NA,16.6,12.0,5.47,60.7
1950-08-05,NA,NA,NA,19.6,11.1,6.03,46.4
1950-08-06,NA,NA,NA,20.5,10.7,4.34,29.0
1950-08-07,NA,NA,NA,19.7,11.1,2.69,5.0
1950-08-08,NA,NA,NA,21.0,12.4,2.84,43.9
1950-08-09,NA,NA,NA,21.4,15.1,3.73,60.8
1950-08-10,NA,NA,NA,22.1,14.7,5.45,41.6
1950-08-11,NA,NA,NA,15.6,9.7,4.50,58.3
1950-08-12,NA,NA,NA,16.5,7.3,3.95,22.8
1950-08-13,NA,NA,NA,18.2,7.9,4.45,28.3
1950-08-14,NA,NA,NA,18.7,9.2,3.01,38.6
1950-08-15,NA,NA,NA,18.5,13.1,3.00,47.8
1950-08-16,NA,NA,NA,21.9,15.7,3.32,45.4
1950-08-17,NA,NA,NA,21.6,17.3,3.31,35.8
1950-08-18,NA,NA,NA,17.3,14.2,5.47,79.2
1950-08-19,NA,NA,NA,18.2,14.6,4.07,80.3
1950-08-20,NA,NA,NA,15.0,8.4,5.39,56.9
1950-08-21,NA,NA,NA,14.5,6.0,4.54,39.4
1950-08-22,NA,NA,NA,17.9,10.6,3.06,47.6
1950-08-23,NA,NA,NA,21.9,12.1,5.76,53.2
1950-08-24,NA,NA,NA,21.5,13.6,3.39,37.8
1950-08-25,NA,NA,NA,21.6,15.8,4.24,61.1
1950-08-26,NA,NA,NA,18.4,16.6,2.31,86.7
1950-08-27,NA,NA,NA,23.0,18.6,3.39,61.6
1950-08-28,NA,NA,NA,23.3,19.6,3.10,57.9
1950-08-29,NA,NA,NA,18.6,17.3,2.03,86.7
1950-08-30,NA,NA,NA,16.1,14.2,2.14,80.0
1950-08-31,NA,NA,NA,19.3,18.0,0.96,79.8
1950-09-01,NA,NA,NA,19.6,15.5,3.32,57.7
1950-09-02,NA,NA,NA,15.3,9.8,2.19,56.7
1950-09-03,NA,NA,NA,15.2,10.7,2.33,46.7
1950-09-04,NA,NA,NA,13.5,9.0,5.38,75.2
1950-09-05,NA,NA,NA,13.0,7.8,3.52,31.0
1950-09-06,NA,NA,NA,15.9,8.9,3.26,NA
1950-09-07,NA,NA,NA,16.9,9.9,2.89,71.9
1950-09-08,NA,NA,NA,17.6,11.6,3.08,54.2
1950-09-09,NA,NA,NA,18.7,13.5,3.18,60.8
1950-09-10,NA,NA,NA,17.7,15.8,4.76,86.5
