Daily data for a single station.
StationID:,716330-99999
StationName:,"WIARTON A"
Lat&Long:,44.750,-81.100
Elevation:,-999.900
Starts(YMD):,1950-01-01
Ends(YMD):,2024-10-21
Date,AirTempMax,AirTempMin,Precipitation,AirTemp,Dewpoint,WindSpeed,CloudCover
YYYY-MM-DD,Celsius,Celsius,Millimeters,Celsius,Celsius,MetersPerSecond,Percent
1950-01-01,NA,NA,NA,3.2,2.5,3.92,97.6
1950-01-02,NA,NA,NA,4.8,4.8,3.02,95.8
1950-01-03,NA,NA,NA,10.3,9.5,6.49,82.6
1950-01-04,NA,NA,NA,4.3,3.4,7.97,87.4
1950-01-05,NA,NA,NA,-5.1,-6.0,3.04,94.0
1950-01-06,NA,NA,NA,-2.9,-4.8,3.66,97.9
1950-01-07,NA,NA,NA,-6.3,-7.5,4.40,70.0
1950-01-08,NA,NA,NA,-11.8,-13.1,6.78,60.9
1950-01-09,NA,NA,NA,0.6,-1.6,5.66,59.6
1950-01-10,NA,NA,NA,3.4,1.2,10.29,91.3
1950-01-11,NA,NA,NA,-7.5,-9.7,7.20,70.9
1950-01-12,NA,NA,NA,-2.9,-6.1,4.13,44.3
1950-01-13,NA,NA,NA,5.5,4.5,7.10,93.9
1950-01-14,NA,NA,NA,0.0,-1.5,11.85,87.1
1950-01-15,NA,NA,NA,-0.6,-2.1,7.65,84.3
1950-01-16,NA,NA,NA,-6.5,-9.3,13.67,82.1
1950-01-17,NA,NA,NA,-5.6,-9.0,6.82,88.3
1950-01-18,NA,NA,NA,-6.9,-8.5,9.64,79.5
1950-01-19,NA,NA,NA,-10.5,-11.8,6.13,79.2
1950-01-20,NA,NA,NA,-11.6,-12.3,4.91,85.0
1950-01-21,NA,NA,NA,-4.5,-4.8,5.76,93.2
1950-01-22,NA,NA,NA,0.5,-0.0,3.80,95.5
1950-01-23,NA,NA,NA,-4.2,-4.3,4.47,100.0
1950-01-24,NA,NA,NA,-2.8,-3.0,7.79,96.2
1950-01-25,NA,NA,NA,9.4,8.2,8.92,88.4
1950-01-26,NA,NA,NA,1.3,-0.5,9.31,99.0
1950-01-27,NA,NA,NA,-8.5,-10.3,3.42,91.9
1950-01-28,NA,NA,NA,-2.2,-5.5,7.11,65.0
1950-01-29,NA,NA,NA,0.5,-1.3,9.35,90.4
1950-01-30,NA,NA,NA,-10.2,-13.0,5.02,86.5
1950-01-31,NA,NA,NA,-8.4,-9.5,4.12,84.4
1950-02-01,NA,NA,NA,-5.1,-7.0,4.40,89.3
1950-02-02,NA,NA,NA,-5.4,-7.7,5.03,91.0
1950-02-03,NA,NA,NA,-4.3,-7.5,7.60,88.1
1950-02-04,NA,NA,NA,-2.7,-5.7,7.30,65.5
1950-02-05,NA,NA,NA,-3.4,-5.1,4.22,94.3
1950-02-06,NA,NA,NA,-0.8,-2.7,4.32,94.3
1950-02-07,NA,NA,NA,-9.8,-11.6,5.43,73.5
1950-02-08,NA,NA,NA,-4.6,-8.2,4.25,77.7
1950-02-09,NA,NA,NA,-1.9,-2.7,3.99,78.8
1950-02-10,NA,NA,NA,-2.3,-4.0,5.53,99.5
1950-02-11,NA,NA,NA,-0.5,-1.6,5.97,91.8
1950-02-12,NA,NA,NA,-5.2,-6.6,3.24,70.0
1950-02-13,NA,NA,NA,-5.0,-7.1,8.76,82.5
1950-02-14,NA,NA,NA,-2.2,-2.5,13.54,83.8
1950-02-15,NA,NA,NA,0.6,0.2,8.66,90.5
1950-02-16,NA,NA,NA,-2.2,-2.4,2.06,84.7
1950-02-17,NA,NA,NA,-1.8,-2.5,3.29,95.6
1950-02-18,NA,NA,NA,-0.8,-2.3,5.00,96.6
1950-02-19,NA,NA,NA,-11.8,-12.0,6.68,86.4
1950-02-20,NA,NA,NA,-18.7,-19.1,3.75,61.9
1950-02-21,NA,NA,NA,-14.7,-15.2,5.67,74.7
1950-02-22,NA,NA,NA,-10.6,-11.2,6.60,85.3
1950-02-23,NA,NA,NA,-7.6,-8.4,6.47,69.3
1950-02-24,NA,NA,NA,-7.6,-9.1,7.08,72.1
1950-02-25,NA,NA,NA,-12.6,-13.8,4.83,96.7
1950-02-26,NA,NA,NA,-13.8,-15.2,4.30,63.8
1950-02-27,NA,NA,NA,-12.1,-13.8,3.12,68.2
1950-02-28,NA,NA,NA,-2.5,-3.6,8.99,87.8
1950-03-01,NA,NA,NA,-8.6,-9.6,9.24,90.6
1950-03-02,NA,NA,NA,-15.9,-16.5,6.14,82.3
1950-03-03,NA,NA,NA,-16.3,-17.3,2.54,31.5
1950-03-04,NA,NA,NA,-10.2,-11.4,8.90,76.0
1950-03-05,NA,NA,NA,1.9,-2.2,11.66,71.1
1950-03-06,NA,NA,NA,-9.2,-11.9,4.17,75.6
1950-03-07,NA,NA,NA,0.9,-4.7,7.30,69.6
1950-03-08,NA,NA,NA,0.1,-1.7,12.70,92.9
1950-03-09,NA,NA,NA,-12.0,-13.8,8.84,63.8
1950-03-10,NA,NA,NA,-8.4,-10.8,3.90,44.8
1950-03-11,NA,NA,NA,-3.7,-4.4,3.40,96.9
1950-03-12,NA,NA,NA,-7.5,-9.9,3.53,59.7
1950-03-13,NA,NA,NA,-5.6,-7.4,3.11,83.9
1950-03-14,NA,NA,NA,-5.7,-7.7,6.10,71.5
1950-03-15,NA,NA,NA,-5.3,-8.1,7.60,64.3
1950-03-16,NA,NA,NA,-8.8,-11.3,1.36,65.0
1950-03-17,NA,NA,NA,-9.1,-9.6,6.97,95.8
1950-03-18,NA,NA,NA,-9.7,-11.7,5.24,49.2
1950-03-19,NA,NA,NA,-9.0,-10.6,0.83,56.5
1950-03-20,NA,NA,NA,-1.6,-4.3,4.76,84.3
1950-03-21,NA,NA,NA,1.4,-2.6,5.78,71.0
1950-03-22,NA,NA,NA,2.4,1.7,3.88,100.0
1950-03-23,NA,NA,NA,1.9,0.8,3.51,98.5
1950-03-24,NA,NA,NA,2.3,-0.2,2.27,99.0
1950-03-25,NA,NA,NA,-0.2,-2.4,2.77,30.0
1950-03-26,NA,NA,NA,0.1,-2.3,5.35,84.8
1950-03-27,NA,NA,NA,4.1,3.4,4.15,93.3
1950-03-28,NA,NA,NA,4.0,2.3,9.18,80.0
1950-03-29,NA,NA,NA,-5.3,-6.4,4.76,79.6
1950-03-30,NA,NA,NA,-4.0,-6.9,3.85,76.5
1950-03-31,NA,NA,NA,0.4,-3.1,4.20,76.9
1950-04-01,NA,NA,NA,1.5,0.6,8.56,98.1
1950-04-02,NA,NA,NA,0.5,0.3,6.10,93.5
1950-04-03,NA,NA,NA,3.1,3.0,2.87,100.0
1950-04-04,NA,NA,NA,2.6,2.5,6.55,100.0
1950-04-05,NA,NA,NA,-2.2,-3.6,7.49,80.5
1950-04-06,NA,NA,NA,-5.9,-7.9,4.10,27.5
1950-04-07,NA,NA,NA,0.3,-4.0,5.44,84.2
1950-04-08,NA,NA,NA,-6.4,-8.1,7.70,81.2
1950-04-09,NA,NA,NA,-4.8,-8.0,4.74,38.3
1950-04-10,NA,NA,NA,1.8,-3.5,6.37,83.5
1950-04-11,NA,NA,NA,4.1,1.2,12.17,97.9
1950-04-12,NA,NA,NA,-5.6,-7.0,7.87,86.4
1950-04-13,NA,NA,NA,-8.8,-10.5,3.38,55.7
1950-04-14,NA,NA,NA,-4.7,-6.4,3.15,68.2
1950-04-15,NA,NA,NA,-0.8,-3.6,2.88,34.0
1950-04-16,NA,NA,NA,5.3,-0.6,5.52,77.1
1950-04-17,NA,NA,NA,9.2,3.2,5.88,67.6
1950-04-18,NA,NA,NA,9.5,2.5,3.33,69.7
1950-04-19,NA,NA,NA,7.6,5.1,5.36,80.0
1950-04-20,NA,NA,NA,2.7,0.2,4.36,71.1
1950-04-21,NA,NA,NA,0.9,-2.1,4.35,67.1
1950-04-22,NA,NA,NA,3.4,0.2,3.50,69.1
1950-04-23,NA,NA,NA,3.7,2.0,3.25,63.2
1950-04-24,NA,NA,NA,4.8,-2.4,5.28,75.9
1950-04-25,NA,NA,NA,3.6,1.1,6.71,79.3
1950-04-26,NA,NA,NA,4.2,0.5,7.21,74.3
1950-04-27,NA,NA,NA,1.9,-0.9,4.78,78.6
1950-04-28,NA,NA,NA,1.4,-1.2,4.04,73.2
1950-04-29,NA,NA,NA,2.0,-1.6,2.12,32.0
1950-04-30,NA,NA,NA,5.8,-0.2,5.75,73.1
1950-05-01,NA,NA,NA,4.7,2.5,3.52,96.9
1950-05-02,NA,NA,NA,4.4,-0.6,3.36,58.9
1950-05-03,NA,NA,NA,6.6,0.8,2.67,80.5
1950-05-04,NA,NA,NA,7.0,4.5,3.50,90.8
1950-05-05,NA,NA,NA,17.9,12.2,8.16,80.7
1950-05-06,NA,NA,NA,13.7,6.3,12.80,67.8
1950-05-07,NA,NA,NA,3.7,-0.0,5.50,79.6
1950-05-08,NA,NA,NA,4.0,-0.7,2.59,38.2
1950-05-09,NA,NA,NA,10.2,7.0,6.35,73.3
1950-05-10,NA,NA,NA,7.9,3.9,7.70,65.0
1950-05-11,NA,NA,NA,7.7,3.2,4.62,24.4
1950-05-12,NA,NA,NA,12.9,6.8,6.99,42.1
1950-05-13,NA,NA,NA,8.3,6.1,3.21,74.8
1950-05-14,NA,NA,NA,13.1,8.6,7.30,50.0
1950-05-15,NA,NA,NA,11.8,7.4,2.37,50.3
1950-05-16,NA,NA,NA,8.7,3.0,4.43,58.5
1950-05-17,NA,NA,NA,8.4,5.6,4.22,86.9
1950-05-18,NA,NA,NA,10.2,7.5,3.55,91.1
1950-05-19,NA,NA,NA,11.7,8.6,4.01,72.7
1950-05-20,NA,NA,NA,11.7,9.0,2.50,31.9
1950-05-21,NA,NA,NA,13.7,8.0,3.10,NA
1950-05-22,NA,NA,NA,15.3,10.4,2.30,75.5
1950-05-23,NA,NA,NA,14.2,11.9,1.60,49.4
1950-05-24,NA,NA,NA,15.8,11.6,2.31,27.9
1950-05-25,NA,NA,NA,18.2,13.5,2.22,52.7
1950-05-26,NA,NA,NA,12.5,10.0,2.55,93.0
1950-05-27,NA,NA,NA,8.0,5.8,4.98,90.6
1950-05-28,NA,NA,NA,9.9,7.1,1.77,88.1
1950-05-29,NA,NA,NA,11.0,7.9,1.77,48.6
1950-05-30,NA,NA,NA,13.7,8.6,1.55,50.4
1950-05-31,NA,NA,NA,15.4,11.9,3.80,84.2
1950-06-01,NA,NA,NA,14.7,7.8,4.24,36.8
1950-06-02,NA,NA,NA,16.2,9.7,7.61,80.5
1950-06-03,NA,NA,NA,10.6,7.1,4.87,75.7
1950-06-04,NA,NA,NA,10.5,4.3,5.73,5.0
1950-06-05,NA,NA,NA,15.0,8.4,4.97,49.8
1950-06-06,NA,NA,NA,18.9,13.3,5.85,60.6
1950-06-07,NA,NA,NA,22.8,15.9,6.83,40.8
1950-06-08,NA,NA,NA,23.6,17.1,5.10,28.1
1950-06-09,NA,NA,NA,24.2,18.2,6.82,51.6
1950-06-10,NA,NA,NA,17.1,12.7,7.41,62.3
1950-06-11,NA,NA,NA,11.4,5.1,3.56,37.8
1950-06-12,NA,NA,NA,16.7,10.4,3.72,66.4
1950-06-13,NA,NA,NA,17.7,13.7,5.81,68.9
1950-06-14,NA,NA,NA,15.7,13.5,1.46,77.1
1950-06-15,NA,NA,NA,16.0,12.9,1.41,45.0
1950-06-16,NA,NA,NA,18.0,15.5,5.36,89.4
1950-06-17,NA,NA,NA,7.7,3.3,4.87,49.1
1950-06-18,NA,NA,NA,9.9,3.7,1.90,67.6
1950-06-19,NA,NA,NA,13.2,8.3,3.46,84.7
1950-06-20,NA,NA,NA,17.4,12.3,6.33,75.0
1950-06-21,NA,NA,NA,11.5,6.8,3.77,71.5
1950-06-22,NA,NA,NA,19.1,13.5,5.15,70.0
1950-06-23,NA,NA,NA,24.3,20.2,6.98,60.5
1950-06-24,NA,NA,NA,19.7,18.2,4.14,64.3
1950-06-25,NA,NA,NA,19.3,13.1,2.15,43.2
1950-06-26,NA,NA,NA,20.7,15.8,6.82,70.0
1950-06-27,NA,NA,NA,12.7,9.1,6.19,68.8
1950-06-28,NA,NA,NA,16.5,12.4,5.84,63.5
1950-06-29,NA,NA,NA,14.6,10.3,3.58,30.5
1950-06-30,NA,NA,NA,13.3,10.7,4.85,68.0
1950-07-01,NA,NA,NA,13.2,8.2,4.23,42.8
1950-07-02,NA,NA,NA,15.1,12.5,4.65,84.8
1950-07-03,NA,NA,NA,13.9,12.3,1.58,87.6
1950-07-04,NA,NA,NA,15.5,13.9,1.83,80.4
1950-07-05,NA,NA,NA,14.5,12.7,1.85,75.8
1950-07-06,NA,NA,NA,12.5,10.9,4.33,50.5
1950-07-07,NA,NA,NA,15.8,12.2,3.31,20.7
1950-07-08,NA,NA,NA,19.1,13.3,2.62,NA
