Daily data for a single station.
StationID:,717334-99999
StationName:,"ELLIOT LAKE MUNI"
Lat&Long:,46.351,-82.560
Elevation:,-999.900
Starts(YMD):,1978-01-11
Ends(YMD):,2012-04-02
Date,AirTempMax,AirTempMin,Precipitation,AirTemp,Dewpoint,WindSpeed,CloudCover
YYYY-MM-DD,Celsius,Celsius,Millimeters,Celsius,Celsius,MetersPerSecond,Percent
1978-01-11,NA,NA,NA,-8.1,-9.8,3.68,79.3
1978-01-12,NA,NA,NA,-14.6,-16.6,0.78,67.6
1978-01-13,NA,NA,NA,-12.8,-18.3,1.61,86.7
1978-01-14,NA,NA,NA,-19.4,-23.2,4.29,43.0
1978-01-15,NA,NA,NA,-17.7,-22.4,2.40,53.8
1978-01-16,NA,NA,NA,-14.7,-22.1,1.00,48.8
1978-01-17,NA,NA,NA,-15.5,-23.2,1.25,43.0
1978-01-18,NA,NA,NA,-12.2,-20.6,0.88,67.1
1978-01-19,NA,NA,NA,-11.3,-17.2,1.15,43.0
1978-01-20,NA,NA,NA,-14.7,-21.5,4.85,75.1
1978-01-21,NA,NA,NA,-9.2,-17.3,0.58,63.2
1978-01-22,NA,NA,NA,-10.1,-12.6,3.09,64.5
1978-01-23,NA,NA,NA,-5.2,-6.5,1.82,100.0
1978-01-24,NA,NA,NA,-2.5,-3.4,2.63,100.0
1978-01-25,NA,NA,NA,-5.1,-7.4,1.69,83.2
1978-01-26,NA,NA,NA,-4.5,-5.5,9.70,NA
1978-01-27,NA,NA,NA,-12.2,-15.5,2.84,58.6
1978-01-28,NA,NA,NA,-15.5,-18.7,2.89,59.5
1978-01-29,NA,NA,NA,-13.1,-17.5,1.39,81.9
1978-01-30,NA,NA,NA,-16.3,-18.8,0.37,70.2
1978-01-31,NA,NA,NA,-9.8,-13.4,2.13,79.3
1978-02-01,NA,NA,NA,-13.9,-17.7,0.33,61.2
1978-02-02,NA,NA,NA,-14.4,-17.4,1.03,72.2
1978-02-03,NA,NA,NA,-18.4,-23.5,0.72,NA
1978-02-04,NA,NA,NA,-18.0,-21.2,2.10,67.5
1978-02-05,NA,NA,NA,-14.0,-16.2,3.32,84.9
1978-02-06,NA,NA,NA,-18.4,-22.0,4.69,53.9
1978-02-07,NA,NA,NA,-12.6,-16.7,4.63,51.7
1978-02-08,NA,NA,NA,-9.9,-17.9,2.79,43.0
1978-02-09,NA,NA,NA,-9.6,-16.1,1.63,56.0
1978-02-10,NA,NA,NA,-8.9,-11.8,1.04,73.8
1978-02-11,NA,NA,NA,-9.1,-14.0,3.04,43.0
1978-02-12,NA,NA,NA,-6.3,-10.7,2.57,70.0
1978-02-13,NA,NA,NA,-11.5,-17.5,2.39,51.7
1978-02-14,NA,NA,NA,-14.5,-18.2,1.06,51.7
1978-02-15,NA,NA,NA,-8.1,-10.1,2.70,88.5
1978-02-16,NA,NA,NA,-6.5,-8.6,1.75,84.5
1978-02-17,NA,NA,NA,-8.7,-12.0,2.50,68.2
1978-02-18,NA,NA,NA,-11.8,-17.6,2.63,48.8
1978-02-19,NA,NA,NA,-12.9,-17.4,1.34,56.0
1978-02-20,NA,NA,NA,-10.8,-13.3,0.58,69.0
1978-02-21,NA,NA,NA,-11.8,-16.9,1.37,62.4
1978-02-22,NA,NA,NA,-8.3,-12.7,1.90,57.4
1978-02-23,NA,NA,NA,-9.1,-11.3,1.50,84.9
1978-02-24,NA,NA,NA,-5.1,-8.2,0.12,92.8
1978-02-25,NA,NA,NA,-6.8,-9.8,1.43,78.3
1978-02-26,NA,NA,NA,-11.1,-14.9,3.45,66.6
1978-02-27,NA,NA,NA,-9.7,-13.4,0.75,72.2
1978-02-28,NA,NA,NA,-9.2,-11.5,0.23,72.3
1978-03-01,NA,NA,NA,-10.5,-17.0,2.34,53.4
1978-03-02,NA,NA,NA,-9.0,-14.5,2.26,43.0
1978-03-03,NA,NA,NA,-8.5,-11.7,1.35,85.1
1978-03-04,NA,NA,NA,-15.7,-21.9,2.18,60.3
1978-03-05,NA,NA,NA,-10.4,-16.1,1.97,63.4
1978-03-06,NA,NA,NA,-8.1,-14.7,0.97,43.0
1978-03-07,NA,NA,NA,-7.9,-16.1,2.36,43.0
1978-03-08,NA,NA,NA,-7.5,-12.5,2.03,43.0
1978-03-09,NA,NA,NA,-3.5,-8.7,2.65,67.1
1978-03-10,NA,NA,NA,-3.8,-8.6,1.33,79.0
1978-03-11,NA,NA,NA,-0.6,-2.7,1.97,88.5
1978-03-12,NA,NA,NA,-1.6,-8.2,1.83,43.0
1978-03-13,NA,NA,NA,-1.3,-3.8,2.09,78.6
1978-03-14,NA,NA,NA,-2.3,-4.9,4.19,81.2
1978-03-15,NA,NA,NA,-8.1,-18.3,1.12,54.8
1978-03-16,NA,NA,NA,-8.4,-15.3,1.37,60.3
1978-03-17,NA,NA,NA,-6.5,-13.9,2.32,57.4
1978-03-18,NA,NA,NA,-6.9,-10.1,3.57,79.3
1978-03-19,NA,NA,NA,-4.1,-10.8,6.16,67.1
1978-03-20,NA,NA,NA,-6.0,-10.2,2.95,83.2
1978-03-21,NA,NA,NA,-1.6,-5.4,1.54,87.1
1978-03-22,NA,NA,NA,-2.9,-4.1,1.11,79.3
1978-03-23,NA,NA,NA,-2.0,-6.4,4.64,65.8
1978-03-24,NA,NA,NA,-10.6,-19.5,1.89,43.0
1978-03-25,NA,NA,NA,-3.9,-14.2,1.00,63.0
1978-03-26,NA,NA,NA,0.4,-7.8,4.08,70.1
1978-03-27,NA,NA,NA,2.1,-4.3,1.24,43.0
1978-03-28,NA,NA,NA,2.1,-3.5,4.26,71.6
1978-03-29,NA,NA,NA,-1.1,-8.1,2.67,51.7
1978-03-30,NA,NA,NA,-1.2,-5.6,2.61,80.4
1978-03-31,NA,NA,NA,1.4,-1.6,4.26,100.0
1978-04-01,NA,NA,NA,-0.2,-3.3,4.69,90.5
