Daily data for a single station.
StationID:,717380-99999
StationName:,"WAWA"
Lat&Long:,47.967,-84.780
Elevation:,-999.900
Starts(YMD):,1977-07-01
Ends(YMD):,2024-10-21
Date,AirTempMax,AirTempMin,Precipitation,AirTemp,Dewpoint,WindSpeed,CloudCover
YYYY-MM-DD,Celsius,Celsius,Millimeters,Celsius,Celsius,MetersPerSecond,Percent
1977-07-01,NA,NA,NA,7.8,7.6,2.54,93.7
1977-07-02,NA,NA,NA,10.1,6.2,2.04,55.8
1977-07-03,NA,NA,NA,11.8,9.6,1.17,87.8
1977-07-04,NA,NA,NA,15.7,15.0,1.02,76.0
1977-07-05,NA,NA,NA,18.5,15.4,1.04,80.9
1977-07-06,NA,NA,NA,17.7,16.2,1.62,100.0
1977-07-07,NA,NA,NA,16.0,15.3,0.82,100.0
1977-07-08,NA,NA,NA,10.9,10.3,1.21,69.0
1977-07-09,NA,NA,NA,13.4,6.8,1.28,73.0
1977-07-10,NA,NA,NA,12.4,6.4,1.09,44.7
1977-07-11,NA,NA,NA,16.5,10.2,2.03,84.1
1977-07-12,NA,NA,NA,18.2,14.4,2.74,85.7
1977-07-13,NA,NA,NA,11.7,9.4,1.84,82.4
1977-07-14,NA,NA,NA,10.9,10.3,0.81,79.3
1977-07-15,NA,NA,NA,17.1,12.1,2.13,50.4
1977-07-16,NA,NA,NA,14.0,11.1,0.76,61.0
1977-07-17,NA,NA,NA,16.2,14.4,1.22,62.7
1977-07-18,NA,NA,NA,17.5,14.9,1.70,79.9
1977-07-19,NA,NA,NA,20.0,18.4,1.43,73.7
1977-07-20,NA,NA,NA,18.5,16.8,1.69,75.6
1977-07-21,NA,NA,NA,15.7,8.3,1.77,43.0
1977-07-22,NA,NA,NA,13.5,9.1,1.52,43.0
1977-07-23,NA,NA,NA,15.4,11.2,2.25,60.4
1977-07-24,NA,NA,NA,17.8,14.5,0.75,84.5
1977-07-25,NA,NA,NA,15.4,7.2,2.82,62.5
1977-07-26,NA,NA,NA,12.6,6.0,1.84,46.2
1977-07-27,NA,NA,NA,13.5,9.5,2.08,58.6
1977-07-28,NA,NA,NA,14.5,12.0,1.11,91.8
1977-07-29,NA,NA,NA,14.0,13.2,1.37,94.8
1977-07-30,NA,NA,NA,13.2,9.1,1.91,64.9
1977-07-31,NA,NA,NA,14.7,13.5,3.49,88.5
1977-08-01,NA,NA,NA,12.6,9.8,1.37,54.8
1977-08-02,NA,NA,NA,9.6,5.5,1.35,50.2
1977-08-03,NA,NA,NA,11.4,8.5,0.93,71.4
1977-08-04,NA,NA,NA,13.7,11.4,1.09,68.0
1977-08-05,NA,NA,NA,14.2,13.6,2.86,81.9
1977-08-06,NA,NA,NA,12.8,10.4,1.97,65.1
1977-08-07,NA,NA,NA,13.6,11.0,1.47,77.3
1977-08-08,NA,NA,NA,14.1,12.2,1.32,69.3
1977-08-09,NA,NA,NA,13.8,10.4,1.76,56.4
1977-08-10,NA,NA,NA,13.3,10.6,0.82,88.4
1977-08-11,NA,NA,NA,13.1,9.9,3.85,70.7
1977-08-12,NA,NA,NA,13.6,9.2,3.61,65.8
1977-08-13,NA,NA,NA,12.1,10.2,3.37,84.1
1977-08-14,NA,NA,NA,11.6,7.2,3.70,43.0
1977-08-15,NA,NA,NA,11.0,7.6,1.29,79.3
1977-08-16,NA,NA,NA,12.4,11.2,0.74,96.4
1977-08-17,NA,NA,NA,10.9,9.6,1.92,80.8
1977-08-18,NA,NA,NA,8.9,6.2,2.71,64.7
1977-08-19,NA,NA,NA,8.4,4.3,1.58,53.8
1977-08-20,NA,NA,NA,10.1,6.0,1.98,77.9
1977-08-21,NA,NA,NA,12.5,11.4,3.14,92.7
1977-08-22,NA,NA,NA,10.5,8.3,1.06,65.7
1977-08-23,NA,NA,NA,9.2,5.3,2.95,56.4
1977-08-24,NA,NA,NA,8.8,5.3,2.00,59.5
1977-08-25,NA,NA,NA,9.9,5.9,1.81,50.3
1977-08-26,NA,NA,NA,15.2,13.2,3.61,100.0
1977-08-27,NA,NA,NA,20.7,18.9,3.73,89.1
1977-08-28,NA,NA,NA,20.2,18.1,5.21,77.9
1977-08-29,NA,NA,NA,14.3,10.5,2.16,65.9
1977-08-30,NA,NA,NA,13.9,9.2,1.38,62.1
1977-08-31,NA,NA,NA,16.4,15.6,3.32,98.7
1977-09-01,NA,NA,NA,15.3,12.7,3.31,75.3
1977-09-02,NA,NA,NA,13.5,10.9,2.03,81.9
1977-09-03,NA,NA,NA,11.1,6.8,1.95,50.4
1977-09-04,NA,NA,NA,11.1,10.2,1.53,100.0
1977-09-05,NA,NA,NA,11.9,8.2,2.19,90.9
1977-09-06,NA,NA,NA,11.5,7.4,1.56,81.9
1977-09-07,NA,NA,NA,10.6,5.0,1.76,56.0
1977-09-08,NA,NA,NA,8.8,7.4,1.83,97.9
1977-09-09,NA,NA,NA,14.9,12.8,6.63,96.6
1977-09-10,NA,NA,NA,10.0,7.4,3.28,91.9
1977-09-11,NA,NA,NA,8.1,4.8,1.35,69.8
1977-09-12,NA,NA,NA,10.2,8.1,1.16,63.4
1977-09-13,NA,NA,NA,9.3,7.1,1.26,77.3
1977-09-14,NA,NA,NA,9.5,5.9,1.35,43.0
1977-09-15,NA,NA,NA,11.1,7.4,1.28,67.4
1977-09-16,NA,NA,NA,11.1,8.1,0.71,87.1
1977-09-17,NA,NA,NA,13.2,12.9,0.90,100.0
1977-09-18,NA,NA,NA,13.9,12.3,1.23,94.5
1977-09-19,NA,NA,NA,6.1,4.4,5.71,100.0
1977-09-20,NA,NA,NA,9.2,6.4,3.79,93.1
1977-09-21,NA,NA,NA,10.6,7.2,0.95,82.4
1977-09-22,NA,NA,NA,10.6,8.5,0.36,81.8
1977-09-23,NA,NA,NA,12.4,10.2,0.76,96.1
1977-09-24,NA,NA,NA,11.8,4.8,3.38,77.2
1977-09-25,NA,NA,NA,13.9,10.8,3.89,97.9
1977-09-26,NA,NA,NA,12.8,11.5,1.12,100.0
1977-09-27,NA,NA,NA,11.8,10.7,0.91,100.0
1977-09-28,NA,NA,NA,6.8,3.7,1.25,55.1
1977-09-29,NA,NA,NA,7.8,5.9,0.68,86.3
1977-09-30,NA,NA,NA,9.1,2.0,2.45,71.7
1977-10-01,NA,NA,NA,7.4,0.2,2.89,52.8
1977-10-02,NA,NA,NA,6.5,-1.0,3.11,43.0
1977-10-03,NA,NA,NA,8.3,2.1,1.14,69.8
1977-10-04,NA,NA,NA,7.0,4.6,1.77,47.7
1977-10-05,NA,NA,NA,8.4,5.7,2.95,79.0
1977-10-06,NA,NA,NA,2.7,-2.0,2.90,78.3
1977-10-07,NA,NA,NA,2.2,-4.0,0.86,71.8
1977-10-08,NA,NA,NA,2.1,1.0,3.46,100.0
1977-10-09,NA,NA,NA,2.6,1.4,2.22,100.0
1977-10-10,NA,NA,NA,6.3,3.4,2.26,65.1
1977-10-11,NA,NA,NA,6.7,4.9,2.83,98.1
1977-10-12,NA,NA,NA,1.8,-1.7,2.17,81.4
1977-10-13,NA,NA,NA,2.6,-1.6,2.34,48.8
1977-10-14,NA,NA,NA,8.2,5.1,2.03,79.3
1977-10-15,NA,NA,NA,4.0,-0.3,2.89,64.8
1977-10-16,NA,NA,NA,-1.5,-5.5,0.87,62.3
1977-10-17,NA,NA,NA,2.6,-3.5,1.78,60.3
1977-10-18,NA,NA,NA,6.0,2.0,1.23,82.4
1977-10-19,NA,NA,NA,5.6,1.6,1.72,72.6
1977-10-20,NA,NA,NA,7.9,3.1,2.31,63.2
1977-10-21,NA,NA,NA,8.4,6.7,0.68,75.4
1977-10-22,NA,NA,NA,1.0,-4.2,1.39,54.6
1977-10-23,NA,NA,NA,1.9,-2.1,1.47,62.3
1977-10-24,NA,NA,NA,2.8,1.1,0.50,88.4
1977-10-25,NA,NA,NA,10.6,9.5,3.33,100.0
1977-10-26,NA,NA,NA,10.1,6.2,6.01,76.4
1977-10-27,NA,NA,NA,6.8,5.6,1.17,97.9
1977-10-28,NA,NA,NA,6.7,5.1,0.55,60.1
1977-10-29,NA,NA,NA,3.6,3.0,0.44,100.0
1977-10-30,NA,NA,NA,5.6,2.6,1.45,73.8
1977-10-31,NA,NA,NA,8.8,1.6,3.02,67.2
1977-11-01,NA,NA,NA,10.7,9.3,2.30,98.2
1977-11-02,NA,NA,NA,8.5,8.1,0.44,100.0
1977-11-03,NA,NA,NA,10.4,10.0,1.91,100.0
1977-11-04,NA,NA,NA,3.4,-1.2,0.89,NA
1977-11-05,NA,NA,NA,0.8,-3.8,0.39,51.7
