Daily data for a single station.
StationID:,717490-99999
StationName:,"THUNDER BAY A"
Lat&Long:,48.367,-89.330
Elevation:,-999.900
Starts(YMD):,1955-07-02
Ends(YMD):,2024-10-21
Date,AirTempMax,AirTempMin,Precipitation,AirTemp,Dewpoint,WindSpeed,CloudCover
YYYY-MM-DD,Celsius,Celsius,Millimeters,Celsius,Celsius,MetersPerSecond,Percent
1955-07-02,NA,NA,NA,13.9,NA,3.10,NA
1955-07-03,NA,NA,NA,14.4,NA,2.60,NA
1955-07-04,NA,NA,NA,17.8,NA,2.10,NA
1955-07-05,NA,NA,NA,16.1,NA,2.10,NA
1955-07-06,NA,NA,NA,15.0,NA,1.00,NA
1955-07-07,NA,NA,NA,16.1,NA,3.60,NA
1955-07-08,NA,NA,NA,16.1,NA,2.60,NA
1955-07-09,NA,NA,NA,15.0,NA,10.80,NA
1955-07-10,NA,NA,NA,11.1,NA,1.00,NA
1955-07-11,NA,NA,NA,12.2,NA,1.00,NA
1955-07-12,NA,NA,NA,11.1,NA,0.00,NA
1955-07-13,NA,NA,NA,17.2,NA,2.60,NA
1955-07-14,NA,NA,NA,20.0,NA,0.00,NA
1955-07-15,NA,NA,NA,17.8,NA,3.10,NA
1955-07-16,NA,NA,NA,20.0,NA,0.00,NA
1955-07-17,NA,NA,NA,15.6,NA,2.60,NA
1955-07-18,NA,NA,NA,19.4,NA,1.00,NA
1955-07-19,NA,NA,NA,13.9,NA,2.10,NA
1955-07-20,NA,NA,NA,17.2,NA,2.10,NA
1955-07-21,NA,NA,NA,20.0,NA,0.00,NA
1955-07-22,NA,NA,NA,22.8,NA,6.20,NA
1955-07-23,NA,NA,NA,18.3,NA,2.60,NA
1955-07-24,NA,NA,NA,12.2,NA,2.60,NA
1955-07-25,NA,NA,NA,14.4,NA,0.00,NA
1955-07-26,NA,NA,NA,20.0,NA,2.60,NA
1955-07-27,NA,NA,NA,12.8,NA,2.60,NA
1955-07-28,NA,NA,NA,8.9,NA,1.00,NA
1955-07-29,NA,NA,NA,16.7,NA,0.00,NA
1955-07-30,NA,NA,NA,20.0,NA,2.10,NA
1955-07-31,NA,NA,NA,16.7,NA,0.00,NA
1955-08-01,NA,NA,NA,NA,NA,NA,NA
1955-08-02,NA,NA,NA,15.6,NA,2.60,NA
1955-08-03,NA,NA,NA,19.4,NA,1.50,NA
1955-08-04,NA,NA,NA,20.6,NA,2.60,NA
1955-08-05,NA,NA,NA,15.0,NA,2.60,NA
1955-08-06,NA,NA,NA,12.2,NA,1.50,NA
1955-08-07,NA,NA,NA,10.6,NA,3.10,NA
1955-08-08,NA,NA,NA,9.4,NA,2.10,NA
1955-08-09,NA,NA,NA,12.8,NA,1.00,NA
1955-08-10,NA,NA,NA,14.4,NA,2.60,NA
1955-08-11,NA,NA,NA,11.7,NA,3.10,NA
1955-08-12,NA,NA,NA,9.4,NA,2.60,NA
1955-08-13,NA,NA,NA,13.3,NA,2.10,NA
1955-08-14,NA,NA,NA,10.0,NA,2.60,NA
1955-08-15,NA,NA,NA,15.0,NA,1.00,NA
1955-08-16,NA,NA,NA,17.8,NA,3.10,NA
1955-08-17,NA,NA,NA,18.9,NA,3.10,NA
1955-08-18,NA,NA,NA,17.2,NA,1.00,NA
1955-08-19,NA,NA,NA,18.3,NA,2.10,NA
1955-08-20,NA,NA,NA,19.4,NA,2.10,NA
1955-08-21,NA,NA,NA,16.7,NA,2.10,NA
1955-08-22,NA,NA,NA,10.6,NA,2.10,NA
1955-08-23,NA,NA,NA,10.0,NA,2.10,NA
1955-08-24,NA,NA,NA,11.1,NA,0.00,NA
1955-08-25,NA,NA,NA,13.3,NA,3.60,NA
1955-08-26,NA,NA,NA,12.8,NA,0.00,NA
1955-08-27,NA,NA,NA,17.2,NA,6.20,NA
1955-08-28,NA,NA,NA,18.9,NA,2.10,NA
1955-08-29,NA,NA,NA,17.2,NA,2.60,NA
1955-08-30,NA,NA,NA,13.3,NA,6.20,NA
1955-08-31,NA,NA,NA,10.6,NA,9.80,NA
1955-09-01,NA,NA,NA,NA,NA,NA,NA
1955-09-02,NA,NA,NA,8.3,NA,1.50,NA
1955-09-03,NA,NA,NA,8.9,NA,1.00,NA
1955-09-04,NA,NA,NA,15.6,NA,4.60,NA
1955-09-05,NA,NA,NA,7.8,NA,2.60,NA
1955-09-06,NA,NA,NA,11.7,NA,8.70,NA
1955-09-07,NA,NA,NA,0.6,NA,2.60,NA
1955-09-08,NA,NA,NA,8.3,NA,3.60,NA
1955-09-09,NA,NA,NA,12.8,NA,1.00,NA
1955-09-10,NA,NA,NA,4.4,NA,7.20,NA
1955-09-11,NA,NA,NA,2.2,NA,2.60,NA
