Daily data for a single station.
StationID:,717493-99999
StationName:,"TERRACE BAY"
Lat&Long:,48.813,-87.090
Elevation:,-999.900
Starts(YMD):,1982-08-06
Ends(YMD):,2024-10-21
Date,AirTempMax,AirTempMin,Precipitation,AirTemp,Dewpoint,WindSpeed,CloudCover
YYYY-MM-DD,Celsius,Celsius,Millimeters,Celsius,Celsius,MetersPerSecond,Percent
1982-08-06,NA,NA,NA,17.0,14.0,4.10,100.0
1982-08-07,NA,NA,NA,14.4,13.0,1.56,81.9
1982-08-08,NA,NA,NA,14.5,12.6,3.25,72.4
1982-08-09,NA,NA,NA,9.8,6.8,5.39,100.0
1982-08-10,NA,NA,NA,12.8,4.2,3.57,69.0
1982-08-11,NA,NA,NA,17.7,5.4,2.58,53.4
1982-08-12,NA,NA,NA,18.2,8.7,2.65,43.0
1982-08-13,NA,NA,NA,14.0,7.6,1.76,58.6
1982-08-14,NA,NA,NA,14.2,12.0,2.09,60.9
1982-08-15,NA,NA,NA,11.1,10.8,1.66,100.0
1982-08-16,NA,NA,NA,20.2,11.3,4.02,43.0
1982-08-17,NA,NA,NA,16.8,11.6,3.10,45.9
1982-08-18,NA,NA,NA,16.9,11.5,1.35,67.9
1982-08-19,NA,NA,NA,20.2,14.4,3.74,51.3
1982-08-20,NA,NA,NA,13.6,11.4,1.66,80.8
1982-08-21,NA,NA,NA,13.1,4.8,2.83,46.7
1982-08-22,NA,NA,NA,16.6,12.4,1.85,70.2
1982-08-23,NA,NA,NA,15.7,11.9,2.01,62.9
1982-08-24,NA,NA,NA,11.8,10.9,2.30,73.4
1982-08-25,NA,NA,NA,11.0,9.0,3.49,70.5
1982-08-26,NA,NA,NA,10.1,4.4,3.57,66.9
1982-08-27,NA,NA,NA,9.3,-0.7,5.51,43.0
1982-08-28,NA,NA,NA,8.7,2.6,4.40,43.0
1982-08-29,NA,NA,NA,8.4,7.0,2.71,100.0
1982-08-30,NA,NA,NA,13.3,7.3,3.83,61.2
1982-08-31,NA,NA,NA,9.9,5.9,1.78,84.5
1982-09-01,NA,NA,NA,9.9,9.9,2.11,100.0
1982-09-02,NA,NA,NA,13.8,10.5,4.16,70.0
1982-09-03,NA,NA,NA,13.2,8.3,5.61,75.2
1982-09-04,NA,NA,NA,11.7,8.7,5.24,58.6
1982-09-05,NA,NA,NA,10.1,4.5,5.05,81.4
1982-09-06,NA,NA,NA,11.1,3.9,3.20,45.6
1982-09-07,NA,NA,NA,9.7,5.2,2.42,58.6
1982-09-08,NA,NA,NA,11.5,11.2,5.93,100.0
1982-09-09,NA,NA,NA,12.4,12.4,3.11,NA
1982-09-10,NA,NA,NA,13.3,12.7,2.12,79.3
1982-09-11,NA,NA,NA,13.0,13.0,1.30,NA
1982-09-12,NA,NA,NA,14.3,14.2,1.79,100.0
1982-09-13,NA,NA,NA,13.5,13.1,2.12,97.4
1982-09-14,NA,NA,NA,8.9,4.0,7.71,69.0
1982-09-15,NA,NA,NA,6.3,-1.0,3.35,79.3
1982-09-16,NA,NA,NA,8.4,2.6,3.21,43.0
1982-09-17,NA,NA,NA,9.6,8.6,2.14,89.7
1982-09-18,NA,NA,NA,7.0,1.7,3.70,66.9
1982-09-19,NA,NA,NA,9.0,8.0,2.50,98.4
1982-09-20,NA,NA,NA,7.0,2.0,7.99,69.5
1982-09-21,NA,NA,NA,8.1,2.8,3.00,43.0
1982-09-22,NA,NA,NA,8.9,7.2,2.34,56.8
1982-09-23,NA,NA,NA,10.0,6.7,2.49,56.0
1982-09-24,NA,NA,NA,6.4,3.0,8.08,82.4
1982-09-25,NA,NA,NA,7.5,1.4,2.63,43.0
1982-09-26,NA,NA,NA,7.5,7.0,4.52,94.8
1982-09-27,NA,NA,NA,7.3,5.9,5.44,95.3
1982-09-28,NA,NA,NA,5.1,4.6,4.22,100.0
1982-09-29,NA,NA,NA,11.3,10.6,3.44,100.0
1982-09-30,NA,NA,NA,13.2,8.9,3.36,46.7
1982-10-01,NA,NA,NA,8.9,2.1,4.84,48.8
1982-10-02,NA,NA,NA,7.9,6.5,5.13,100.0
1982-10-03,NA,NA,NA,9.4,5.7,3.92,70.6
1982-10-04,NA,NA,NA,7.8,6.9,3.89,87.6
1982-10-05,NA,NA,NA,12.6,7.0,1.52,61.7
1982-10-06,NA,NA,NA,4.9,3.1,5.82,87.6
1982-10-07,NA,NA,NA,7.7,6.9,4.70,100.0
1982-10-08,NA,NA,NA,8.0,6.1,2.52,75.8
1982-10-09,NA,NA,NA,9.3,6.7,4.18,90.7
1982-10-10,NA,NA,NA,9.0,8.1,4.86,100.0
1982-10-11,NA,NA,NA,9.0,8.3,2.14,100.0
1982-10-12,NA,NA,NA,9.3,8.6,0.70,100.0
1982-10-13,NA,NA,NA,7.0,5.0,1.95,90.7
1982-10-14,NA,NA,NA,9.5,6.1,4.64,68.8
1982-10-15,NA,NA,NA,2.9,-3.4,4.95,63.2
1982-10-16,NA,NA,NA,3.0,-3.4,4.59,69.0
1982-10-17,NA,NA,NA,1.8,-3.2,3.51,87.6
1982-10-18,NA,NA,NA,7.6,6.1,2.60,77.6
1982-10-19,NA,NA,NA,0.8,-1.6,6.24,89.7
1982-10-20,NA,NA,NA,-2.3,-3.8,9.48,100.0
1982-10-21,NA,NA,NA,-1.4,-4.9,1.06,100.0
1982-10-22,NA,NA,NA,2.6,-0.5,3.06,50.8
1982-10-23,NA,NA,NA,4.1,2.2,1.79,51.7
1982-10-24,NA,NA,NA,7.5,3.3,6.90,61.2
1982-10-25,NA,NA,NA,9.1,1.3,1.06,43.0
1982-10-26,NA,NA,NA,5.1,2.8,2.42,43.0
1982-10-27,NA,NA,NA,8.0,3.6,2.49,66.9
1982-10-28,NA,NA,NA,7.9,6.2,4.33,90.7
1982-10-29,NA,NA,NA,7.1,6.3,7.54,98.1
1982-10-30,NA,NA,NA,5.0,-0.6,6.32,56.0
1982-10-31,NA,NA,NA,6.0,0.3,5.05,48.2
1982-11-01,NA,NA,NA,5.5,-0.2,0.85,43.0
1982-11-02,NA,NA,NA,6.3,-3.1,1.15,72.6
1982-11-03,NA,NA,NA,1.8,-1.1,5.09,77.8
1982-11-04,NA,NA,NA,-3.0,-4.9,7.34,84.5
1982-11-05,NA,NA,NA,-2.9,-5.1,4.96,73.7
1982-11-06,NA,NA,NA,-3.6,-6.9,3.57,81.4
1982-11-07,NA,NA,NA,2.4,-0.2,2.58,84.5
1982-11-08,NA,NA,NA,-1.8,-5.4,3.66,100.0
1982-11-09,NA,NA,NA,-3.6,-7.7,1.31,43.0
1982-11-10,NA,NA,NA,1.5,-1.7,4.45,93.8
1982-11-11,NA,NA,NA,2.3,0.3,1.85,73.1
1982-11-12,NA,NA,NA,-4.2,-6.1,9.61,79.3
1982-11-13,NA,NA,NA,-15.0,-19.4,1.10,50.8
1982-11-14,NA,NA,NA,-11.7,-15.1,1.35,58.6
1982-11-15,NA,NA,NA,-5.4,-7.3,2.43,87.3
1982-11-16,NA,NA,NA,-0.2,-3.6,1.20,45.6
1982-11-17,NA,NA,NA,-3.5,-5.2,0.40,82.9
1982-11-18,NA,NA,NA,3.9,2.2,6.29,82.9
1982-11-19,NA,NA,NA,6.0,5.5,3.15,100.0
1982-11-20,NA,NA,NA,7.9,7.9,6.27,NA
1982-11-21,NA,NA,NA,-2.7,-7.7,6.11,70.5
1982-11-22,NA,NA,NA,-5.6,-7.4,1.58,100.0
1982-11-23,NA,NA,NA,-11.4,-15.5,3.75,56.0
1982-11-24,NA,NA,NA,-13.7,-16.7,4.44,66.3
1982-11-25,NA,NA,NA,-12.1,-17.4,1.96,61.2
1982-11-26,NA,NA,NA,-14.8,-18.1,1.80,43.0
1982-11-27,NA,NA,NA,-12.8,-16.5,0.95,62.2
1982-11-28,NA,NA,NA,-1.1,-3.9,2.14,78.8
1982-11-29,NA,NA,NA,-0.7,-2.9,1.00,72.6
1982-11-30,NA,NA,NA,2.8,1.3,4.11,93.8
1982-12-01,NA,NA,NA,3.6,3.4,3.04,100.0
1982-12-02,NA,NA,NA,7.2,7.2,4.14,100.0
1982-12-03,NA,NA,NA,4.8,1.6,7.04,56.6
1982-12-04,NA,NA,NA,-0.9,-3.7,1.92,67.4
1982-12-05,NA,NA,NA,1.9,-0.5,1.49,100.0
1982-12-06,NA,NA,NA,-5.7,-8.7,3.94,79.3
1982-12-07,NA,NA,NA,-13.3,-16.4,2.99,43.0
1982-12-08,NA,NA,NA,-16.4,-20.3,3.55,61.2
1982-12-09,NA,NA,NA,-13.2,-16.1,4.79,96.4
1982-12-10,NA,NA,NA,-10.9,-15.0,4.28,65.0
1982-12-11,NA,NA,NA,-19.2,-24.1,2.98,48.2
1982-12-12,NA,NA,NA,-21.9,-26.5,0.80,57.0
1982-12-13,NA,NA,NA,-4.4,-7.7,2.45,96.9
1982-12-14,NA,NA,NA,-16.6,-19.6,5.38,95.3
1982-12-15,NA,NA,NA,-13.5,-16.6,1.10,45.6
1982-12-16,NA,NA,NA,-16.4,-20.2,3.38,43.0
1982-12-17,NA,NA,NA,-1.9,-3.4,7.46,100.0
