Daily data for a single station.
StationID:,718200-99999
StationName:,"KINGSTON CLIMATE"
Lat&Long:,44.217,-76.600
Elevation:,-999.900
Starts(YMD):,1996-10-01
Ends(YMD):,2024-10-21
Date,AirTempMax,AirTempMin,Precipitation,AirTemp,Dewpoint,WindSpeed,CloudCover
YYYY-MM-DD,Celsius,Celsius,Millimeters,Celsius,Celsius,MetersPerSecond,Percent
1996-10-01,NA,NA,NA,12.8,10.2,4.25,NA
1996-10-02,NA,NA,NA,12.4,10.4,9.50,NA
1996-10-03,NA,NA,NA,2.3,-1.5,6.50,NA
1996-10-04,NA,NA,NA,3.7,-1.4,4.50,NA
1996-10-05,NA,NA,NA,6.2,2.5,7.25,NA
1996-10-06,NA,NA,NA,11.2,6.8,8.67,NA
1996-10-07,NA,NA,NA,5.6,4.7,13.75,NA
1996-10-08,NA,NA,NA,3.4,0.7,6.00,NA
1996-10-09,NA,NA,NA,6.6,2.1,5.00,NA
1996-10-10,NA,NA,NA,2.8,-0.8,12.75,NA
1996-10-11,NA,NA,NA,1.0,-4.2,6.50,NA
1996-10-12,NA,NA,NA,6.5,5.7,3.75,NA
1996-10-13,NA,NA,NA,10.7,9.6,5.25,NA
1996-10-14,NA,NA,NA,3.6,-1.3,12.67,NA
1996-10-15,NA,NA,NA,0.3,-5.2,4.50,NA
1996-10-16,NA,NA,NA,5.0,4.0,2.75,NA
1996-10-17,NA,NA,NA,4.4,-0.0,11.25,NA
1996-10-18,NA,NA,NA,10.2,3.2,6.75,NA
1996-10-19,NA,NA,NA,8.0,8.0,4.00,NA
1996-10-20,NA,NA,NA,8.8,5.2,4.25,NA
1996-10-21,NA,NA,NA,10.1,4.9,5.67,NA
1996-10-22,NA,NA,NA,8.4,7.1,0.67,NA
1996-10-23,NA,NA,NA,7.8,6.8,5.67,NA
1996-10-24,NA,NA,NA,5.7,5.2,5.00,NA
1996-10-25,NA,NA,NA,4.9,2.8,6.50,NA
1996-10-26,NA,NA,NA,6.8,5.2,2.00,NA
1996-10-27,NA,NA,NA,11.1,8.9,6.50,NA
1996-10-28,NA,NA,NA,6.4,1.6,6.25,NA
1996-10-29,NA,NA,NA,5.2,-0.4,3.25,NA
1996-10-30,NA,NA,NA,5.4,2.1,5.93,NA
1996-10-31,NA,NA,NA,-0.3,-8.9,5.65,NA
1996-11-01,NA,NA,NA,-1.2,-4.6,4.50,NA
1996-11-02,NA,NA,NA,-4.4,-5.7,3.72,NA
1996-11-03,NA,NA,NA,-2.3,-3.9,2.47,NA
1996-11-04,NA,NA,NA,0.7,-0.4,2.93,NA
1996-11-05,NA,NA,NA,-0.4,-3.2,3.60,NA
1996-11-06,NA,NA,NA,2.2,0.9,1.52,NA
1996-11-07,NA,NA,NA,8.4,8.3,3.07,NA
1996-11-08,NA,NA,NA,3.2,1.7,2.45,NA
1996-11-09,NA,NA,NA,0.4,-0.3,3.22,NA
1996-11-10,NA,NA,NA,-0.6,-1.8,1.25,NA
1996-11-11,NA,NA,NA,-2.7,-3.7,4.10,NA
1996-11-12,NA,NA,NA,-6.2,-8.3,3.35,NA
1996-11-13,NA,NA,NA,-7.6,-10.9,2.90,NA
1996-11-14,NA,NA,NA,-10.9,-13.6,2.82,NA
1996-11-15,NA,NA,NA,-9.8,-13.7,1.67,NA
1996-11-16,NA,NA,NA,-0.4,-6.1,3.70,NA
1996-11-17,NA,NA,NA,3.1,-4.1,2.42,NA
1996-11-18,NA,NA,NA,2.8,-0.2,2.97,NA
1996-11-19,NA,NA,NA,-0.1,-3.7,3.10,NA
1996-11-20,NA,NA,NA,-3.8,-5.6,4.88,NA
1996-11-21,NA,NA,NA,-5.3,-6.8,3.60,NA
1996-11-22,NA,NA,NA,-3.9,-6.8,3.60,NA
1996-11-23,NA,NA,NA,-6.8,-9.1,3.88,NA
1996-11-24,NA,NA,NA,-13.0,-15.2,1.67,NA
1996-11-25,NA,NA,NA,-4.0,-5.4,1.73,NA
1996-11-26,NA,NA,NA,-5.6,-8.1,3.47,NA
1996-11-27,NA,NA,NA,-8.3,-10.6,2.32,NA
1996-11-28,NA,NA,NA,-7.8,-9.1,1.00,NA
1996-11-29,NA,NA,NA,-1.5,-2.2,2.27,NA
1996-11-30,NA,NA,NA,NA,NA,NA,NA
1996-12-01,NA,NA,NA,NA,NA,NA,NA
1996-12-02,NA,NA,NA,1.4,0.7,7.00,NA
1996-12-03,NA,NA,NA,-1.5,-2.6,2.75,NA
1996-12-04,NA,NA,NA,-3.8,-5.4,7.00,NA
1996-12-05,NA,NA,NA,-6.1,-7.2,5.00,NA
1996-12-06,NA,NA,NA,-1.6,-2.1,5.67,NA
1996-12-07,NA,NA,NA,0.9,0.6,4.00,NA
1996-12-08,NA,NA,NA,-0.5,-1.1,2.00,NA
1996-12-09,NA,NA,NA,-2.2,-3.8,7.00,NA
1996-12-10,NA,NA,NA,-3.4,-3.7,3.50,NA
1996-12-11,NA,NA,NA,-3.9,-4.9,6.00,NA
1996-12-12,NA,NA,NA,-3.1,-4.3,9.00,NA
1996-12-13,NA,NA,NA,1.7,1.4,4.33,NA
1996-12-14,NA,NA,NA,0.4,-1.1,2.75,NA
1996-12-15,NA,NA,NA,0.8,-0.8,6.00,NA
1996-12-16,NA,NA,NA,1.1,-0.2,7.50,NA
1996-12-17,NA,NA,NA,-0.5,-2.1,11.00,NA
1996-12-18,NA,NA,NA,-5.0,-6.1,3.33,NA
1996-12-19,NA,NA,NA,-6.7,-8.9,4.00,NA
1996-12-20,NA,NA,NA,-15.9,-17.9,5.50,NA
1996-12-21,NA,NA,NA,-8.2,-10.2,7.00,NA
1996-12-22,NA,NA,NA,-4.3,-5.6,5.25,NA
1996-12-23,NA,NA,NA,-9.9,-11.1,9.50,NA
1996-12-24,NA,NA,NA,-8.9,-9.6,10.25,NA
1996-12-25,NA,NA,NA,-22.0,-24.1,5.50,NA
1996-12-26,NA,NA,NA,-15.2,-17.4,3.25,NA
1996-12-27,NA,NA,NA,-12.9,-14.9,2.50,NA
1996-12-28,NA,NA,NA,-5.0,-5.3,5.25,NA
1996-12-29,NA,NA,NA,-6.1,-6.9,7.75,NA
1996-12-30,NA,NA,NA,-21.8,-24.4,5.75,NA
1996-12-31,NA,NA,NA,-23.2,-27.5,5.33,NA
1997-01-01,NA,NA,NA,-18.8,-21.8,2.75,NA
1997-01-02,NA,NA,NA,-11.0,-12.0,3.25,NA
1997-01-03,NA,NA,NA,-5.6,-6.5,2.75,NA
1997-01-04,NA,NA,NA,-12.7,-14.7,7.50,NA
1997-01-05,NA,NA,NA,-4.8,-5.0,8.75,NA
1997-01-06,NA,NA,NA,-9.9,-11.1,3.25,NA
1997-01-07,NA,NA,NA,-13.9,-15.6,5.25,NA
1997-01-08,NA,NA,NA,-16.0,-18.7,6.75,NA
1997-01-09,NA,NA,NA,-20.5,-22.9,4.50,NA
1997-01-10,NA,NA,NA,-11.7,-12.9,8.00,NA
