Daily data for a single station.
StationID:,720113-54829
StationName:,"OAKLAND/TROY AIRPORT"
Lat&Long:,42.543,-83.170
Elevation:,-999.900
Starts(YMD):,2005-01-01
Ends(YMD):,2024-10-22
Date,AirTempMax,AirTempMin,Precipitation,AirTemp,Dewpoint,WindSpeed,CloudCover
YYYY-MM-DD,Celsius,Celsius,Millimeters,Celsius,Celsius,MetersPerSecond,Percent
2005-01-01,NA,NA,NA,0.8,-4.2,2.85,20.2
2005-01-02,NA,NA,NA,5.5,4.8,2.87,100.0
2005-01-03,NA,NA,NA,2.4,1.4,2.38,96.0
2005-01-04,NA,NA,NA,1.1,-0.6,2.07,93.9
2005-01-05,NA,NA,NA,-2.8,-5.0,5.30,100.0
2005-01-06,NA,NA,NA,-3.3,-5.8,4.69,83.8
2005-01-07,NA,NA,NA,-3.4,-5.9,2.20,77.1
2005-01-08,NA,NA,NA,-1.6,-3.9,1.85,97.0
2005-01-09,NA,NA,NA,0.4,-1.8,2.94,100.0
2005-01-10,NA,NA,NA,1.9,-2.0,3.35,73.5
2005-01-11,NA,NA,NA,1.0,-0.4,3.51,100.0
2005-01-12,NA,NA,NA,5.2,4.5,2.78,79.0
2005-01-13,NA,NA,NA,8.6,6.9,4.86,93.2
2005-01-14,NA,NA,NA,-5.9,-11.7,5.36,34.8
2005-01-15,NA,NA,NA,-7.9,-14.5,3.28,32.4
2005-01-16,NA,NA,NA,-10.2,-15.6,3.23,62.0
2005-01-17,NA,NA,NA,-12.3,-17.6,3.92,41.8
2005-01-18,NA,NA,NA,-12.4,-20.7,4.15,26.1
2005-01-19,NA,NA,NA,-4.2,-7.9,5.69,91.6
2005-01-20,NA,NA,NA,-8.0,-11.8,2.88,84.6
2005-01-21,NA,NA,NA,-12.1,-17.5,2.72,27.8
2005-01-22,NA,NA,NA,-10.7,-13.0,6.24,98.8
2005-01-23,NA,NA,NA,-12.2,-16.5,4.00,2.5
2005-01-24,NA,NA,NA,-7.3,-11.7,3.52,82.9
2005-01-25,NA,NA,NA,-0.8,-3.9,2.42,99.1
2005-01-26,NA,NA,NA,-4.1,-7.8,5.21,83.1
2005-01-27,NA,NA,NA,-12.1,-15.6,1.01,9.0
2005-01-28,NA,NA,NA,-10.6,-15.4,1.21,0.0
2005-01-29,NA,NA,NA,-4.9,-9.1,0.85,44.1
2005-01-30,NA,NA,NA,-2.8,-6.6,2.87,8.7
2005-01-31,NA,NA,NA,-4.1,-6.6,1.34,15.2
2005-02-01,NA,NA,NA,-4.7,-7.3,0.56,28.0
2005-02-02,NA,NA,NA,-6.1,-7.9,0.40,22.0
2005-02-03,NA,NA,NA,-1.2,-6.1,1.22,28.4
2005-02-04,NA,NA,NA,1.5,-2.7,1.49,16.6
2005-02-05,NA,NA,NA,01.0,-0.9,1.46,21.2
2005-02-06,NA,NA,NA,2.6,-1.2,1.03,2.2
2005-02-07,NA,NA,NA,4.7,3.0,1.81,97.5
2005-02-08,NA,NA,NA,2.4,1.5,2.12,100.0
2005-02-09,NA,NA,NA,-2.0,-4.0,2.96,100.0
