Daily data for a single station.
StationID:,722343-54826
StationName:,"SOUTH HAVEN AREA REGIONAL"
Lat&Long:,42.351,-86.250
Elevation:,-999.900
Starts(YMD):,2006-01-01
Ends(YMD):,2024-10-22
Date,AirTempMax,AirTempMin,Precipitation,AirTemp,Dewpoint,WindSpeed,CloudCover
YYYY-MM-DD,Celsius,Celsius,Millimeters,Celsius,Celsius,MetersPerSecond,Percent
2006-01-01,NA,NA,NA,2.4,-0.2,3.92,91.2
2006-01-02,NA,NA,NA,4.0,3.0,5.84,95.7
2006-01-03,NA,NA,NA,3.4,2.6,1.94,100.0
2006-01-04,NA,NA,NA,4.5,3.6,3.68,100.0
2006-01-05,NA,NA,NA,1.1,-1.3,5.96,100.0
2006-01-06,NA,NA,NA,-2.2,-6.2,3.28,99.1
2006-01-07,NA,NA,NA,0.8,-2.1,4.46,100.0
2006-01-08,NA,NA,NA,2.7,-1.2,3.65,46.7
2006-01-09,NA,NA,NA,2.0,-1.4,3.34,100.0
2006-01-10,NA,NA,NA,0.6,-3.0,2.04,77.8
2006-01-11,NA,NA,NA,3.9,2.7,3.98,86.4
2006-01-12,NA,NA,NA,6.8,1.9,3.80,0.0
2006-01-13,NA,NA,NA,5.2,3.6,5.62,97.8
2006-01-14,NA,NA,NA,-0.4,-5.0,5.99,95.6
2006-01-15,NA,NA,NA,-0.7,-5.1,3.95,29.1
2006-01-16,NA,NA,NA,0.8,-3.4,4.90,0.0
2006-01-17,NA,NA,NA,1.6,0.7,3.27,97.8
2006-01-18,NA,NA,NA,-1.6,-4.7,6.27,95.8
2006-01-19,NA,NA,NA,4.9,1.1,2.96,20.4
2006-01-20,NA,NA,NA,3.3,1.5,4.22,85.4
2006-01-21,NA,NA,NA,-1.2,-3.3,2.10,46.6
2006-01-22,NA,NA,NA,-2.4,-4.2,0.86,5.7
2006-01-23,NA,NA,NA,-1.7,-3.8,2.95,55.2
2006-01-24,NA,NA,NA,1.2,-1.9,7.89,91.3
2006-01-25,NA,NA,NA,-0.2,-5.4,6.35,95.6
2006-01-26,NA,NA,NA,-0.6,-5.0,1.33,5.6
2006-01-27,NA,NA,NA,4.8,-3.7,4.12,28.2
2006-01-28,NA,NA,NA,7.2,1.3,2.84,82.9
2006-01-29,NA,NA,NA,6.9,6.0,6.20,100.0
2006-01-30,NA,NA,NA,1.4,-0.2,4.60,100.0
2006-01-31,NA,NA,NA,-0.1,-3.0,3.20,77.3
2006-02-01,NA,NA,NA,3.5,-0.7,4.00,93.2
2006-02-02,NA,NA,NA,3.1,-0.1,1.42,50.2
2006-02-03,NA,NA,NA,3.3,1.9,1.82,98.1
2006-02-04,NA,NA,NA,0.8,-1.6,5.25,100.0
2006-02-05,NA,NA,NA,-1.4,-4.5,7.55,99.4
2006-02-06,NA,NA,NA,-2.2,-8.3,6.21,65.1
2006-02-07,NA,NA,NA,-2.2,-8.3,3.61,93.3
2006-02-08,NA,NA,NA,-5.0,-9.1,1.40,81.9
2006-02-09,NA,NA,NA,-3.4,-9.6,3.56,46.5
2006-02-10,NA,NA,NA,-1.8,-3.8,2.25,99.9
2006-02-11,NA,NA,NA,-3.4,-5.4,1.54,83.3
2006-02-12,NA,NA,NA,-3.5,-6.1,2.25,95.5
2006-02-13,NA,NA,NA,-2.4,-7.7,5.77,96.1
2006-02-14,NA,NA,NA,1.2,-3.5,3.06,33.9
2006-02-15,NA,NA,NA,2.4,-0.6,2.99,62.5
2006-02-16,NA,NA,NA,2.4,1.7,5.01,100.0
2006-02-17,NA,NA,NA,-4.9,-9.8,7.56,93.6
2006-02-18,NA,NA,NA,-13.3,-17.8,5.17,99.1
2006-02-19,NA,NA,NA,-9.3,-14.1,5.20,86.1
2006-02-20,NA,NA,NA,-3.8,-10.4,6.37,88.5
2006-02-21,NA,NA,NA,-2.8,-7.3,3.50,49.2
2006-02-22,NA,NA,NA,0.4,-3.2,2.33,34.1
2006-02-23,NA,NA,NA,0.1,-5.0,4.08,39.0
2006-02-24,NA,NA,NA,-0.7,-8.4,3.33,55.7
2006-02-25,NA,NA,NA,-0.2,-7.4,6.79,70.3
2006-02-26,NA,NA,NA,-4.6,-13.3,2.76,39.6
2006-02-27,NA,NA,NA,-1.4,-6.7,3.28,77.4
2006-02-28,NA,NA,NA,-3.7,-11.0,2.45,25.0
2006-03-01,NA,NA,NA,0.3,-11.4,3.30,63.3
2006-03-02,NA,NA,NA,-0.3,-3.7,3.22,94.8
2006-03-03,NA,NA,NA,-2.7,-7.2,3.14,88.6
2006-03-04,NA,NA,NA,-4.2,-7.5,1.80,50.3
2006-03-05,NA,NA,NA,-2.7,-4.7,0.74,52.1
2006-03-06,NA,NA,NA,-0.3,-1.4,1.22,69.4
2006-03-07,NA,NA,NA,-0.9,-7.4,1.71,6.7
2006-03-08,NA,NA,NA,6.8,1.6,3.23,64.7
2006-03-09,NA,NA,NA,11.7,10.2,3.39,97.9
2006-03-10,NA,NA,NA,3.8,2.0,3.35,63.9
2006-03-11,NA,NA,NA,10.8,6.3,4.77,32.9
2006-03-12,NA,NA,NA,9.5,7.1,2.90,76.3
2006-03-13,NA,NA,NA,8.7,5.2,7.28,86.6
2006-03-14,NA,NA,NA,0.7,-5.1,8.21,72.8
2006-03-15,NA,NA,NA,-0.6,-6.2,4.24,49.6
2006-03-16,NA,NA,NA,-0.8,-3.5,2.76,84.6
2006-03-17,NA,NA,NA,-1.2,-5.4,3.88,24.7
2006-03-18,NA,NA,NA,-2.1,-8.0,3.65,17.6
