Daily data for a single station.
StationID:,724287-04848
StationName:,"METCALF FIELD AIRPORT"
Lat&Long:,41.563,-83.470
Elevation:,-999.900
Starts(YMD):,2006-01-01
Ends(YMD):,2024-10-22
Date,AirTempMax,AirTempMin,Precipitation,AirTemp,Dewpoint,WindSpeed,CloudCover
YYYY-MM-DD,Celsius,Celsius,Millimeters,Celsius,Celsius,MetersPerSecond,Percent
2006-01-01,NA,NA,NA,1.7,NA,0.00,74.2
2006-01-02,NA,NA,NA,2.4,NA,0.00,96.6
2006-01-03,NA,NA,NA,2.7,NA,0.00,100.0
2006-01-04,NA,NA,NA,5.0,NA,0.00,99.7
2006-01-05,NA,NA,NA,1.7,NA,2.55,90.9
2006-01-06,NA,NA,NA,-3.5,NA,5.18,78.8
2006-01-07,NA,NA,NA,-0.8,NA,5.70,94.2
2006-01-08,NA,NA,NA,1.3,NA,3.49,21.8
2006-01-09,NA,NA,NA,2.7,NA,5.16,78.1
2006-01-10,NA,NA,NA,0.8,NA,2.46,53.5
2006-01-11,NA,NA,NA,4.6,NA,6.19,85.9
2006-01-12,NA,NA,NA,5.5,NA,5.62,0.0
2006-01-13,NA,NA,NA,8.1,NA,5.63,43.7
2006-01-14,NA,NA,NA,-1.2,NA,7.05,39.1
2006-01-15,NA,NA,NA,-3.4,NA,2.24,2.1
2006-01-16,NA,NA,NA,-1.2,NA,4.44,0.0
2006-01-17,NA,NA,NA,3.9,NA,4.05,82.0
2006-01-18,NA,NA,NA,-3.0,NA,7.41,71.9
2006-01-19,NA,NA,NA,3.4,NA,4.65,1.0
2006-01-20,NA,NA,NA,9.8,NA,5.77,31.7
2006-01-21,NA,NA,NA,2.2,NA,5.05,36.0
2006-01-22,NA,NA,NA,-1.7,NA,2.04,2.1
2006-01-23,NA,NA,NA,-0.3,NA,3.22,6.1
2006-01-24,NA,NA,NA,0.2,NA,7.55,35.8
2006-01-25,NA,NA,NA,-1.1,NA,8.57,74.5
2006-01-26,NA,NA,NA,-3.0,NA,2.45,23.8
2006-01-27,NA,NA,NA,1.1,NA,4.52,0.0
2006-01-28,NA,NA,NA,6.3,NA,3.74,2.1
2006-01-29,NA,NA,NA,8.2,NA,7.99,65.8
2006-01-30,NA,NA,NA,3.7,NA,5.84,35.9
2006-01-31,NA,NA,NA,-0.0,NA,4.50,91.2
2006-02-01,NA,NA,NA,2.7,NA,4.89,1.6
2006-02-02,NA,NA,NA,2.6,NA,2.31,75.1
2006-02-03,NA,NA,NA,3.1,NA,3.07,71.4
2006-02-04,NA,NA,NA,1.1,NA,5.41,77.5
2006-02-05,NA,NA,NA,-1.1,NA,9.67,97.8
2006-02-06,NA,NA,NA,-2.5,NA,7.67,20.3
2006-02-07,NA,NA,NA,-2.4,NA,4.62,89.4
2006-02-08,NA,NA,NA,-4.9,NA,3.64,55.2
2006-02-09,NA,NA,NA,-4.7,NA,4.48,5.2
2006-02-10,NA,NA,NA,-2.0,NA,3.01,48.8
2006-02-11,NA,NA,NA,-2.2,NA,2.38,89.1
2006-02-12,NA,NA,NA,-4.9,NA,3.32,18.0
2006-02-13,NA,NA,NA,-3.6,NA,6.79,42.6
2006-02-14,NA,NA,NA,1.3,NA,5.95,5.2
2006-02-15,NA,NA,NA,4.5,NA,4.10,17.3
2006-02-16,NA,NA,NA,7.1,NA,5.86,76.5
2006-02-17,NA,NA,NA,-1.9,NA,9.07,47.3
2006-02-18,NA,NA,NA,-11.8,NA,6.99,16.2
2006-02-19,NA,NA,NA,-10.5,NA,5.30,6.1
2006-02-20,NA,NA,NA,-6.1,NA,4.72,19.6
2006-02-21,NA,NA,NA,-1.9,NA,5.19,16.6
2006-02-22,NA,NA,NA,1.6,NA,4.21,8.1
2006-02-23,NA,NA,NA,1.3,NA,6.24,8.0
2006-02-24,NA,NA,NA,-1.9,NA,3.43,6.0
2006-02-25,NA,NA,NA,1.5,NA,7.72,8.1
2006-02-26,NA,NA,NA,-5.3,NA,4.69,2.1
2006-02-27,NA,NA,NA,-2.9,NA,3.54,56.7
2006-02-28,NA,NA,NA,-3.7,NA,1.46,2.1
2006-03-01,NA,NA,NA,-1.4,NA,2.85,1.0
2006-03-02,NA,NA,NA,-1.6,NA,3.69,81.5
2006-03-03,NA,NA,NA,-3.9,NA,3.35,86.0
2006-03-04,NA,NA,NA,-3.1,NA,3.13,0.0
2006-03-05,NA,NA,NA,-1.3,NA,1.43,1.0
2006-03-06,NA,NA,NA,-0.9,NA,2.94,65.4
2006-03-07,NA,NA,NA,-0.8,NA,2.70,0.0
2006-03-08,NA,NA,NA,4.2,NA,4.64,53.6
2006-03-09,NA,NA,NA,11.6,NA,6.34,53.0
2006-03-10,NA,NA,NA,6.9,NA,6.37,72.4
2006-03-11,NA,NA,NA,6.8,NA,3.80,40.0
2006-03-12,NA,NA,NA,11.4,NA,3.51,71.0
2006-03-13,NA,NA,NA,12.1,NA,8.05,41.3
2006-03-14,NA,NA,NA,1.5,NA,10.05,56.5
2006-03-15,NA,NA,NA,1.6,NA,7.42,17.3
2006-03-16,NA,NA,NA,0.1,NA,2.71,25.2
2006-03-17,NA,NA,NA,-0.3,NA,3.56,22.6
2006-03-18,NA,NA,NA,-1.2,NA,5.10,0.0
2006-03-19,NA,NA,NA,0.9,NA,5.24,0.0
2006-03-20,NA,NA,NA,-1.4,NA,4.29,7.1
2006-03-21,NA,NA,NA,-3.3,NA,5.68,7.3
2006-03-22,NA,NA,NA,-0.8,NA,4.10,46.1
2006-03-23,NA,NA,NA,01.0,NA,1.12,24.8
