Daily data for a single station.
StationID:,725240-14820
StationName:,"CLEVELAND-HOPKINS INTERNA"
Lat&Long:,41.406,-81.850
Elevation:,-999.900
Starts(YMD):,1973-01-01
Ends(YMD):,2024-10-22
Date,AirTempMax,AirTempMin,Precipitation,AirTemp,Dewpoint,WindSpeed,CloudCover
YYYY-MM-DD,Celsius,Celsius,Millimeters,Celsius,Celsius,MetersPerSecond,Percent
1973-01-01,NA,NA,NA,0.4,-5.3,7.45,81.1
1973-01-02,NA,NA,NA,-2.0,-8.8,3.87,42.9
1973-01-03,NA,NA,NA,-0.6,-6.2,5.25,63.3
1973-01-04,NA,NA,NA,3.1,-1.6,8.86,98.3
1973-01-05,NA,NA,NA,-4.3,-9.4,6.14,100.0
1973-01-06,NA,NA,NA,-7.1,-12.2,4.77,76.5
1973-01-07,NA,NA,NA,-7.1,-13.0,4.64,92.1
1973-01-08,NA,NA,NA,-8.6,-15.4,4.44,91.3
1973-01-09,NA,NA,NA,-8.9,-13.7,5.21,72.5
1973-01-10,NA,NA,NA,-10.5,-17.1,6.75,33.9
1973-01-11,NA,NA,NA,-8.7,-14.6,6.30,65.8
1973-01-12,NA,NA,NA,-7.8,-14.3,5.43,28.6
1973-01-13,NA,NA,NA,-3.2,-12.8,5.90,32.0
1973-01-14,NA,NA,NA,0.4,-8.0,5.95,98.3
1973-01-15,NA,NA,NA,0.8,-3.7,3.41,98.8
1973-01-16,NA,NA,NA,1.7,-2.4,8.03,82.6
1973-01-17,NA,NA,NA,8.7,0.7,6.84,66.0
1973-01-18,NA,NA,NA,10.5,2.5,6.35,72.7
1973-01-19,NA,NA,NA,7.2,2.0,7.85,96.6
1973-01-20,NA,NA,NA,-1.7,-6.6,5.86,87.8
1973-01-21,NA,NA,NA,-0.2,-9.3,4.59,82.4
1973-01-22,NA,NA,NA,7.6,1.2,8.53,86.8
1973-01-23,NA,NA,NA,1.6,-2.3,8.04,99.0
1973-01-24,NA,NA,NA,-1.6,-6.6,4.49,65.8
1973-01-25,NA,NA,NA,2.6,-3.0,5.87,0.0
1973-01-26,NA,NA,NA,6.0,0.2,3.13,68.8
1973-01-27,NA,NA,NA,6.5,2.9,2.46,100.0
1973-01-28,NA,NA,NA,0.8,-1.6,4.96,87.2
1973-01-29,NA,NA,NA,-6.2,-11.6,6.39,79.8
1973-01-30,NA,NA,NA,-7.6,-12.6,5.35,55.5
1973-01-31,NA,NA,NA,-1.6,-7.6,4.79,79.2
1973-02-01,NA,NA,NA,6.1,-1.4,6.73,90.7
1973-02-02,NA,NA,NA,9.3,6.1,6.81,89.1
1973-02-03,NA,NA,NA,2.1,-2.2,6.41,100.0
1973-02-04,NA,NA,NA,4.3,-1.8,6.30,87.4
1973-02-05,NA,NA,NA,2.7,-1.7,4.27,85.5
1973-02-06,NA,NA,NA,4.8,1.0,3.42,94.8
1973-02-07,NA,NA,NA,2.0,-1.4,3.00,86.1
1973-02-08,NA,NA,NA,-2.7,-7.4,5.94,92.9
1973-02-09,NA,NA,NA,-7.2,-14.2,4.27,71.9
1973-02-10,NA,NA,NA,-7.2,-12.8,4.57,80.4
1973-02-11,NA,NA,NA,-7.6,-15.3,4.91,21.4
1973-02-12,NA,NA,NA,-6.5,-15.0,3.64,0.0
1973-02-13,NA,NA,NA,-1.5,-12.4,2.61,48.0
1973-02-14,NA,NA,NA,2.7,-2.9,3.62,91.0
1973-02-15,NA,NA,NA,-2.0,-4.5,4.80,66.7
1973-02-16,NA,NA,NA,-10.9,-15.0,6.68,60.1
1973-02-17,NA,NA,NA,-13.5,-17.9,2.93,72.2
1973-02-18,NA,NA,NA,-8.2,-14.7,4.75,53.9
1973-02-19,NA,NA,NA,1.1,-5.3,5.55,69.8
1973-02-20,NA,NA,NA,1.1,-3.5,3.71,94.5
1973-02-21,NA,NA,NA,-0.7,-5.0,6.78,82.9
1973-02-22,NA,NA,NA,-5.8,-10.3,5.24,91.3
1973-02-23,NA,NA,NA,-3.4,-6.9,2.72,89.8
1973-02-24,NA,NA,NA,-3.7,-8.7,2.97,80.5
1973-02-25,NA,NA,NA,-2.5,-9.9,4.60,89.9
1973-02-26,NA,NA,NA,-3.7,-8.3,7.65,89.8
1973-02-27,NA,NA,NA,-4.9,-11.0,3.94,47.4
1973-02-28,NA,NA,NA,-2.4,-8.1,2.47,37.9
1973-03-01,NA,NA,NA,5.9,-0.7,5.18,88.3
1973-03-02,NA,NA,NA,10.7,2.6,3.63,96.4
1973-03-03,NA,NA,NA,10.2,6.3,3.33,99.0
1973-03-04,NA,NA,NA,8.2,6.1,3.33,60.4
1973-03-05,NA,NA,NA,11.6,8.1,5.20,83.5
1973-03-06,NA,NA,NA,15.5,8.4,4.85,37.0
1973-03-07,NA,NA,NA,14.8,8.5,7.74,71.0
1973-03-08,NA,NA,NA,10.8,1.5,3.20,38.0
1973-03-09,NA,NA,NA,5.5,1.2,4.73,83.7
1973-03-10,NA,NA,NA,15.9,10.1,4.63,93.6
1973-03-11,NA,NA,NA,17.0,10.4,7.19,89.1
1973-03-12,NA,NA,NA,8.7,3.4,6.48,97.6
