Daily data for a single station.
StationID:,725245-99999
StationName:,"BURKE LAKEFRONT"
Lat&Long:,41.517,-81.680
Elevation:,-999.900
Starts(YMD):,1973-01-01
Ends(YMD):,2005-12-31
Date,AirTempMax,AirTempMin,Precipitation,AirTemp,Dewpoint,WindSpeed,CloudCover
YYYY-MM-DD,Celsius,Celsius,Millimeters,Celsius,Celsius,MetersPerSecond,Percent
1973-01-01,NA,NA,NA,-0.4,-5.2,7.72,NA
1973-01-02,NA,NA,NA,-3.0,-7.6,5.11,NA
1973-01-03,NA,NA,NA,1.9,-5.1,8.14,NA
1973-01-04,NA,NA,NA,0.9,-2.9,9.48,NA
1973-01-05,NA,NA,NA,-5.0,-9.1,7.14,NA
1973-01-06,NA,NA,NA,-7.2,-11.6,8.19,NA
1973-01-07,NA,NA,NA,-7.9,-12.2,5.81,NA
1973-01-08,NA,NA,NA,-8.1,-14.8,4.72,NA
1973-01-09,NA,NA,NA,-7.2,-11.2,9.02,NA
1973-01-10,NA,NA,NA,-8.9,-15.8,8.36,NA
1973-01-11,NA,NA,NA,-7.6,-12.4,9.46,88.4
1973-01-12,NA,NA,NA,-5.2,-13.3,6.28,48.2
1973-01-13,NA,NA,NA,-0.1,-13.0,5.94,53.8
1973-01-14,NA,NA,NA,1.5,-7.4,6.27,92.2
1973-01-15,NA,NA,NA,0.0,-2.7,5.25,100.0
1973-01-16,NA,NA,NA,4.2,-1.7,7.07,65.2
1973-01-17,NA,NA,NA,11.7,2.1,9.31,58.3
1973-01-18,NA,NA,NA,12.5,3.4,5.71,62.6
1973-01-19,NA,NA,NA,5.2,2.5,9.19,100.0
1973-01-20,NA,NA,NA,-2.9,-6.1,7.15,85.4
1973-01-21,NA,NA,NA,2.6,-10.2,6.74,73.0
1973-01-22,NA,NA,NA,8.8,3.6,8.13,86.8
1973-01-23,NA,NA,NA,0.7,-1.8,7.69,98.1
1973-01-24,NA,NA,NA,-1.5,-5.6,5.74,76.7
1973-01-25,NA,NA,NA,6.6,-0.8,7.02,NA
1973-01-26,NA,NA,NA,4.6,1.1,3.34,76.5
1973-01-27,NA,NA,NA,4.2,2.3,3.55,98.2
1973-01-28,NA,NA,NA,-0.4,-2.2,7.77,100.0
1973-01-29,NA,NA,NA,-6.2,-11.1,9.05,83.5
1973-01-30,NA,NA,NA,-4.3,-9.9,6.42,68.6
1973-01-31,NA,NA,NA,1.5,-5.8,6.82,84.5
1973-02-01,NA,NA,NA,6.2,-3.8,8.17,84.5
1973-02-02,NA,NA,NA,9.0,6.5,7.16,93.8
1973-02-03,NA,NA,NA,0.4,-1.5,8.87,100.0
1973-02-04,NA,NA,NA,5.3,-0.3,6.04,49.4
1973-02-05,NA,NA,NA,1.4,-1.4,8.63,63.4
1973-02-06,NA,NA,NA,4.8,2.0,6.27,100.0
1973-02-07,NA,NA,NA,1.3,-0.9,3.44,100.0
1973-02-08,NA,NA,NA,-4.7,-8.3,9.68,100.0
1973-02-09,NA,NA,NA,-6.7,-12.5,5.45,73.8
1973-02-10,NA,NA,NA,-5.4,-10.4,7.79,92.7
1973-02-11,NA,NA,NA,-8.1,-15.4,6.14,57.2
1973-02-12,NA,NA,NA,-5.1,-12.8,5.84,NA
1973-02-13,NA,NA,NA,-1.0,-8.2,4.10,46.7
1973-02-14,NA,NA,NA,2.6,-0.3,4.24,100.0
1973-02-15,NA,NA,NA,-3.3,-4.2,8.46,100.0
1973-02-16,NA,NA,NA,-12.4,-15.4,9.69,82.6
1973-02-17,NA,NA,NA,-11.6,-15.3,3.65,51.0
1973-02-18,NA,NA,NA,-4.0,-11.7,5.55,85.0
1973-02-19,NA,NA,NA,2.6,-3.2,6.53,89.6
1973-02-20,NA,NA,NA,0.7,-1.2,5.01,96.6
1973-02-21,NA,NA,NA,-1.3,-4.6,8.54,97.2
1973-02-22,NA,NA,NA,-5.3,-8.7,4.86,100.0
1973-02-23,NA,NA,NA,-3.8,-5.5,3.27,100.0
1973-02-24,NA,NA,NA,-4.2,-8.1,4.26,77.7
1973-02-25,NA,NA,NA,-2.6,-8.4,6.34,96.4
1973-02-26,NA,NA,NA,-4.3,-7.6,10.91,88.4
1973-02-27,NA,NA,NA,-5.0,-9.4,7.16,46.2
1973-02-28,NA,NA,NA,-2.3,-5.5,2.49,64.7
1973-03-01,NA,NA,NA,9.2,0.8,5.59,74.5
1973-03-02,NA,NA,NA,12.5,2.9,5.05,84.5
1973-03-03,NA,NA,NA,10.7,8.7,4.84,100.0
1973-03-04,NA,NA,NA,3.9,3.5,2.96,100.0
1973-03-05,NA,NA,NA,12.0,9.7,6.89,79.9
1973-03-06,NA,NA,NA,17.1,9.3,6.99,43.0
1973-03-07,NA,NA,NA,14.0,8.8,7.09,80.8
1973-03-08,NA,NA,NA,10.5,2.0,3.04,51.7
1973-03-09,NA,NA,NA,4.0,2.4,7.34,90.9
1973-03-10,NA,NA,NA,14.4,10.3,4.82,79.3
1973-03-11,NA,NA,NA,17.6,12.0,7.31,85.4
1973-03-12,NA,NA,NA,5.5,3.1,7.43,100.0
1973-03-13,NA,NA,NA,6.2,3.4,3.20,100.0
1973-03-14,NA,NA,NA,13.0,10.5,6.59,100.0
1973-03-15,NA,NA,NA,15.0,7.3,7.39,64.8
1973-03-16,NA,NA,NA,4.4,3.1,7.12,100.0
1973-03-17,NA,NA,NA,1.2,-0.1,11.21,100.0
1973-03-18,NA,NA,NA,-0.6,-3.4,12.04,100.0
1973-03-19,NA,NA,NA,-0.1,-3.0,9.13,92.1
1973-03-20,NA,NA,NA,-1.1,-6.0,6.50,71.7
1973-03-21,NA,NA,NA,-01.0,-5.7,8.12,80.1
1973-03-22,NA,NA,NA,0.7,-5.1,6.95,92.7
1973-03-23,NA,NA,NA,1.3,-2.9,3.56,NA
1973-03-24,NA,NA,NA,3.4,-1.0,4.61,43.0
1973-03-25,NA,NA,NA,9.0,2.6,4.16,96.1
1973-03-26,NA,NA,NA,5.5,2.9,8.84,66.5
1973-03-27,NA,NA,NA,4.0,-1.7,8.49,NA
1973-03-28,NA,NA,NA,12.9,4.0,6.30,96.1
1973-03-29,NA,NA,NA,13.9,8.5,4.91,96.1
1973-03-30,NA,NA,NA,9.2,7.4,3.94,94.2
1973-03-31,NA,NA,NA,10.3,7.8,6.91,89.7
1973-04-01,NA,NA,NA,12.8,9.4,4.16,76.7
1973-04-02,NA,NA,NA,7.5,4.2,6.43,100.0
1973-04-03,NA,NA,NA,5.7,3.9,5.30,100.0
1973-04-04,NA,NA,NA,3.0,2.4,8.79,100.0
1973-04-05,NA,NA,NA,4.3,0.4,7.67,84.5
1973-04-06,NA,NA,NA,10.8,3.7,4.91,78.7
1973-04-07,NA,NA,NA,7.7,3.7,6.19,100.0
1973-04-08,NA,NA,NA,4.0,-1.8,9.68,71.3
1973-04-09,NA,NA,NA,7.6,0.8,6.02,98.2
1973-04-10,NA,NA,NA,1.3,-2.1,8.33,95.2
1973-04-11,NA,NA,NA,2.2,-5.0,7.12,59.2
1973-04-12,NA,NA,NA,3.9,-3.5,5.74,71.5
1973-04-13,NA,NA,NA,3.0,-4.9,5.19,45.9
1973-04-14,NA,NA,NA,6.8,-4.0,4.19,43.0
1973-04-15,NA,NA,NA,15.7,-2.8,5.47,58.6
1973-04-16,NA,NA,NA,17.5,8.1,7.33,97.4
1973-04-17,NA,NA,NA,10.0,6.6,3.24,86.5
1973-04-18,NA,NA,NA,15.4,13.1,3.91,100.0
1973-04-19,NA,NA,NA,16.3,11.3,3.95,86.1
1973-04-20,NA,NA,NA,21.8,14.1,5.38,82.3
1973-04-21,NA,NA,NA,23.4,14.5,7.03,80.0
1973-04-22,NA,NA,NA,19.5,14.2,6.71,88.3
1973-04-23,NA,NA,NA,12.8,7.5,2.76,92.0
1973-04-24,NA,NA,NA,7.8,2.0,5.05,87.6
1973-04-25,NA,NA,NA,8.7,3.7,8.75,87.2
1973-04-26,NA,NA,NA,9.5,4.8,7.97,73.6
1973-04-27,NA,NA,NA,6.8,6.0,11.24,100.0
1973-04-28,NA,NA,NA,7.3,2.5,10.05,89.1
1973-04-29,NA,NA,NA,8.8,0.8,4.51,96.6
1973-04-30,NA,NA,NA,15.2,8.2,5.72,81.9
1973-05-01,NA,NA,NA,19.2,11.1,7.13,84.5
1973-05-02,NA,NA,NA,19.1,13.1,6.64,94.5
1973-05-03,NA,NA,NA,7.5,1.9,8.19,100.0
1973-05-04,NA,NA,NA,5.4,1.6,8.24,90.3
1973-05-05,NA,NA,NA,9.9,3.3,8.06,60.3
1973-05-06,NA,NA,NA,13.1,5.0,3.67,64.7
1973-05-07,NA,NA,NA,18.9,5.8,7.05,94.2
1973-05-08,NA,NA,NA,18.3,13.7,7.26,94.5
1973-05-09,NA,NA,NA,16.1,12.3,5.47,80.2
1973-05-10,NA,NA,NA,17.7,12.7,6.12,91.6
1973-05-11,NA,NA,NA,13.5,7.7,6.56,63.8
1973-05-12,NA,NA,NA,11.6,7.8,7.31,66.8
1973-05-13,NA,NA,NA,7.6,2.7,3.74,100.0
1973-05-14,NA,NA,NA,9.3,4.3,4.64,74.5
1973-05-15,NA,NA,NA,9.7,3.0,5.75,62.4
