Daily data for a single station.
StationID:,725247-99999
StationName:,"CUYAHOGA CO"
Lat&Long:,41.567,-81.480
Elevation:,-999.900
Starts(YMD):,1973-01-01
Ends(YMD):,2005-12-31
Date,AirTempMax,AirTempMin,Precipitation,AirTemp,Dewpoint,WindSpeed,CloudCover
YYYY-MM-DD,Celsius,Celsius,Millimeters,Celsius,Celsius,MetersPerSecond,Percent
1973-01-01,NA,NA,NA,NA,NA,8.15,NA
1973-01-02,NA,NA,NA,NA,NA,3.87,NA
1973-01-03,NA,NA,NA,NA,NA,6.87,NA
1973-01-04,NA,NA,NA,NA,NA,8.36,NA
1973-01-05,NA,NA,NA,NA,NA,6.17,NA
1973-01-06,NA,NA,NA,NA,NA,5.82,NA
1973-01-07,NA,NA,NA,NA,NA,3.83,NA
1973-01-08,NA,NA,NA,NA,NA,3.11,NA
1973-01-09,NA,NA,NA,NA,NA,7.76,NA
1973-01-10,NA,NA,NA,NA,NA,8.05,56.0
1973-01-11,NA,NA,NA,NA,NA,7.63,94.8
1973-01-12,NA,NA,NA,NA,NA,6.09,64.8
1973-01-13,NA,NA,NA,NA,NA,7.12,49.5
1973-01-14,NA,NA,NA,NA,NA,6.92,90.3
1973-01-15,NA,NA,NA,NA,NA,4.32,100.0
1973-01-16,NA,NA,NA,NA,NA,8.59,74.8
1973-01-17,NA,NA,NA,NA,NA,7.18,62.9
1973-01-18,NA,NA,NA,NA,NA,6.98,66.5
1973-01-19,NA,NA,NA,NA,NA,8.66,100.0
1973-01-20,NA,NA,NA,NA,NA,4.34,78.3
1973-01-21,NA,NA,NA,NA,NA,6.55,86.1
1973-01-22,NA,NA,NA,NA,NA,8.98,83.8
1973-01-23,NA,NA,NA,NA,NA,8.85,100.0
1973-01-24,NA,NA,NA,0.0,NA,4.28,84.0
1973-01-25,NA,NA,NA,NA,NA,6.30,NA
1973-01-26,NA,NA,NA,NA,NA,2.62,77.3
1973-01-27,NA,NA,NA,NA,NA,2.05,97.8
1973-01-28,NA,NA,NA,NA,NA,4.69,100.0
1973-01-29,NA,NA,NA,NA,NA,6.46,76.8
1973-01-30,NA,NA,NA,NA,NA,5.57,79.3
1973-01-31,NA,NA,NA,NA,NA,5.71,87.6
1973-02-01,NA,NA,NA,NA,NA,6.74,86.4
1973-02-02,NA,NA,NA,12.7,NA,7.42,82.6
1973-02-03,NA,NA,NA,NA,NA,7.08,100.0
1973-02-04,NA,NA,NA,NA,NA,5.99,64.5
1973-02-05,NA,NA,NA,NA,NA,5.42,56.4
1973-02-06,NA,NA,NA,NA,NA,3.43,100.0
1973-02-07,NA,NA,NA,NA,NA,2.24,100.0
1973-02-08,NA,NA,NA,NA,NA,6.07,97.9
