Daily data for a single station.
StationID:,725260-14860
StationName:,"ERIE INTL/T. RIDGE FIELD"
Lat&Long:,42.080,-80.180
Elevation:,-999.900
Starts(YMD):,1973-01-01
Ends(YMD):,2024-10-22
Date,AirTempMax,AirTempMin,Precipitation,AirTemp,Dewpoint,WindSpeed,CloudCover
YYYY-MM-DD,Celsius,Celsius,Millimeters,Celsius,Celsius,MetersPerSecond,Percent
1973-01-01,NA,NA,NA,0.3,-6.4,7.07,93.2
1973-01-02,NA,NA,NA,-3.2,-10.0,6.19,92.2
1973-01-03,NA,NA,NA,-1.8,-9.6,5.64,58.0
1973-01-04,NA,NA,NA,1.9,-2.9,8.92,94.8
1973-01-05,NA,NA,NA,-3.4,-9.8,7.41,98.3
1973-01-06,NA,NA,NA,-7.9,-15.8,6.44,79.0
1973-01-07,NA,NA,NA,-9.2,-18.3,5.27,66.0
1973-01-08,NA,NA,NA,-10.2,-17.5,4.39,79.8
1973-01-09,NA,NA,NA,-8.5,-14.1,6.59,69.8
1973-01-10,NA,NA,NA,-9.8,-17.9,7.48,68.8
1973-01-11,NA,NA,NA,-9.0,-16.1,8.43,70.8
1973-01-12,NA,NA,NA,-7.4,-15.0,7.16,81.1
1973-01-13,NA,NA,NA,-4.1,-14.9,6.92,33.1
1973-01-14,NA,NA,NA,-0.9,-11.4,6.75,75.3
1973-01-15,NA,NA,NA,-0.5,-3.8,4.07,98.3
1973-01-16,NA,NA,NA,1.9,-0.2,7.86,75.6
1973-01-17,NA,NA,NA,9.0,3.5,7.86,62.3
1973-01-18,NA,NA,NA,11.2,4.0,6.99,57.0
1973-01-19,NA,NA,NA,7.1,4.2,8.65,90.6
1973-01-20,NA,NA,NA,-2.6,-4.7,5.85,68.3
1973-01-21,NA,NA,NA,-1.8,-6.9,4.42,49.3
1973-01-22,NA,NA,NA,7.9,3.4,8.96,78.6
1973-01-23,NA,NA,NA,1.9,1.7,7.37,95.8
1973-01-24,NA,NA,NA,-1.1,-2.1,6.50,84.9
1973-01-25,NA,NA,NA,2.2,-0.7,5.81,17.2
1973-01-26,NA,NA,NA,4.6,2.6,3.13,41.3
1973-01-27,NA,NA,NA,3.2,2.8,4.17,84.5
1973-01-28,NA,NA,NA,1.5,1.5,3.95,69.4
1973-01-29,NA,NA,NA,-6.6,-9.7,7.67,81.7
1973-01-30,NA,NA,NA,-5.6,-8.5,6.76,90.7
1973-01-31,NA,NA,NA,-3.4,-6.7,5.09,96.9
1973-02-01,NA,NA,NA,3.4,-3.0,9.73,89.7
1973-02-02,NA,NA,NA,8.0,6.1,9.16,84.3
1973-02-03,NA,NA,NA,0.2,-1.6,7.45,94.8
1973-02-04,NA,NA,NA,1.8,-1.5,5.62,94.3
1973-02-05,NA,NA,NA,0.3,-3.6,7.08,99.0
1973-02-06,NA,NA,NA,1.8,-2.3,5.02,84.2
1973-02-07,NA,NA,NA,0.8,0.2,3.61,81.9
1973-02-08,NA,NA,NA,-3.3,-6.5,5.61,68.5
