Daily data for a single station.
StationID:,725280-14733
StationName:,"BUFFALO NIAGARA INTERNATI"
Lat&Long:,42.940,-78.730
Elevation:,-999.900
Starts(YMD):,1942-02-01
Ends(YMD):,2024-10-22
Date,AirTempMax,AirTempMin,Precipitation,AirTemp,Dewpoint,WindSpeed,CloudCover
YYYY-MM-DD,Celsius,Celsius,Millimeters,Celsius,Celsius,MetersPerSecond,Percent
1942-02-01,NA,NA,NA,-6.3,-9.5,10.48,NA
1942-02-02,NA,NA,NA,-13.9,-19.3,7.39,NA
1942-02-03,NA,NA,NA,-12.8,-17.7,3.37,NA
1942-02-04,NA,NA,NA,-3.4,-9.4,4.81,NA
1942-02-05,NA,NA,NA,0.3,-1.1,4.60,NA
1942-02-06,NA,NA,NA,0.7,-0.6,6.22,NA
1942-02-07,NA,NA,NA,-0.5,-1.3,9.93,NA
1942-02-08,NA,NA,NA,-10.5,-15.2,9.64,NA
1942-02-09,NA,NA,NA,-11.8,-17.4,3.26,NA
1942-02-10,NA,NA,NA,-8.7,-14.2,6.86,NA
1942-02-11,NA,NA,NA,-8.0,-11.9,4.66,NA
1942-02-12,NA,NA,NA,-10.4,-15.5,5.45,NA
1942-02-13,NA,NA,NA,-8.0,-12.4,7.28,NA
1942-02-14,NA,NA,NA,-3.3,-7.8,8.89,NA
1942-02-15,NA,NA,NA,-1.1,-4.1,3.69,NA
1942-02-16,NA,NA,NA,3.3,1.1,6.37,NA
1942-02-17,NA,NA,NA,0.8,-2.4,8.80,NA
1942-02-18,NA,NA,NA,-4.1,-8.5,5.56,NA
1942-02-19,NA,NA,NA,-13.6,-20.9,10.95,NA
1942-02-20,NA,NA,NA,-11.3,-16.6,9.62,NA
1942-02-21,NA,NA,NA,-10.0,-14.4,9.42,NA
1942-02-22,NA,NA,NA,-5.5,-8.8,9.05,NA
1942-02-23,NA,NA,NA,-6.4,-10.2,6.94,NA
1942-02-24,NA,NA,NA,-7.3,-10.8,3.69,NA
1942-02-25,NA,NA,NA,-4.7,-7.9,7.96,NA
1942-02-26,NA,NA,NA,-5.8,-8.9,7.55,NA
1942-02-27,NA,NA,NA,-4.4,-7.8,8.03,NA
1942-02-28,NA,NA,NA,-0.2,-1.5,3.83,NA
1942-03-01,NA,NA,NA,-0.2,-1.9,5.16,NA
1942-03-02,NA,NA,NA,1.6,-2.3,3.64,NA
