Daily data for a single station.
StationID:,725287-04724
StationName:,"NIAGARA FALLS INTL AIRPOR"
Lat&Long:,43.108,-78.930
Elevation:,-999.900
Starts(YMD):,1951-06-12
Ends(YMD):,2024-10-22
Date,AirTempMax,AirTempMin,Precipitation,AirTemp,Dewpoint,WindSpeed,CloudCover
YYYY-MM-DD,Celsius,Celsius,Millimeters,Celsius,Celsius,MetersPerSecond,Percent
1951-06-12,NA,NA,NA,21.2,12.4,3.41,61.6
1951-06-13,NA,NA,NA,16.3,14.3,2.79,91.7
1951-06-14,NA,NA,NA,15.7,11.2,5.23,68.3
1951-06-15,NA,NA,NA,17.9,10.4,3.66,23.1
1951-06-16,NA,NA,NA,20.1,11.8,2.60,30.2
1951-06-17,NA,NA,NA,21.7,13.2,2.28,23.8
1951-06-18,NA,NA,NA,23.3,15.1,3.41,20.2
1951-06-19,NA,NA,NA,23.6,15.2,3.48,49.8
1951-06-20,NA,NA,NA,23.2,17.2,6.82,60.8
1951-06-21,NA,NA,NA,19.0,12.4,4.75,48.3
1951-06-22,NA,NA,NA,18.2,15.8,3.11,93.8
1951-06-23,NA,NA,NA,18.8,16.8,5.99,77.9
1951-06-24,NA,NA,NA,21.3,17.1,5.06,34.0
1951-06-25,NA,NA,NA,19.0,13.8,4.48,36.0
1951-06-26,NA,NA,NA,19.2,14.1,1.28,55.0
1951-06-27,NA,NA,NA,23.1,16.4,5.69,56.2
1951-06-28,NA,NA,NA,21.5,14.5,2.25,79.0
1951-06-29,NA,NA,NA,20.4,16.0,4.33,64.6
1951-06-30,NA,NA,NA,17.0,15.2,2.65,85.2
1951-07-01,NA,NA,NA,17.5,15.3,3.70,80.0
1951-07-02,NA,NA,NA,18.5,13.4,4.32,25.0
1951-07-03,NA,NA,NA,21.0,14.0,2.06,47.7
1951-07-04,NA,NA,NA,21.5,18.4,5.43,79.4
1951-07-05,NA,NA,NA,16.9,12.7,7.58,71.9
1951-07-06,NA,NA,NA,20.1,13.1,4.21,12.3
1951-07-07,NA,NA,NA,22.5,13.8,4.53,57.5
1951-07-08,NA,NA,NA,24.7,15.6,8.21,61.0
1951-07-09,NA,NA,NA,23.7,17.6,8.09,71.7
1951-07-10,NA,NA,NA,24.1,19.2,4.35,36.0
1951-07-11,NA,NA,NA,19.7,17.2,2.88,77.7
1951-07-12,NA,NA,NA,16.8,16.2,2.92,92.3
1951-07-13,NA,NA,NA,19.4,12.8,1.01,45.4
1951-07-14,NA,NA,NA,22.0,12.7,2.60,14.4
1951-07-15,NA,NA,NA,23.2,16.3,3.52,19.4
1951-07-16,NA,NA,NA,23.5,18.9,4.53,45.0
1951-07-17,NA,NA,NA,19.8,14.9,3.91,62.5
1951-07-18,NA,NA,NA,21.2,15.0,1.61,52.3
1951-07-19,NA,NA,NA,19.2,12.7,5.62,50.6
1951-07-20,NA,NA,NA,16.9,10.0,4.79,30.0
1951-07-21,NA,NA,NA,20.1,13.7,5.92,71.0
1951-07-22,NA,NA,NA,22.7,18.7,6.40,85.8
1951-07-23,NA,NA,NA,20.4,12.6,2.95,76.9
1951-07-24,NA,NA,NA,20.0,14.0,1.39,11.5
1951-07-25,NA,NA,NA,22.2,15.5,3.46,9.8
1951-07-26,NA,NA,NA,24.9,19.9,5.07,42.1
1951-07-27,NA,NA,NA,21.6,18.9,2.86,64.6
1951-07-28,NA,NA,NA,20.1,17.6,3.69,63.1
1951-07-29,NA,NA,NA,21.7,16.6,1.41,26.2
1951-07-30,NA,NA,NA,24.3,17.8,3.42,25.8
1951-07-31,NA,NA,NA,24.2,20.0,5.34,80.8
1951-08-01,NA,NA,NA,20.1,14.3,6.16,38.3
1951-08-02,NA,NA,NA,19.4,13.1,4.08,20.8
1951-08-03,NA,NA,NA,20.3,14.4,8.01,65.0
1951-08-04,NA,NA,NA,14.7,7.2,5.02,33.1
1951-08-05,NA,NA,NA,15.6,8.1,2.50,13.1
1951-08-06,NA,NA,NA,17.3,9.2,1.91,59.0
1951-08-07,NA,NA,NA,19.4,15.0,2.76,84.6
1951-08-08,NA,NA,NA,21.8,17.4,5.13,62.9
1951-08-09,NA,NA,NA,22.4,17.1,4.10,50.0
1951-08-10,NA,NA,NA,20.6,13.8,2.18,42.7
1951-08-11,NA,NA,NA,20.3,15.0,2.84,33.5
1951-08-12,NA,NA,NA,20.9,14.7,1.44,44.4
1951-08-13,NA,NA,NA,21.7,17.1,1.18,48.5
1951-08-14,NA,NA,NA,21.7,19.0,2.58,61.7
1951-08-15,NA,NA,NA,20.2,18.6,3.55,62.1
1951-08-16,NA,NA,NA,19.6,17.3,4.49,70.0
1951-08-17,NA,NA,NA,17.2,11.7,3.59,57.9
1951-08-18,NA,NA,NA,18.8,12.0,2.35,33.3
1951-08-19,NA,NA,NA,19.4,15.1,1.53,56.9
1951-08-20,NA,NA,NA,21.3,15.8,2.84,60.8
1951-08-21,NA,NA,NA,21.0,15.7,9.04,78.3
1951-08-22,NA,NA,NA,16.5,11.0,6.32,63.3
1951-08-23,NA,NA,NA,14.8,8.6,3.96,32.9
1951-08-24,NA,NA,NA,17.0,10.2,2.20,18.8
1951-08-25,NA,NA,NA,18.7,12.7,1.92,8.1
1951-08-26,NA,NA,NA,18.9,12.8,1.34,38.3
1951-08-27,NA,NA,NA,19.1,14.5,1.85,74.6
1951-08-28,NA,NA,NA,20.9,15.9,1.58,17.7
1951-08-29,NA,NA,NA,23.8,16.9,2.75,32.5
1951-08-30,NA,NA,NA,24.8,18.1,1.70,29.4
1951-08-31,NA,NA,NA,23.5,18.3,6.80,70.6
1951-09-01,NA,NA,NA,14.3,11.6,6.85,93.5
1951-09-02,NA,NA,NA,15.1,14.3,3.01,95.0
1951-09-03,NA,NA,NA,17.2,14.2,1.35,68.8
1951-09-04,NA,NA,NA,17.4,11.4,2.37,18.3
1951-09-05,NA,NA,NA,16.6,12.4,2.73,49.8
1951-09-06,NA,NA,NA,16.8,15.1,4.40,83.8
1951-09-07,NA,NA,NA,11.9,9.5,6.58,71.7
1951-09-08,NA,NA,NA,13.2,8.0,3.73,25.6
1951-09-09,NA,NA,NA,16.4,9.5,1.82,14.8
1951-09-10,NA,NA,NA,20.2,12.8,4.15,55.2
1951-09-11,NA,NA,NA,21.9,16.7,8.35,31.0
1951-09-12,NA,NA,NA,23.4,15.1,4.10,5.6
1951-09-13,NA,NA,NA,23.1,18.5,5.94,46.5
1951-09-14,NA,NA,NA,17.3,13.4,4.10,55.8
1951-09-15,NA,NA,NA,17.8,10.9,4.46,23.5
1951-09-16,NA,NA,NA,15.0,10.0,3.92,45.4
1951-09-17,NA,NA,NA,14.6,8.2,4.46,21.0
1951-09-18,NA,NA,NA,15.3,8.9,4.30,7.9
1951-09-19,NA,NA,NA,18.0,11.8,3.95,3.5
1951-09-20,NA,NA,NA,20.2,12.3,2.85,26.5
1951-09-21,NA,NA,NA,22.5,13.6,7.36,44.2
1951-09-22,NA,NA,NA,21.1,15.8,8.20,68.3
1951-09-23,NA,NA,NA,13.7,7.7,5.37,49.0
1951-09-24,NA,NA,NA,16.4,8.9,4.05,66.2
1951-09-25,NA,NA,NA,13.8,9.4,4.67,46.7
1951-09-26,NA,NA,NA,11.1,5.7,3.83,29.6
1951-09-27,NA,NA,NA,17.8,9.3,12.05,37.1
1951-09-28,NA,NA,NA,8.7,2.5,8.59,35.4
1951-09-29,NA,NA,NA,6.6,1.5,2.90,13.8
1951-09-30,NA,NA,NA,8.5,4.6,0.42,77.9
1951-10-01,NA,NA,NA,13.3,9.6,0.32,63.1
1951-10-02,NA,NA,NA,17.9,14.6,2.41,66.2
1951-10-03,NA,NA,NA,21.5,15.6,2.98,19.4
1951-10-04,NA,NA,NA,22.8,15.0,3.92,8.3
1951-10-05,NA,NA,NA,21.6,16.0,4.35,25.8
1951-10-06,NA,NA,NA,11.2,7.8,5.60,85.0
1951-10-07,NA,NA,NA,9.9,8.2,8.78,87.5
1951-10-08,NA,NA,NA,7.4,2.9,9.78,57.1
1951-10-09,NA,NA,NA,7.4,3.7,2.38,89.0
1951-10-10,NA,NA,NA,7.7,4.3,2.21,43.3
1951-10-11,NA,NA,NA,7.6,4.6,0.98,81.0
1951-10-12,NA,NA,NA,7.7,3.1,2.68,37.7
1951-10-13,NA,NA,NA,6.6,2.0,1.68,5.8
1951-10-14,NA,NA,NA,12.4,4.4,4.05,0.0
1951-10-15,NA,NA,NA,14.8,8.8,6.16,27.1
1951-10-16,NA,NA,NA,14.3,7.8,0.57,24.4
1951-10-17,NA,NA,NA,16.5,10.1,1.59,3.1
1951-10-18,NA,NA,NA,16.1,8.9,1.17,14.4
1951-10-19,NA,NA,NA,10.6,5.0,5.53,65.4
1951-10-20,NA,NA,NA,5.2,0.7,2.37,45.8
1951-10-21,NA,NA,NA,10.6,5.4,1.80,14.8
1951-10-22,NA,NA,NA,16.3,11.5,3.82,44.0
1951-10-23,NA,NA,NA,13.7,11.5,4.63,89.4
1951-10-24,NA,NA,NA,13.4,10.5,6.94,84.4
1951-10-25,NA,NA,NA,8.9,4.4,6.51,58.8
1951-10-26,NA,NA,NA,11.9,5.0,4.80,39.2
1951-10-27,NA,NA,NA,6.4,2.0,2.60,56.5
1951-10-28,NA,NA,NA,3.6,-0.3,4.40,66.0
1951-10-29,NA,NA,NA,5.3,-1.3,4.30,51.2
1951-10-30,NA,NA,NA,11.2,0.8,3.92,53.1
1951-10-31,NA,NA,NA,7.4,0.7,7.55,70.2
1951-11-01,NA,NA,NA,1.2,-2.8,2.97,63.3
1951-11-02,NA,NA,NA,0.8,-2.1,1.15,92.1
1951-11-03,NA,NA,NA,-2.8,-4.9,5.21,77.7
1951-11-04,NA,NA,NA,-3.0,-6.4,8.50,71.9
1951-11-05,NA,NA,NA,-6.4,-11.4,4.91,28.1
1951-11-06,NA,NA,NA,-6.3,-8.9,3.10,68.5
1951-11-07,NA,NA,NA,1.4,0.9,4.40,96.7
1951-11-08,NA,NA,NA,0.5,-0.8,7.15,88.5
1951-11-09,NA,NA,NA,2.8,-2.2,7.28,55.8
1951-11-10,NA,NA,NA,6.3,3.0,6.54,32.9
1951-11-11,NA,NA,NA,4.0,1.1,3.08,26.7
1951-11-12,NA,NA,NA,4.5,0.6,2.36,57.1
1951-11-13,NA,NA,NA,12.2,8.5,5.30,88.5
1951-11-14,NA,NA,NA,13.2,10.3,8.81,64.6
1951-11-15,NA,NA,NA,8.6,5.0,8.31,17.3
1951-11-16,NA,NA,NA,3.1,2.4,1.32,80.8
1951-11-17,NA,NA,NA,-0.6,-1.1,4.24,86.0
1951-11-18,NA,NA,NA,-3.4,-4.6,4.61,81.0
1951-11-19,NA,NA,NA,-4.5,-7.5,7.82,80.6
1951-11-20,NA,NA,NA,-5.4,-8.9,4.64,54.8
1951-11-21,NA,NA,NA,-2.8,-6.5,2.43,38.8
1951-11-22,NA,NA,NA,6.9,4.9,7.62,87.5
1951-11-23,NA,NA,NA,5.7,4.5,5.53,95.6
1951-11-24,NA,NA,NA,-1.3,-3.5,5.50,62.7
1951-11-25,NA,NA,NA,-2.2,-4.7,2.05,43.5
1951-11-26,NA,NA,NA,0.7,-0.4,8.10,88.3
1951-11-27,NA,NA,NA,-7.4,-10.7,4.33,51.5
1951-11-28,NA,NA,NA,-1.1,-4.5,4.90,60.4
1951-11-29,NA,NA,NA,2.5,0.5,2.92,87.9
1951-11-30,NA,NA,NA,6.1,3.7,4.55,45.6
1951-12-01,NA,NA,NA,7.1,5.0,4.98,47.9
1951-12-02,NA,NA,NA,4.9,3.3,0.69,41.7
1951-12-03,NA,NA,NA,7.2,3.7,1.79,19.2
1951-12-04,NA,NA,NA,10.9,8.7,7.02,56.2
1951-12-05,NA,NA,NA,4.2,3.7,1.41,60.0
1951-12-06,NA,NA,NA,8.5,7.1,2.98,66.7
1951-12-07,NA,NA,NA,13.8,11.3,7.97,56.7
1951-12-08,NA,NA,NA,5.6,3.0,6.73,61.2
1951-12-09,NA,NA,NA,2.7,1.7,2.88,84.4
1951-12-10,NA,NA,NA,-0.3,-3.6,6.55,83.8
1951-12-11,NA,NA,NA,-0.1,-2.7,8.10,98.3
1951-12-12,NA,NA,NA,-4.6,-8.0,6.12,79.8
1951-12-13,NA,NA,NA,-8.5,-12.7,7.03,38.8
1951-12-14,NA,NA,NA,-7.8,-11.4,3.89,57.7
1951-12-15,NA,NA,NA,-8.8,-12.6,8.97,78.3
1951-12-16,NA,NA,NA,-13.6,-19.0,9.67,22.1
1951-12-17,NA,NA,NA,-10.8,-17.0,8.65,31.9
1951-12-18,NA,NA,NA,-5.2,-6.9,5.89,98.3
1951-12-19,NA,NA,NA,-11.8,-14.8,3.40,66.9
1951-12-20,NA,NA,NA,-5.0,-7.4,3.30,100.0
1951-12-21,NA,NA,NA,1.1,0.3,9.12,91.5
1951-12-22,NA,NA,NA,-6.9,-8.4,17.26,74.8
1951-12-23,NA,NA,NA,-4.2,-7.2,3.69,81.2
1951-12-24,NA,NA,NA,-5.5,-9.6,6.76,43.1
1951-12-25,NA,NA,NA,-6.0,-8.5,2.09,92.7
1951-12-26,NA,NA,NA,-4.2,-6.8,5.12,84.2
1951-12-27,NA,NA,NA,-7.6,-11.3,7.84,43.3
1951-12-28,NA,NA,NA,-5.1,-9.1,5.67,85.2
1951-12-29,NA,NA,NA,3.2,0.8,6.20,83.1
1951-12-30,NA,NA,NA,2.1,1.3,2.45,66.2
1951-12-31,NA,NA,NA,1.6,0.0,2.01,64.8
1952-01-01,NA,NA,NA,6.6,5.3,6.63,67.1
1952-01-02,NA,NA,NA,-1.1,-3.7,4.17,82.5
1952-01-03,NA,NA,NA,-4.7,-7.3,6.73,49.4
1952-01-04,NA,NA,NA,-2.8,-5.3,3.89,64.0
1952-01-05,NA,NA,NA,-0.5,-1.7,6.17,99.0
1952-01-06,NA,NA,NA,-3.5,-6.3,2.62,86.0
1952-01-07,NA,NA,NA,-6.3,-9.2,0.88,75.4
1952-01-08,NA,NA,NA,-3.8,-7.1,2.85,81.2
1952-01-09,NA,NA,NA,-2.3,-4.2,3.51,89.6
1952-01-10,NA,NA,NA,-3.0,-5.9,6.76,65.4
1952-01-11,NA,NA,NA,-5.1,-8.9,5.97,68.3
1952-01-12,NA,NA,NA,0.7,-1.8,8.68,78.3
1952-01-13,NA,NA,NA,0.1,-2.4,1.18,85.8
1952-01-14,NA,NA,NA,2.3,1.6,1.35,89.6
1952-01-15,NA,NA,NA,7.1,4.5,12.27,80.8
1952-01-16,NA,NA,NA,-0.6,-4.3,4.07,83.8
1952-01-17,NA,NA,NA,5.6,2.9,6.38,90.4
1952-01-18,NA,NA,NA,-0.2,-4.3,8.55,80.6
1952-01-19,NA,NA,NA,-01.0,-3.6,3.48,67.3
1952-01-20,NA,NA,NA,2.1,0.4,10.22,86.0
1952-01-21,NA,NA,NA,-7.8,-11.8,5.89,67.7
1952-01-22,NA,NA,NA,-1.5,-4.8,7.38,85.4
1952-01-23,NA,NA,NA,-4.6,-8.2,10.99,87.1
1952-01-24,NA,NA,NA,-10.2,-14.8,2.56,61.2
1952-01-25,NA,NA,NA,-3.3,-6.5,3.08,96.7
1952-01-26,NA,NA,NA,3.1,2.2,2.85,91.5
1952-01-27,NA,NA,NA,-0.5,-1.2,3.17,79.6
1952-01-28,NA,NA,NA,-7.2,-10.2,6.75,69.4
1952-01-29,NA,NA,NA,-15.0,-18.3,4.12,60.8
1952-01-30,NA,NA,NA,-9.8,-13.3,6.44,62.1
1952-01-31,NA,NA,NA,-1.6,-5.7,9.11,71.7
1952-02-01,NA,NA,NA,5.2,2.1,10.21,57.5
1952-02-02,NA,NA,NA,3.1,0.4,2.52,75.6
1952-02-03,NA,NA,NA,2.4,0.6,2.56,71.0
1952-02-04,NA,NA,NA,5.9,3.7,4.32,88.5
1952-02-05,NA,NA,NA,0.5,-1.9,6.50,81.0
1952-02-06,NA,NA,NA,-1.4,-5.3,3.29,73.1
1952-02-07,NA,NA,NA,-2.4,-6.4,7.56,86.9
1952-02-08,NA,NA,NA,-0.8,-2.2,7.65,84.0
1952-02-09,NA,NA,NA,-2.0,-4.5,10.79,79.8
1952-02-10,NA,NA,NA,-1.4,-5.6,6.01,70.8
1952-02-11,NA,NA,NA,-0.0,-3.1,8.74,94.2
1952-02-12,NA,NA,NA,-5.6,-9.2,5.61,66.0
1952-02-13,NA,NA,NA,-10.9,-15.5,5.61,22.9
1952-02-14,NA,NA,NA,-10.8,-15.4,5.32,3.8
1952-02-15,NA,NA,NA,-8.1,-12.9,1.90,35.0
1952-02-16,NA,NA,NA,-2.5,-5.8,3.80,91.2
1952-02-17,NA,NA,NA,-0.5,-2.0,3.63,100.0
1952-02-18,NA,NA,NA,-1.3,-5.0,6.16,47.9
1952-02-19,NA,NA,NA,-6.6,-11.6,4.15,14.6
1952-02-20,NA,NA,NA,-3.6,-6.0,4.47,79.0
1952-02-21,NA,NA,NA,-1.6,-3.5,5.40,76.7
1952-02-22,NA,NA,NA,-2.8,-5.8,6.27,78.3
1952-02-23,NA,NA,NA,-3.2,-7.9,2.40,56.5
1952-02-24,NA,NA,NA,-3.0,-6.9,1.17,37.9
1952-02-25,NA,NA,NA,-2.9,-6.6,4.23,50.2
1952-02-26,NA,NA,NA,-1.1,-5.5,6.51,48.3
1952-02-27,NA,NA,NA,-0.8,-4.6,3.10,51.0
1952-02-28,NA,NA,NA,-2.3,-5.4,2.80,61.7
1952-02-29,NA,NA,NA,-1.9,-5.9,3.05,38.1
1952-03-01,NA,NA,NA,-3.1,-6.8,3.79,68.1
1952-03-02,NA,NA,NA,-3.5,-8.9,2.99,58.3
1952-03-03,NA,NA,NA,-1.1,-3.9,5.09,98.5
1952-03-04,NA,NA,NA,3.6,1.4,4.48,90.8
1952-03-05,NA,NA,NA,-2.7,-5.2,8.56,84.8
1952-03-06,NA,NA,NA,-6.8,-10.6,5.83,91.2
1952-03-07,NA,NA,NA,-4.6,-8.0,4.16,88.5
1952-03-08,NA,NA,NA,-4.0,-6.4,3.93,75.6
1952-03-09,NA,NA,NA,-1.8,-5.7,1.65,72.5
1952-03-10,NA,NA,NA,4.8,-0.3,3.57,70.0
1952-03-11,NA,NA,NA,5.2,2.7,6.47,78.1
1952-03-12,NA,NA,NA,0.6,-3.7,5.14,30.2
1952-03-13,NA,NA,NA,-2.3,-5.2,5.97,70.2
1952-03-14,NA,NA,NA,-4.3,-8.1,6.92,40.2
1952-03-15,NA,NA,NA,-4.5,-8.3,7.12,58.3
1952-03-16,NA,NA,NA,-5.5,-8.0,9.62,97.3
1952-03-17,NA,NA,NA,-2.0,-5.1,6.91,80.8
1952-03-18,NA,NA,NA,0.6,-2.0,3.07,78.3
1952-03-19,NA,NA,NA,4.4,2.4,5.60,85.4
1952-03-20,NA,NA,NA,5.3,3.7,5.99,68.5
1952-03-21,NA,NA,NA,5.3,3.4,4.52,48.8
1952-03-22,NA,NA,NA,0.1,-1.6,6.20,71.7
1952-03-23,NA,NA,NA,2.8,0.8,8.03,60.4
1952-03-24,NA,NA,NA,0.5,-2.7,7.88,60.8
1952-03-25,NA,NA,NA,2.3,-1.5,3.57,45.2
1952-03-26,NA,NA,NA,1.8,-0.7,7.35,65.0
1952-03-27,NA,NA,NA,-0.7,-5.5,4.16,51.0
1952-03-28,NA,NA,NA,-0.2,-4.3,2.31,47.5
1952-03-29,NA,NA,NA,1.1,-2.3,1.47,34.6
1952-03-30,NA,NA,NA,3.1,-0.9,1.27,56.0
1952-03-31,NA,NA,NA,12.7,5.6,5.65,71.5
1952-04-01,NA,NA,NA,10.9,9.6,4.97,77.7
1952-04-02,NA,NA,NA,6.0,3.6,6.14,44.4
1952-04-03,NA,NA,NA,3.8,0.9,8.33,61.5
1952-04-04,NA,NA,NA,2.8,0.2,3.74,66.9
1952-04-05,NA,NA,NA,5.4,5.0,6.62,79.4
1952-04-06,NA,NA,NA,1.7,0.7,9.32,92.5
1952-04-07,NA,NA,NA,1.5,-0.0,4.70,83.5
1952-04-08,NA,NA,NA,4.1,1.9,1.23,79.4
1952-04-09,NA,NA,NA,7.3,3.5,2.44,27.1
1952-04-10,NA,NA,NA,10.3,4.4,8.50,55.8
1952-04-11,NA,NA,NA,0.3,-5.5,4.76,70.0
1952-04-12,NA,NA,NA,2.8,-1.9,3.07,91.0
1952-04-13,NA,NA,NA,8.2,6.8,4.50,73.1
1952-04-14,NA,NA,NA,8.3,7.3,3.12,81.2
1952-04-15,NA,NA,NA,4.6,2.4,6.88,60.0
1952-04-16,NA,NA,NA,7.2,1.8,5.18,12.1
1952-04-17,NA,NA,NA,9.6,4.7,5.65,25.6
1952-04-18,NA,NA,NA,11.6,7.2,5.19,54.8
1952-04-19,NA,NA,NA,11.9,7.5,7.12,58.8
1952-04-20,NA,NA,NA,15.0,6.5,4.29,42.5
1952-04-21,NA,NA,NA,12.4,4.6,1.49,2.3
1952-04-22,NA,NA,NA,16.9,11.4,7.62,66.5
1952-04-23,NA,NA,NA,7.2,2.3,5.50,79.8
1952-04-24,NA,NA,NA,8.3,1.1,3.05,50.0
1952-04-25,NA,NA,NA,10.7,6.3,2.95,49.6
1952-04-26,NA,NA,NA,10.6,4.1,2.66,37.7
1952-04-27,NA,NA,NA,12.6,3.4,2.62,31.2
1952-04-28,NA,NA,NA,14.7,5.9,3.22,50.8
1952-04-29,NA,NA,NA,14.8,7.5,4.41,1.0
1952-04-30,NA,NA,NA,12.2,3.2,5.02,2.7
1952-05-01,NA,NA,NA,7.4,0.4,3.08,44.6
1952-05-02,NA,NA,NA,7.3,-1.3,6.66,6.2
1952-05-03,NA,NA,NA,8.8,-2.0,5.82,10.6
1952-05-04,NA,NA,NA,11.5,0.7,4.77,48.5
1952-05-05,NA,NA,NA,11.2,3.8,2.55,35.8
1952-05-06,NA,NA,NA,13.1,6.3,8.78,37.1
1952-05-07,NA,NA,NA,8.5,1.3,7.13,21.9
1952-05-08,NA,NA,NA,9.2,3.4,2.28,55.4
1952-05-09,NA,NA,NA,12.7,4.2,3.03,60.4
1952-05-10,NA,NA,NA,14.8,8.6,4.40,82.5
1952-05-11,NA,NA,NA,12.4,8.4,6.40,83.5
1952-05-12,NA,NA,NA,7.6,6.6,9.19,81.0
1952-05-13,NA,NA,NA,7.9,5.1,8.23,59.4
1952-05-14,NA,NA,NA,11.5,7.3,6.06,46.5
1952-05-15,NA,NA,NA,11.9,9.3,4.56,67.3
1952-05-16,NA,NA,NA,9.1,3.0,5.49,23.3
1952-05-17,NA,NA,NA,10.4,5.8,1.33,66.0
1952-05-18,NA,NA,NA,12.8,6.9,2.71,47.5
1952-05-19,NA,NA,NA,13.9,7.5,3.32,63.3
1952-05-20,NA,NA,NA,11.5,9.2,2.79,86.2
1952-05-21,NA,NA,NA,11.4,9.2,7.05,83.8
1952-05-22,NA,NA,NA,15.1,8.4,3.64,28.3
1952-05-23,NA,NA,NA,15.2,9.4,3.01,60.4
1952-05-24,NA,NA,NA,14.5,12.2,3.41,66.5
1952-05-25,NA,NA,NA,16.2,13.7,5.18,82.1
1952-05-26,NA,NA,NA,15.9,11.4,4.13,39.8
1952-05-27,NA,NA,NA,16.6,11.0,2.98,25.8
1952-05-28,NA,NA,NA,16.3,11.3,4.55,49.6
1952-05-29,NA,NA,NA,12.1,6.4,3.61,63.8
1952-05-30,NA,NA,NA,13.4,7.5,2.74,45.0
1952-05-31,NA,NA,NA,18.0,12.8,2.62,30.2
1952-06-01,NA,NA,NA,16.2,11.3,3.92,43.5
1952-06-02,NA,NA,NA,15.6,8.5,2.53,21.9
1952-06-03,NA,NA,NA,18.6,12.2,4.12,57.5
1952-06-04,NA,NA,NA,15.4,12.0,3.88,76.7
1952-06-05,NA,NA,NA,16.1,10.9,3.48,63.8
1952-06-06,NA,NA,NA,21.4,16.6,7.94,67.3
1952-06-07,NA,NA,NA,18.3,13.3,5.10,39.2
1952-06-08,NA,NA,NA,20.0,15.1,6.28,36.7
1952-06-09,NA,NA,NA,20.4,13.8,7.15,46.5
1952-06-10,NA,NA,NA,18.0,11.6,8.02,42.1
1952-06-11,NA,NA,NA,13.2,8.4,7.35,48.8
1952-06-12,NA,NA,NA,16.2,8.1,3.69,12.7
1952-06-13,NA,NA,NA,19.1,11.0,1.46,64.8
1952-06-14,NA,NA,NA,21.7,15.6,3.56,68.3
1952-06-15,NA,NA,NA,24.1,15.9,2.49,47.3
1952-06-16,NA,NA,NA,23.5,16.3,2.94,71.5
1952-06-17,NA,NA,NA,25.7,16.9,6.88,39.8
1952-06-18,NA,NA,NA,19.8,12.7,7.55,2.3
1952-06-19,NA,NA,NA,19.0,11.4,7.63,24.0
1952-06-20,NA,NA,NA,15.3,6.3,2.40,42.9
1952-06-21,NA,NA,NA,17.3,11.1,2.88,82.5
