Daily data for a single station.
StationID:,725306-14855
StationName:,"GLENVIEW NAS"
Lat&Long:,42.083,-87.830
Elevation:,-999.900
Starts(YMD):,1973-01-01
Ends(YMD):,1995-04-01
Date,AirTempMax,AirTempMin,Precipitation,AirTemp,Dewpoint,WindSpeed,CloudCover
YYYY-MM-DD,Celsius,Celsius,Millimeters,Celsius,Celsius,MetersPerSecond,Percent
1973-01-01,NA,NA,NA,-5.3,-9.6,5.49,68.8
1973-01-02,NA,NA,NA,-5.0,-10.1,1.64,0.0
1973-01-03,NA,NA,NA,-0.5,-3.5,3.67,78.3
1973-01-04,NA,NA,NA,-5.3,-8.2,6.53,82.1
1973-01-05,NA,NA,NA,-13.1,-15.9,3.53,64.3
1973-01-06,NA,NA,NA,-13.2,-17.4,2.65,65.0
1973-01-07,NA,NA,NA,-7.7,-12.2,1.54,76.2
1973-01-08,NA,NA,NA,-5.8,-12.9,2.14,67.5
1973-01-09,NA,NA,NA,-12.7,-18.2,4.18,40.0
1973-01-10,NA,NA,NA,-12.9,-18.8,5.47,51.0
1973-01-11,NA,NA,NA,-10.0,-16.7,4.45,57.9
1973-01-12,NA,NA,NA,-7.6,-14.6,4.20,64.9
1973-01-13,NA,NA,NA,-0.5,-11.6,6.84,72.4
1973-01-14,NA,NA,NA,1.1,-6.1,3.47,91.9
1973-01-15,NA,NA,NA,1.8,-3.4,2.42,97.3
1973-01-16,NA,NA,NA,5.6,-0.7,6.55,75.9
1973-01-17,NA,NA,NA,10.7,7.0,6.28,90.3
1973-01-18,NA,NA,NA,11.5,8.8,6.45,87.3
1973-01-19,NA,NA,NA,2.6,-1.4,5.44,97.4
1973-01-20,NA,NA,NA,-1.6,-5.3,2.58,83.6
1973-01-21,NA,NA,NA,-0.5,-3.7,4.64,94.0
1973-01-22,NA,NA,NA,4.6,4.1,4.31,96.0
1973-01-23,NA,NA,NA,0.1,-3.3,4.18,86.2
1973-01-24,NA,NA,NA,0.1,-4.6,1.81,54.1
1973-01-25,NA,NA,NA,5.3,1.3,2.93,NA
1973-01-26,NA,NA,NA,7.4,2.8,0.71,75.5
1973-01-27,NA,NA,NA,5.1,3.2,2.07,94.3
1973-01-28,NA,NA,NA,-1.1,-4.7,5.82,98.6
1973-01-29,NA,NA,NA,-4.9,-10.8,3.32,46.2
1973-01-30,NA,NA,NA,-1.9,-6.9,3.50,64.0
1973-01-31,NA,NA,NA,1.2,-1.7,3.28,79.1
1973-02-01,NA,NA,NA,8.0,6.5,3.98,90.7
1973-02-02,NA,NA,NA,5.2,4.2,3.63,98.1
1973-02-03,NA,NA,NA,3.2,-1.2,4.01,89.6
1973-02-04,NA,NA,NA,5.9,1.9,2.74,64.9
1973-02-05,NA,NA,NA,3.8,1.9,4.70,95.3
1973-02-06,NA,NA,NA,3.9,0.1,1.15,86.4
1973-02-07,NA,NA,NA,-1.4,-4.1,2.24,94.5
1973-02-08,NA,NA,NA,-10.2,-13.5,3.03,30.0
1973-02-09,NA,NA,NA,-9.8,-13.4,1.85,71.4
1973-02-10,NA,NA,NA,-5.4,-10.7,2.01,74.0
1973-02-11,NA,NA,NA,-3.7,-11.4,3.39,40.3
1973-02-12,NA,NA,NA,-2.1,-10.2,2.91,39.4
1973-02-13,NA,NA,NA,0.8,-5.9,3.18,90.6
1973-02-14,NA,NA,NA,1.2,0.2,2.24,100.0
1973-02-15,NA,NA,NA,-5.8,-9.3,5.64,87.9
1973-02-16,NA,NA,NA,-11.9,-15.6,5.03,53.2
1973-02-17,NA,NA,NA,-9.2,-12.8,3.49,78.8
1973-02-18,NA,NA,NA,-2.2,-5.5,4.23,100.0
1973-02-19,NA,NA,NA,1.7,-1.6,5.19,100.0
1973-02-20,NA,NA,NA,1.5,-2.4,3.36,83.5
1973-02-21,NA,NA,NA,-2.4,-8.1,5.28,66.2
1973-02-22,NA,NA,NA,-2.8,-8.5,3.34,77.4
1973-02-23,NA,NA,NA,0.0,-4.7,2.56,53.4
1973-02-24,NA,NA,NA,0.6,-3.8,2.88,81.5
1973-02-25,NA,NA,NA,-0.0,-4.0,5.32,96.9
1973-02-26,NA,NA,NA,-1.6,-5.8,6.22,79.7
1973-02-27,NA,NA,NA,-1.8,-7.5,1.88,37.5
1973-02-28,NA,NA,NA,2.1,-2.7,3.64,85.6
1973-03-01,NA,NA,NA,7.2,1.3,4.10,94.3
1973-03-02,NA,NA,NA,8.2,6.2,1.02,92.0
1973-03-03,NA,NA,NA,9.1,7.9,0.65,93.1
1973-03-04,NA,NA,NA,4.3,2.7,3.37,92.4
1973-03-05,NA,NA,NA,4.2,2.7,2.74,95.7
1973-03-06,NA,NA,NA,11.1,8.5,2.33,90.6
1973-03-07,NA,NA,NA,13.6,6.6,6.94,60.4
1973-03-08,NA,NA,NA,7.3,0.6,2.13,64.6
1973-03-09,NA,NA,NA,3.1,0.8,3.37,86.9
1973-03-10,NA,NA,NA,7.2,6.3,1.68,100.0
1973-03-11,NA,NA,NA,14.9,11.0,7.29,82.7
1973-03-12,NA,NA,NA,6.2,1.8,3.29,94.6
1973-03-13,NA,NA,NA,9.0,4.9,2.53,76.3
1973-03-14,NA,NA,NA,15.3,8.7,5.28,70.1
1973-03-15,NA,NA,NA,12.1,5.4,5.60,77.8
1973-03-16,NA,NA,NA,2.8,0.9,4.00,99.0
1973-03-17,NA,NA,NA,-0.9,-5.1,6.55,74.3
1973-03-18,NA,NA,NA,0.7,-9.8,3.49,NA
1973-03-19,NA,NA,NA,0.1,-3.9,2.63,62.6
1973-03-20,NA,NA,NA,1.5,-3.8,4.59,60.4
1973-03-21,NA,NA,NA,0.9,-6.4,2.81,51.7
1973-03-22,NA,NA,NA,0.4,-4.2,1.30,62.1
1973-03-23,NA,NA,NA,5.1,-2.3,1.95,66.0
1973-03-24,NA,NA,NA,7.4,-1.0,2.77,88.4
1973-03-25,NA,NA,NA,5.9,-1.0,5.40,91.9
1973-03-26,NA,NA,NA,6.3,-0.3,6.65,82.1
1973-03-27,NA,NA,NA,5.3,-3.4,0.71,35.4
1973-03-28,NA,NA,NA,6.4,2.3,0.27,83.9
