Daily data for a single station.
StationID:,725337-99999
StationName:,"GARY CHICAGO"
Lat&Long:,41.617,-87.400
Elevation:,-999.900
Starts(YMD):,1981-01-26
Ends(YMD):,2005-12-31
Date,AirTempMax,AirTempMin,Precipitation,AirTemp,Dewpoint,WindSpeed,CloudCover
YYYY-MM-DD,Celsius,Celsius,Millimeters,Celsius,Celsius,MetersPerSecond,Percent
1981-01-26,NA,NA,NA,5.0,NA,9.20,100.0
1981-01-27,NA,NA,NA,NA,NA,NA,NA
1981-01-28,NA,NA,NA,NA,NA,NA,NA
1981-01-29,NA,NA,NA,NA,NA,NA,NA
1981-01-30,NA,NA,NA,NA,NA,NA,NA
1981-01-31,NA,NA,NA,NA,NA,NA,NA
1981-02-01,NA,NA,NA,NA,NA,NA,NA
1981-02-02,NA,NA,NA,NA,NA,NA,NA
1981-02-03,NA,NA,NA,NA,NA,NA,NA
1981-02-04,NA,NA,NA,NA,NA,NA,NA
1981-02-05,NA,NA,NA,NA,NA,NA,NA
1981-02-06,NA,NA,NA,NA,NA,NA,NA
1981-02-07,NA,NA,NA,NA,NA,NA,NA
1981-02-08,NA,NA,NA,NA,NA,NA,NA
1981-02-09,NA,NA,NA,NA,NA,NA,NA
1981-02-10,NA,NA,NA,NA,NA,NA,NA
1981-02-11,NA,NA,NA,NA,NA,NA,NA
1981-02-12,NA,NA,NA,-13.8,NA,3.00,43.0
1981-02-13,NA,NA,NA,NA,NA,NA,NA
1981-02-14,NA,NA,NA,NA,NA,NA,NA
1981-02-15,NA,NA,NA,NA,NA,NA,NA
1981-02-16,NA,NA,NA,NA,NA,NA,NA
1981-02-17,NA,NA,NA,NA,NA,NA,NA
1981-02-18,NA,NA,NA,15.6,NA,7.20,43.0
1981-02-19,NA,NA,NA,NA,NA,NA,NA
1981-02-20,NA,NA,NA,NA,NA,NA,NA
1981-02-21,NA,NA,NA,NA,NA,NA,NA
1981-02-22,NA,NA,NA,NA,NA,NA,NA
1981-02-23,NA,NA,NA,NA,NA,NA,NA
1981-02-24,NA,NA,NA,NA,NA,NA,NA
1981-02-25,NA,NA,NA,NA,NA,NA,NA
1981-02-26,NA,NA,NA,NA,NA,NA,NA
1981-02-27,NA,NA,NA,NA,NA,NA,NA
1981-02-28,NA,NA,NA,NA,NA,NA,NA
1981-03-01,NA,NA,NA,NA,NA,NA,NA
1981-03-02,NA,NA,NA,NA,NA,NA,NA
1981-03-03,NA,NA,NA,NA,NA,NA,NA
1981-03-04,NA,NA,NA,NA,NA,NA,NA
1981-03-05,NA,NA,NA,NA,NA,NA,NA
1981-03-06,NA,NA,NA,NA,NA,NA,NA
1981-03-07,NA,NA,NA,NA,NA,NA,NA
1981-03-08,NA,NA,NA,NA,NA,NA,NA
1981-03-09,NA,NA,NA,NA,NA,NA,NA
1981-03-10,NA,NA,NA,NA,NA,NA,NA
1981-03-11,NA,NA,NA,NA,NA,NA,NA
1981-03-12,NA,NA,NA,NA,NA,NA,NA
1981-03-13,NA,NA,NA,NA,NA,NA,NA
1981-03-14,NA,NA,NA,NA,NA,NA,NA
1981-03-15,NA,NA,NA,NA,NA,NA,NA
1981-03-16,NA,NA,NA,NA,NA,NA,NA
1981-03-17,NA,NA,NA,NA,NA,NA,NA
1981-03-18,NA,NA,NA,NA,NA,NA,NA
1981-03-19,NA,NA,NA,NA,NA,NA,NA
1981-03-20,NA,NA,NA,2.8,NA,4.10,43.0
1981-03-21,NA,NA,NA,NA,NA,NA,NA
1981-03-22,NA,NA,NA,4.4,NA,5.10,69.0
1981-03-23,NA,NA,NA,NA,NA,NA,NA
1981-03-24,NA,NA,NA,NA,NA,NA,NA
1981-03-25,NA,NA,NA,NA,NA,NA,NA
1981-03-26,NA,NA,NA,NA,NA,NA,NA
1981-03-27,NA,NA,NA,NA,NA,NA,NA
1981-03-28,NA,NA,NA,NA,NA,NA,NA
1981-03-29,NA,NA,NA,NA,NA,NA,NA
1981-03-30,NA,NA,NA,NA,NA,NA,NA
1981-03-31,NA,NA,NA,NA,NA,NA,NA
1981-04-01,NA,NA,NA,NA,NA,NA,NA
1981-04-02,NA,NA,NA,NA,NA,NA,NA
1981-04-03,NA,NA,NA,NA,NA,NA,NA
1981-04-04,NA,NA,NA,9.8,NA,12.80,100.0
1981-04-05,NA,NA,NA,NA,NA,NA,NA
1981-04-06,NA,NA,NA,NA,NA,NA,NA
1981-04-07,NA,NA,NA,20.0,NA,6.10,43.0
1981-04-08,NA,NA,NA,NA,NA,NA,NA
1981-04-09,NA,NA,NA,NA,NA,NA,NA
1981-04-10,NA,NA,NA,NA,NA,NA,NA
1981-04-11,NA,NA,NA,NA,NA,NA,NA
1981-04-12,NA,NA,NA,NA,NA,NA,NA
1981-04-13,NA,NA,NA,NA,NA,NA,NA
1981-04-14,NA,NA,NA,NA,NA,NA,NA
1981-04-15,NA,NA,NA,NA,NA,NA,NA
1981-04-16,NA,NA,NA,NA,NA,NA,NA
1981-04-17,NA,NA,NA,24.4,NA,7.20,43.0
1981-04-18,NA,NA,NA,NA,NA,NA,NA
1981-04-19,NA,NA,NA,NA,NA,NA,NA
1981-04-20,NA,NA,NA,NA,NA,NA,NA
1981-04-21,NA,NA,NA,12.8,NA,6.10,69.0
1981-04-22,NA,NA,NA,NA,NA,NA,NA
1981-04-23,NA,NA,NA,NA,NA,NA,NA
1981-04-24,NA,NA,NA,NA,NA,NA,NA
1981-04-25,NA,NA,NA,NA,NA,NA,NA
1981-04-26,NA,NA,NA,NA,NA,NA,NA
1981-04-27,NA,NA,NA,NA,NA,NA,NA
1981-04-28,NA,NA,NA,NA,NA,NA,NA
1981-04-29,NA,NA,NA,NA,NA,NA,NA
1981-04-30,NA,NA,NA,NA,NA,NA,NA
1981-05-01,NA,NA,NA,NA,NA,NA,NA
1981-05-02,NA,NA,NA,NA,NA,NA,NA
1981-05-03,NA,NA,NA,NA,NA,NA,NA
1981-05-04,NA,NA,NA,NA,NA,NA,NA
1981-05-05,NA,NA,NA,NA,NA,NA,NA
1981-05-06,NA,NA,NA,NA,NA,NA,NA
1981-05-07,NA,NA,NA,NA,NA,NA,NA
1981-05-08,NA,NA,NA,NA,NA,NA,NA
1981-05-09,NA,NA,NA,NA,NA,NA,NA
1981-05-10,NA,NA,NA,NA,NA,NA,NA
1981-05-11,NA,NA,NA,NA,NA,NA,NA
1981-05-12,NA,NA,NA,NA,NA,NA,NA
1981-05-13,NA,NA,NA,NA,NA,NA,NA
1981-05-14,NA,NA,NA,NA,NA,NA,NA
1981-05-15,NA,NA,NA,NA,NA,NA,NA
1981-05-16,NA,NA,NA,NA,NA,NA,NA
1981-05-17,NA,NA,NA,NA,NA,NA,NA
1981-05-18,NA,NA,NA,NA,NA,NA,NA
1981-05-19,NA,NA,NA,NA,NA,NA,NA
1981-05-20,NA,NA,NA,NA,NA,NA,NA
1981-05-21,NA,NA,NA,NA,NA,NA,NA
1981-05-22,NA,NA,NA,NA,NA,NA,NA
1981-05-23,NA,NA,NA,NA,NA,NA,NA
1981-05-24,NA,NA,NA,NA,NA,NA,NA
1981-05-25,NA,NA,NA,NA,NA,NA,NA
1981-05-26,NA,NA,NA,NA,NA,NA,NA
1981-05-27,NA,NA,NA,NA,NA,NA,NA
1981-05-28,NA,NA,NA,NA,NA,NA,NA
1981-05-29,NA,NA,NA,NA,NA,NA,NA
1981-05-30,NA,NA,NA,NA,NA,NA,NA
1981-05-31,NA,NA,NA,NA,NA,NA,NA
