Daily data for a single station.
StationID:,725346-94866
StationName:,"CHICAGO/MEIGS"
Lat&Long:,41.867,-87.600
Elevation:,-999.900
Starts(YMD):,1973-01-01
Ends(YMD):,2008-06-18
Date,AirTempMax,AirTempMin,Precipitation,AirTemp,Dewpoint,WindSpeed,CloudCover
YYYY-MM-DD,Celsius,Celsius,Millimeters,Celsius,Celsius,MetersPerSecond,Percent
1973-01-01,NA,NA,NA,-3.3,-10.4,7.56,NA
1973-01-02,NA,NA,NA,-2.8,-9.1,4.57,NA
1973-01-03,NA,NA,NA,1.3,-2.4,7.56,NA
1973-01-04,NA,NA,NA,-6.3,-10.4,8.01,NA
1973-01-05,NA,NA,NA,-10.7,-18.4,5.14,NA
1973-01-06,NA,NA,NA,-9.8,-17.9,4.99,NA
1973-01-07,NA,NA,NA,-5.6,-16.0,5.12,NA
1973-01-08,NA,NA,NA,-5.7,-10.8,3.95,NA
1973-01-09,NA,NA,NA,-11.4,-20.3,6.43,NA
1973-01-10,NA,NA,NA,-10.9,-19.0,7.54,NA
1973-01-11,NA,NA,NA,-9.1,-17.8,7.66,43.0
1973-01-12,NA,NA,NA,-6.0,-13.7,6.68,66.1
1973-01-13,NA,NA,NA,-0.6,-8.8,7.69,59.2
1973-01-14,NA,NA,NA,0.5,-3.1,5.42,84.5
1973-01-15,NA,NA,NA,2.0,-0.8,4.34,96.4
1973-01-16,NA,NA,NA,5.5,0.4,7.99,65.6
1973-01-17,NA,NA,NA,10.0,6.5,8.02,94.5
1973-01-18,NA,NA,NA,9.9,7.3,8.05,87.8
1973-01-19,NA,NA,NA,1.6,-2.2,8.04,98.3
1973-01-20,NA,NA,NA,-0.6,-4.0,7.46,98.2
1973-01-21,NA,NA,NA,-0.1,-3.0,8.51,88.1
1973-01-22,NA,NA,NA,3.9,2.3,7.13,96.4
1973-01-23,NA,NA,NA,-0.9,-4.6,7.01,94.5
1973-01-24,NA,NA,NA,1.3,-4.1,4.37,54.6
1973-01-25,NA,NA,NA,7.1,1.2,6.72,NA
1973-01-26,NA,NA,NA,6.1,2.2,2.46,71.6
1973-01-27,NA,NA,NA,4.3,1.6,6.28,100.0
1973-01-28,NA,NA,NA,-1.1,-3.5,8.26,100.0
1973-01-29,NA,NA,NA,-3.0,-9.6,5.73,54.7
1973-01-30,NA,NA,NA,-0.7,-6.8,5.55,59.2
1973-01-31,NA,NA,NA,1.5,-0.9,6.29,92.6
1973-02-01,NA,NA,NA,4.3,3.0,6.97,97.4
1973-02-02,NA,NA,NA,4.1,2.7,6.54,100.0
1973-02-03,NA,NA,NA,2.2,-2.1,6.71,79.8
1973-02-04,NA,NA,NA,5.9,0.9,5.64,60.5
1973-02-05,NA,NA,NA,2.9,0.9,7.31,100.0
1973-02-06,NA,NA,NA,2.7,-01.0,4.92,89.4
1973-02-07,NA,NA,NA,-2.0,-4.8,6.96,96.6
1973-02-08,NA,NA,NA,-8.2,-15.3,6.48,43.0
1973-02-09,NA,NA,NA,-7.7,-14.3,4.98,50.4
1973-02-10,NA,NA,NA,-3.3,-8.1,5.36,74.1
1973-02-11,NA,NA,NA,-3.6,-8.8,7.68,56.0
1973-02-12,NA,NA,NA,-1.0,-6.2,7.01,43.0
1973-02-13,NA,NA,NA,0.7,-2.7,6.27,91.5
1973-02-14,NA,NA,NA,1.3,0.6,5.03,100.0
1973-02-15,NA,NA,NA,-4.5,-7.7,7.34,94.5
1973-02-16,NA,NA,NA,-9.3,-11.4,6.49,80.0
1973-02-17,NA,NA,NA,-8.2,-12.1,5.73,62.1
1973-02-18,NA,NA,NA,-2.6,-4.7,5.74,100.0
1973-02-19,NA,NA,NA,1.5,-1.1,6.55,100.0
1973-02-20,NA,NA,NA,1.2,-2.0,5.53,86.2
1973-02-21,NA,NA,NA,-2.4,-9.6,6.52,66.1
1973-02-22,NA,NA,NA,-1.5,-6.8,6.19,77.3
1973-02-23,NA,NA,NA,0.6,-3.6,5.58,57.4
1973-02-24,NA,NA,NA,1.4,-1.8,5.89,76.6
1973-02-25,NA,NA,NA,0.6,-2.5,7.48,96.6
1973-02-26,NA,NA,NA,-1.2,-4.9,9.22,87.9
1973-02-27,NA,NA,NA,-1.5,-6.1,4.76,47.3
1973-02-28,NA,NA,NA,3.4,-0.9,6.56,65.9
1973-03-01,NA,NA,NA,7.4,1.3,4.78,87.9
1973-03-02,NA,NA,NA,7.0,4.6,3.22,92.2
