Daily data for a single station.
StationID:,725347-14880
StationName:,"WAUKEGAN REGIONAL AIRPORT"
Lat&Long:,42.417,-87.860
Elevation:,-999.900
Starts(YMD):,2006-01-01
Ends(YMD):,2024-10-22
Date,AirTempMax,AirTempMin,Precipitation,AirTemp,Dewpoint,WindSpeed,CloudCover
YYYY-MM-DD,Celsius,Celsius,Millimeters,Celsius,Celsius,MetersPerSecond,Percent
2006-01-01,NA,NA,NA,1.6,-0.0,4.35,68.3
2006-01-02,NA,NA,NA,3.9,3.4,6.17,100.0
2006-01-03,NA,NA,NA,3.5,3.1,2.49,100.0
2006-01-04,NA,NA,NA,3.9,2.6,4.08,100.0
2006-01-05,NA,NA,NA,0.9,-3.4,4.61,100.0
2006-01-06,NA,NA,NA,-1.8,-6.8,4.55,99.2
2006-01-07,NA,NA,NA,0.4,-3.5,3.25,97.7
2006-01-08,NA,NA,NA,2.7,-0.7,4.68,47.9
2006-01-09,NA,NA,NA,1.4,-3.0,3.01,98.2
2006-01-10,NA,NA,NA,-0.7,-3.5,2.66,69.3
2006-01-11,NA,NA,NA,3.2,2.1,3.96,71.6
2006-01-12,NA,NA,NA,6.9,2.4,5.38,8.1
2006-01-13,NA,NA,NA,2.8,0.8,5.05,82.9
2006-01-14,NA,NA,NA,-0.9,-6.8,3.47,59.0
2006-01-15,NA,NA,NA,0.9,-3.1,6.19,16.7
2006-01-16,NA,NA,NA,2.7,-0.8,5.33,9.1
2006-01-17,NA,NA,NA,1.0,-1.5,4.24,100.0
2006-01-18,NA,NA,NA,-2.9,-9.1,5.10,67.6
2006-01-19,NA,NA,NA,5.1,0.4,3.66,4.0
2006-01-20,NA,NA,NA,0.9,-1.2,3.89,75.5
2006-01-21,NA,NA,NA,-3.5,-5.9,2.31,21.7
2006-01-22,NA,NA,NA,-2.4,-3.6,2.93,58.0
2006-01-23,NA,NA,NA,-4.1,-6.7,4.72,43.3
2006-01-24,NA,NA,NA,2.0,-2.7,7.72,86.0
2006-01-25,NA,NA,NA,-1.1,-7.8,4.45,27.1
2006-01-26,NA,NA,NA,-2.1,-6.9,2.94,0.0
2006-01-27,NA,NA,NA,4.4,-3.0,7.36,7.3
2006-01-28,NA,NA,NA,4.6,1.9,3.40,81.7
2006-01-29,NA,NA,NA,6.1,4.8,4.17,100.0
2006-01-30,NA,NA,NA,0.8,-2.0,4.01,99.9
2006-01-31,NA,NA,NA,0.0,-3.9,3.56,58.8
2006-02-01,NA,NA,NA,4.0,-0.9,4.97,97.3
2006-02-02,NA,NA,NA,0.5,-1.5,1.51,31.1
2006-02-03,NA,NA,NA,2.0,-0.2,2.56,95.7
2006-02-04,NA,NA,NA,-1.9,-5.2,5.12,99.8
2006-02-05,NA,NA,NA,-3.2,-8.6,4.95,59.1
2006-02-06,NA,NA,NA,-3.4,-12.9,5.10,0.0
2006-02-07,NA,NA,NA,-4.2,-13.8,3.09,37.3
2006-02-08,NA,NA,NA,-5.3,-10.3,4.03,59.8
2006-02-09,NA,NA,NA,-5.2,-11.9,3.43,25.9
2006-02-10,NA,NA,NA,-1.4,-4.2,2.78,99.9
2006-02-11,NA,NA,NA,-1.8,-4.2,2.68,95.4
2006-02-12,NA,NA,NA,-3.9,-9.0,3.33,95.6
2006-02-13,NA,NA,NA,-3.8,-10.0,4.22,51.7
2006-02-14,NA,NA,NA,2.3,-4.3,4.49,11.1
2006-02-15,NA,NA,NA,0.7,-3.3,4.39,46.2
2006-02-16,NA,NA,NA,-0.5,-1.8,7.13,100.0
2006-02-17,NA,NA,NA,-8.8,-15.2,5.86,14.4
2006-02-18,NA,NA,NA,-19.0,-26.0,5.23,0.0
2006-02-19,NA,NA,NA,-12.2,-19.4,4.34,0.0
2006-02-20,NA,NA,NA,-5.7,-12.5,5.53,23.3
2006-02-21,NA,NA,NA,-3.2,-10.1,2.58,1.0
2006-02-22,NA,NA,NA,1.2,-6.3,3.32,17.5
2006-02-23,NA,NA,NA,-0.4,-7.9,4.10,11.4
2006-02-24,NA,NA,NA,-1.2,-8.3,4.39,32.3
2006-02-25,NA,NA,NA,-1.9,-11.6,5.09,4.0
2006-02-26,NA,NA,NA,-4.8,-17.2,2.93,30.8
2006-02-27,NA,NA,NA,-2.3,-8.3,4.27,71.4
