Daily data for a single station.
StationID:,725347-99999
StationName:,"CHICAGO/WAUKEGAN"
Lat&Long:,42.417,-87.860
Elevation:,-999.900
Starts(YMD):,1989-04-21
Ends(YMD):,2005-12-31
Date,AirTempMax,AirTempMin,Precipitation,AirTemp,Dewpoint,WindSpeed,CloudCover
YYYY-MM-DD,Celsius,Celsius,Millimeters,Celsius,Celsius,MetersPerSecond,Percent
1989-04-21,NA,NA,NA,NA,NA,6.57,82.8
1989-04-22,NA,NA,NA,NA,NA,NA,NA
1989-04-23,NA,NA,NA,NA,NA,NA,NA
1989-04-24,NA,NA,NA,NA,NA,5.67,100.0
1989-04-25,NA,NA,NA,NA,NA,3.35,77.9
1989-04-26,NA,NA,NA,NA,NA,5.38,85.5
1989-04-27,NA,NA,NA,NA,NA,4.32,89.7
1989-04-28,NA,NA,NA,NA,NA,6.15,100.0
1989-04-29,NA,NA,NA,NA,NA,3.42,81.4
1989-04-30,NA,NA,NA,NA,NA,5.01,47.7
1989-05-01,NA,NA,NA,9.4,3.9,4.44,74.5
1989-05-02,NA,NA,NA,NA,NA,3.87,80.7
1989-05-03,NA,NA,NA,NA,NA,4.93,56.0
1989-05-04,NA,NA,NA,NA,NA,6.66,78.3
1989-05-05,NA,NA,NA,NA,NA,7.86,66.4
1989-05-06,NA,NA,NA,NA,NA,3.71,95.6
1989-05-07,NA,NA,NA,NA,NA,3.79,53.4
1989-05-08,NA,NA,NA,NA,NA,4.05,95.9
1989-05-09,NA,NA,NA,NA,NA,6.29,69.7
1989-05-10,NA,NA,NA,NA,NA,6.40,81.0
1989-05-11,NA,NA,NA,NA,NA,5.94,NA
1989-05-12,NA,NA,NA,NA,NA,5.63,81.7
1989-05-13,NA,NA,NA,NA,NA,5.76,62.6
1989-05-14,NA,NA,NA,NA,NA,3.70,53.0
1989-05-15,NA,NA,NA,NA,NA,3.50,89.7
1989-05-16,NA,NA,NA,NA,NA,3.12,43.0
1989-05-17,NA,NA,NA,NA,NA,4.13,69.5
1989-05-18,NA,NA,NA,NA,NA,5.17,100.0
1989-05-19,NA,NA,NA,NA,NA,5.21,100.0
1989-05-20,NA,NA,NA,NA,NA,5.60,83.2
1989-05-21,NA,NA,NA,NA,NA,4.27,65.9
1989-05-22,NA,NA,NA,NA,NA,3.31,97.8
1989-05-23,NA,NA,NA,NA,NA,3.91,46.7
1989-05-24,NA,NA,NA,NA,NA,6.99,86.7
1989-05-25,NA,NA,NA,NA,NA,3.64,83.7
1989-05-26,NA,NA,NA,NA,NA,6.64,43.0
1989-05-27,NA,NA,NA,NA,NA,4.77,43.0
1989-05-28,NA,NA,NA,NA,NA,5.39,68.4
1989-05-29,NA,NA,NA,NA,NA,6.08,92.8
1989-05-30,NA,NA,NA,NA,NA,5.70,87.9
1989-05-31,NA,NA,NA,NA,NA,5.44,75.9
1989-06-01,NA,NA,NA,NA,NA,2.98,100.0
1989-06-02,NA,NA,NA,NA,NA,5.25,50.4
1989-06-03,NA,NA,NA,NA,NA,4.18,92.8
1989-06-04,NA,NA,NA,NA,NA,3.72,80.2
1989-06-05,NA,NA,NA,NA,NA,3.23,54.1
1989-06-06,NA,NA,NA,NA,NA,4.87,65.5
