Daily data for a single station.
StationID:,725370-94847
StationName:,"DETROIT METRO WAYNE COUNT"
Lat&Long:,42.231,-83.330
Elevation:,-999.900
Starts(YMD):,1942-08-01
Ends(YMD):,2024-10-22
Date,AirTempMax,AirTempMin,Precipitation,AirTemp,Dewpoint,WindSpeed,CloudCover
YYYY-MM-DD,Celsius,Celsius,Millimeters,Celsius,Celsius,MetersPerSecond,Percent
1942-08-01,NA,NA,NA,23.1,19.4,1.06,68.2
1942-08-02,NA,NA,NA,23.9,20.2,4.99,70.9
1942-08-03,NA,NA,NA,21.4,14.4,2.08,30.0
1942-08-04,NA,NA,NA,20.4,12.9,2.37,33.9
1942-08-05,NA,NA,NA,19.9,13.6,1.99,33.9
1942-08-06,NA,NA,NA,20.1,14.6,0.93,77.7
1942-08-07,NA,NA,NA,19.6,16.8,2.66,86.7
1942-08-08,NA,NA,NA,21.0,18.7,1.63,85.4
1942-08-09,NA,NA,NA,20.6,18.0,1.12,62.5
1942-08-10,NA,NA,NA,20.1,16.4,1.80,53.7
1942-08-11,NA,NA,NA,18.5,15.3,3.16,61.5
1942-08-12,NA,NA,NA,19.6,15.1,1.88,41.4
1942-08-13,NA,NA,NA,21.5,17.4,1.95,55.0
1942-08-14,NA,NA,NA,24.1,18.3,1.41,66.5
1942-08-15,NA,NA,NA,24.3,19.2,3.56,75.2
1942-08-16,NA,NA,NA,21.1,16.2,3.53,72.3
1942-08-17,NA,NA,NA,20.0,13.7,1.96,38.5
1942-08-18,NA,NA,NA,20.9,15.3,1.36,63.5
1942-08-19,NA,NA,NA,21.8,16.4,2.17,NA
1942-08-20,NA,NA,NA,24.1,19.1,3.95,5.0
1942-08-21,NA,NA,NA,25.0,20.4,4.83,48.2
1942-08-22,NA,NA,NA,23.7,20.6,6.05,55.3
1942-08-23,NA,NA,NA,17.9,12.3,4.45,62.7
1942-08-24,NA,NA,NA,13.2,7.9,2.55,42.2
1942-08-25,NA,NA,NA,15.2,8.2,1.36,30.8
1942-08-26,NA,NA,NA,17.9,11.8,1.86,64.3
1942-08-27,NA,NA,NA,20.3,18.0,4.12,97.9
1942-08-28,NA,NA,NA,22.8,19.9,2.93,71.1
1942-08-29,NA,NA,NA,20.9,17.7,1.47,45.6
1942-08-30,NA,NA,NA,22.7,18.5,1.09,58.5
1942-08-31,NA,NA,NA,22.8,18.5,2.32,26.7
1942-09-01,NA,NA,NA,21.6,16.4,1.40,25.0
1942-09-02,NA,NA,NA,23.4,17.6,3.12,50.3
1942-09-03,NA,NA,NA,18.2,14.8,5.52,94.0
1942-09-04,NA,NA,NA,18.0,10.0,1.81,41.7
1942-09-05,NA,NA,NA,17.6,12.6,2.65,25.0
1942-09-06,NA,NA,NA,16.9,11.5,1.92,49.5
1942-09-07,NA,NA,NA,19.7,16.2,1.68,57.3
1942-09-08,NA,NA,NA,22.5,20.5,1.75,83.5
1942-09-09,NA,NA,NA,22.9,19.7,4.81,78.8
1942-09-10,NA,NA,NA,20.3,16.9,3.74,75.8
1942-09-11,NA,NA,NA,18.8,15.0,1.66,63.5
1942-09-12,NA,NA,NA,19.7,15.9,4.13,50.9
1942-09-13,NA,NA,NA,18.5,11.2,0.86,20.9
1942-09-14,NA,NA,NA,21.3,16.8,4.00,48.7
1942-09-15,NA,NA,NA,23.4,18.5,4.54,49.1
1942-09-16,NA,NA,NA,24.0,19.4,3.69,47.5
1942-09-17,NA,NA,NA,23.9,20.0,2.72,38.6
1942-09-18,NA,NA,NA,23.7,20.7,2.65,61.5
1942-09-19,NA,NA,NA,21.2,19.9,6.16,79.3
1942-09-20,NA,NA,NA,11.7,6.4,6.63,75.3
1942-09-21,NA,NA,NA,11.2,3.7,0.84,15.0
1942-09-22,NA,NA,NA,11.3,4.6,6.10,65.6
1942-09-23,NA,NA,NA,11.2,5.4,4.48,78.0
1942-09-24,NA,NA,NA,7.9,2.5,8.51,77.8
1942-09-25,NA,NA,NA,5.9,1.6,2.68,80.0
1942-09-26,NA,NA,NA,11.8,8.7,5.68,89.0
1942-09-27,NA,NA,NA,6.7,2.5,7.21,78.9
1942-09-28,NA,NA,NA,5.0,-2.0,4.86,21.5
1942-09-29,NA,NA,NA,7.5,0.0,2.12,55.7
1942-09-30,NA,NA,NA,12.4,6.2,1.47,38.1
1942-10-01,NA,NA,NA,14.0,7.6,1.76,28.8
1942-10-02,NA,NA,NA,14.2,11.6,3.90,58.3
1942-10-03,NA,NA,NA,17.9,13.8,2.25,78.0
1942-10-04,NA,NA,NA,17.8,14.6,8.72,85.8
1942-10-05,NA,NA,NA,11.9,10.2,5.15,66.6
1942-10-06,NA,NA,NA,11.7,5.9,4.98,18.5
1942-10-07,NA,NA,NA,14.4,7.5,2.74,31.2
1942-10-08,NA,NA,NA,17.9,8.8,5.07,51.4
1942-10-09,NA,NA,NA,14.5,9.3,3.10,65.0
1942-10-10,NA,NA,NA,11.2,7.0,2.80,27.1
1942-10-11,NA,NA,NA,12.0,6.5,0.78,NA
1942-10-12,NA,NA,NA,12.2,7.0,4.12,NA
1942-10-13,NA,NA,NA,12.2,8.1,2.99,57.4
1942-10-14,NA,NA,NA,13.1,12.8,2.96,89.6
1942-10-15,NA,NA,NA,14.0,13.7,3.53,100.0
1942-10-16,NA,NA,NA,13.3,13.1,2.56,100.0
1942-10-17,NA,NA,NA,12.0,10.0,4.24,84.3
1942-10-18,NA,NA,NA,12.0,5.9,5.00,42.3
1942-10-19,NA,NA,NA,10.7,4.1,2.30,49.2
1942-10-20,NA,NA,NA,10.6,5.2,1.54,33.5
1942-10-21,NA,NA,NA,12.3,7.3,3.88,68.5
1942-10-22,NA,NA,NA,7.1,4.6,4.00,80.0
1942-10-23,NA,NA,NA,5.3,-0.1,6.49,59.3
1942-10-24,NA,NA,NA,3.7,-2.6,2.31,24.5
1942-10-25,NA,NA,NA,7.1,2.6,2.86,100.0
1942-10-26,NA,NA,NA,1.3,-5.8,8.63,74.8
1942-10-27,NA,NA,NA,1.5,-3.6,7.70,89.4
1942-10-28,NA,NA,NA,3.8,-2.4,2.65,55.0
1942-10-29,NA,NA,NA,11.0,7.3,3.11,86.5
1942-10-30,NA,NA,NA,15.9,12.6,7.28,95.2
1942-10-31,NA,NA,NA,9.9,6.7,7.64,88.0
1942-11-01,NA,NA,NA,6.2,0.6,4.64,63.7
1942-11-02,NA,NA,NA,6.2,1.5,9.03,75.5
1942-11-03,NA,NA,NA,3.7,-0.9,3.78,75.6
1942-11-04,NA,NA,NA,3.5,-1.3,1.69,42.5
1942-11-05,NA,NA,NA,7.8,4.8,4.74,86.5
1942-11-06,NA,NA,NA,5.5,2.2,4.07,54.1
1942-11-07,NA,NA,NA,5.9,2.8,1.65,41.3
1942-11-08,NA,NA,NA,5.5,2.9,1.35,33.7
1942-11-09,NA,NA,NA,8.5,7.1,3.37,95.8
1942-11-10,NA,NA,NA,6.8,2.9,12.06,93.8
1942-11-11,NA,NA,NA,01.0,-5.2,7.65,70.0
1942-11-12,NA,NA,NA,3.2,-1.4,7.11,57.1
1942-11-13,NA,NA,NA,-0.1,-6.2,10.93,56.1
1942-11-14,NA,NA,NA,-3.9,-9.3,3.77,45.0
1942-11-15,NA,NA,NA,6.5,-2.5,4.13,41.5
