Daily data for a single station.
StationID:,725374-99999
StationName:,"ANN ARBOR MUNICIPAL"
Lat&Long:,42.223,-87.740
Elevation:,-999.900
Starts(YMD):,1978-12-05
Ends(YMD):,2005-12-31
Date,AirTempMax,AirTempMin,Precipitation,AirTemp,Dewpoint,WindSpeed,CloudCover
YYYY-MM-DD,Celsius,Celsius,Millimeters,Celsius,Celsius,MetersPerSecond,Percent
1978-12-05,NA,NA,NA,NA,NA,10.50,84.5
1978-12-06,NA,NA,NA,NA,NA,NA,NA
1978-12-07,NA,NA,NA,NA,NA,NA,NA
1978-12-08,NA,NA,NA,NA,NA,NA,NA
1978-12-09,NA,NA,NA,NA,NA,NA,NA
1978-12-10,NA,NA,NA,NA,NA,NA,NA
1978-12-11,NA,NA,NA,NA,NA,NA,NA
1978-12-12,NA,NA,NA,NA,NA,NA,NA
1978-12-13,NA,NA,NA,NA,NA,NA,NA
1978-12-14,NA,NA,NA,NA,NA,NA,NA
1978-12-15,NA,NA,NA,NA,NA,NA,NA
1978-12-16,NA,NA,NA,NA,NA,NA,NA
1978-12-17,NA,NA,NA,NA,NA,NA,NA
1978-12-18,NA,NA,NA,NA,NA,NA,NA
1978-12-19,NA,NA,NA,NA,NA,5.90,100.0
1978-12-20,NA,NA,NA,NA,NA,6.77,100.0
1978-12-21,NA,NA,NA,NA,NA,7.84,97.9
1978-12-22,NA,NA,NA,NA,NA,9.19,55.3
1978-12-23,NA,NA,NA,NA,NA,4.78,55.2
1978-12-24,NA,NA,NA,NA,NA,3.02,83.3
1978-12-25,NA,NA,NA,NA,NA,8.12,76.7
1978-12-26,NA,NA,NA,NA,NA,5.07,87.9
1978-12-27,NA,NA,NA,NA,NA,6.51,71.1
1978-12-28,NA,NA,NA,NA,NA,3.87,61.4
1978-12-29,NA,NA,NA,NA,NA,6.41,100.0
1978-12-30,NA,NA,NA,NA,NA,2.48,100.0
1978-12-31,NA,NA,NA,NA,NA,5.25,100.0
1979-01-01,NA,NA,NA,NA,NA,5.89,100.0
1979-01-02,NA,NA,NA,NA,NA,9.01,59.9
1979-01-03,NA,NA,NA,NA,NA,10.60,60.4
1979-01-04,NA,NA,NA,NA,NA,8.41,66.0
1979-01-05,NA,NA,NA,NA,NA,5.02,80.8
1979-01-06,NA,NA,NA,NA,NA,5.32,62.5
1979-01-07,NA,NA,NA,NA,NA,NA,NA
1979-01-08,NA,NA,NA,NA,NA,NA,NA
1979-01-09,NA,NA,NA,NA,NA,NA,NA
1979-01-10,NA,NA,NA,NA,NA,NA,NA
1979-01-11,NA,NA,NA,NA,NA,NA,NA
1979-01-12,NA,NA,NA,NA,NA,NA,NA
1979-01-13,NA,NA,NA,NA,NA,NA,NA
1979-01-14,NA,NA,NA,NA,NA,NA,NA
1979-01-15,NA,NA,NA,NA,NA,NA,NA
1979-01-16,NA,NA,NA,NA,NA,NA,NA
1979-01-17,NA,NA,NA,NA,NA,NA,NA
1979-01-18,NA,NA,NA,NA,NA,NA,NA
1979-01-19,NA,NA,NA,NA,NA,NA,NA
1979-01-20,NA,NA,NA,NA,NA,3.00,NA
1979-01-21,NA,NA,NA,NA,NA,NA,NA
1979-01-22,NA,NA,NA,NA,NA,NA,NA
1979-01-23,NA,NA,NA,NA,NA,NA,NA
1979-01-24,NA,NA,NA,NA,NA,NA,NA
1979-01-25,NA,NA,NA,NA,NA,NA,NA
1979-01-26,NA,NA,NA,NA,NA,6.10,100.0
1979-01-27,NA,NA,NA,NA,NA,NA,NA
1979-01-28,NA,NA,NA,NA,NA,NA,NA
1979-01-29,NA,NA,NA,NA,NA,NA,NA
1979-01-30,NA,NA,NA,NA,NA,NA,NA
1979-01-31,NA,NA,NA,NA,NA,NA,NA
1979-02-01,NA,NA,NA,NA,NA,NA,NA
1979-02-02,NA,NA,NA,NA,NA,NA,NA
1979-02-03,NA,NA,NA,NA,NA,5.10,NA
