Daily data for a single station.
StationID:,725386-99999
StationName:,"PORT HOPE"
Lat&Long:,44.017,-82.780
Elevation:,-999.900
Starts(YMD):,1978-11-28
Ends(YMD):,2005-12-31
Date,AirTempMax,AirTempMin,Precipitation,AirTemp,Dewpoint,WindSpeed,CloudCover
YYYY-MM-DD,Celsius,Celsius,Millimeters,Celsius,Celsius,MetersPerSecond,Percent
1978-11-28,NA,NA,NA,NA,NA,NA,NA
1978-11-29,NA,NA,NA,NA,NA,NA,NA
1978-11-30,NA,NA,NA,NA,NA,NA,NA
1978-12-01,NA,NA,NA,NA,NA,NA,NA
1978-12-02,NA,NA,NA,NA,NA,NA,NA
1978-12-03,NA,NA,NA,NA,NA,NA,NA
1978-12-04,NA,NA,NA,NA,NA,NA,NA
1978-12-05,NA,NA,NA,NA,NA,NA,NA
1978-12-06,NA,NA,NA,0.6,-7.1,0.00,NA
1978-12-07,NA,NA,NA,NA,NA,NA,NA
1978-12-08,NA,NA,NA,NA,NA,NA,NA
1978-12-09,NA,NA,NA,NA,NA,NA,NA
1978-12-10,NA,NA,NA,NA,NA,NA,NA
1978-12-11,NA,NA,NA,NA,NA,NA,NA
1978-12-12,NA,NA,NA,NA,NA,NA,NA
1978-12-13,NA,NA,NA,NA,NA,NA,NA
1978-12-14,NA,NA,NA,NA,NA,NA,NA
1978-12-15,NA,NA,NA,1.1,-4.6,4.60,NA
1978-12-16,NA,NA,NA,2.8,-1.0,0.00,NA
1978-12-17,NA,NA,NA,NA,NA,NA,NA
1978-12-18,NA,NA,NA,NA,NA,NA,NA
1978-12-19,NA,NA,NA,NA,NA,NA,NA
1978-12-20,NA,NA,NA,-0.2,-1.6,3.60,NA
1978-12-21,NA,NA,NA,-1.6,-4.9,4.60,NA
1978-12-22,NA,NA,NA,NA,NA,NA,NA
1978-12-23,NA,NA,NA,-2.7,-6.0,0.00,NA
1978-12-24,NA,NA,NA,NA,NA,NA,NA
1978-12-25,NA,NA,NA,-2.1,-3.2,4.10,NA
1978-12-26,NA,NA,NA,NA,NA,NA,NA
1978-12-27,NA,NA,NA,NA,NA,NA,NA
1978-12-28,NA,NA,NA,NA,NA,NA,NA
1978-12-29,NA,NA,NA,NA,NA,NA,NA
1978-12-30,NA,NA,NA,0.0,-1.0,0.00,NA
1978-12-31,NA,NA,NA,NA,NA,NA,NA
1979-01-01,NA,NA,NA,-2.7,-3.8,0.00,NA
1979-01-02,NA,NA,NA,-5.8,-8.8,1.80,NA
1979-01-03,NA,NA,NA,-17.7,NA,NA,NA
1979-01-04,NA,NA,NA,-14.3,-21.0,3.60,NA
1979-01-05,NA,NA,NA,NA,NA,NA,NA
1979-01-06,NA,NA,NA,-14.6,-17.2,0.00,NA
1979-01-07,NA,NA,NA,NA,NA,NA,NA
1979-01-08,NA,NA,NA,-12.1,-16.0,4.60,NA
1979-01-09,NA,NA,NA,NA,NA,NA,NA
1979-01-10,NA,NA,NA,NA,NA,NA,NA
1979-01-11,NA,NA,NA,NA,NA,NA,NA
1979-01-12,NA,NA,NA,NA,NA,NA,NA
1979-01-13,NA,NA,NA,NA,NA,NA,NA
1979-01-14,NA,NA,NA,NA,NA,NA,NA
1979-01-15,NA,NA,NA,NA,NA,NA,NA
1979-01-16,NA,NA,NA,NA,NA,NA,NA
