Daily data for a single station.
StationID:,725394-04839
StationName:,"TULIP CITY AIRPORT"
Lat&Long:,42.746,-86.090
Elevation:,-999.900
Starts(YMD):,2006-01-01
Ends(YMD):,2024-10-22
Date,AirTempMax,AirTempMin,Precipitation,AirTemp,Dewpoint,WindSpeed,CloudCover
YYYY-MM-DD,Celsius,Celsius,Millimeters,Celsius,Celsius,MetersPerSecond,Percent
2006-01-01,NA,NA,NA,2.1,-0.5,4.39,79.8
2006-01-02,NA,NA,NA,3.8,2.9,6.73,99.9
2006-01-03,NA,NA,NA,3.8,2.3,2.79,100.0
2006-01-04,NA,NA,NA,4.4,3.4,4.12,100.0
2006-01-05,NA,NA,NA,1.2,-2.4,5.19,99.9
2006-01-06,NA,NA,NA,-1.9,-6.5,4.24,100.0
2006-01-07,NA,NA,NA,0.8,-2.2,4.27,100.0
2006-01-08,NA,NA,NA,2.4,-01.0,4.33,60.3
2006-01-09,NA,NA,NA,1.9,-2.3,3.76,99.7
2006-01-10,NA,NA,NA,0.8,-3.5,3.17,74.1
2006-01-11,NA,NA,NA,3.7,2.6,5.47,92.1
2006-01-12,NA,NA,NA,7.1,1.7,5.38,4.0
2006-01-13,NA,NA,NA,5.3,3.2,4.71,99.4
2006-01-14,NA,NA,NA,-0.6,-6.4,4.91,60.3
2006-01-15,NA,NA,NA,-1.3,-5.9,4.74,33.8
2006-01-16,NA,NA,NA,0.0,-4.4,6.31,0.0
2006-01-17,NA,NA,NA,1.4,0.0,3.38,96.7
2006-01-18,NA,NA,NA,-1.2,-4.6,7.52,85.0
2006-01-19,NA,NA,NA,4.0,0.1,3.78,16.5
2006-01-20,NA,NA,NA,3.1,0.8,4.20,84.1
2006-01-21,NA,NA,NA,-1.8,-4.4,2.25,52.6
2006-01-22,NA,NA,NA,-2.8,-5.1,1.41,2.2
2006-01-23,NA,NA,NA,-1.7,-4.6,3.59,50.2
2006-01-24,NA,NA,NA,1.3,-2.4,9.64,96.7
2006-01-25,NA,NA,NA,-0.4,-6.2,5.51,100.0
2006-01-26,NA,NA,NA,-1.2,-5.1,1.55,13.1
2006-01-27,NA,NA,NA,3.4,-3.3,5.06,24.4
2006-01-28,NA,NA,NA,6.4,1.2,4.05,67.9
2006-01-29,NA,NA,NA,6.8,5.7,7.08,100.0
2006-01-30,NA,NA,NA,1.4,-0.7,5.11,100.0
2006-01-31,NA,NA,NA,0.2,-3.4,3.84,97.0
2006-02-01,NA,NA,NA,3.4,-0.9,4.99,89.6
2006-02-02,NA,NA,NA,2.9,-0.6,1.60,36.4
2006-02-03,NA,NA,NA,3.3,1.3,2.53,96.9
2006-02-04,NA,NA,NA,1.3,-1.5,4.67,99.9
2006-02-05,NA,NA,NA,-1.2,-5.1,7.91,100.0
2006-02-06,NA,NA,NA,-2.7,-8.8,6.14,99.4
2006-02-07,NA,NA,NA,-2.4,-8.9,3.06,100.0
2006-02-08,NA,NA,NA,-4.6,-10.5,2.11,70.6
2006-02-09,NA,NA,NA,-3.5,-10.2,3.95,23.8
2006-02-10,NA,NA,NA,-1.7,-3.8,2.80,100.0
2006-02-11,NA,NA,NA,-2.9,-5.9,1.63,78.4
2006-02-12,NA,NA,NA,-4.3,-7.6,2.41,100.0
2006-02-13,NA,NA,NA,-2.6,-7.7,6.23,100.0
2006-02-14,NA,NA,NA,1.0,-3.8,4.51,40.3
2006-02-15,NA,NA,NA,2.1,-1.3,2.65,53.5
2006-02-16,NA,NA,NA,0.3,-0.9,5.45,100.0
2006-02-17,NA,NA,NA,-5.8,-11.1,7.23,99.6
2006-02-18,NA,NA,NA,-14.0,-17.9,4.33,99.9
2006-02-19,NA,NA,NA,-9.0,-13.9,6.84,99.4
2006-02-20,NA,NA,NA,-4.0,-10.0,8.01,99.8
2006-02-21,NA,NA,NA,-3.0,-8.1,4.30,63.3
2006-02-22,NA,NA,NA,-0.4,-4.0,3.14,32.3
2006-02-23,NA,NA,NA,-0.1,-4.8,4.91,59.5
2006-02-24,NA,NA,NA,-0.8,-8.4,3.76,55.0
2006-02-25,NA,NA,NA,-0.6,-7.5,6.91,56.2
2006-02-26,NA,NA,NA,-4.8,-12.7,2.94,40.0
2006-02-27,NA,NA,NA,-2.4,-7.9,3.31,76.7
2006-02-28,NA,NA,NA,-4.3,-10.3,1.50,22.6
2006-03-01,NA,NA,NA,-0.9,-10.1,3.59,44.2
2006-03-02,NA,NA,NA,-0.7,-4.3,3.15,95.3
2006-03-03,NA,NA,NA,-2.7,-8.0,3.17,86.0
2006-03-04,NA,NA,NA,-3.8,-7.2,2.12,54.8
2006-03-05,NA,NA,NA,-2.0,-5.1,1.69,34.2
2006-03-06,NA,NA,NA,-0.0,-2.6,2.26,64.5
2006-03-07,NA,NA,NA,0.5,-6.4,2.23,4.0
2006-03-08,NA,NA,NA,6.4,1.3,3.92,63.1
2006-03-09,NA,NA,NA,11.8,10.2,5.04,99.7
2006-03-10,NA,NA,NA,4.0,2.0,3.75,71.7
2006-03-11,NA,NA,NA,10.7,5.7,5.60,19.8
2006-03-12,NA,NA,NA,12.2,7.9,3.45,57.8
2006-03-13,NA,NA,NA,6.3,2.7,9.27,77.1
2006-03-14,NA,NA,NA,0.5,-6.1,8.44,82.9
2006-03-15,NA,NA,NA,-0.2,-6.2,4.55,53.6
2006-03-16,NA,NA,NA,-0.1,-3.6,2.66,86.9
2006-03-17,NA,NA,NA,-0.7,-6.6,3.32,9.2
2006-03-18,NA,NA,NA,-1.5,-8.3,3.74,11.2
2006-03-19,NA,NA,NA,0.2,-6.1,4.08,0.0
2006-03-20,NA,NA,NA,0.3,-8.5,3.78,1.0
2006-03-21,NA,NA,NA,-1.4,-9.4,4.72,24.0
2006-03-22,NA,NA,NA,1.2,-4.4,3.60,91.5
2006-03-23,NA,NA,NA,2.4,-3.5,2.26,76.7
2006-03-24,NA,NA,NA,1.5,-2.0,1.59,95.3
2006-03-25,NA,NA,NA,2.8,-1.4,3.43,66.7
2006-03-26,NA,NA,NA,2.0,-4.0,1.46,50.8
2006-03-27,NA,NA,NA,3.9,-3.5,1.89,30.0
2006-03-28,NA,NA,NA,5.6,2.0,2.95,76.5
2006-03-29,NA,NA,NA,5.5,0.9,1.20,78.5
2006-03-30,NA,NA,NA,12.4,3.2,4.25,10.4
2006-03-31,NA,NA,NA,14.3,7.0,9.87,64.1
