Daily data for a single station.
StationID:,726355-99999
StationName:,"SOUTHWEST MICHIGAN"
Lat&Long:,42.133,-86.430
Elevation:,-999.900
Starts(YMD):,1973-01-01
Ends(YMD):,2005-12-31
Date,AirTempMax,AirTempMin,Precipitation,AirTemp,Dewpoint,WindSpeed,CloudCover
YYYY-MM-DD,Celsius,Celsius,Millimeters,Celsius,Celsius,MetersPerSecond,Percent
1973-01-01,NA,NA,NA,-3.3,-5.4,11.09,NA
1973-01-02,NA,NA,NA,-3.7,-6.1,3.50,NA
1973-01-03,NA,NA,NA,1.7,-0.5,8.23,NA
1973-01-04,NA,NA,NA,-2.3,-3.9,9.14,NA
1973-01-05,NA,NA,NA,-7.6,-10.9,6.96,NA
1973-01-06,NA,NA,NA,-6.8,-9.8,0.00,NA
1973-01-07,NA,NA,NA,-10.4,-14.2,1.53,NA
1973-01-08,NA,NA,NA,-6.8,-12.2,0.34,NA
1973-01-09,NA,NA,NA,-8.6,-12.2,7.59,NA
1973-01-10,NA,NA,NA,-9.5,-12.4,7.13,NA
1973-01-11,NA,NA,NA,-7.1,-11.9,8.27,84.5
1973-01-12,NA,NA,NA,-5.3,-9.1,6.78,73.2
1973-01-13,NA,NA,NA,-2.3,-5.5,7.24,66.6
1973-01-14,NA,NA,NA,-0.2,-2.5,5.67,100.0
1973-01-15,NA,NA,NA,0.2,-1.3,2.53,98.6
1973-01-16,NA,NA,NA,5.1,0.6,9.01,57.4
1973-01-17,NA,NA,NA,9.9,6.2,6.34,100.0
1973-01-18,NA,NA,NA,10.3,6.8,7.81,84.5
1973-01-19,NA,NA,NA,1.3,-0.5,8.93,100.0
1973-01-20,NA,NA,NA,-1.2,-5.1,5.70,85.3
1973-01-21,NA,NA,NA,-0.7,-3.2,8.56,92.8
1973-01-22,NA,NA,NA,5.4,3.7,5.06,100.0
1973-01-23,NA,NA,NA,-0.3,-2.3,7.27,100.0
1973-01-24,NA,NA,NA,0.7,-3.6,1.67,58.6
1973-01-25,NA,NA,NA,5.5,2.1,7.32,NA
1973-01-26,NA,NA,NA,6.9,3.3,0.00,72.8
1973-01-27,NA,NA,NA,5.3,2.9,2.23,100.0
1973-01-28,NA,NA,NA,-0.3,-2.2,11.59,98.7
1973-01-29,NA,NA,NA,-4.2,-7.0,4.63,51.3
1973-01-30,NA,NA,NA,-2.0,-4.1,5.29,74.9
1973-01-31,NA,NA,NA,0.5,-3.1,7.45,86.4
