Daily data for a single station.
StationID:,726358-99999
StationName:,"MICHIGAN CITY MUNICIPAL A"
Lat&Long:,41.703,-86.820
Elevation:,-999.900
Starts(YMD):,1977-01-26
Ends(YMD):,1996-07-01
Date,AirTempMax,AirTempMin,Precipitation,AirTemp,Dewpoint,WindSpeed,CloudCover
YYYY-MM-DD,Celsius,Celsius,Millimeters,Celsius,Celsius,MetersPerSecond,Percent
1977-01-26,NA,NA,NA,-4.4,NA,10.20,NA
1977-01-27,NA,NA,NA,NA,NA,NA,NA
1977-01-28,NA,NA,NA,NA,NA,NA,NA
1977-01-29,NA,NA,NA,NA,NA,NA,NA
1977-01-30,NA,NA,NA,-16.1,NA,10.10,NA
1977-01-31,NA,NA,NA,-11.9,NA,7.39,NA
1977-02-01,NA,NA,NA,-10.7,NA,5.32,NA
1977-02-02,NA,NA,NA,-8.1,NA,4.41,NA
1977-02-03,NA,NA,NA,-2.2,NA,7.02,NA
1977-02-04,NA,NA,NA,-3.2,NA,3.90,NA
1977-02-05,NA,NA,NA,-12.5,NA,8.08,NA
1977-02-06,NA,NA,NA,-14.6,NA,4.49,NA
1977-02-07,NA,NA,NA,-13.6,NA,3.72,NA
1977-02-08,NA,NA,NA,-9.9,NA,4.67,NA
1977-02-09,NA,NA,NA,-0.5,NA,4.19,NA
1977-02-10,NA,NA,NA,3.7,NA,3.69,NA
1977-02-11,NA,NA,NA,5.2,NA,4.48,NA
1977-02-12,NA,NA,NA,4.4,NA,4.03,NA
1977-02-13,NA,NA,NA,-0.2,NA,8.31,NA
1977-02-14,NA,NA,NA,-3.3,NA,6.08,NA
1977-02-15,NA,NA,NA,-8.1,NA,3.70,NA
1977-02-16,NA,NA,NA,-9.6,NA,2.87,NA
1977-02-17,NA,NA,NA,-5.3,NA,5.16,NA
1977-02-18,NA,NA,NA,-0.1,NA,2.43,NA
1977-02-19,NA,NA,NA,-2.6,NA,4.32,NA
1977-02-20,NA,NA,NA,-5.5,NA,3.82,NA
1977-02-21,NA,NA,NA,-5.2,NA,4.67,NA
1977-02-22,NA,NA,NA,2.6,NA,4.50,NA
1977-02-23,NA,NA,NA,10.5,NA,7.84,NA
1977-02-24,NA,NA,NA,3.9,NA,5.75,NA
1977-02-25,NA,NA,NA,0.5,NA,9.14,NA
1977-02-26,NA,NA,NA,-0.9,NA,7.41,NA
1977-02-27,NA,NA,NA,-2.7,NA,7.68,NA
1977-02-28,NA,NA,NA,-2.2,NA,6.92,NA
1977-03-01,NA,NA,NA,-3.5,NA,4.83,NA
1977-03-02,NA,NA,NA,-0.4,NA,4.37,NA
1977-03-03,NA,NA,NA,4.1,NA,7.33,NA
1977-03-04,NA,NA,NA,3.9,NA,6.07,NA
1977-03-05,NA,NA,NA,0.4,NA,7.28,NA
1977-03-06,NA,NA,NA,-0.9,NA,3.94,NA
1977-03-07,NA,NA,NA,1.7,NA,3.54,NA
1977-03-08,NA,NA,NA,8.6,NA,6.18,NA
1977-03-09,NA,NA,NA,12.0,NA,6.24,NA
1977-03-10,NA,NA,NA,12.2,NA,5.92,NA
1977-03-11,NA,NA,NA,15.4,NA,7.25,NA
1977-03-12,NA,NA,NA,14.4,NA,7.67,NA
1977-03-13,NA,NA,NA,6.7,NA,4.33,NA
1977-03-14,NA,NA,NA,10.2,NA,4.21,NA
1977-03-15,NA,NA,NA,9.6,NA,5.15,NA
1977-03-16,NA,NA,NA,4.7,NA,5.44,NA
1977-03-17,NA,NA,NA,3.4,NA,4.66,NA
1977-03-18,NA,NA,NA,0.3,NA,8.60,NA
1977-03-19,NA,NA,NA,2.0,NA,3.56,NA
1977-03-20,NA,NA,NA,1.6,NA,5.25,NA
1977-03-21,NA,NA,NA,2.5,NA,7.10,NA
1977-03-22,NA,NA,NA,1.5,NA,8.74,NA
1977-03-23,NA,NA,NA,1.3,NA,5.83,NA
1977-03-24,NA,NA,NA,-1.5,NA,3.08,NA
1977-03-25,NA,NA,NA,4.3,NA,5.11,NA
1977-03-26,NA,NA,NA,10.5,NA,6.69,NA
1977-03-27,NA,NA,NA,13.4,NA,6.55,NA
1977-03-28,NA,NA,NA,14.0,NA,6.47,NA
1977-03-29,NA,NA,NA,15.6,NA,9.07,NA
1977-03-30,NA,NA,NA,11.9,NA,6.31,NA
1977-03-31,NA,NA,NA,3.2,NA,6.82,NA
1977-04-01,NA,NA,NA,7.1,NA,4.15,NA
1977-04-02,NA,NA,NA,12.2,NA,7.12,NA
1977-04-03,NA,NA,NA,3.8,NA,5.57,NA
1977-04-04,NA,NA,NA,6.4,NA,6.07,NA
1977-04-05,NA,NA,NA,1.3,NA,9.81,NA
1977-04-06,NA,NA,NA,1.8,NA,5.98,NA
1977-04-07,NA,NA,NA,3.8,NA,5.09,NA
1977-04-08,NA,NA,NA,01.0,NA,6.08,NA
1977-04-09,NA,NA,NA,6.8,NA,4.51,NA
1977-04-10,NA,NA,NA,15.3,NA,4.89,NA
1977-04-11,NA,NA,NA,20.4,NA,5.62,NA
1977-04-12,NA,NA,NA,21.2,NA,4.02,NA
1977-04-13,NA,NA,NA,14.1,NA,3.67,NA
1977-04-14,NA,NA,NA,11.1,NA,2.73,NA
1977-04-15,NA,NA,NA,16.4,NA,4.41,NA
1977-04-16,NA,NA,NA,18.6,NA,3.60,NA
1977-04-17,NA,NA,NA,24.9,NA,2.52,NA
1977-04-18,NA,NA,NA,23.0,NA,3.27,NA
1977-04-19,NA,NA,NA,20.1,NA,4.25,NA
1977-04-20,NA,NA,NA,23.5,NA,5.17,NA
1977-04-21,NA,NA,NA,18.0,NA,4.80,NA
1977-04-22,NA,NA,NA,5.2,NA,5.47,NA
1977-04-23,NA,NA,NA,7.6,NA,5.63,NA
1977-04-24,NA,NA,NA,5.5,NA,6.69,NA
1977-04-25,NA,NA,NA,3.5,NA,10.53,NA
1977-04-26,NA,NA,NA,NA,NA,NA,NA
1977-04-27,NA,NA,NA,18.5,NA,5.81,NA
1977-04-28,NA,NA,NA,6.2,NA,8.30,NA
1977-04-29,NA,NA,NA,7.0,NA,2.68,NA
1977-04-30,NA,NA,NA,12.4,NA,2.67,NA
1977-05-01,NA,NA,NA,18.1,NA,3.72,NA
1977-05-02,NA,NA,NA,12.8,NA,3.59,NA
1977-05-03,NA,NA,NA,17.8,NA,4.48,NA
1977-05-04,NA,NA,NA,16.0,NA,3.04,NA
1977-05-05,NA,NA,NA,18.8,NA,4.45,NA
1977-05-06,NA,NA,NA,16.4,NA,1.50,NA
1977-05-07,NA,NA,NA,9.4,NA,5.56,NA
1977-05-08,NA,NA,NA,8.4,NA,5.86,NA
1977-05-09,NA,NA,NA,6.7,NA,5.36,NA
1977-05-10,NA,NA,NA,7.4,NA,1.83,NA
1977-05-11,NA,NA,NA,12.9,NA,2.04,NA
1977-05-12,NA,NA,NA,17.6,NA,2.51,NA
1977-05-13,NA,NA,NA,20.4,NA,3.55,NA
1977-05-14,NA,NA,NA,21.6,NA,3.08,NA
1977-05-15,NA,NA,NA,21.9,NA,3.94,NA
1977-05-16,NA,NA,NA,25.4,NA,3.64,NA
