Daily data for a single station.
StationID:,726360-14840
StationName:,"MUSKEGON COUNTY AIRPORT"
Lat&Long:,43.171,-86.230
Elevation:,-999.900
Starts(YMD):,1973-01-01
Ends(YMD):,2024-10-22
Date,AirTempMax,AirTempMin,Precipitation,AirTemp,Dewpoint,WindSpeed,CloudCover
YYYY-MM-DD,Celsius,Celsius,Millimeters,Celsius,Celsius,MetersPerSecond,Percent
1973-01-01,NA,NA,NA,-5.5,-9.9,8.80,91.9
1973-01-02,NA,NA,NA,-4.2,-8.4,4.62,89.8
1973-01-03,NA,NA,NA,-2.8,-5.8,5.48,76.8
1973-01-04,NA,NA,NA,-1.8,-4.8,9.27,99.8
1973-01-05,NA,NA,NA,-10.3,-13.3,6.23,98.8
1973-01-06,NA,NA,NA,-10.2,-14.6,3.01,76.8
1973-01-07,NA,NA,NA,-10.9,-16.6,3.53,82.6
1973-01-08,NA,NA,NA,-8.4,-13.3,4.09,93.2
1973-01-09,NA,NA,NA,-9.7,-14.2,7.23,79.9
1973-01-10,NA,NA,NA,-8.4,-12.7,8.27,91.5
1973-01-11,NA,NA,NA,-8.6,-13.2,7.84,94.8
1973-01-12,NA,NA,NA,-5.2,-9.5,6.62,90.2
1973-01-13,NA,NA,NA,-0.7,-6.6,8.75,61.5
1973-01-14,NA,NA,NA,-0.4,-3.3,4.69,94.5
1973-01-15,NA,NA,NA,-0.7,-2.4,4.15,100.0
1973-01-16,NA,NA,NA,3.0,-0.3,9.58,79.3
1973-01-17,NA,NA,NA,6.2,3.1,8.49,97.7
1973-01-18,NA,NA,NA,9.3,5.8,9.21,95.8
1973-01-19,NA,NA,NA,1.7,-0.6,8.02,100.0
1973-01-20,NA,NA,NA,-3.3,-8.2,5.55,67.3
1973-01-21,NA,NA,NA,-3.2,-7.5,7.12,83.4
1973-01-22,NA,NA,NA,3.2,1.5,6.55,97.4
1973-01-23,NA,NA,NA,-0.2,-3.4,6.79,100.0
1973-01-24,NA,NA,NA,-1.5,-5.7,3.82,61.2
1973-01-25,NA,NA,NA,2.9,0.2,5.47,0.0
1973-01-26,NA,NA,NA,2.9,0.6,2.33,52.1
1973-01-27,NA,NA,NA,2.1,0.1,3.21,94.7
1973-01-28,NA,NA,NA,-1.7,-5.7,7.40,82.8
1973-01-29,NA,NA,NA,-5.8,-11.9,5.20,31.0
1973-01-30,NA,NA,NA,-2.9,-8.9,4.97,78.3
1973-01-31,NA,NA,NA,-2.8,-6.9,7.85,86.2
1973-02-01,NA,NA,NA,3.6,2.5,5.84,86.8
1973-02-02,NA,NA,NA,3.7,2.8,5.32,94.4
1973-02-03,NA,NA,NA,-0.1,-3.1,6.60,77.0
1973-02-04,NA,NA,NA,2.3,-0.4,3.96,75.1
1973-02-05,NA,NA,NA,-0.5,-6.2,7.80,79.4
1973-02-06,NA,NA,NA,0.3,-4.8,4.20,91.0
1973-02-07,NA,NA,NA,-2.8,-6.2,4.90,96.0
