Daily data for a single station.
StationID:,726364-04883
StationName:,"MASON COUNTY AIRPORT"
Lat&Long:,43.963,-86.400
Elevation:,-999.900
Starts(YMD):,2005-01-01
Ends(YMD):,2024-10-22
Date,AirTempMax,AirTempMin,Precipitation,AirTemp,Dewpoint,WindSpeed,CloudCover
YYYY-MM-DD,Celsius,Celsius,Millimeters,Celsius,Celsius,MetersPerSecond,Percent
2005-01-01,NA,NA,NA,-1.5,-6.8,3.81,48.8
2005-01-02,NA,NA,NA,2.2,0.2,3.12,97.8
2005-01-03,NA,NA,NA,-0.7,-3.3,1.47,70.6
2005-01-04,NA,NA,NA,-1.8,-5.9,2.16,97.6
2005-01-05,NA,NA,NA,-6.1,-12.7,4.20,78.8
2005-01-06,NA,NA,NA,-6.2,-9.3,2.55,99.1
2005-01-07,NA,NA,NA,-3.3,-6.5,4.34,100.0
2005-01-08,NA,NA,NA,-2.8,-5.5,1.31,100.0
2005-01-09,NA,NA,NA,-0.8,-2.6,3.64,100.0
2005-01-10,NA,NA,NA,-2.7,-6.3,2.82,94.4
2005-01-11,NA,NA,NA,-0.8,-3.2,3.47,96.8
2005-01-12,NA,NA,NA,4.0,2.9,4.58,100.0
2005-01-13,NA,NA,NA,0.2,-2.7,3.67,87.5
2005-01-14,NA,NA,NA,-12.4,-16.9,4.26,99.0
2005-01-15,NA,NA,NA,-12.3,-17.7,4.43,85.7
2005-01-16,NA,NA,NA,-12.3,-17.1,3.10,99.4
2005-01-17,NA,NA,NA,-12.9,-16.7,3.57,100.0
2005-01-18,NA,NA,NA,-11.3,-14.2,4.61,98.3
2005-01-19,NA,NA,NA,-3.6,-7.1,6.50,100.0
2005-01-20,NA,NA,NA,-8.1,-13.2,2.63,100.0
2005-01-21,NA,NA,NA,-12.2,-17.4,2.69,28.0
2005-01-22,NA,NA,NA,-11.0,-14.9,5.31,88.9
2005-01-23,NA,NA,NA,-11.2,-15.2,3.17,46.0
2005-01-24,NA,NA,NA,-2.0,-5.9,4.75,100.0
2005-01-25,NA,NA,NA,-0.1,-2.8,3.11,100.0
2005-01-26,NA,NA,NA,-6.9,-11.5,4.54,46.7
2005-01-27,NA,NA,NA,-14.2,-19.9,1.22,20.3
2005-01-28,NA,NA,NA,-9.5,-19.4,3.15,0.0
2005-01-29,NA,NA,NA,-4.0,-11.1,1.90,59.2
2005-01-30,NA,NA,NA,-1.4,-4.6,0.68,93.7
2005-01-31,NA,NA,NA,-1.0,-3.7,1.09,100.0
2005-02-01,NA,NA,NA,0.7,-2.4,2.52,100.0
2005-02-02,NA,NA,NA,0.9,-2.8,2.16,98.6
2005-02-03,NA,NA,NA,0.3,-2.5,2.69,36.6
2005-02-04,NA,NA,NA,1.4,-1.9,2.76,0.0
2005-02-05,NA,NA,NA,5.5,1.4,3.10,0.0
2005-02-06,NA,NA,NA,4.5,0.9,3.08,43.4
2005-02-07,NA,NA,NA,2.7,1.9,2.53,100.0
2005-02-08,NA,NA,NA,-2.4,-5.3,3.83,100.0
2005-02-09,NA,NA,NA,-5.3,-8.1,1.22,94.3
2005-02-10,NA,NA,NA,-5.2,-8.8,2.14,45.9
