Daily data for a single station.
StationID:,726379-14845
StationName:,"MBS INTERNATIONAL AIRPORT"
Lat&Long:,43.533,-84.080
Elevation:,-999.900
Starts(YMD):,1973-01-01
Ends(YMD):,2024-10-22
Date,AirTempMax,AirTempMin,Precipitation,AirTemp,Dewpoint,WindSpeed,CloudCover
YYYY-MM-DD,Celsius,Celsius,Millimeters,Celsius,Celsius,MetersPerSecond,Percent
1973-01-01,NA,NA,NA,-5.3,-10.2,9.65,69.0
1973-01-02,NA,NA,NA,-6.9,-11.2,6.10,NA
1973-01-03,NA,NA,NA,-3.5,-7.1,5.72,NA
1973-01-04,NA,NA,NA,0.0,-4.2,9.86,NA
1973-01-05,NA,NA,NA,-9.9,-15.3,8.06,84.5
1973-01-06,NA,NA,NA,-11.7,-18.0,5.38,NA
1973-01-07,NA,NA,NA,-12.0,-17.7,3.49,NA
1973-01-08,NA,NA,NA,-10.4,-16.5,3.34,NA
1973-01-09,NA,NA,NA,-10.3,-15.7,7.08,NA
1973-01-10,NA,NA,NA,-9.9,-14.7,9.69,NA
1973-01-11,NA,NA,NA,-9.4,-15.1,8.60,73.4
1973-01-12,NA,NA,NA,-7.5,-11.9,8.55,66.0
1973-01-13,NA,NA,NA,-4.1,-10.7,8.64,61.3
1973-01-14,NA,NA,NA,-1.1,-5.5,6.35,97.4
1973-01-15,NA,NA,NA,-1.2,-3.9,5.77,100.0
1973-01-16,NA,NA,NA,1.8,-1.7,9.37,79.0
1973-01-17,NA,NA,NA,5.2,1.2,8.08,92.5
1973-01-18,NA,NA,NA,8.2,4.3,6.98,93.9
1973-01-19,NA,NA,NA,4.2,-0.1,8.56,97.4
1973-01-20,NA,NA,NA,-4.5,-10.5,6.43,69.9
1973-01-21,NA,NA,NA,-3.0,-7.6,6.12,78.6
1973-01-22,NA,NA,NA,2.7,0.7,6.95,96.1
1973-01-23,NA,NA,NA,-0.7,-2.4,7.65,100.0
1973-01-24,NA,NA,NA,-2.6,-6.8,5.25,75.1
1973-01-25,NA,NA,NA,1.4,-2.1,7.75,50.1
1973-01-26,NA,NA,NA,1.9,-0.1,3.66,68.1
1973-01-27,NA,NA,NA,-0.3,-0.5,7.10,88.6
1973-01-28,NA,NA,NA,-4.1,-8.2,7.80,87.5
1973-01-29,NA,NA,NA,-9.5,-15.0,5.79,62.2
1973-01-30,NA,NA,NA,-5.6,-9.5,6.38,69.0
1973-01-31,NA,NA,NA,-7.6,-11.3,8.16,100.0
1973-02-01,NA,NA,NA,-0.0,-3.1,5.59,100.0
1973-02-02,NA,NA,NA,3.3,2.6,4.68,98.9
1973-02-03,NA,NA,NA,-1.6,-4.7,7.47,90.6
1973-02-04,NA,NA,NA,0.4,-1.7,6.15,82.3
1973-02-05,NA,NA,NA,-2.9,-6.8,7.59,61.6
1973-02-06,NA,NA,NA,-1.8,-5.1,4.35,100.0
1973-02-07,NA,NA,NA,-2.0,-4.9,4.43,100.0
1973-02-08,NA,NA,NA,-10.2,-14.5,6.34,73.6
1973-02-09,NA,NA,NA,-10.5,-14.4,6.41,67.7
1973-02-10,NA,NA,NA,-10.7,-15.8,5.02,57.2
1973-02-11,NA,NA,NA,-11.4,-17.3,3.94,45.4
1973-02-12,NA,NA,NA,-10.0,-15.1,4.27,64.2
1973-02-13,NA,NA,NA,-10.0,-13.6,2.94,76.0
1973-02-14,NA,NA,NA,-2.4,-5.9,5.31,100.0
1973-02-15,NA,NA,NA,-9.2,-13.3,8.26,100.0
1973-02-16,NA,NA,NA,-17.1,-24.6,6.30,57.2
1973-02-17,NA,NA,NA,-16.2,-25.2,3.67,60.8
1973-02-18,NA,NA,NA,-7.4,-12.5,6.58,93.4
1973-02-19,NA,NA,NA,-0.1,-2.9,7.12,100.0
1973-02-20,NA,NA,NA,-0.4,-3.2,3.19,91.8
1973-02-21,NA,NA,NA,-2.8,-8.4,6.68,82.2
1973-02-22,NA,NA,NA,-8.6,-12.4,3.61,82.6
1973-02-23,NA,NA,NA,-6.5,-10.7,2.66,85.8
1973-02-24,NA,NA,NA,-5.4,-12.1,3.42,82.0
1973-02-25,NA,NA,NA,-7.0,-11.0,5.46,100.0
1973-02-26,NA,NA,NA,-9.1,-13.5,5.37,74.4
1973-02-27,NA,NA,NA,-12.3,-17.3,2.23,59.1
1973-02-28,NA,NA,NA,-4.8,-11.5,4.41,66.7
1973-03-01,NA,NA,NA,2.8,-2.1,4.77,98.7
1973-03-02,NA,NA,NA,2.4,-0.9,1.42,100.0
1973-03-03,NA,NA,NA,4.0,0.2,1.64,100.0
1973-03-04,NA,NA,NA,3.9,-0.0,3.30,100.0
1973-03-05,NA,NA,NA,0.5,-2.5,6.56,100.0
1973-03-06,NA,NA,NA,4.9,2.9,2.08,87.4
1973-03-07,NA,NA,NA,10.3,5.2,7.33,65.7
1973-03-08,NA,NA,NA,4.5,-1.1,4.47,97.6
1973-03-09,NA,NA,NA,1.2,-2.1,5.00,97.4
1973-03-10,NA,NA,NA,2.2,-0.1,4.36,100.0
1973-03-11,NA,NA,NA,12.6,9.4,7.45,95.1
1973-03-12,NA,NA,NA,6.4,2.6,6.38,100.0
1973-03-13,NA,NA,NA,5.1,2.4,3.18,100.0
1973-03-14,NA,NA,NA,8.3,6.7,5.68,97.3
1973-03-15,NA,NA,NA,10.5,6.6,8.33,83.4
1973-03-16,NA,NA,NA,2.1,-1.4,5.37,97.4
1973-03-17,NA,NA,NA,-2.8,-5.2,11.30,100.0
1973-03-18,NA,NA,NA,-1.7,-7.2,11.36,76.3
1973-03-19,NA,NA,NA,0.2,-5.0,5.08,50.4
1973-03-20,NA,NA,NA,-1.6,-6.9,3.99,43.0
1973-03-21,NA,NA,NA,-1.2,-6.1,4.35,43.0
1973-03-22,NA,NA,NA,0.1,-5.9,2.57,71.0
1973-03-23,NA,NA,NA,2.1,-3.1,2.00,43.0
