Daily data for a single station.
StationID:,726385-99999
StationName:,"MANISTEE CO BLACKER"
Lat&Long:,44.272,-86.240
Elevation:,-999.900
Starts(YMD):,1973-01-01
Ends(YMD):,2005-12-31
Date,AirTempMax,AirTempMin,Precipitation,AirTemp,Dewpoint,WindSpeed,CloudCover
YYYY-MM-DD,Celsius,Celsius,Millimeters,Celsius,Celsius,MetersPerSecond,Percent
1973-01-01,NA,NA,NA,-9.5,-13.0,7.53,100.0
1973-01-02,NA,NA,NA,-4.1,-7.8,3.57,NA
1973-01-03,NA,NA,NA,-0.4,-3.0,4.17,69.0
1973-01-04,NA,NA,NA,-3.0,-5.5,9.65,NA
1973-01-05,NA,NA,NA,-11.8,-12.8,3.68,NA
1973-01-06,NA,NA,NA,-8.6,-14.2,2.22,NA
1973-01-07,NA,NA,NA,-9.2,-12.7,0.67,NA
1973-01-08,NA,NA,NA,-8.8,-10.6,0.00,NA
1973-01-09,NA,NA,NA,-11.4,-14.8,5.84,NA
1973-01-10,NA,NA,NA,-9.0,-13.0,9.50,NA
1973-01-11,NA,NA,NA,-9.4,-11.6,3.30,69.0
1973-01-12,NA,NA,NA,-5.1,-6.2,6.50,100.0
1973-01-13,NA,NA,NA,-0.6,-3.9,6.73,59.2
1973-01-14,NA,NA,NA,-0.4,-2.6,2.81,100.0
1973-01-15,NA,NA,NA,1.4,0.0,3.05,100.0
1973-01-16,NA,NA,NA,4.8,0.8,6.83,69.0
1973-01-17,NA,NA,NA,6.6,5.1,4.51,100.0
1973-01-18,NA,NA,NA,8.8,6.1,6.06,100.0
1973-01-19,NA,NA,NA,0.9,-0.1,4.08,100.0
1973-01-20,NA,NA,NA,-3.4,-6.6,3.91,56.8
1973-01-21,NA,NA,NA,0.4,-4.2,5.67,72.9
1973-01-22,NA,NA,NA,4.1,4.0,4.25,100.0
1973-01-23,NA,NA,NA,-0.8,-1.9,4.59,100.0
1973-01-24,NA,NA,NA,0.6,-3.2,0.36,56.0
1973-01-25,NA,NA,NA,5.4,1.1,4.08,56.0
1973-01-26,NA,NA,NA,4.8,1.7,0.50,43.0
1973-01-27,NA,NA,NA,3.0,1.7,1.87,100.0
1973-01-28,NA,NA,NA,-3.4,-6.0,8.40,100.0
1973-01-29,NA,NA,NA,-5.4,-8.6,0.73,86.7
1973-01-30,NA,NA,NA,-3.1,-7.1,2.33,57.9
1973-01-31,NA,NA,NA,-3.9,-6.6,11.69,91.1
1973-02-01,NA,NA,NA,3.0,2.7,4.87,100.0
1973-02-02,NA,NA,NA,3.1,3.0,2.54,100.0
1973-02-03,NA,NA,NA,-0.2,-3.1,3.80,94.8
1973-02-04,NA,NA,NA,3.8,0.8,0.80,69.0
1973-02-05,NA,NA,NA,0.6,-3.6,5.24,46.7
1973-02-06,NA,NA,NA,1.1,-2.8,0.00,100.0
1973-02-07,NA,NA,NA,-4.5,-6.2,2.59,100.0
1973-02-08,NA,NA,NA,-7.3,-9.8,3.54,87.6
1973-02-09,NA,NA,NA,-7.0,-9.4,7.35,89.7
1973-02-10,NA,NA,NA,-5.1,-9.8,1.26,62.5
1973-02-11,NA,NA,NA,-5.9,-10.3,4.96,43.0
1973-02-12,NA,NA,NA,-4.8,-11.9,5.03,69.0
1973-02-13,NA,NA,NA,0.2,-5.6,5.60,69.0
1973-02-14,NA,NA,NA,-1.8,-1.9,4.28,100.0
1973-02-15,NA,NA,NA,-9.2,-12.6,6.40,94.8
1973-02-16,NA,NA,NA,-15.6,-23.3,3.16,43.0
1973-02-17,NA,NA,NA,-7.5,-9.0,6.13,89.7
1973-02-18,NA,NA,NA,-2.5,-3.7,5.88,100.0
1973-02-19,NA,NA,NA,1.6,0.9,6.84,100.0
1973-02-20,NA,NA,NA,-2.5,-4.6,0.00,100.0
1973-02-21,NA,NA,NA,-7.2,-10.3,6.54,92.9
1973-02-22,NA,NA,NA,-4.9,-5.6,0.64,100.0
1973-02-23,NA,NA,NA,-2.7,-4.4,1.88,100.0
1973-02-24,NA,NA,NA,-3.2,-7.2,0.75,86.7
1973-02-25,NA,NA,NA,-7.4,-8.3,4.60,NA
1973-02-26,NA,NA,NA,-3.0,-8.3,3.41,43.0
