Daily data for a single station.
StationID:,726395-14808
StationName:,"OSCODA-WURTSMITH AIRPORT"
Lat&Long:,44.450,-83.400
Elevation:,-999.900
Starts(YMD):,1943-07-01
Ends(YMD):,2024-10-22
Date,AirTempMax,AirTempMin,Precipitation,AirTemp,Dewpoint,WindSpeed,CloudCover
YYYY-MM-DD,Celsius,Celsius,Millimeters,Celsius,Celsius,MetersPerSecond,Percent
1943-07-01,NA,NA,NA,15.5,9.0,2.61,35.4
1943-07-02,NA,NA,NA,19.5,11.4,2.91,23.1
1943-07-03,NA,NA,NA,20.1,16.2,3.58,76.7
1943-07-04,NA,NA,NA,20.1,19.4,2.90,97.9
1943-07-05,NA,NA,NA,20.7,17.1,2.71,53.1
1943-07-06,NA,NA,NA,16.7,12.2,4.03,66.7
1943-07-07,NA,NA,NA,16.9,12.1,3.62,29.6
1943-07-08,NA,NA,NA,20.1,11.9,1.93,4.2
1943-07-09,NA,NA,NA,22.9,16.1,1.35,10.8
1943-07-10,NA,NA,NA,22.5,15.1,1.60,27.3
1943-07-11,NA,NA,NA,20.4,18.2,1.86,76.7
1943-07-12,NA,NA,NA,21.7,19.8,1.74,64.6
1943-07-13,NA,NA,NA,24.2,21.0,1.99,15.2
1943-07-14,NA,NA,NA,23.5,19.4,4.98,26.2
1943-07-15,NA,NA,NA,24.1,16.2,6.61,27.9
1943-07-16,NA,NA,NA,20.7,16.1,3.19,64.0
1943-07-17,NA,NA,NA,22.8,20.1,4.45,95.9
1943-07-18,NA,NA,NA,22.3,15.1,4.47,28.8
1943-07-19,NA,NA,NA,22.2,16.1,3.69,50.0
1943-07-20,NA,NA,NA,22.2,16.9,2.80,23.1
1943-07-21,NA,NA,NA,18.4,16.6,3.28,41.5
1943-07-22,NA,NA,NA,19.0,13.8,5.51,49.4
1943-07-23,NA,NA,NA,19.1,15.5,2.42,55.0
1943-07-24,NA,NA,NA,21.6,17.0,2.31,39.4
1943-07-25,NA,NA,NA,21.2,18.8,1.84,44.8
1943-07-26,NA,NA,NA,24.4,18.7,2.56,18.5
1943-07-27,NA,NA,NA,22.1,17.9,4.15,49.6
1943-07-28,NA,NA,NA,18.0,13.3,2.57,38.5
1943-07-29,NA,NA,NA,19.2,14.8,1.85,33.3
1943-07-30,NA,NA,NA,21.9,16.3,3.07,38.9
1943-07-31,NA,NA,NA,21.7,16.0,2.30,20.6
1943-08-01,NA,NA,NA,25.8,18.3,4.44,31.9
1943-08-02,NA,NA,NA,25.1,20.2,6.11,73.3
1943-08-03,NA,NA,NA,19.9,14.9,5.45,71.9
1943-08-04,NA,NA,NA,18.1,15.2,4.45,83.1
1943-08-05,NA,NA,NA,19.8,14.1,3.09,51.0
1943-08-06,NA,NA,NA,16.8,10.8,3.51,10.6
1943-08-07,NA,NA,NA,20.4,15.7,4.67,49.6
1943-08-08,NA,NA,NA,17.7,15.3,2.95,20.7
1943-08-09,NA,NA,NA,19.3,18.0,2.37,80.6
1943-08-10,NA,NA,NA,23.4,16.8,3.57,71.9
1943-08-11,NA,NA,NA,23.4,18.1,1.81,46.5
1943-08-12,NA,NA,NA,22.7,19.3,2.78,50.6
1943-08-13,NA,NA,NA,22.4,21.0,3.85,60.2
1943-08-14,NA,NA,NA,20.4,14.9,5.03,30.0
1943-08-15,NA,NA,NA,19.5,14.2,3.52,30.8
1943-08-16,NA,NA,NA,18.6,13.1,5.97,53.8
1943-08-17,NA,NA,NA,14.9,10.3,5.84,87.3
1943-08-18,NA,NA,NA,15.4,9.3,3.57,17.7
1943-08-19,NA,NA,NA,16.9,10.3,2.70,27.3
1943-08-20,NA,NA,NA,19.1,13.7,3.16,63.5
1943-08-21,NA,NA,NA,22.0,17.1,4.50,43.5
1943-08-22,NA,NA,NA,22.7,19.0,3.20,41.5
1943-08-23,NA,NA,NA,22.1,19.9,4.54,41.9
1943-08-24,NA,NA,NA,19.7,17.8,2.98,57.7
1943-08-25,NA,NA,NA,20.0,17.7,3.35,50.2
1943-08-26,NA,NA,NA,16.4,12.7,7.55,58.8
1943-08-27,NA,NA,NA,16.2,13.6,4.20,71.2
1943-08-28,NA,NA,NA,14.8,10.9,1.85,41.2
1943-08-29,NA,NA,NA,17.5,13.2,3.31,38.5
1943-08-30,NA,NA,NA,19.5,17.2,2.34,28.9
1943-08-31,NA,NA,NA,20.2,18.1,2.09,80.9
1943-09-01,NA,NA,NA,24.1,18.1,6.77,34.6
1943-09-02,NA,NA,NA,17.9,12.6,5.15,4.2
1943-09-03,NA,NA,NA,18.1,14.6,2.19,21.3
1943-09-04,NA,NA,NA,19.6,18.3,2.35,73.5
1943-09-05,NA,NA,NA,23.3,19.9,6.10,70.5
1943-09-06,NA,NA,NA,20.4,18.0,4.86,58.8
1943-09-07,NA,NA,NA,16.6,9.2,8.67,8.3
1943-09-08,NA,NA,NA,14.1,6.6,8.44,45.0
1943-09-09,NA,NA,NA,10.9,7.5,2.83,90.6
1943-09-10,NA,NA,NA,9.2,6.6,4.97,52.5
1943-09-11,NA,NA,NA,7.9,3.3,3.60,23.3
1943-09-12,NA,NA,NA,8.2,3.9,2.81,39.2
1943-09-13,NA,NA,NA,12.3,8.9,2.38,90.4
1943-09-14,NA,NA,NA,16.6,14.1,4.20,77.4
1943-09-15,NA,NA,NA,13.9,11.9,3.50,64.6
1943-09-16,NA,NA,NA,10.4,6.6,5.88,47.9
1943-09-17,NA,NA,NA,8.7,4.6,3.40,36.9
1943-09-18,NA,NA,NA,10.1,4.7,4.89,28.5
1943-09-19,NA,NA,NA,15.6,10.6,4.97,38.3
1943-09-20,NA,NA,NA,11.8,8.1,4.83,43.8
1943-09-21,NA,NA,NA,10.7,6.7,3.75,48.1
