Daily data for a single station.
StationID:,726399-99999
StationName:,"MANISTIQUE"
Lat&Long:,45.950,-86.230
Elevation:,-999.900
Starts(YMD):,1976-01-16
Ends(YMD):,2004-09-20
Date,AirTempMax,AirTempMin,Precipitation,AirTemp,Dewpoint,WindSpeed,CloudCover
YYYY-MM-DD,Celsius,Celsius,Millimeters,Celsius,Celsius,MetersPerSecond,Percent
1976-01-16,NA,NA,NA,-10.2,-15.6,6.58,NA
1976-01-17,NA,NA,NA,-13.6,-18.3,1.77,NA
1976-01-18,NA,NA,NA,-6.2,-13.4,7.71,NA
1976-01-19,NA,NA,NA,-3.2,-6.7,6.77,NA
1976-01-20,NA,NA,NA,-7.8,-12.9,4.83,NA
1976-01-21,NA,NA,NA,-7.9,-12.9,5.21,NA
1976-01-22,NA,NA,NA,-14.8,-21.3,4.15,NA
1976-01-23,NA,NA,NA,-14.7,-18.7,7.08,NA
1976-01-24,NA,NA,NA,-10.5,-14.2,6.65,NA
1976-01-25,NA,NA,NA,-5.7,-9.7,6.23,NA
1976-01-26,NA,NA,NA,-6.7,-11.1,2.52,NA
1976-01-27,NA,NA,NA,-10.3,-16.4,2.75,NA
1976-01-28,NA,NA,NA,-6.9,-11.6,6.16,NA
1976-01-29,NA,NA,NA,-8.7,-15.0,4.68,NA
1976-01-30,NA,NA,NA,-9.9,-15.1,2.95,NA
1976-01-31,NA,NA,NA,-4.2,-9.7,6.68,NA
1976-02-01,NA,NA,NA,-12.6,-17.4,8.73,NA
1976-02-02,NA,NA,NA,-14.8,-22.0,3.48,NA
1976-02-03,NA,NA,NA,-9.9,-15.1,3.62,NA
1976-02-04,NA,NA,NA,-10.9,-16.7,4.59,NA
1976-02-05,NA,NA,NA,-12.2,-18.8,2.47,NA
1976-02-06,NA,NA,NA,-11.6,-17.7,4.61,NA
1976-02-07,NA,NA,NA,-6.6,-13.1,6.51,NA
1976-02-08,NA,NA,NA,-4.1,-9.6,4.97,NA
1976-02-09,NA,NA,NA,-0.4,-5.0,9.70,NA
1976-02-10,NA,NA,NA,0.4,-3.5,4.09,NA
1976-02-11,NA,NA,NA,-5.4,-12.1,4.22,NA
1976-02-12,NA,NA,NA,-0.6,-4.9,6.51,NA
1976-02-13,NA,NA,NA,-2.2,-11.9,4.93,NA
1976-02-14,NA,NA,NA,-2.6,-10.5,5.42,NA
1976-02-15,NA,NA,NA,0.2,-3.4,3.83,NA
1976-02-16,NA,NA,NA,-0.9,-5.2,3.72,NA
1976-02-17,NA,NA,NA,-2.6,-6.9,2.89,NA
1976-02-18,NA,NA,NA,-1.6,-5.1,5.64,NA
1976-02-19,NA,NA,NA,-0.9,-5.5,3.01,NA
1976-02-20,NA,NA,NA,-1.3,-5.1,2.54,NA
1976-02-21,NA,NA,NA,-2.6,-8.1,4.55,NA
1976-02-22,NA,NA,NA,-8.3,-14.4,5.07,NA
1976-02-23,NA,NA,NA,-4.9,-10.3,7.21,NA
1976-02-24,NA,NA,NA,0.9,-3.5,3.76,NA
1976-02-25,NA,NA,NA,-0.1,-3.8,2.09,NA
1976-02-26,NA,NA,NA,1.0,-4.7,2.80,NA
1976-02-27,NA,NA,NA,-2.5,-8.3,5.93,NA
1976-02-28,NA,NA,NA,-3.8,-9.1,3.40,NA
1976-02-29,NA,NA,NA,-1.4,-7.1,5.04,NA
1976-03-01,NA,NA,NA,-8.8,-12.5,8.40,NA
1976-03-02,NA,NA,NA,-7.8,-12.6,10.09,NA
1976-03-03,NA,NA,NA,-5.0,-8.9,4.96,NA
1976-03-04,NA,NA,NA,-3.0,-7.7,3.21,NA
1976-03-05,NA,NA,NA,-2.7,-7.6,5.94,NA
1976-03-06,NA,NA,NA,-6.8,-13.4,5.72,NA
1976-03-07,NA,NA,NA,-7.2,-15.5,4.81,NA
1976-03-08,NA,NA,NA,-5.2,-14.3,5.18,NA
