Daily data for a single station.
StationID:,726419-94929
StationName:,"JOHN F KENNEDY MEMO ARPT"
Lat&Long:,46.549,-90.910
Elevation:,-999.900
Starts(YMD):,2006-01-01
Ends(YMD):,2024-10-22
Date,AirTempMax,AirTempMin,Precipitation,AirTemp,Dewpoint,WindSpeed,CloudCover
YYYY-MM-DD,Celsius,Celsius,Millimeters,Celsius,Celsius,MetersPerSecond,Percent
2006-01-01,NA,NA,NA,-1.4,-3.5,2.68,100.0
2006-01-02,NA,NA,NA,-0.2,-2.1,4.77,100.0
2006-01-03,NA,NA,NA,1.1,-0.2,0.56,99.8
2006-01-04,NA,NA,NA,0.6,0.3,1.97,100.0
2006-01-05,NA,NA,NA,-2.3,-5.5,3.17,100.0
2006-01-06,NA,NA,NA,-3.0,-5.4,3.68,99.6
2006-01-07,NA,NA,NA,-1.7,-4.6,2.61,100.0
2006-01-08,NA,NA,NA,-2.3,-4.6,1.60,96.4
2006-01-09,NA,NA,NA,-4.3,-10.3,3.51,39.6
2006-01-10,NA,NA,NA,-3.7,-8.5,5.88,0.0
2006-01-11,NA,NA,NA,-0.9,-5.6,2.55,16.2
2006-01-12,NA,NA,NA,0.9,-2.2,2.41,29.0
2006-01-13,NA,NA,NA,-0.9,-5.5,4.74,79.9
2006-01-14,NA,NA,NA,-4.9,-9.1,1.64,68.8
2006-01-15,NA,NA,NA,0.2,-6.4,2.84,50.6
2006-01-16,NA,NA,NA,-0.6,-3.0,1.89,100.0
2006-01-17,NA,NA,NA,-5.8,-7.6,3.48,100.0
2006-01-18,NA,NA,NA,-11.8,-14.6,4.02,62.4
2006-01-19,NA,NA,NA,-7.7,-9.2,0.91,96.0
2006-01-20,NA,NA,NA,-5.0,-7.5,2.73,66.2
2006-01-21,NA,NA,NA,-9.8,-12.0,1.38,21.9
2006-01-22,NA,NA,NA,-2.7,-5.4,4.10,96.9
2006-01-23,NA,NA,NA,-7.3,-11.8,5.66,36.4
2006-01-24,NA,NA,NA,-01.0,-5.3,6.85,99.9
2006-01-25,NA,NA,NA,-4.7,-10.1,2.57,64.3
2006-01-26,NA,NA,NA,0.5,-7.1,3.56,13.3
2006-01-27,NA,NA,NA,6.2,-1.0,6.40,17.3
2006-01-28,NA,NA,NA,-0.3,-1.5,3.58,52.2
2006-01-29,NA,NA,NA,-01.0,-1.4,7.41,100.0
2006-01-30,NA,NA,NA,-5.9,-7.9,2.80,63.5
2006-01-31,NA,NA,NA,-5.7,-7.8,1.72,29.6
2006-02-01,NA,NA,NA,-1.7,-3.7,3.31,100.0
2006-02-02,NA,NA,NA,-3.5,-5.6,1.14,64.9
2006-02-03,NA,NA,NA,-2.4,-3.8,2.85,100.0
2006-02-04,NA,NA,NA,-7.9,-10.6,3.97,100.0
2006-02-05,NA,NA,NA,-6.3,-12.7,4.75,51.0
2006-02-06,NA,NA,NA,-8.7,-16.7,3.35,0.0
2006-02-07,NA,NA,NA,-10.6,-14.7,2.56,21.5
2006-02-08,NA,NA,NA,-7.5,-15.4,2.27,38.3
2006-02-09,NA,NA,NA,-8.9,-17.7,2.98,29.0
2006-02-10,NA,NA,NA,-6.1,-8.5,2.04,91.0
2006-02-11,NA,NA,NA,-5.6,-8.6,2.16,84.2
2006-02-12,NA,NA,NA,-8.1,-12.1,3.05,76.3
2006-02-13,NA,NA,NA,-7.5,-13.5,2.19,59.8
2006-02-14,NA,NA,NA,-2.4,-7.3,4.92,60.2
2006-02-15,NA,NA,NA,-13.3,-20.3,2.52,12.4
2006-02-16,NA,NA,NA,-12.5,-15.6,3.34,50.5
2006-02-17,NA,NA,NA,-20.1,-24.7,6.29,45.1
2006-02-18,NA,NA,NA,-20.7,-27.3,5.70,5.2
2006-02-19,NA,NA,NA,-12.0,-20.2,6.21,8.1
2006-02-20,NA,NA,NA,-7.2,-12.8,5.30,85.0
2006-02-21,NA,NA,NA,-8.4,-13.1,3.35,34.1
2006-02-22,NA,NA,NA,-3.4,-7.3,3.81,88.4
2006-02-23,NA,NA,NA,-7.3,-13.2,4.46,56.2
2006-02-24,NA,NA,NA,-11.5,-13.2,2.42,57.3
2006-02-25,NA,NA,NA,-11.1,-15.9,3.23,20.1
2006-02-26,NA,NA,NA,-12.4,-17.0,2.94,48.3
2006-02-27,NA,NA,NA,-10.5,-14.2,2.03,44.3
2006-02-28,NA,NA,NA,-9.5,-13.8,1.26,14.2
2006-03-01,NA,NA,NA,-5.6,-10.7,3.62,27.9
2006-03-02,NA,NA,NA,-4.6,-6.5,3.39,70.4
2006-03-03,NA,NA,NA,-5.8,-9.8,2.29,59.4
2006-03-04,NA,NA,NA,-9.1,-11.7,1.35,0.0
2006-03-05,NA,NA,NA,-3.8,-6.1,1.09,59.8
2006-03-06,NA,NA,NA,-1.2,-2.7,1.81,100.0
2006-03-07,NA,NA,NA,1.3,-3.2,3.24,76.4
2006-03-08,NA,NA,NA,1.5,0.5,2.53,76.4
2006-03-09,NA,NA,NA,1.1,-01.0,1.12,83.6
2006-03-10,NA,NA,NA,2.0,-3.5,1.78,6.2
2006-03-11,NA,NA,NA,5.0,0.2,3.52,57.5
2006-03-12,NA,NA,NA,2.7,-4.6,3.36,24.8
2006-03-13,NA,NA,NA,-2.6,-3.5,7.85,100.0
2006-03-14,NA,NA,NA,-5.0,-10.1,6.04,64.9
2006-03-15,NA,NA,NA,-6.4,-11.5,2.10,0.0
2006-03-16,NA,NA,NA,-7.4,-10.9,2.55,4.8
2006-03-17,NA,NA,NA,-7.8,-12.9,2.55,0.0
2006-03-18,NA,NA,NA,-7.0,-15.0,2.20,0.0
2006-03-19,NA,NA,NA,-3.6,-13.2,2.69,0.0
2006-03-20,NA,NA,NA,-4.3,-9.8,5.86,41.7
2006-03-21,NA,NA,NA,-3.7,-9.2,3.72,57.2
2006-03-22,NA,NA,NA,-0.6,-6.6,3.64,59.4
2006-03-23,NA,NA,NA,-1.6,-3.9,2.49,94.0
2006-03-24,NA,NA,NA,-0.6,-3.6,1.90,78.8
2006-03-25,NA,NA,NA,0.2,-2.9,1.85,62.3
2006-03-26,NA,NA,NA,-0.2,-5.9,1.80,0.0
2006-03-27,NA,NA,NA,0.7,-4.5,1.59,0.0
2006-03-28,NA,NA,NA,3.6,-3.7,2.15,0.0
2006-03-29,NA,NA,NA,5.6,-0.4,3.21,0.0
2006-03-30,NA,NA,NA,8.0,5.0,2.23,86.0
2006-03-31,NA,NA,NA,4.7,4.5,2.63,100.0
2006-04-01,NA,NA,NA,2.0,-0.2,3.25,67.2
2006-04-02,NA,NA,NA,1.7,0.8,2.08,83.9
2006-04-03,NA,NA,NA,3.5,-4.5,5.31,21.9
2006-04-04,NA,NA,NA,3.4,-7.2,3.87,0.0
2006-04-05,NA,NA,NA,3.8,-6.9,1.54,24.0
2006-04-06,NA,NA,NA,7.1,-3.5,2.05,55.0
2006-04-07,NA,NA,NA,-0.4,-6.0,5.79,23.7
2006-04-08,NA,NA,NA,2.4,-7.1,1.83,0.0
2006-04-09,NA,NA,NA,6.0,-4.4,2.26,6.0
2006-04-10,NA,NA,NA,9.5,01.0,2.38,22.5
2006-04-11,NA,NA,NA,14.8,6.5,3.38,32.1
2006-04-12,NA,NA,NA,14.5,6.1,3.82,31.1
2006-04-13,NA,NA,NA,8.3,4.4,2.09,14.0
2006-04-14,NA,NA,NA,11.6,0.8,3.23,2.1
2006-04-15,NA,NA,NA,6.6,1.3,2.57,0.0
2006-04-16,NA,NA,NA,6.2,2.9,4.78,0.0
2006-04-17,NA,NA,NA,5.4,-0.1,3.02,0.5
2006-04-18,NA,NA,NA,7.5,1.2,2.80,0.0
2006-04-19,NA,NA,NA,10.3,4.9,2.59,53.1
2006-04-20,NA,NA,NA,10.5,4.1,2.37,44.6
2006-04-21,NA,NA,NA,7.4,6.1,1.26,98.1
2006-04-22,NA,NA,NA,9.6,5.5,1.35,66.8
2006-04-23,NA,NA,NA,9.8,6.5,2.38,58.0
2006-04-24,NA,NA,NA,6.6,1.8,3.87,33.0
2006-04-25,NA,NA,NA,7.0,-6.3,2.83,0.0
2006-04-26,NA,NA,NA,12.1,-1.9,4.60,10.8
2006-04-27,NA,NA,NA,5.6,-0.9,3.89,0.0
2006-04-28,NA,NA,NA,7.7,-2.1,2.06,29.6
2006-04-29,NA,NA,NA,8.3,4.0,3.11,61.2
2006-04-30,NA,NA,NA,10.6,7.3,3.96,97.6
2006-05-01,NA,NA,NA,13.2,9.8,3.42,99.9
2006-05-02,NA,NA,NA,12.6,9.4,2.22,78.0
2006-05-03,NA,NA,NA,13.7,4.4,5.53,45.9
2006-05-04,NA,NA,NA,9.8,2.6,5.15,84.7
2006-05-05,NA,NA,NA,5.5,-0.9,2.77,68.3
2006-05-06,NA,NA,NA,7.2,0.8,3.40,35.4
2006-05-07,NA,NA,NA,6.3,2.8,1.80,23.8
2006-05-08,NA,NA,NA,12.8,8.1,3.36,80.3
2006-05-09,NA,NA,NA,13.2,12.0,1.62,95.1
2006-05-10,NA,NA,NA,7.4,6.9,3.21,100.0
2006-05-11,NA,NA,NA,2.8,1.6,7.30,100.0
2006-05-12,NA,NA,NA,3.4,2.5,6.29,100.0
2006-05-13,NA,NA,NA,5.5,4.6,4.94,97.4
2006-05-14,NA,NA,NA,7.8,7.5,2.54,97.5
2006-05-15,NA,NA,NA,11.3,8.4,1.82,60.1
2006-05-16,NA,NA,NA,15.4,8.1,2.53,15.4
2006-05-17,NA,NA,NA,13.6,5.4,4.10,58.8
2006-05-18,NA,NA,NA,10.2,1.9,3.11,14.2
2006-05-19,NA,NA,NA,11.9,2.9,1.86,38.3
2006-05-20,NA,NA,NA,11.9,1.8,4.47,26.6
2006-05-21,NA,NA,NA,6.8,-0.9,1.65,0.0
2006-05-22,NA,NA,NA,9.4,0.7,1.41,0.0
2006-05-23,NA,NA,NA,13.6,5.3,1.52,0.0
2006-05-24,NA,NA,NA,14.7,11.0,2.03,39.4
2006-05-25,NA,NA,NA,11.9,10.4,1.88,63.2
2006-05-26,NA,NA,NA,11.5,9.1,2.19,31.5
2006-05-27,NA,NA,NA,13.6,10.6,1.54,17.0
2006-05-28,NA,NA,NA,22.3,15.8,2.32,3.1
2006-05-29,NA,NA,NA,27.5,18.6,4.05,2.1
2006-05-30,NA,NA,NA,20.5,12.0,1.80,0.5
2006-05-31,NA,NA,NA,18.4,10.3,1.43,1.1
2006-06-01,NA,NA,NA,18.3,12.1,1.78,42.0
2006-06-02,NA,NA,NA,16.5,10.0,1.67,11.0
2006-06-03,NA,NA,NA,14.5,9.6,1.96,1.0
2006-06-04,NA,NA,NA,16.2,9.7,1.45,0.3
2006-06-05,NA,NA,NA,19.7,11.7,2.06,14.4
2006-06-06,NA,NA,NA,18.4,16.2,2.47,61.3
2006-06-07,NA,NA,NA,21.0,13.6,1.98,17.1
2006-06-08,NA,NA,NA,17.0,9.1,3.17,1.0
2006-06-09,NA,NA,NA,11.4,4.7,4.33,4.2
2006-06-10,NA,NA,NA,9.3,2.2,3.46,7.5
2006-06-11,NA,NA,NA,10.7,3.9,2.02,0.0
2006-06-12,NA,NA,NA,12.8,6.4,1.24,0.0
2006-06-13,NA,NA,NA,16.2,11.1,2.42,62.6
2006-06-14,NA,NA,NA,13.8,11.2,2.95,53.0
2006-06-15,NA,NA,NA,19.1,13.8,1.74,17.3
2006-06-16,NA,NA,NA,26.2,18.1,4.41,24.4
2006-06-17,NA,NA,NA,23.0,19.1,2.61,47.5
2006-06-18,NA,NA,NA,21.5,14.0,5.04,33.5
2006-06-19,NA,NA,NA,18.1,11.0,3.08,52.4
2006-06-20,NA,NA,NA,16.8,10.4,2.15,19.6
