Daily data for a single station.
StationID:,726425-04841
StationName:,"SHEBOYGAN CO MEMO AIRPORT"
Lat&Long:,43.769,-87.850
Elevation:,-999.900
Starts(YMD):,2006-01-01
Ends(YMD):,2024-10-22
Date,AirTempMax,AirTempMin,Precipitation,AirTemp,Dewpoint,WindSpeed,CloudCover
YYYY-MM-DD,Celsius,Celsius,Millimeters,Celsius,Celsius,MetersPerSecond,Percent
2006-01-01,NA,NA,NA,0.9,-0.9,3.10,100.0
2006-01-02,NA,NA,NA,2.8,2.1,7.57,100.0
2006-01-03,NA,NA,NA,3.0,2.6,2.35,100.0
2006-01-04,NA,NA,NA,2.5,1.9,3.61,100.0
2006-01-05,NA,NA,NA,-0.2,-4.2,5.37,100.0
2006-01-06,NA,NA,NA,-2.9,-7.2,4.17,100.0
2006-01-07,NA,NA,NA,-0.2,-2.9,2.83,100.0
2006-01-08,NA,NA,NA,1.2,-2.0,3.81,90.6
2006-01-09,NA,NA,NA,-0.4,-4.6,3.25,88.5
2006-01-10,NA,NA,NA,-3.4,-5.9,2.57,10.1
2006-01-11,NA,NA,NA,1.5,0.5,2.51,88.9
2006-01-12,NA,NA,NA,2.7,0.7,2.77,4.5
2006-01-13,NA,NA,NA,1.4,-1.5,5.70,78.4
2006-01-14,NA,NA,NA,-1.9,-7.7,3.48,49.9
2006-01-15,NA,NA,NA,0.2,-3.6,4.71,81.2
2006-01-16,NA,NA,NA,1.2,-2.0,5.38,99.0
2006-01-17,NA,NA,NA,-0.1,-1.8,4.33,100.0
2006-01-18,NA,NA,NA,-4.8,-10.0,6.55,56.1
2006-01-19,NA,NA,NA,0.5,-1.4,1.68,75.8
2006-01-20,NA,NA,NA,-1.0,-2.9,3.13,96.5
2006-01-21,NA,NA,NA,-5.2,-8.2,3.03,14.6
2006-01-22,NA,NA,NA,-4.1,-6.6,3.80,21.7
2006-01-23,NA,NA,NA,-4.9,-8.9,4.25,21.2
2006-01-24,NA,NA,NA,0.8,-4.2,8.81,90.0
2006-01-25,NA,NA,NA,-1.7,-8.1,5.21,42.5
2006-01-26,NA,NA,NA,-1.4,-6.2,3.06,20.8
2006-01-27,NA,NA,NA,4.4,-3.1,6.27,8.1
2006-01-28,NA,NA,NA,2.4,0.6,2.03,66.5
2006-01-29,NA,NA,NA,4.1,3.4,4.05,100.0
2006-01-30,NA,NA,NA,-1.3,-3.3,3.69,99.9
2006-01-31,NA,NA,NA,-2.0,-4.8,3.58,61.9
2006-02-01,NA,NA,NA,1.9,-1.4,5.07,97.7
2006-02-02,NA,NA,NA,0.7,-1.9,2.60,83.6
2006-02-03,NA,NA,NA,0.7,-0.3,2.36,98.8
2006-02-04,NA,NA,NA,-2.9,-5.9,6.85,100.0
2006-02-05,NA,NA,NA,-4.2,-9.5,7.08,60.3
2006-02-06,NA,NA,NA,-5.9,-13.4,6.79,0.0
2006-02-07,NA,NA,NA,-6.7,-12.9,3.32,1.0
2006-02-08,NA,NA,NA,-6.4,-11.8,4.51,43.5
2006-02-09,NA,NA,NA,-5.5,-13.6,3.42,21.9
2006-02-10,NA,NA,NA,-3.0,-5.4,1.54,100.0
2006-02-11,NA,NA,NA,-3.0,-6.0,2.85,95.6
2006-02-12,NA,NA,NA,-4.2,-9.3,4.22,99.8
2006-02-13,NA,NA,NA,-6.8,-11.5,3.81,67.3
2006-02-14,NA,NA,NA,-1.1,-5.3,3.05,54.2
2006-02-15,NA,NA,NA,-01.0,-5.7,3.12,60.1
2006-02-16,NA,NA,NA,-3.8,-5.5,9.01,100.0
2006-02-17,NA,NA,NA,-13.0,-19.0,7.58,8.1
2006-02-18,NA,NA,NA,-21.6,-28.2,6.27,0.0
2006-02-19,NA,NA,NA,-15.2,-21.4,5.29,0.0
2006-02-20,NA,NA,NA,-8.7,-14.1,5.89,13.5
2006-02-21,NA,NA,NA,-6.3,-11.8,3.66,22.9
2006-02-22,NA,NA,NA,-2.3,-7.8,3.83,15.6
2006-02-23,NA,NA,NA,-3.4,-9.2,4.80,27.4
2006-02-24,NA,NA,NA,-5.7,-10.1,3.29,43.2
2006-02-25,NA,NA,NA,-5.0,-12.1,6.44,15.7
2006-02-26,NA,NA,NA,-9.2,-16.0,3.00,30.2
2006-02-27,NA,NA,NA,-5.4,-10.4,3.33,99.6
2006-02-28,NA,NA,NA,-4.4,-9.7,0.86,21.1
2006-03-01,NA,NA,NA,-3.1,-7.0,3.02,51.9
2006-03-02,NA,NA,NA,-1.7,-3.9,3.55,86.9
2006-03-03,NA,NA,NA,-5.4,-10.0,3.03,29.3
2006-03-04,NA,NA,NA,-5.7,-10.0,2.21,0.0
2006-03-05,NA,NA,NA,-3.7,-5.7,0.96,53.6
2006-03-06,NA,NA,NA,-0.4,-2.6,2.65,62.2
2006-03-07,NA,NA,NA,-2.4,-5.6,2.80,13.5
2006-03-08,NA,NA,NA,2.9,0.4,2.42,39.7
2006-03-09,NA,NA,NA,2.2,1.8,2.81,100.0
2006-03-10,NA,NA,NA,3.1,0.5,3.11,51.7
2006-03-11,NA,NA,NA,5.4,3.5,4.38,50.8
2006-03-12,NA,NA,NA,4.9,-1.5,5.33,39.6
2006-03-13,NA,NA,NA,2.7,0.7,8.56,99.8
2006-03-14,NA,NA,NA,-2.3,-7.9,9.20,62.2
2006-03-15,NA,NA,NA,-1.5,-7.4,4.06,8.1
2006-03-16,NA,NA,NA,-0.6,-3.9,3.82,68.3
2006-03-17,NA,NA,NA,-2.5,-7.1,3.50,29.0
2006-03-18,NA,NA,NA,-1.7,-9.9,4.11,0.0
2006-03-19,NA,NA,NA,0.5,-9.0,3.22,0.0
2006-03-20,NA,NA,NA,-1.4,-7.3,7.13,42.5
2006-03-21,NA,NA,NA,-1.6,-8.1,5.88,65.5
2006-03-22,NA,NA,NA,0.5,-5.1,3.62,42.5
2006-03-23,NA,NA,NA,-0.1,-3.0,1.92,81.9
2006-03-24,NA,NA,NA,0.8,-2.9,2.18,89.2
2006-03-25,NA,NA,NA,1.0,-1.8,3.02,79.5
2006-03-26,NA,NA,NA,0.9,-6.6,1.75,0.0
