Daily data for a single station.
StationID:,726450-14898
StationName:,"AUSTIN STRAUBEL INTERNATI"
Lat&Long:,44.479,-88.130
Elevation:,-999.900
Starts(YMD):,1950-01-01
Ends(YMD):,2024-10-22
Date,AirTempMax,AirTempMin,Precipitation,AirTemp,Dewpoint,WindSpeed,CloudCover
YYYY-MM-DD,Celsius,Celsius,Millimeters,Celsius,Celsius,MetersPerSecond,Percent
1950-01-01,NA,NA,NA,1.9,0.9,2.39,100.0
1950-01-02,NA,NA,NA,4.0,3.1,2.78,100.0
1950-01-03,NA,NA,NA,1.1,-0.2,4.55,100.0
1950-01-04,NA,NA,NA,-9.1,-12.3,5.19,78.1
1950-01-05,NA,NA,NA,-17.2,-23.3,2.51,15.6
1950-01-06,NA,NA,NA,-13.4,-19.3,2.35,56.9
1950-01-07,NA,NA,NA,-12.0,-17.7,3.51,33.8
1950-01-08,NA,NA,NA,-5.6,-11.0,7.61,77.5
1950-01-09,NA,NA,NA,-0.7,-4.8,3.53,52.5
1950-01-10,NA,NA,NA,-3.5,-8.0,11.75,53.1
1950-01-11,NA,NA,NA,-11.7,-18.5,4.66,14.4
1950-01-12,NA,NA,NA,0.6,-2.4,4.59,87.5
1950-01-13,NA,NA,NA,0.4,-0.7,4.10,100.0
1950-01-14,NA,NA,NA,-13.4,-19.8,9.85,68.8
1950-01-15,NA,NA,NA,-5.3,-9.5,11.50,75.6
1950-01-16,NA,NA,NA,-17.9,-28.8,9.48,0.0
1950-01-17,NA,NA,NA,-10.8,-17.2,4.28,87.5
1950-01-18,NA,NA,NA,-19.7,-30.7,8.66,34.4
1950-01-19,NA,NA,NA,-17.5,-26.9,4.72,0.0
1950-01-20,NA,NA,NA,-15.3,-21.6,1.55,66.2
1950-01-21,NA,NA,NA,-9.3,-13.3,1.77,100.0
1950-01-22,NA,NA,NA,-4.5,-7.3,2.09,90.6
1950-01-23,NA,NA,NA,-8.1,-11.8,7.71,100.0
1950-01-24,NA,NA,NA,-1.5,-3.4,7.37,100.0
1950-01-25,NA,NA,NA,-2.1,-4.7,5.19,100.0
1950-01-26,NA,NA,NA,-15.8,-22.9,7.15,25.0
1950-01-27,NA,NA,NA,-18.9,-27.2,2.40,41.9
1950-01-28,NA,NA,NA,-3.1,-6.9,5.81,99.4
1950-01-29,NA,NA,NA,-11.7,-20.0,8.54,68.8
1950-01-30,NA,NA,NA,-22.4,-36.8,2.59,58.1
1950-01-31,NA,NA,NA,-13.6,-19.7,3.00,53.1
1950-02-01,NA,NA,NA,-13.6,-21.2,1.73,46.2
1950-02-02,NA,NA,NA,-12.1,-19.7,5.62,25.0
1950-02-03,NA,NA,NA,-9.6,-16.4,5.81,0.0
1950-02-04,NA,NA,NA,-7.8,-13.6,2.24,33.1
1950-02-05,NA,NA,NA,-2.0,-5.8,3.99,100.0
1950-02-06,NA,NA,NA,-2.3,-5.2,3.20,96.9
1950-02-07,NA,NA,NA,-4.7,-8.6,3.43,83.8
1950-02-08,NA,NA,NA,-0.9,-2.9,2.94,99.4
1950-02-09,NA,NA,NA,-2.8,-6.1,3.31,53.1
1950-02-10,NA,NA,NA,-2.3,-5.0,5.58,67.5
1950-02-11,NA,NA,NA,-8.6,-13.2,3.73,3.1
1950-02-12,NA,NA,NA,-8.8,-13.0,8.00,100.0
1950-02-13,NA,NA,NA,-6.8,-9.6,10.50,100.0
1950-02-14,NA,NA,NA,-3.4,-5.5,9.08,100.0
1950-02-15,NA,NA,NA,-3.7,-7.9,4.57,96.9
1950-02-16,NA,NA,NA,-4.1,-9.1,3.73,53.8
1950-02-17,NA,NA,NA,-5.2,-9.5,2.51,68.8
1950-02-18,NA,NA,NA,-3.1,-7.8,5.52,75.0
1950-02-19,NA,NA,NA,-12.0,-18.5,4.80,36.9
1950-02-20,NA,NA,NA,-13.0,-18.4,4.12,74.4
1950-02-21,NA,NA,NA,-7.1,-10.1,4.66,95.0
1950-02-22,NA,NA,NA,-10.1,-13.8,3.45,81.2
1950-02-23,NA,NA,NA,-11.9,-17.2,5.87,56.2
1950-02-24,NA,NA,NA,-19.8,-30.4,7.06,0.0
1950-02-25,NA,NA,NA,-19.2,-29.5,4.64,0.0
1950-02-26,NA,NA,NA,-13.9,-23.3,5.37,0.0
1950-02-27,NA,NA,NA,-10.4,-18.6,3.94,41.2
1950-02-28,NA,NA,NA,-2.4,-7.6,10.16,51.9
1950-03-01,NA,NA,NA,-12.2,-20.0,10.16,49.4
1950-03-02,NA,NA,NA,-18.0,-27.8,8.64,5.6
1950-03-03,NA,NA,NA,-14.5,-24.4,2.36,35.0
1950-03-04,NA,NA,NA,-0.6,-4.6,8.02,85.6
1950-03-05,NA,NA,NA,2.7,-2.4,6.46,61.9
1950-03-06,NA,NA,NA,-2.7,-8.2,6.70,61.2
1950-03-07,NA,NA,NA,3.2,0.1,6.82,45.6
1950-03-08,NA,NA,NA,-8.2,-12.9,10.15,87.5
1950-03-09,NA,NA,NA,-12.1,-20.2,6.62,0.0
1950-03-10,NA,NA,NA,-9.4,-16.2,2.12,50.0
1950-03-11,NA,NA,NA,-6.3,-11.0,5.79,81.2
1950-03-12,NA,NA,NA,-10.7,-19.3,1.98,59.4
1950-03-13,NA,NA,NA,-10.7,-18.8,5.90,3.8
1950-03-14,NA,NA,NA,-8.9,-15.5,7.47,30.6
1950-03-15,NA,NA,NA,-8.0,-16.0,2.67,20.0
1950-03-16,NA,NA,NA,-5.2,-10.0,1.95,88.8
1950-03-17,NA,NA,NA,-3.0,-7.9,9.08,73.1
1950-03-18,NA,NA,NA,-8.6,-15.9,2.90,3.8
1950-03-19,NA,NA,NA,-6.7,-11.5,4.65,75.0
1950-03-20,NA,NA,NA,-0.6,-3.9,4.52,100.0
1950-03-21,NA,NA,NA,0.4,-1.5,2.21,100.0
1950-03-22,NA,NA,NA,01.0,-0.1,2.28,100.0
1950-03-23,NA,NA,NA,2.2,-1.4,2.46,84.4
1950-03-24,NA,NA,NA,0.4,-1.2,3.33,96.2
1950-03-25,NA,NA,NA,1.1,-2.9,1.37,51.2
1950-03-26,NA,NA,NA,2.0,-0.1,7.35,100.0
1950-03-27,NA,NA,NA,4.6,1.7,4.72,90.6
1950-03-28,NA,NA,NA,-0.4,-4.2,5.93,100.0
1950-03-29,NA,NA,NA,-2.9,-11.3,4.95,0.6
1950-03-30,NA,NA,NA,-1.1,-7.3,2.46,75.6
1950-03-31,NA,NA,NA,1.4,-1.6,3.16,100.0
1950-04-01,NA,NA,NA,0.7,-3.5,7.97,73.1
1950-04-02,NA,NA,NA,-0.6,-2.7,3.40,76.9
1950-04-03,NA,NA,NA,2.1,-1.5,3.04,90.0
1950-04-04,NA,NA,NA,0.8,-1.5,5.42,100.0
1950-04-05,NA,NA,NA,-1.7,-8.9,6.30,59.4
1950-04-06,NA,NA,NA,-2.2,-9.6,3.56,11.9
1950-04-07,NA,NA,NA,1.5,-4.0,6.72,96.2
1950-04-08,NA,NA,NA,-6.2,-12.8,9.42,69.4
1950-04-09,NA,NA,NA,-1.4,-7.6,7.00,100.0
1950-04-10,NA,NA,NA,3.5,1.8,6.90,100.0
1950-04-11,NA,NA,NA,2.5,-2.9,8.98,100.0
1950-04-12,NA,NA,NA,-4.9,-13.0,8.43,81.2
1950-04-13,NA,NA,NA,-3.6,-10.9,5.50,40.6
1950-04-14,NA,NA,NA,0.3,-6.4,2.77,38.1
1950-04-15,NA,NA,NA,3.2,-5.3,1.72,0.0
1950-04-16,NA,NA,NA,6.9,1.2,5.99,62.5
1950-04-17,NA,NA,NA,10.9,0.1,4.69,9.4
1950-04-18,NA,NA,NA,8.8,4.3,5.28,62.5
1950-04-19,NA,NA,NA,4.2,-2.0,7.72,75.6
1950-04-20,NA,NA,NA,2.1,-4.9,4.53,75.0
1950-04-21,NA,NA,NA,3.2,-7.5,2.61,13.1
1950-04-22,NA,NA,NA,6.2,-1.4,4.38,66.9
1950-04-23,NA,NA,NA,3.8,-1.3,5.63,71.9
1950-04-24,NA,NA,NA,3.9,-0.4,6.43,100.0
1950-04-25,NA,NA,NA,3.7,0.9,7.98,100.0
1950-04-26,NA,NA,NA,0.8,-4.8,9.70,98.8
1950-04-27,NA,NA,NA,0.2,-5.5,5.55,87.5
1950-04-28,NA,NA,NA,3.0,-5.1,3.15,72.5
1950-04-29,NA,NA,NA,2.2,-3.9,5.22,58.8
1950-04-30,NA,NA,NA,1.6,-1.4,4.92,100.0
1950-05-01,NA,NA,NA,3.4,-3.1,5.47,84.4
1950-05-02,NA,NA,NA,4.1,-3.4,3.32,43.8
1950-05-03,NA,NA,NA,10.4,5.2,5.09,96.9
1950-05-04,NA,NA,NA,5.6,2.4,7.68,90.6
1950-05-05,NA,NA,NA,15.2,9.2,13.34,94.4
1950-05-06,NA,NA,NA,9.8,0.3,15.63,91.2
1950-05-07,NA,NA,NA,4.7,-3.2,4.90,73.1
1950-05-08,NA,NA,NA,4.6,-4.1,5.00,65.6
1950-05-09,NA,NA,NA,11.3,5.2,9.33,74.4
1950-05-10,NA,NA,NA,9.4,1.2,7.32,40.6
1950-05-11,NA,NA,NA,12.2,2.0,4.17,20.6
1950-05-12,NA,NA,NA,15.6,6.4,4.27,35.0
1950-05-13,NA,NA,NA,10.5,3.9,3.25,55.0
1950-05-14,NA,NA,NA,15.8,5.3,5.80,20.6
1950-05-15,NA,NA,NA,8.7,0.4,5.27,20.0
1950-05-16,NA,NA,NA,6.8,-1.3,4.17,68.8
1950-05-17,NA,NA,NA,8.2,2.3,3.51,87.5
1950-05-18,NA,NA,NA,10.6,0.7,3.90,5.0
1950-05-19,NA,NA,NA,13.8,1.9,4.94,40.0
1950-05-20,NA,NA,NA,15.0,4.5,4.66,67.5
1950-05-21,NA,NA,NA,14.9,3.0,5.36,57.5
1950-05-22,NA,NA,NA,15.6,5.5,1.94,55.6
1950-05-23,NA,NA,NA,19.4,10.1,3.90,17.5
1950-05-24,NA,NA,NA,21.0,14.4,4.87,93.8
1950-05-25,NA,NA,NA,14.1,11.4,4.22,96.9
1950-05-26,NA,NA,NA,12.2,6.0,4.66,55.6
1950-05-27,NA,NA,NA,11.9,3.0,2.90,5.6
1950-05-28,NA,NA,NA,13.2,2.7,1.44,52.5
1950-05-29,NA,NA,NA,14.5,3.8,1.62,22.5
1950-05-30,NA,NA,NA,15.5,11.7,3.00,95.0
1950-05-31,NA,NA,NA,16.2,7.5,5.86,36.9
1950-06-01,NA,NA,NA,15.7,4.1,5.78,13.8
1950-06-02,NA,NA,NA,16.6,11.3,6.64,90.6
1950-06-03,NA,NA,NA,11.3,2.9,4.56,62.5
1950-06-04,NA,NA,NA,15.7,5.7,5.25,58.1
1950-06-05,NA,NA,NA,20.0,6.9,7.11,71.9
1950-06-06,NA,NA,NA,22.2,14.2,6.20,22.5
1950-06-07,NA,NA,NA,22.6,14.9,6.29,57.5
1950-06-08,NA,NA,NA,24.2,17.4,5.57,53.1
1950-06-09,NA,NA,NA,22.7,16.2,5.59,53.8
1950-06-10,NA,NA,NA,16.4,7.9,5.77,28.1
1950-06-11,NA,NA,NA,17.4,10.0,3.87,60.6
1950-06-12,NA,NA,NA,19.5,11.7,6.15,56.9
1950-06-13,NA,NA,NA,21.6,17.3,3.71,62.5
1950-06-14,NA,NA,NA,19.3,14.2,2.63,65.0
1950-06-15,NA,NA,NA,19.7,14.9,2.88,50.6
