Daily data for a single station.
StationID:,726455-99999
StationName:,"MANITOWOC CO"
Lat&Long:,44.133,-87.680
Elevation:,-999.900
Starts(YMD):,1973-01-01
Ends(YMD):,2005-12-31
Date,AirTempMax,AirTempMin,Precipitation,AirTemp,Dewpoint,WindSpeed,CloudCover
YYYY-MM-DD,Celsius,Celsius,Millimeters,Celsius,Celsius,MetersPerSecond,Percent
1973-01-01,NA,NA,NA,-10.3,-15.5,6.84,NA
1973-01-02,NA,NA,NA,-6.3,-9.0,4.17,NA
1973-01-03,NA,NA,NA,-0.0,-2.6,6.03,NA
1973-01-04,NA,NA,NA,-6.9,-10.0,7.39,NA
1973-01-05,NA,NA,NA,-18.1,-22.5,5.37,NA
1973-01-06,NA,NA,NA,-13.5,-18.7,2.63,NA
1973-01-07,NA,NA,NA,-13.3,-18.0,0.00,NA
1973-01-08,NA,NA,NA,-13.3,-17.4,4.44,NA
1973-01-09,NA,NA,NA,-17.6,-21.9,5.97,NA
1973-01-10,NA,NA,NA,-14.8,-19.7,5.70,NA
1973-01-11,NA,NA,NA,-13.6,-17.7,6.99,NA
1973-01-12,NA,NA,NA,-8.8,-12.7,5.63,66.0
1973-01-13,NA,NA,NA,-3.2,-9.9,5.38,79.3
1973-01-14,NA,NA,NA,-2.1,-5.2,3.55,83.3
1973-01-15,NA,NA,NA,0.0,-2.1,5.35,100.0
1973-01-16,NA,NA,NA,4.7,0.1,7.72,72.0
1973-01-17,NA,NA,NA,4.8,3.5,4.21,100.0
1973-01-18,NA,NA,NA,5.2,4.1,4.64,94.8
1973-01-19,NA,NA,NA,-1.8,-3.4,8.50,93.8
1973-01-20,NA,NA,NA,-3.9,-8.0,5.93,82.8
1973-01-21,NA,NA,NA,-1.2,-5.0,7.52,81.4
1973-01-22,NA,NA,NA,2.5,1.8,3.46,100.0
1973-01-23,NA,NA,NA,-1.7,-4.6,6.81,95.3
1973-01-24,NA,NA,NA,-0.5,-4.3,1.31,59.2
1973-01-25,NA,NA,NA,4.5,0.1,6.65,46.2
1973-01-26,NA,NA,NA,3.9,-0.8,0.89,50.2
1973-01-27,NA,NA,NA,1.7,1.1,5.44,100.0
1973-01-28,NA,NA,NA,-4.7,-9.0,8.73,75.3
1973-01-29,NA,NA,NA,-8.6,-12.8,3.39,63.8
1973-01-30,NA,NA,NA,-5.0,-8.8,1.14,61.8
1973-01-31,NA,NA,NA,-1.6,-4.6,9.59,97.8
1973-02-01,NA,NA,NA,2.8,1.7,5.19,100.0
1973-02-02,NA,NA,NA,0.9,-0.1,8.83,100.0
1973-02-03,NA,NA,NA,0.9,-2.8,5.41,75.8
1973-02-04,NA,NA,NA,1.1,-2.3,3.58,88.4
1973-02-05,NA,NA,NA,-0.2,-3.2,7.01,59.6
1973-02-06,NA,NA,NA,0.9,-3.1,1.35,100.0
1973-02-07,NA,NA,NA,-9.1,-12.0,4.65,72.5
1973-02-08,NA,NA,NA,-11.0,-15.9,6.27,43.0
1973-02-09,NA,NA,NA,-10.8,-14.1,4.94,58.2
1973-02-10,NA,NA,NA,-7.1,-11.6,2.10,59.2
1973-02-11,NA,NA,NA,-3.5,-8.0,8.14,89.7
1973-02-12,NA,NA,NA,-1.8,-4.5,7.99,79.9
1973-02-13,NA,NA,NA,-1.1,-3.6,4.24,89.7
1973-02-14,NA,NA,NA,-1.8,-2.9,10.42,100.0
1973-02-15,NA,NA,NA,-10.3,-13.3,9.48,77.5
1973-02-16,NA,NA,NA,-14.0,-20.0,7.39,56.0
1973-02-17,NA,NA,NA,-11.2,-18.1,6.07,73.4
1973-02-18,NA,NA,NA,-4.4,-7.1,3.92,100.0
1973-02-19,NA,NA,NA,1.4,0.1,3.57,100.0
1973-02-20,NA,NA,NA,-2.6,-5.5,4.36,95.8
1973-02-21,NA,NA,NA,-6.2,-10.8,8.15,60.1
1973-02-22,NA,NA,NA,-4.1,-7.9,4.69,80.3
1973-02-23,NA,NA,NA,-1.5,-5.1,4.87,75.1
1973-02-24,NA,NA,NA,-4.1,-7.1,5.75,100.0
1973-02-25,NA,NA,NA,-4.3,-6.5,8.24,100.0
1973-02-26,NA,NA,NA,-4.5,-8.3,5.75,45.2
1973-02-27,NA,NA,NA,-2.9,-6.8,1.73,82.3
1973-02-28,NA,NA,NA,-1.4,-4.6,4.22,79.3
1973-03-01,NA,NA,NA,2.6,2.0,0.37,100.0
1973-03-02,NA,NA,NA,2.2,2.1,0.62,NA
1973-03-03,NA,NA,NA,4.4,3.3,0.73,93.8
1973-03-04,NA,NA,NA,2.6,-0.7,6.70,79.3
1973-03-05,NA,NA,NA,1.1,-0.1,8.17,95.6
1973-03-06,NA,NA,NA,3.3,3.0,1.76,100.0
1973-03-07,NA,NA,NA,6.7,3.6,8.61,94.4
1973-03-08,NA,NA,NA,3.3,0.2,5.96,100.0
1973-03-09,NA,NA,NA,0.5,-1.7,7.24,93.1
1973-03-10,NA,NA,NA,3.1,1.6,4.72,100.0
1973-03-11,NA,NA,NA,6.1,5.4,6.10,88.4
1973-03-12,NA,NA,NA,4.5,1.2,5.41,91.1
1973-03-13,NA,NA,NA,4.3,1.3,7.74,84.9
1973-03-14,NA,NA,NA,6.2,5.6,5.26,100.0
1973-03-15,NA,NA,NA,8.0,5.2,8.20,94.4
1973-03-16,NA,NA,NA,1.0,-1.7,9.00,100.0
1973-03-17,NA,NA,NA,-0.9,-3.1,12.80,62.0
1973-03-18,NA,NA,NA,01.0,-5.4,6.82,NA
