Daily data for a single station.
StationID:,726480-99999
StationName:,"DELTA CO"
Lat&Long:,45.723,-87.090
Elevation:,-999.900
Starts(YMD):,1973-01-01
Ends(YMD):,2005-12-31
Date,AirTempMax,AirTempMin,Precipitation,AirTemp,Dewpoint,WindSpeed,CloudCover
YYYY-MM-DD,Celsius,Celsius,Millimeters,Celsius,Celsius,MetersPerSecond,Percent
1973-01-01,NA,NA,NA,-11.0,-18.0,6.10,NA
1973-01-02,NA,NA,NA,-7.7,-12.7,4.57,NA
1973-01-03,NA,NA,NA,-0.4,-1.6,4.28,NA
1973-01-04,NA,NA,NA,-5.5,-8.5,5.88,NA
1973-01-05,NA,NA,NA,-15.2,-21.0,4.80,NA
1973-01-06,NA,NA,NA,-10.7,-14.7,3.37,NA
1973-01-07,NA,NA,NA,-12.0,-15.8,3.05,NA
1973-01-08,NA,NA,NA,-12.2,-16.5,2.40,NA
1973-01-09,NA,NA,NA,-16.2,-19.0,4.72,NA
1973-01-10,NA,NA,NA,-14.8,-18.8,4.97,NA
1973-01-11,NA,NA,NA,-12.6,-17.2,4.28,NA
1973-01-12,NA,NA,NA,-8.2,-12.2,4.80,NA
1973-01-13,NA,NA,NA,-5.8,-8.0,6.00,NA
1973-01-14,NA,NA,NA,-2.5,-3.8,2.67,NA
1973-01-15,NA,NA,NA,-2.0,-3.0,3.45,NA
1973-01-16,NA,NA,NA,0.8,-1.0,8.53,NA
1973-01-17,NA,NA,NA,1.5,0.8,4.58,NA
1973-01-18,NA,NA,NA,2.0,1.8,3.82,NA
1973-01-19,NA,NA,NA,-2.4,-3.8,8.80,NA
1973-01-20,NA,NA,NA,-5.8,-7.2,8.85,NA
1973-01-21,NA,NA,NA,-8.0,-9.2,3.45,NA
1973-01-22,NA,NA,NA,0.3,0.2,4.33,NA
1973-01-23,NA,NA,NA,-1.4,-4.3,5.91,NA
1973-01-24,NA,NA,NA,-6.0,-8.9,3.64,NA
1973-01-25,NA,NA,NA,-0.6,-2.6,3.55,NA
1973-01-26,NA,NA,NA,-2.1,-3.5,2.12,NA
1973-01-27,NA,NA,NA,0.2,-0.5,6.40,NA
1973-01-28,NA,NA,NA,-5.7,-8.0,13.33,NA
1973-01-29,NA,NA,NA,-7.8,-14.6,5.22,NA
1973-01-30,NA,NA,NA,-7.7,-14.3,3.20,NA
1973-01-31,NA,NA,NA,-4.4,-7.0,10.48,NA
1973-02-01,NA,NA,NA,-1.0,-1.5,4.97,NA
1973-02-02,NA,NA,NA,-0.2,-2.0,12.20,NA
1973-02-03,NA,NA,NA,-0.9,-3.1,5.04,NA
1973-02-04,NA,NA,NA,-1.5,-1.5,3.80,NA
1973-02-05,NA,NA,NA,-6.0,-8.0,4.21,NA
1973-02-06,NA,NA,NA,-1.0,-3.0,4.16,NA
1973-02-07,NA,NA,NA,-9.8,-16.2,3.64,NA
1973-02-08,NA,NA,NA,-10.5,-17.8,4.32,NA
1973-02-09,NA,NA,NA,-8.4,-15.6,2.84,NA
1973-02-10,NA,NA,NA,-10.0,-14.3,3.82,NA
1973-02-11,NA,NA,NA,-5.7,-8.3,7.67,NA
1973-02-12,NA,NA,NA,-3.6,-6.0,6.46,NA
1973-02-13,NA,NA,NA,-4.8,-7.5,2.60,NA
1973-02-14,NA,NA,NA,-4.2,-6.1,7.36,NA
1973-02-15,NA,NA,NA,-11.7,-13.2,14.05,NA
1973-02-16,NA,NA,NA,-15.3,-18.9,5.19,NA
1973-02-17,NA,NA,NA,-13.8,-16.7,5.98,NA
1973-02-18,NA,NA,NA,-7.8,-10.2,5.03,NA
1973-02-19,NA,NA,NA,-0.2,-1.8,5.47,NA
1973-02-20,NA,NA,NA,-4.9,-7.9,5.79,NA
1973-02-21,NA,NA,NA,-7.5,-12.4,8.21,NA
