Daily data for a single station.
StationID:,726482-99999
StationName:,"ESCANABA (AWOS)"
Lat&Long:,45.717,-87.100
Elevation:,-999.900
Starts(YMD):,1948-01-01
Ends(YMD):,1990-01-09
Date,AirTempMax,AirTempMin,Precipitation,AirTemp,Dewpoint,WindSpeed,CloudCover
YYYY-MM-DD,Celsius,Celsius,Millimeters,Celsius,Celsius,MetersPerSecond,Percent
1948-01-01,NA,NA,NA,-8.3,-13.5,6.57,NA
1948-01-02,NA,NA,NA,-4.1,-11.9,6.53,NA
1948-01-03,NA,NA,NA,-5.6,-8.3,1.80,NA
1948-01-04,NA,NA,NA,-1.0,-1.8,5.38,NA
1948-01-05,NA,NA,NA,-4.2,-7.2,2.55,NA
1948-01-06,NA,NA,NA,-3.4,-8.6,3.20,NA
1948-01-07,NA,NA,NA,-3.1,-6.9,3.07,NA
1948-01-08,NA,NA,NA,-2.4,-4.0,3.45,NA
1948-01-09,NA,NA,NA,-2.6,-5.1,6.93,NA
1948-01-10,NA,NA,NA,-9.1,-14.4,3.32,NA
1948-01-11,NA,NA,NA,-5.0,-7.6,7.97,NA
1948-01-12,NA,NA,NA,-3.5,-6.6,7.45,NA
1948-01-13,NA,NA,NA,-13.5,-19.2,3.85,NA
1948-01-14,NA,NA,NA,-18.0,-25.0,4.00,NA
1948-01-15,NA,NA,NA,-11.1,-15.2,4.50,NA
1948-01-16,NA,NA,NA,-13.8,-18.4,5.25,NA
1948-01-17,NA,NA,NA,-20.0,-24.9,3.70,NA
1948-01-18,NA,NA,NA,-19.5,-27.5,3.60,NA
1948-01-19,NA,NA,NA,-11.7,-17.4,4.38,NA
1948-01-20,NA,NA,NA,-8.1,-12.0,5.38,NA
1948-01-21,NA,NA,NA,-11.0,-16.1,5.38,NA
1948-01-22,NA,NA,NA,-13.4,-17.3,8.35,NA
1948-01-23,NA,NA,NA,-15.3,-21.5,3.20,NA
1948-01-24,NA,NA,NA,-18.5,-23.0,1.40,NA
1948-01-25,NA,NA,NA,-12.8,-17.7,2.30,NA
1948-01-26,NA,NA,NA,-11.2,-16.1,4.38,NA
1948-01-27,NA,NA,NA,-16.2,-22.4,5.30,NA
1948-01-28,NA,NA,NA,-12.7,-22.7,4.75,NA
1948-01-29,NA,NA,NA,-8.6,-14.5,3.97,NA
1948-01-30,NA,NA,NA,-13.9,-21.1,2.17,NA
1948-01-31,NA,NA,NA,-14.5,-19.2,2.80,NA
1948-02-01,NA,NA,NA,-11.0,-13.9,3.07,NA
1948-02-02,NA,NA,NA,-9.7,-15.8,6.40,NA
1948-02-03,NA,NA,NA,-16.0,-21.3,3.82,NA
1948-02-04,NA,NA,NA,-14.1,-20.7,2.72,NA
1948-02-05,NA,NA,NA,-11.1,-14.9,2.42,NA
1948-02-06,NA,NA,NA,-11.0,-16.4,3.72,NA
1948-02-07,NA,NA,NA,-9.8,-15.1,4.00,NA
1948-02-08,NA,NA,NA,-15.1,-22.0,5.67,NA
1948-02-09,NA,NA,NA,-15.6,-21.5,3.07,NA
1948-02-10,NA,NA,NA,-16.7,-21.3,2.32,NA
1948-02-11,NA,NA,NA,-8.6,-12.9,2.05,NA
1948-02-12,NA,NA,NA,-11.2,-18.5,4.60,NA
1948-02-13,NA,NA,NA,-9.5,-13.9,3.32,NA
1948-02-14,NA,NA,NA,-8.8,-14.4,5.67,NA
1948-02-15,NA,NA,NA,-9.0,-15.5,3.38,NA
1948-02-16,NA,NA,NA,1.1,-2.2,6.80,NA
1948-02-17,NA,NA,NA,1.2,-5.3,3.62,NA
