Daily data for a single station.
StationID:,726487-94896
StationName:,"MEONE-MARINETTE TWIN CO A"
Lat&Long:,45.117,-87.630
Elevation:,-999.900
Starts(YMD):,2005-01-01
Ends(YMD):,2024-10-22
Date,AirTempMax,AirTempMin,Precipitation,AirTemp,Dewpoint,WindSpeed,CloudCover
YYYY-MM-DD,Celsius,Celsius,Millimeters,Celsius,Celsius,MetersPerSecond,Percent
2005-01-01,NA,NA,NA,-4.8,-10.0,4.77,58.9
2005-01-02,NA,NA,NA,-0.7,-3.4,2.06,67.7
2005-01-03,NA,NA,NA,-7.8,-12.4,2.71,0.0
2005-01-04,NA,NA,NA,-8.4,-14.4,3.03,47.8
2005-01-05,NA,NA,NA,-9.4,-14.8,4.61,54.5
2005-01-06,NA,NA,NA,-8.6,-12.2,3.37,73.8
2005-01-07,NA,NA,NA,-10.9,-14.6,3.52,9.0
2005-01-08,NA,NA,NA,-9.6,-13.1,1.26,56.4
2005-01-09,NA,NA,NA,-4.9,-8.6,2.96,99.0
2005-01-10,NA,NA,NA,-7.4,-12.9,1.30,34.6
2005-01-11,NA,NA,NA,-5.1,-8.5,2.21,91.3
2005-01-12,NA,NA,NA,1.4,-1.2,3.88,100.0
2005-01-13,NA,NA,NA,-3.7,-11.3,3.70,40.2
2005-01-14,NA,NA,NA,-18.8,-28.2,3.52,0.0
2005-01-15,NA,NA,NA,-18.8,-29.6,3.46,0.0
2005-01-16,NA,NA,NA,-18.3,-28.4,1.67,0.0
2005-01-17,NA,NA,NA,-18.9,-28.8,3.71,0.0
2005-01-18,NA,NA,NA,-15.0,-22.3,5.05,42.2
2005-01-19,NA,NA,NA,-7.3,-13.4,4.31,70.9
2005-01-20,NA,NA,NA,-9.7,-13.5,4.26,85.2
2005-01-21,NA,NA,NA,-12.1,-15.8,2.89,48.1
2005-01-22,NA,NA,NA,-9.5,-14.5,6.81,82.9
2005-01-23,NA,NA,NA,-13.4,-18.6,3.43,24.1
2005-01-24,NA,NA,NA,-5.4,-11.1,3.08,91.7
2005-01-25,NA,NA,NA,-2.2,-6.0,2.71,99.9
2005-01-26,NA,NA,NA,-8.7,-14.5,5.70,75.6
2005-01-27,NA,NA,NA,-12.0,-17.0,1.71,41.4
2005-01-28,NA,NA,NA,-10.2,-14.2,2.03,0.0
2005-01-29,NA,NA,NA,-4.3,-9.4,1.32,67.9
2005-01-30,NA,NA,NA,-1.3,-5.5,1.48,100.0
2005-01-31,NA,NA,NA,-0.6,-4.8,2.05,92.5
2005-02-01,NA,NA,NA,0.4,-4.1,1.72,97.4
2005-02-02,NA,NA,NA,0.2,-4.3,4.08,64.1
2005-02-03,NA,NA,NA,0.5,-4.9,3.11,15.6
2005-02-04,NA,NA,NA,0.4,-3.8,2.44,0.0
2005-02-05,NA,NA,NA,3.1,-1.8,3.68,0.0
2005-02-06,NA,NA,NA,4.2,-0.8,3.91,20.8
2005-02-07,NA,NA,NA,-0.9,-3.9,3.68,100.0
2005-02-08,NA,NA,NA,-6.5,-12.4,4.10,88.7
2005-02-09,NA,NA,NA,-7.7,-12.1,3.39,69.3
2005-02-10,NA,NA,NA,-6.1,-12.1,2.91,1.6
2005-02-11,NA,NA,NA,-0.5,-7.2,3.02,55.0
2005-02-12,NA,NA,NA,0.6,-6.5,2.68,1.5
2005-02-13,NA,NA,NA,-1.6,-6.4,5.14,24.1
2005-02-14,NA,NA,NA,0.5,-2.8,3.88,90.2
2005-02-15,NA,NA,NA,-0.7,-8.2,3.23,5.2
2005-02-16,NA,NA,NA,-6.3,-13.1,2.66,30.2
2005-02-17,NA,NA,NA,-10.9,-18.7,3.16,35.5
2005-02-18,NA,NA,NA,-11.2,-18.6,2.57,21.0
2005-02-19,NA,NA,NA,-9.3,-15.6,2.03,12.6
2005-02-20,NA,NA,NA,-4.3,-6.5,4.33,89.8
2005-02-21,NA,NA,NA,-2.7,-6.7,1.55,77.5
2005-02-22,NA,NA,NA,-6.5,-12.3,2.25,52.4
2005-02-23,NA,NA,NA,-7.7,-11.6,0.94,86.5
2005-02-24,NA,NA,NA,-7.6,-12.8,1.46,50.6
2005-02-25,NA,NA,NA,-4.2,-7.9,1.82,80.7
2005-02-26,NA,NA,NA,-10.2,-15.3,2.06,1.7
2005-02-27,NA,NA,NA,-4.9,-8.7,3.14,63.1
2005-02-28,NA,NA,NA,-3.1,-6.3,4.41,98.1
2005-03-01,NA,NA,NA,-7.1,-14.0,5.61,62.6
2005-03-02,NA,NA,NA,-8.6,-16.6,3.33,30.5
2005-03-03,NA,NA,NA,-9.8,-17.7,2.01,2.5
2005-03-04,NA,NA,NA,-4.9,-11.0,1.30,66.5
2005-03-05,NA,NA,NA,-0.1,-5.8,2.70,35.1
2005-03-06,NA,NA,NA,4.3,-2.8,3.92,3.3
2005-03-07,NA,NA,NA,-3.4,-9.8,5.44,52.0
2005-03-08,NA,NA,NA,-10.1,-19.5,3.26,1.1
2005-03-09,NA,NA,NA,-9.5,-21.0,2.62,0.0
2005-03-10,NA,NA,NA,-6.8,-11.2,2.97,69.0
2005-03-11,NA,NA,NA,-5.6,-11.0,2.74,35.7
2005-03-12,NA,NA,NA,-8.7,-16.9,3.23,33.1
2005-03-13,NA,NA,NA,-10.2,-18.2,1.96,3.3
2005-03-14,NA,NA,NA,-6.2,-13.9,1.65,25.5
2005-03-15,NA,NA,NA,-3.9,-11.9,2.00,53.8
2005-03-16,NA,NA,NA,-6.2,-9.0,2.59,65.1
2005-03-17,NA,NA,NA,-5.0,-9.5,3.06,29.9
2005-03-18,NA,NA,NA,-5.3,-11.0,4.15,35.4
2005-03-19,NA,NA,NA,-2.5,-6.0,8.27,98.5
2005-03-20,NA,NA,NA,-0.7,-4.6,3.57,89.3
2005-03-21,NA,NA,NA,-1.3,-5.9,3.17,65.7
2005-03-22,NA,NA,NA,-2.8,-8.9,2.74,0.0
2005-03-23,NA,NA,NA,-1.1,-8.7,3.48,0.0
2005-03-24,NA,NA,NA,-0.7,-9.3,2.31,39.0
2005-03-25,NA,NA,NA,-2.1,-8.0,3.15,3.6
2005-03-26,NA,NA,NA,-1.1,-9.0,2.60,0.0
2005-03-27,NA,NA,NA,2.6,-4.9,3.39,0.0
2005-03-28,NA,NA,NA,6.1,-2.2,2.79,13.7
2005-03-29,NA,NA,NA,5.9,-2.0,3.28,0.5
2005-03-30,NA,NA,NA,8.6,2.2,4.88,48.9
2005-03-31,NA,NA,NA,6.4,1.4,4.15,64.7
2005-04-01,NA,NA,NA,6.0,-2.7,2.76,9.5
2005-04-02,NA,NA,NA,4.1,-3.5,3.37,29.3
2005-04-03,NA,NA,NA,3.6,-6.5,1.98,6.5
2005-04-04,NA,NA,NA,4.2,-5.5,2.06,0.0
2005-04-05,NA,NA,NA,9.4,1.6,3.73,8.1
2005-04-06,NA,NA,NA,6.7,-0.8,5.55,54.4
2005-04-07,NA,NA,NA,8.0,-0.7,3.47,17.6
2005-04-08,NA,NA,NA,5.6,-3.9,1.93,0.0
2005-04-09,NA,NA,NA,8.1,-2.1,3.56,0.0
2005-04-10,NA,NA,NA,7.8,-1.5,3.55,1.2
2005-04-11,NA,NA,NA,6.5,-3.7,7.30,7.1
2005-04-12,NA,NA,NA,5.0,-5.9,7.64,0.0
2005-04-13,NA,NA,NA,7.1,-9.8,4.81,0.0
2005-04-14,NA,NA,NA,7.2,-7.2,3.39,0.0
2005-04-15,NA,NA,NA,6.9,-3.7,2.90,0.0
2005-04-16,NA,NA,NA,10.2,1.0,1.75,27.1
2005-04-17,NA,NA,NA,9.4,4.6,1.55,34.5
2005-04-18,NA,NA,NA,11.6,4.3,2.73,7.9
2005-04-19,NA,NA,NA,17.5,8.1,3.97,26.6
2005-04-20,NA,NA,NA,8.0,1.2,5.90,61.5
2005-04-21,NA,NA,NA,4.3,-2.3,2.44,0.0
2005-04-22,NA,NA,NA,4.7,-3.0,4.86,37.6
2005-04-23,NA,NA,NA,1.8,-10.2,8.25,77.6
2005-04-24,NA,NA,NA,4.9,-7.3,7.97,49.4
2005-04-25,NA,NA,NA,7.7,-3.3,2.87,39.3
2005-04-26,NA,NA,NA,3.9,-01.0,2.52,97.8
2005-04-27,NA,NA,NA,4.0,-1.9,2.83,92.3
2005-04-28,NA,NA,NA,4.8,-5.7,2.34,84.9
2005-04-29,NA,NA,NA,6.5,-4.1,2.16,76.1
2005-04-30,NA,NA,NA,6.0,-4.8,2.05,55.4
2005-05-01,NA,NA,NA,4.8,-3.9,2.60,71.5
2005-05-02,NA,NA,NA,3.8,-5.5,3.14,95.5
2005-05-03,NA,NA,NA,5.2,-5.9,3.01,64.2
2005-05-04,NA,NA,NA,7.6,-4.9,3.94,0.0
2005-05-05,NA,NA,NA,12.2,-2.9,4.98,0.0
2005-05-06,NA,NA,NA,12.0,3.3,3.84,39.0
2005-05-07,NA,NA,NA,9.1,3.0,2.40,30.1
2005-05-08,NA,NA,NA,14.9,5.8,3.33,42.4
2005-05-09,NA,NA,NA,16.9,8.9,3.95,35.8
2005-05-10,NA,NA,NA,16.5,8.7,4.49,67.5
2005-05-11,NA,NA,NA,7.0,-2.1,5.59,59.4
2005-05-12,NA,NA,NA,3.5,-4.9,6.77,26.1
2005-05-13,NA,NA,NA,5.4,0.4,3.41,99.1
2005-05-14,NA,NA,NA,8.6,2.8,2.20,82.7
2005-05-15,NA,NA,NA,6.6,-1.3,3.69,72.3
2005-05-16,NA,NA,NA,6.6,-0.8,2.73,57.4
2005-05-17,NA,NA,NA,8.9,1.1,2.88,73.1
2005-05-18,NA,NA,NA,11.2,4.1,2.88,43.3
2005-05-19,NA,NA,NA,9.4,5.6,4.50,98.9
2005-05-20,NA,NA,NA,12.6,2.6,2.86,16.8
2005-05-21,NA,NA,NA,14.8,3.1,2.80,5.3
2005-05-22,NA,NA,NA,15.2,7.2,3.87,72.0
2005-05-23,NA,NA,NA,12.0,6.3,3.08,72.9
2005-05-24,NA,NA,NA,13.8,5.2,2.95,16.0
2005-05-25,NA,NA,NA,15.4,5.2,2.80,11.7
2005-05-26,NA,NA,NA,15.7,4.5,2.99,66.5
2005-05-27,NA,NA,NA,13.6,3.7,2.45,61.9
2005-05-28,NA,NA,NA,12.1,5.1,1.77,54.8
2005-05-29,NA,NA,NA,13.0,5.7,2.23,13.5
2005-05-30,NA,NA,NA,13.4,6.1,2.36,1.4
2005-05-31,NA,NA,NA,15.8,6.3,1.83,0.0
2005-06-01,NA,NA,NA,16.8,7.6,2.04,0.0
2005-06-02,NA,NA,NA,17.0,8.3,1.99,0.0
2005-06-03,NA,NA,NA,17.5,9.9,2.73,34.4
2005-06-04,NA,NA,NA,18.9,12.6,2.96,46.5
2005-06-05,NA,NA,NA,21.5,14.0,4.43,20.9
2005-06-06,NA,NA,NA,21.4,11.4,4.33,13.0
2005-06-07,NA,NA,NA,17.4,9.5,3.92,10.8
2005-06-08,NA,NA,NA,18.0,12.0,2.91,19.5
2005-06-09,NA,NA,NA,21.8,14.5,1.71,14.6
2005-06-10,NA,NA,NA,20.9,13.6,2.55,22.2
2005-06-11,NA,NA,NA,22.5,15.3,3.46,16.4
2005-06-12,NA,NA,NA,24.0,16.0,3.73,12.8
2005-06-13,NA,NA,NA,19.8,14.2,2.62,55.6
2005-06-14,NA,NA,NA,20.1,13.8,3.21,74.8
2005-06-15,NA,NA,NA,16.0,6.8,5.15,65.2
2005-06-16,NA,NA,NA,15.6,5.3,3.93,46.4
2005-06-17,NA,NA,NA,14.9,5.6,3.94,65.7
2005-06-18,NA,NA,NA,14.9,7.0,2.18,79.7
2005-06-19,NA,NA,NA,16.7,8.4,2.75,0.0
2005-06-20,NA,NA,NA,22.5,12.6,3.12,8.5
2005-06-21,NA,NA,NA,22.5,11.6,3.14,17.1
2005-06-22,NA,NA,NA,18.7,7.1,2.55,0.0
2005-06-23,NA,NA,NA,23.4,12.0,4.63,2.0
2005-06-24,NA,NA,NA,27.2,16.9,3.79,7.5
2005-06-25,NA,NA,NA,20.7,11.5,1.15,32.3
2005-06-26,NA,NA,NA,20.3,12.0,3.18,27.2
2005-06-27,NA,NA,NA,26.5,15.4,3.84,2.0
2005-06-28,NA,NA,NA,23.8,14.5,2.61,23.2
2005-06-29,NA,NA,NA,18.2,10.4,3.05,51.7
2005-06-30,NA,NA,NA,23.4,12.3,5.38,33.1
2005-07-01,NA,NA,NA,16.2,6.0,3.57,64.2
2005-07-02,NA,NA,NA,16.8,6.5,3.00,0.0
2005-07-03,NA,NA,NA,20.2,9.9,4.72,10.5
2005-07-04,NA,NA,NA,21.4,14.0,3.07,42.6
2005-07-05,NA,NA,NA,17.4,10.1,3.96,28.8
2005-07-06,NA,NA,NA,16.2,8.4,2.77,36.6
2005-07-07,NA,NA,NA,18.2,8.9,2.63,20.2
2005-07-08,NA,NA,NA,18.7,6.5,2.19,0.0
2005-07-09,NA,NA,NA,22.6,11.1,3.28,0.0
2005-07-10,NA,NA,NA,25.7,13.0,3.26,NA
2005-07-11,NA,NA,NA,25.0,13.3,1.71,NA
2005-07-12,NA,NA,NA,23.9,13.4,1.72,NA
2005-07-13,NA,NA,NA,24.8,14.4,2.65,NA
2005-07-14,NA,NA,NA,22.5,14.0,3.46,0.0
2005-07-15,NA,NA,NA,20.0,12.3,1.57,0.0
2005-07-16,NA,NA,NA,24.9,13.9,2.00,0.0
2005-07-17,NA,NA,NA,26.1,16.0,3.08,2.5
2005-07-18,NA,NA,NA,25.7,13.5,4.18,16.2
2005-07-19,NA,NA,NA,19.8,9.6,3.32,13.6
2005-07-20,NA,NA,NA,22.0,14.4,2.71,18.4
2005-07-21,NA,NA,NA,22.8,12.8,2.29,3.3
2005-07-22,NA,NA,NA,20.2,8.7,2.61,16.9
2005-07-23,NA,NA,NA,19.6,11.8,2.57,39.3
2005-07-24,NA,NA,NA,25.8,16.5,3.12,42.8
2005-07-25,NA,NA,NA,23.1,12.3,2.06,26.7
2005-07-26,NA,NA,NA,18.9,11.1,3.88,63.8
2005-07-27,NA,NA,NA,16.6,8.7,3.64,5.9
2005-07-28,NA,NA,NA,18.0,12.0,2.72,32.9
2005-07-29,NA,NA,NA,17.0,10.2,2.88,14.4
2005-07-30,NA,NA,NA,19.3,11.6,3.80,35.1
2005-07-31,NA,NA,NA,26.0,18.1,3.70,8.3
2005-08-01,NA,NA,NA,26.5,18.6,2.59,11.7
2005-08-02,NA,NA,NA,26.4,18.1,2.98,0.0
2005-08-03,NA,NA,NA,27.4,19.8,4.24,6.7
2005-08-04,NA,NA,NA,25.0,15.9,3.10,12.1
2005-08-05,NA,NA,NA,20.2,11.1,2.50,0.0
2005-08-06,NA,NA,NA,21.5,12.3,2.78,8.3
2005-08-07,NA,NA,NA,23.0,14.3,3.42,0.0
2005-08-08,NA,NA,NA,25.9,16.3,4.75,2.2
2005-08-09,NA,NA,NA,23.5,18.2,3.63,31.2
2005-08-10,NA,NA,NA,22.4,17.6,2.27,50.3
2005-08-11,NA,NA,NA,19.9,14.6,3.56,52.1
2005-08-12,NA,NA,NA,21.5,16.2,2.45,54.7
2005-08-13,NA,NA,NA,18.6,11.8,2.02,4.2
2005-08-14,NA,NA,NA,18.9,11.6,2.99,28.3
2005-08-15,NA,NA,NA,19.1,11.4,2.20,2.9
2005-08-16,NA,NA,NA,20.7,13.5,2.05,16.3
2005-08-17,NA,NA,NA,19.5,12.0,3.55,0.8
2005-08-18,NA,NA,NA,20.5,18.0,3.85,55.3
2005-08-19,NA,NA,NA,20.3,17.9,3.02,72.6
2005-08-20,NA,NA,NA,21.8,15.2,2.11,36.8
2005-08-21,NA,NA,NA,16.7,8.9,3.25,49.9
2005-08-22,NA,NA,NA,15.8,8.6,3.83,47.9
2005-08-23,NA,NA,NA,15.7,9.4,3.32,6.5
2005-08-24,NA,NA,NA,16.8,11.1,2.53,6.4
2005-08-25,NA,NA,NA,18.6,14.5,1.84,21.0
2005-08-26,NA,NA,NA,20.1,15.6,2.58,46.5
2005-08-27,NA,NA,NA,21.6,14.7,2.80,27.8
2005-08-28,NA,NA,NA,19.2,11.8,2.22,16.2
2005-08-29,NA,NA,NA,19.5,13.4,1.74,41.9
2005-08-30,NA,NA,NA,18.0,12.7,3.42,52.0
2005-08-31,NA,NA,NA,17.6,13.0,2.92,21.0
2005-09-01,NA,NA,NA,21.2,10.2,3.75,25.0
2005-09-02,NA,NA,NA,18.2,8.7,2.92,17.2
2005-09-03,NA,NA,NA,16.9,10.4,2.57,2.2
2005-09-04,NA,NA,NA,18.9,12.1,3.23,29.8
2005-09-05,NA,NA,NA,19.8,14.5,3.04,0.0
2005-09-06,NA,NA,NA,23.4,15.8,4.53,7.2
2005-09-07,NA,NA,NA,19.0,14.2,2.30,42.5
2005-09-08,NA,NA,NA,15.7,10.9,1.31,18.1
2005-09-09,NA,NA,NA,17.0,12.7,2.68,1.9
2005-09-10,NA,NA,NA,22.6,17.4,4.49,14.8
2005-09-11,NA,NA,NA,25.7,17.2,4.40,0.0
2005-09-12,NA,NA,NA,24.9,16.5,4.31,6.4
2005-09-13,NA,NA,NA,23.1,17.5,4.53,45.5
2005-09-14,NA,NA,NA,15.8,10.3,2.43,22.6
2005-09-15,NA,NA,NA,14.8,8.5,2.53,0.9
2005-09-16,NA,NA,NA,14.7,9.3,1.98,0.0
2005-09-17,NA,NA,NA,16.3,10.2,2.01,0.0
2005-09-18,NA,NA,NA,18.7,13.0,2.22,9.1
2005-09-19,NA,NA,NA,18.1,14.5,3.25,52.3
2005-09-20,NA,NA,NA,18.6,11.3,2.39,4.4
2005-09-21,NA,NA,NA,20.5,13.2,2.38,11.4
2005-09-22,NA,NA,NA,17.3,11.4,3.51,51.6
2005-09-23,NA,NA,NA,12.3,5.5,4.22,0.0
2005-09-24,NA,NA,NA,16.6,11.9,4.00,46.7
2005-09-25,NA,NA,NA,16.5,14.8,2.42,95.8
2005-09-26,NA,NA,NA,13.5,7.8,3.04,34.2
2005-09-27,NA,NA,NA,13.8,8.1,2.81,2.3
2005-09-28,NA,NA,NA,13.4,10.0,4.49,63.0
2005-09-29,NA,NA,NA,9.4,1.1,3.27,5.0
2005-09-30,NA,NA,NA,14.7,4.7,5.29,1.8
2005-10-01,NA,NA,NA,17.2,9.8,3.93,0.0
2005-10-02,NA,NA,NA,18.6,13.9,3.78,13.2
2005-10-03,NA,NA,NA,23.0,18.5,4.92,38.0
2005-10-04,NA,NA,NA,21.9,18.2,4.01,24.9
2005-10-05,NA,NA,NA,22.6,17.1,5.20,24.4
2005-10-06,NA,NA,NA,8.7,2.5,3.33,52.5
2005-10-07,NA,NA,NA,4.9,-0.9,4.42,47.1
2005-10-08,NA,NA,NA,6.0,-0.1,3.53,53.5
2005-10-09,NA,NA,NA,7.0,2.6,2.85,12.3
2005-10-10,NA,NA,NA,8.4,4.1,2.75,29.7
2005-10-11,NA,NA,NA,9.5,7.5,2.01,80.0
2005-10-12,NA,NA,NA,13.4,11.8,1.78,98.6
2005-10-13,NA,NA,NA,13.5,11.4,1.43,92.4
2005-10-14,NA,NA,NA,14.0,8.6,2.61,48.8
2005-10-15,NA,NA,NA,11.0,2.1,3.30,46.5
2005-10-16,NA,NA,NA,8.4,3.0,1.94,26.1
2005-10-17,NA,NA,NA,10.6,6.5,2.50,30.9
2005-10-18,NA,NA,NA,10.3,4.3,3.03,0.7
2005-10-19,NA,NA,NA,8.8,1.1,3.57,20.4
2005-10-20,NA,NA,NA,5.3,0.5,2.41,23.3
2005-10-21,NA,NA,NA,4.8,0.4,1.42,24.4
2005-10-22,NA,NA,NA,6.9,4.7,1.26,98.6
