Daily data for a single station.
StationID:,726487-99999
StationName:,"MENOMINEE MARINETTE"
Lat&Long:,45.127,-87.630
Elevation:,-999.900
Starts(YMD):,1973-01-01
Ends(YMD):,2004-12-31
Date,AirTempMax,AirTempMin,Precipitation,AirTemp,Dewpoint,WindSpeed,CloudCover
YYYY-MM-DD,Celsius,Celsius,Millimeters,Celsius,Celsius,MetersPerSecond,Percent
1973-01-01,NA,NA,NA,-11.2,-15.5,6.57,NA
1973-01-02,NA,NA,NA,-7.0,-9.7,4.22,NA
1973-01-03,NA,NA,NA,-0.3,-1.8,4.31,NA
1973-01-04,NA,NA,NA,-8.0,-11.7,6.86,NA
1973-01-05,NA,NA,NA,-17.6,-21.2,4.97,NA
1973-01-06,NA,NA,NA,-13.0,-16.5,1.47,NA
1973-01-07,NA,NA,NA,-15.1,-20.7,0.58,NA
1973-01-08,NA,NA,NA,-14.7,-18.9,0.31,56.0
1973-01-09,NA,NA,NA,-18.3,-24.1,4.23,NA
1973-01-10,NA,NA,NA,-15.1,-20.4,7.76,NA
1973-01-11,NA,NA,NA,-12.9,-18.2,4.86,43.0
1973-01-12,NA,NA,NA,-8.7,-12.8,5.34,61.8
1973-01-13,NA,NA,NA,-4.9,-9.2,5.02,57.4
1973-01-14,NA,NA,NA,-1.2,-3.9,1.05,76.7
1973-01-15,NA,NA,NA,-1.7,-1.1,5.33,100.0
1973-01-16,NA,NA,NA,3.5,-0.5,7.79,66.8
1973-01-17,NA,NA,NA,4.9,3.1,3.55,100.0
1973-01-18,NA,NA,NA,5.6,5.7,2.15,100.0
1973-01-19,NA,NA,NA,-2.0,-5.2,9.06,97.2
1973-01-20,NA,NA,NA,-5.4,-7.8,4.42,100.0
1973-01-21,NA,NA,NA,-2.4,-4.9,4.00,80.4
1973-01-22,NA,NA,NA,01.0,0.5,3.99,100.0
1973-01-23,NA,NA,NA,-2.4,-5.0,5.68,96.0
1973-01-24,NA,NA,NA,-1.7,-6.0,3.71,46.2
1973-01-25,NA,NA,NA,4.2,-1.0,2.77,54.8
1973-01-26,NA,NA,NA,4.2,-1.3,1.68,63.8
1973-01-27,NA,NA,NA,-0.3,-1.8,7.20,NA
1973-01-28,NA,NA,NA,-5.4,-9.2,8.49,76.5
1973-01-29,NA,NA,NA,-9.5,-13.4,4.05,65.3
1973-01-30,NA,NA,NA,-7.7,-13.0,1.62,63.8
1973-01-31,NA,NA,NA,-2.7,-6.1,5.08,100.0
1973-02-01,NA,NA,NA,0.4,-0.8,4.02,100.0
1973-02-02,NA,NA,NA,0.2,-2.3,8.05,100.0
1973-02-03,NA,NA,NA,1.7,-4.2,5.11,63.8
1973-02-04,NA,NA,NA,-0.6,-2.8,3.49,53.8
1973-02-05,NA,NA,NA,-1.9,-5.1,4.27,62.2
1973-02-06,NA,NA,NA,0.0,-3.7,3.36,100.0
1973-02-07,NA,NA,NA,-9.3,-15.4,3.08,73.6
1973-02-08,NA,NA,NA,-10.2,-15.4,5.79,43.0
1973-02-09,NA,NA,NA,-8.1,-16.2,4.82,53.6
1973-02-10,NA,NA,NA,-9.2,-15.0,2.35,49.5
1973-02-11,NA,NA,NA,-3.1,-7.7,6.38,89.7
1973-02-12,NA,NA,NA,-2.0,-5.8,4.30,69.5
1973-02-13,NA,NA,NA,-1.9,-4.0,4.64,86.1
1973-02-14,NA,NA,NA,-6.7,-6.4,7.85,100.0
1973-02-15,NA,NA,NA,-11.5,-17.0,7.34,66.9
1973-02-16,NA,NA,NA,-13.9,-18.0,2.63,43.0
1973-02-17,NA,NA,NA,-10.3,-15.2,7.44,77.3
1973-02-18,NA,NA,NA,-4.2,-7.0,6.57,95.2
1973-02-19,NA,NA,NA,1.8,-0.6,4.38,100.0
1973-02-20,NA,NA,NA,-2.8,-7.7,4.82,66.9
1973-02-21,NA,NA,NA,-7.3,-14.0,7.00,67.4
1973-02-22,NA,NA,NA,-3.8,-7.7,3.05,85.0
1973-02-23,NA,NA,NA,-2.4,-6.6,4.38,62.3
1973-02-24,NA,NA,NA,-6.3,-11.1,2.88,87.6
1973-02-25,NA,NA,NA,-5.2,-9.3,5.31,74.1
1973-02-26,NA,NA,NA,-5.9,-8.5,4.65,56.0
1973-02-27,NA,NA,NA,-2.5,-6.0,4.71,92.8
1973-02-28,NA,NA,NA,1.0,-2.2,5.13,100.0
1973-03-01,NA,NA,NA,NA,NA,1.47,100.0
1973-03-02,NA,NA,NA,NA,NA,2.26,NA
1973-03-03,NA,NA,NA,5.5,4.7,1.14,70.2
1973-03-04,NA,NA,NA,2.3,-2.3,2.92,78.0
1973-03-05,NA,NA,NA,-0.5,-2.2,5.21,100.0
1973-03-06,NA,NA,NA,NA,NA,1.62,NA
1973-03-07,NA,NA,NA,NA,NA,6.63,92.2
1973-03-08,NA,NA,NA,NA,NA,3.09,100.0
1973-03-09,NA,NA,NA,NA,NA,2.64,60.8
1973-03-10,NA,NA,NA,-17.2,NA,3.74,93.7
1973-03-11,NA,NA,NA,NA,NA,4.00,86.7
1973-03-12,NA,NA,NA,NA,NA,2.71,77.4
1973-03-13,NA,NA,NA,NA,NA,3.29,80.8
1973-03-14,NA,NA,NA,NA,NA,2.28,NA
1973-03-15,NA,NA,NA,NA,NA,3.66,82.3
1973-03-16,NA,NA,NA,NA,NA,2.30,92.2
1973-03-17,NA,NA,NA,NA,NA,7.42,72.7
1973-03-18,NA,NA,NA,NA,NA,6.30,43.0
1973-03-19,NA,NA,NA,NA,NA,3.27,53.4
