Daily data for a single station.
StationID:,726505-04845
StationName:,"KENOSHA REGIONAL AIRPORT"
Lat&Long:,42.595,-87.930
Elevation:,-999.900
Starts(YMD):,2006-01-01
Ends(YMD):,2024-10-22
Date,AirTempMax,AirTempMin,Precipitation,AirTemp,Dewpoint,WindSpeed,CloudCover
YYYY-MM-DD,Celsius,Celsius,Millimeters,Celsius,Celsius,MetersPerSecond,Percent
2006-01-01,NA,NA,NA,1.7,-0.3,4.73,82.8
2006-01-02,NA,NA,NA,3.9,3.2,7.01,100.0
2006-01-03,NA,NA,NA,3.8,3.0,2.53,100.0
2006-01-04,NA,NA,NA,3.8,2.5,4.91,100.0
2006-01-05,NA,NA,NA,0.8,-3.1,4.96,100.0
2006-01-06,NA,NA,NA,-2.1,-6.7,5.09,99.9
2006-01-07,NA,NA,NA,0.1,-3.5,4.15,92.5
2006-01-08,NA,NA,NA,2.1,-0.9,5.32,55.8
2006-01-09,NA,NA,NA,0.9,-3.1,3.75,94.8
2006-01-10,NA,NA,NA,-1.2,-3.9,3.03,60.7
2006-01-11,NA,NA,NA,3.0,1.9,4.21,72.7
2006-01-12,NA,NA,NA,6.4,2.0,4.49,4.0
2006-01-13,NA,NA,NA,2.3,0.2,5.40,75.9
2006-01-14,NA,NA,NA,-0.7,-6.8,4.35,63.9
2006-01-15,NA,NA,NA,0.8,-3.3,6.18,21.7
2006-01-16,NA,NA,NA,2.9,-1.0,5.37,13.4
2006-01-17,NA,NA,NA,0.9,-1.7,5.15,100.0
2006-01-18,NA,NA,NA,-3.1,-9.1,6.46,65.4
2006-01-19,NA,NA,NA,4.0,-0.5,2.91,8.3
2006-01-20,NA,NA,NA,0.3,-1.5,3.80,82.6
2006-01-21,NA,NA,NA,-4.0,-6.7,2.90,21.5
2006-01-22,NA,NA,NA,-2.7,-3.8,3.56,58.6
2006-01-23,NA,NA,NA,-4.5,-7.0,5.08,46.2
2006-01-24,NA,NA,NA,1.6,-3.0,9.04,91.1
2006-01-25,NA,NA,NA,-1.6,-7.6,5.22,29.0
2006-01-26,NA,NA,NA,-1.5,-6.8,3.15,0.0
2006-01-27,NA,NA,NA,4.6,-2.9,6.10,7.1
2006-01-28,NA,NA,NA,5.0,2.1,4.01,79.2
2006-01-29,NA,NA,NA,6.1,4.8,5.70,100.0
2006-01-30,NA,NA,NA,0.4,-1.8,5.37,100.0
2006-01-31,NA,NA,NA,-0.3,-3.8,4.03,63.5
2006-02-01,NA,NA,NA,3.5,-0.8,5.32,95.3
2006-02-02,NA,NA,NA,0.8,-1.6,1.59,36.1
2006-02-03,NA,NA,NA,1.5,-0.3,3.50,98.2
2006-02-04,NA,NA,NA,-2.1,-5.3,6.11,100.0
2006-02-05,NA,NA,NA,-3.6,-8.6,6.41,52.8
2006-02-06,NA,NA,NA,-4.0,-12.6,6.54,0.0
2006-02-07,NA,NA,NA,-4.9,-13.4,3.27,36.9
2006-02-08,NA,NA,NA,-5.6,-10.5,4.68,65.1
2006-02-09,NA,NA,NA,-5.2,-12.5,4.11,22.9
2006-02-10,NA,NA,NA,-1.5,-4.2,3.06,99.7
2006-02-11,NA,NA,NA,-2.2,-4.2,3.00,99.5
2006-02-12,NA,NA,NA,-4.1,-9.1,4.11,99.8
2006-02-13,NA,NA,NA,-3.7,-10.0,4.91,70.8
2006-02-14,NA,NA,NA,2.0,-4.5,4.05,6.1
2006-02-15,NA,NA,NA,0.3,-4.1,4.18,41.0
2006-02-16,NA,NA,NA,-01.0,-2.5,8.09,100.0
2006-02-17,NA,NA,NA,-9.6,-15.3,7.30,16.7
2006-02-18,NA,NA,NA,-19.6,-26.3,6.61,0.0
2006-02-19,NA,NA,NA,-12.8,-19.4,5.76,0.0
2006-02-20,NA,NA,NA,-6.0,-12.1,6.64,29.4
2006-02-21,NA,NA,NA,-4.0,-10.7,3.64,0.0
2006-02-22,NA,NA,NA,0.1,-6.4,3.77,16.5
2006-02-23,NA,NA,NA,-01.0,-7.8,5.01,14.7
2006-02-24,NA,NA,NA,-1.2,-9.3,4.42,44.6
2006-02-25,NA,NA,NA,-2.4,-11.5,6.31,0.0
2006-02-26,NA,NA,NA,-5.6,-16.7,3.60,36.7
2006-02-27,NA,NA,NA,-3.1,-8.9,4.54,72.5
2006-02-28,NA,NA,NA,-3.3,-8.6,3.13,17.7
2006-03-01,NA,NA,NA,0.1,-6.9,5.81,36.7
2006-03-02,NA,NA,NA,-0.8,-4.0,3.26,81.1
2006-03-03,NA,NA,NA,-3.9,-8.6,3.16,34.6
2006-03-04,NA,NA,NA,-4.3,-8.2,2.17,16.8
2006-03-05,NA,NA,NA,-2.8,-4.4,2.16,53.3
2006-03-06,NA,NA,NA,-0.5,-1.7,2.12,80.2
2006-03-07,NA,NA,NA,-1.2,-5.0,3.53,22.2
2006-03-08,NA,NA,NA,6.2,2.5,3.87,41.3
2006-03-09,NA,NA,NA,3.7,3.3,3.48,100.0
2006-03-10,NA,NA,NA,4.4,1.6,3.68,60.1
2006-03-11,NA,NA,NA,10.3,6.9,5.62,46.0
2006-03-12,NA,NA,NA,6.0,2.1,5.15,40.3
2006-03-13,NA,NA,NA,5.5,2.3,9.61,95.1
2006-03-14,NA,NA,NA,0.2,-7.4,9.63,39.5
2006-03-15,NA,NA,NA,-0.3,-7.9,3.32,4.0
2006-03-16,NA,NA,NA,-0.2,-2.5,5.52,87.3
2006-03-17,NA,NA,NA,-1.1,-5.2,4.03,48.3
2006-03-18,NA,NA,NA,-1.8,-8.6,3.15,0.0
2006-03-19,NA,NA,NA,-0.1,-8.0,2.79,0.0
2006-03-20,NA,NA,NA,-0.0,-5.4,6.98,48.8
2006-03-21,NA,NA,NA,-1.8,-7.6,7.91,67.4
2006-03-22,NA,NA,NA,2.0,-5.8,4.55,29.0
2006-03-23,NA,NA,NA,01.0,-1.8,2.13,87.3
2006-03-24,NA,NA,NA,0.6,-1.8,2.53,92.5
2006-03-25,NA,NA,NA,1.5,-2.3,3.43,81.0
2006-03-26,NA,NA,NA,1.4,-5.2,2.27,17.8
2006-03-27,NA,NA,NA,2.3,-1.5,3.27,32.2
2006-03-28,NA,NA,NA,4.1,2.0,4.31,65.9
2006-03-29,NA,NA,NA,4.0,1.1,2.16,77.7
2006-03-30,NA,NA,NA,11.5,4.9,5.02,8.7
2006-03-31,NA,NA,NA,12.2,7.3,10.06,87.0
2006-04-01,NA,NA,NA,5.7,2.3,4.57,100.0
2006-04-02,NA,NA,NA,5.7,4.1,4.29,99.1
2006-04-03,NA,NA,NA,7.2,1.4,6.52,64.3
2006-04-04,NA,NA,NA,6.1,-4.2,5.93,0.0
2006-04-05,NA,NA,NA,5.9,-5.1,3.01,19.6
2006-04-06,NA,NA,NA,9.0,-0.1,5.45,66.0
2006-04-07,NA,NA,NA,4.3,2.1,8.50,90.6
2006-04-08,NA,NA,NA,1.5,-3.6,5.45,51.7
2006-04-09,NA,NA,NA,4.7,-2.2,3.48,0.0
2006-04-10,NA,NA,NA,11.4,1.4,3.94,5.0
2006-04-11,NA,NA,NA,16.4,4.9,7.52,8.1
2006-04-12,NA,NA,NA,17.7,9.9,6.78,42.9
2006-04-13,NA,NA,NA,16.6,6.9,3.99,23.9
2006-04-14,NA,NA,NA,20.3,10.8,4.37,3.1
2006-04-15,NA,NA,NA,11.5,3.3,4.00,0.0
2006-04-16,NA,NA,NA,9.6,4.8,7.70,86.0
2006-04-17,NA,NA,NA,8.2,0.2,6.39,13.3
2006-04-18,NA,NA,NA,9.4,2.4,5.50,1.0
2006-04-19,NA,NA,NA,13.4,4.9,4.32,41.7
2006-04-20,NA,NA,NA,15.2,5.5,3.25,22.8
2006-04-21,NA,NA,NA,14.6,3.7,3.27,42.5
2006-04-22,NA,NA,NA,12.5,5.8,3.22,55.0
2006-04-23,NA,NA,NA,10.2,5.0,4.61,34.0
2006-04-24,NA,NA,NA,12.7,5.3,4.27,16.6
2006-04-25,NA,NA,NA,3.7,-3.6,7.36,32.3
2006-04-26,NA,NA,NA,9.1,-3.4,4.22,0.0
2006-04-27,NA,NA,NA,10.1,-1.1,4.33,0.0
2006-04-28,NA,NA,NA,9.3,0.2,4.61,0.0
2006-04-29,NA,NA,NA,10.1,2.7,6.33,49.1
2006-04-30,NA,NA,NA,10.4,8.7,8.93,99.5
2006-05-01,NA,NA,NA,12.1,10.3,5.68,88.8
2006-05-02,NA,NA,NA,13.9,10.8,2.91,55.6
2006-05-03,NA,NA,NA,17.4,11.3,4.56,15.4
2006-05-04,NA,NA,NA,14.5,5.6,4.31,20.4
2006-05-05,NA,NA,NA,9.9,4.1,3.93,79.6
2006-05-06,NA,NA,NA,7.7,1.6,2.90,0.0
2006-05-07,NA,NA,NA,12.8,1.9,3.55,0.0
2006-05-08,NA,NA,NA,15.5,5.0,4.54,13.3
2006-05-09,NA,NA,NA,16.5,11.2,3.93,58.4
2006-05-10,NA,NA,NA,17.0,12.8,2.28,24.1
2006-05-11,NA,NA,NA,8.1,6.1,8.19,99.7
2006-05-12,NA,NA,NA,5.0,3.4,5.49,99.8
2006-05-13,NA,NA,NA,7.4,5.3,2.18,91.4
