Daily data for a single station.
StationID:,727340-14847
StationName:,"SAULT STE MARIE MUNI/SASN"
Lat&Long:,46.479,-84.350
Elevation:,-999.900
Starts(YMD):,1973-01-01
Ends(YMD):,2024-10-22
Date,AirTempMax,AirTempMin,Precipitation,AirTemp,Dewpoint,WindSpeed,CloudCover
YYYY-MM-DD,Celsius,Celsius,Millimeters,Celsius,Celsius,MetersPerSecond,Percent
1973-01-01,NA,NA,NA,-5.5,-8.1,5.55,90.4
1973-01-02,NA,NA,NA,-7.2,-9.5,4.36,80.6
1973-01-03,NA,NA,NA,-2.5,-3.6,6.08,93.3
1973-01-04,NA,NA,NA,-1.8,-3.0,6.62,86.2
1973-01-05,NA,NA,NA,-11.0,-13.9,6.34,73.6
1973-01-06,NA,NA,NA,-18.5,-26.3,2.95,16.2
1973-01-07,NA,NA,NA,-17.2,-23.0,1.84,43.0
1973-01-08,NA,NA,NA,-17.3,-21.6,1.59,48.0
1973-01-09,NA,NA,NA,-11.0,-14.9,6.12,87.1
1973-01-10,NA,NA,NA,-11.4,-15.1,6.11,95.6
1973-01-11,NA,NA,NA,-14.8,-18.7,2.93,67.0
1973-01-12,NA,NA,NA,-7.6,-9.3,3.92,78.2
1973-01-13,NA,NA,NA,-3.4,-4.6,4.08,100.0
1973-01-14,NA,NA,NA,-3.1,-3.6,1.09,94.2
1973-01-15,NA,NA,NA,-0.1,-0.3,4.02,92.5
1973-01-16,NA,NA,NA,2.9,1.6,5.20,94.6
1973-01-17,NA,NA,NA,3.7,3.4,2.81,91.2
1973-01-18,NA,NA,NA,4.5,4.5,2.79,59.2
1973-01-19,NA,NA,NA,-1.2,-2.1,5.33,77.0
1973-01-20,NA,NA,NA,-12.1,-14.9,3.29,12.9
1973-01-21,NA,NA,NA,-9.0,-10.2,3.96,75.4
1973-01-22,NA,NA,NA,-1.1,-2.4,5.19,82.8
1973-01-23,NA,NA,NA,-1.4,-3.0,6.01,91.4
1973-01-24,NA,NA,NA,-7.3,-9.3,2.00,50.1
1973-01-25,NA,NA,NA,-0.0,-1.2,3.64,62.7
