Daily data for a single station.
StationID:,727344-99999
StationName:,"CHIPPEWA CO INTL"
Lat&Long:,46.250,-84.460
Elevation:,-999.900
Starts(YMD):,1978-03-19
Ends(YMD):,2005-12-31
Date,AirTempMax,AirTempMin,Precipitation,AirTemp,Dewpoint,WindSpeed,CloudCover
YYYY-MM-DD,Celsius,Celsius,Millimeters,Celsius,Celsius,MetersPerSecond,Percent
1978-03-19,NA,NA,NA,NA,NA,NA,100.0
1978-03-20,NA,NA,NA,NA,NA,NA,NA
1978-03-21,NA,NA,NA,NA,NA,NA,NA
1978-03-22,NA,NA,NA,NA,NA,NA,NA
1978-03-23,NA,NA,NA,NA,NA,NA,NA
1978-03-24,NA,NA,NA,NA,NA,NA,NA
1978-03-25,NA,NA,NA,NA,NA,NA,NA
1978-03-26,NA,NA,NA,NA,NA,NA,NA
1978-03-27,NA,NA,NA,NA,NA,NA,NA
1978-03-28,NA,NA,NA,NA,NA,NA,NA
1978-03-29,NA,NA,NA,NA,NA,NA,NA
1978-03-30,NA,NA,NA,NA,NA,NA,NA
1978-03-31,NA,NA,NA,NA,NA,NA,NA
1978-04-01,NA,NA,NA,NA,NA,NA,NA
1978-04-02,NA,NA,NA,NA,NA,NA,NA
1978-04-03,NA,NA,NA,-1.6,-1.6,2.00,100.0
1978-04-04,NA,NA,NA,NA,NA,NA,NA
1978-04-05,NA,NA,NA,NA,NA,NA,NA
1978-04-06,NA,NA,NA,NA,NA,NA,NA
1978-04-07,NA,NA,NA,NA,NA,NA,NA
1978-04-08,NA,NA,NA,NA,NA,NA,NA
1978-04-09,NA,NA,NA,NA,NA,NA,NA
1978-04-10,NA,NA,NA,NA,NA,NA,NA
1978-04-11,NA,NA,NA,NA,NA,NA,NA
1978-04-12,NA,NA,NA,NA,NA,NA,NA
1978-04-13,NA,NA,NA,NA,NA,NA,NA
1978-04-14,NA,NA,NA,NA,NA,NA,NA
1978-04-15,NA,NA,NA,NA,NA,NA,NA
1978-04-16,NA,NA,NA,NA,NA,NA,NA
1978-04-17,NA,NA,NA,NA,NA,NA,NA
1978-04-18,NA,NA,NA,NA,NA,NA,NA
1978-04-19,NA,NA,NA,NA,NA,NA,NA
1978-04-20,NA,NA,NA,NA,NA,NA,NA
1978-04-21,NA,NA,NA,NA,NA,NA,NA
1978-04-22,NA,NA,NA,NA,NA,NA,NA
1978-04-23,NA,NA,NA,NA,NA,NA,NA
1978-04-24,NA,NA,NA,NA,NA,NA,NA
1978-04-25,NA,NA,NA,NA,NA,NA,NA
1978-04-26,NA,NA,NA,NA,NA,NA,NA
1978-04-27,NA,NA,NA,NA,NA,NA,NA
1978-04-28,NA,NA,NA,NA,NA,NA,NA
1978-04-29,NA,NA,NA,2.2,-0.5,1.50,43.0
1978-04-30,NA,NA,NA,NA,NA,NA,NA
1978-05-01,NA,NA,NA,NA,NA,NA,NA
1978-05-02,NA,NA,NA,NA,NA,NA,NA
1978-05-03,NA,NA,NA,NA,NA,NA,NA
1978-05-04,NA,NA,NA,NA,NA,NA,NA
1978-05-05,NA,NA,NA,NA,NA,NA,NA
1978-05-06,NA,NA,NA,NA,NA,NA,NA
1978-05-07,NA,NA,NA,NA,NA,NA,NA
