Daily data for a single station.
StationID:,727345-14847
StationName:,"SAULT STE MARIE"
Lat&Long:,46.479,-84.350
Elevation:,-999.900
Starts(YMD):,1948-01-01
Ends(YMD):,1972-12-31
Date,AirTempMax,AirTempMin,Precipitation,AirTemp,Dewpoint,WindSpeed,CloudCover
YYYY-MM-DD,Celsius,Celsius,Millimeters,Celsius,Celsius,MetersPerSecond,Percent
1948-01-01,NA,NA,NA,-11.0,-16.6,6.17,NA
1948-01-02,NA,NA,NA,-7.6,-13.6,4.03,NA
1948-01-03,NA,NA,NA,-6.0,-7.4,3.65,NA
1948-01-04,NA,NA,NA,-2.2,-3.3,3.69,NA
1948-01-05,NA,NA,NA,-2.8,-4.1,3.32,NA
1948-01-06,NA,NA,NA,-2.9,-4.9,5.16,NA
1948-01-07,NA,NA,NA,-7.1,-9.9,2.59,NA
1948-01-08,NA,NA,NA,-3.2,-4.6,2.41,NA
1948-01-09,NA,NA,NA,-6.0,-9.1,5.22,NA
1948-01-10,NA,NA,NA,-8.5,-11.9,6.82,NA
1948-01-11,NA,NA,NA,-5.7,-7.2,7.26,NA
1948-01-12,NA,NA,NA,-4.9,-6.8,8.52,100.0
1948-01-13,NA,NA,NA,-15.9,-18.3,3.43,NA
1948-01-14,NA,NA,NA,-21.2,-25.1,4.08,NA
1948-01-15,NA,NA,NA,-13.7,-15.5,3.60,NA
1948-01-16,NA,NA,NA,-15.0,-17.5,4.24,NA
1948-01-17,NA,NA,NA,-21.5,-25.1,2.53,NA
1948-01-18,NA,NA,NA,-20.3,-23.2,3.27,NA
1948-01-19,NA,NA,NA,-11.6,-14.8,6.64,NA
1948-01-20,NA,NA,NA,-9.7,-11.8,5.29,NA
1948-01-21,NA,NA,NA,-9.0,-11.1,5.81,NA
1948-01-22,NA,NA,NA,-22.1,-26.2,5.90,NA
1948-01-23,NA,NA,NA,-21.4,-25.1,3.08,NA
1948-01-24,NA,NA,NA,-13.5,-18.0,2.62,NA
1948-01-25,NA,NA,NA,-12.6,-16.2,1.52,NA
1948-01-26,NA,NA,NA,-11.2,-12.9,4.97,NA
1948-01-27,NA,NA,NA,-15.8,-18.4,4.91,NA
1948-01-28,NA,NA,NA,-11.4,-16.7,10.10,NA
1948-01-29,NA,NA,NA,-16.9,-21.6,3.63,NA
1948-01-30,NA,NA,NA,-22.4,-25.9,1.78,NA
1948-01-31,NA,NA,NA,-18.9,-24.7,2.94,NA
1948-02-01,NA,NA,NA,-12.9,-15.6,3.82,NA
1948-02-02,NA,NA,NA,-10.5,-12.5,8.17,NA
1948-02-03,NA,NA,NA,-17.1,-20.9,2.33,NA
1948-02-04,NA,NA,NA,-14.7,-19.1,2.27,NA
1948-02-05,NA,NA,NA,-10.4,-13.0,2.45,NA
1948-02-06,NA,NA,NA,-12.8,-15.3,3.96,NA
1948-02-07,NA,NA,NA,-12.5,-14.6,3.73,NA
1948-02-08,NA,NA,NA,-19.9,-23.7,4.02,NA
1948-02-09,NA,NA,NA,-19.4,-22.8,2.00,NA
1948-02-10,NA,NA,NA,-17.4,-21.1,2.62,NA
1948-02-11,NA,NA,NA,-11.9,-14.3,2.37,NA
1948-02-12,NA,NA,NA,-9.9,-12.7,4.17,NA
1948-02-13,NA,NA,NA,-9.0,-10.2,2.20,NA
1948-02-14,NA,NA,NA,-11.1,-13.8,8.40,NA
1948-02-15,NA,NA,NA,-11.3,-13.5,6.02,NA
1948-02-16,NA,NA,NA,-1.9,-4.2,6.25,NA
1948-02-17,NA,NA,NA,-1.4,-4.1,6.45,NA
1948-02-18,NA,NA,NA,-7.6,-11.4,5.44,NA
1948-02-19,NA,NA,NA,-6.5,-8.0,11.80,NA
1948-02-20,NA,NA,NA,-13.8,-15.9,8.80,NA
1948-02-21,NA,NA,NA,-14.8,-20.2,3.47,NA
1948-02-22,NA,NA,NA,-12.3,-16.9,2.30,NA
1948-02-23,NA,NA,NA,-10.1,-15.0,6.34,NA
1948-02-24,NA,NA,NA,-2.0,-3.3,6.87,NA
1948-02-25,NA,NA,NA,-1.2,-3.9,6.08,NA
1948-02-26,NA,NA,NA,-2.2,-4.6,5.61,NA
1948-02-27,NA,NA,NA,-5.5,-9.9,6.10,NA
1948-02-28,NA,NA,NA,-5.6,-9.7,8.58,NA
1948-02-29,NA,NA,NA,-11.9,-18.6,3.78,NA
1948-03-01,NA,NA,NA,-12.7,-17.9,2.99,NA
1948-03-02,NA,NA,NA,-8.6,-15.0,4.63,NA
1948-03-03,NA,NA,NA,-8.7,-15.5,4.05,75.0
1948-03-04,NA,NA,NA,-14.1,-22.1,4.36,NA
