Daily data for a single station.
StationID:,727347-14841
StationName:,"PELLSTON REGIONAL ARPT OF"
Lat&Long:,45.564,-84.790
Elevation:,-999.900
Starts(YMD):,1973-01-01
Ends(YMD):,2024-10-22
Date,AirTempMax,AirTempMin,Precipitation,AirTemp,Dewpoint,WindSpeed,CloudCover
YYYY-MM-DD,Celsius,Celsius,Millimeters,Celsius,Celsius,MetersPerSecond,Percent
1973-01-01,NA,NA,NA,-5.9,-8.3,7.19,NA
1973-01-02,NA,NA,NA,-6.0,-9.1,5.53,NA
1973-01-03,NA,NA,NA,-3.4,-6.2,4.78,NA
1973-01-04,NA,NA,NA,-1.5,-3.2,6.18,NA
1973-01-05,NA,NA,NA,-10.0,-13.3,7.04,NA
1973-01-06,NA,NA,NA,-19.2,-21.8,1.30,NA
1973-01-07,NA,NA,NA,-21.1,-24.0,0.63,69.0
1973-01-08,NA,NA,NA,-18.9,-21.9,0.94,NA
1973-01-09,NA,NA,NA,-11.2,-14.8,6.41,NA
1973-01-10,NA,NA,NA,-9.9,-12.0,8.31,NA
1973-01-11,NA,NA,NA,-10.3,-13.4,7.33,81.2
1973-01-12,NA,NA,NA,-5.8,-8.3,6.77,97.2
1973-01-13,NA,NA,NA,-2.3,-5.5,6.47,100.0
1973-01-14,NA,NA,NA,-0.4,-2.4,3.86,94.8
1973-01-15,NA,NA,NA,-0.2,-2.0,4.74,100.0
1973-01-16,NA,NA,NA,4.0,0.4,7.16,65.4
1973-01-17,NA,NA,NA,5.2,3.1,4.85,95.6
1973-01-18,NA,NA,NA,7.2,5.9,5.55,100.0
1973-01-19,NA,NA,NA,-0.1,-1.9,7.47,100.0
1973-01-20,NA,NA,NA,-10.0,-13.4,3.35,62.3
1973-01-21,NA,NA,NA,-9.6,-12.4,3.37,75.8
1973-01-22,NA,NA,NA,1.4,-0.3,4.24,100.0
1973-01-23,NA,NA,NA,-1.2,-3.0,7.83,98.6
1973-01-24,NA,NA,NA,-4.0,-7.3,3.29,88.6
1973-01-25,NA,NA,NA,1.6,-1.2,5.85,74.1
1973-01-26,NA,NA,NA,-0.6,-2.8,0.31,69.0
1973-01-27,NA,NA,NA,-0.5,-2.7,4.97,100.0
1973-01-28,NA,NA,NA,-6.4,-9.6,5.65,81.9
1973-01-29,NA,NA,NA,-10.3,-13.4,4.21,68.9
1973-01-30,NA,NA,NA,-9.2,-13.1,3.63,58.6
1973-01-31,NA,NA,NA,-10.4,-13.7,6.00,84.8
1973-02-01,NA,NA,NA,-2.0,-3.2,4.20,100.0
1973-02-02,NA,NA,NA,0.2,-2.4,5.82,100.0
1973-02-03,NA,NA,NA,-1.8,-4.1,5.79,98.7
