Daily data for a single station.
StationID:,727440-14858
StationName:,"HOUGHTON COUNTY MEMO ARPT"
Lat&Long:,47.169,-88.480
Elevation:,-999.900
Starts(YMD):,1973-01-01
Ends(YMD):,2024-10-22
Date,AirTempMax,AirTempMin,Precipitation,AirTemp,Dewpoint,WindSpeed,CloudCover
YYYY-MM-DD,Celsius,Celsius,Millimeters,Celsius,Celsius,MetersPerSecond,Percent
1973-01-01,NA,NA,NA,-9.3,-10.7,7.66,NA
1973-01-02,NA,NA,NA,-7.4,-8.4,6.23,69.0
1973-01-03,NA,NA,NA,-3.5,-4.7,4.30,40.0
1973-01-04,NA,NA,NA,-6.6,-7.3,7.13,NA
1973-01-05,NA,NA,NA,-15.4,-17.2,5.53,NA
1973-01-06,NA,NA,NA,-14.6,-16.5,1.96,NA
1973-01-07,NA,NA,NA,-16.6,-18.5,2.14,5.0
1973-01-08,NA,NA,NA,-15.3,-17.0,2.98,5.0
1973-01-09,NA,NA,NA,-13.2,-14.9,7.71,NA
1973-01-10,NA,NA,NA,-15.3,-17.0,7.34,5.0
1973-01-11,NA,NA,NA,-12.1,-13.6,6.76,100.0
1973-01-12,NA,NA,NA,-7.5,-8.7,6.40,89.4
1973-01-13,NA,NA,NA,-6.8,-7.8,4.87,100.0
1973-01-14,NA,NA,NA,-2.0,-3.7,4.35,96.6
1973-01-15,NA,NA,NA,-1.3,-1.6,6.59,93.2
1973-01-16,NA,NA,NA,0.8,-0.2,4.19,78.7
1973-01-17,NA,NA,NA,1.7,1.4,3.30,92.5
1973-01-18,NA,NA,NA,3.3,-2.8,5.25,100.0
1973-01-19,NA,NA,NA,-6.5,-8.6,6.85,100.0
1973-01-20,NA,NA,NA,-7.8,-8.8,4.52,89.4
1973-01-21,NA,NA,NA,-7.0,-8.1,5.40,79.0
1973-01-22,NA,NA,NA,-1.5,-2.6,6.00,100.0
1973-01-23,NA,NA,NA,-5.6,-6.9,5.70,82.2
1973-01-24,NA,NA,NA,-5.3,-7.0,3.77,62.9
1973-01-25,NA,NA,NA,1.8,-1.4,6.27,58.1
1973-01-26,NA,NA,NA,0.4,-2.0,2.51,43.0
1973-01-27,NA,NA,NA,-2.9,-4.7,6.66,100.0
1973-01-28,NA,NA,NA,-9.3,-10.6,8.00,78.6
1973-01-29,NA,NA,NA,-12.1,-13.9,4.19,58.2
1973-01-30,NA,NA,NA,-10.6,-12.3,3.83,72.1
1973-01-31,NA,NA,NA,-8.3,-9.7,7.93,89.0
1973-02-01,NA,NA,NA,-3.7,-4.3,5.49,100.0
1973-02-02,NA,NA,NA,-3.2,-3.9,6.08,100.0
1973-02-03,NA,NA,NA,-2.8,-3.6,6.09,89.9
1973-02-04,NA,NA,NA,-4.2,-5.4,3.25,93.2
