Daily data for a single station.
StationID:,727445-99999
StationName:,"GOCEBIC IRON CO"
Lat&Long:,46.527,-90.130
Elevation:,-999.900
Starts(YMD):,1973-01-01
Ends(YMD):,2005-12-31
Date,AirTempMax,AirTempMin,Precipitation,AirTemp,Dewpoint,WindSpeed,CloudCover
YYYY-MM-DD,Celsius,Celsius,Millimeters,Celsius,Celsius,MetersPerSecond,Percent
1973-01-01,NA,NA,NA,-12.9,-18.4,3.77,NA
1973-01-02,NA,NA,NA,-6.0,-10.3,4.62,NA
1973-01-03,NA,NA,NA,-2.6,-4.1,4.04,NA
1973-01-04,NA,NA,NA,-16.5,-20.5,5.25,NA
1973-01-05,NA,NA,NA,-22.2,-25.7,2.93,NA
1973-01-06,NA,NA,NA,-18.4,-22.1,1.20,NA
1973-01-07,NA,NA,NA,-19.9,-23.8,0.46,NA
1973-01-08,NA,NA,NA,-17.9,-21.1,1.89,NA
1973-01-09,NA,NA,NA,-20.6,-24.6,4.49,NA
1973-01-10,NA,NA,NA,-17.8,-21.4,6.03,NA
1973-01-11,NA,NA,NA,-14.7,-18.4,5.05,71.2
1973-01-12,NA,NA,NA,-8.7,-13.4,5.38,63.0
1973-01-13,NA,NA,NA,-4.2,-8.3,2.86,63.0
1973-01-14,NA,NA,NA,-3.0,-5.1,0.31,72.3
1973-01-15,NA,NA,NA,-0.8,-2.1,4.77,77.0
1973-01-16,NA,NA,NA,4.1,0.7,5.56,77.7
1973-01-17,NA,NA,NA,3.1,2.1,3.36,100.0
1973-01-18,NA,NA,NA,4.3,4.2,2.02,100.0
1973-01-19,NA,NA,NA,-7.7,-9.6,4.87,100.0
1973-01-20,NA,NA,NA,-7.3,-9.7,2.70,73.8
1973-01-21,NA,NA,NA,-4.7,-8.4,1.56,66.1
1973-01-22,NA,NA,NA,-2.2,-2.9,3.49,100.0
1973-01-23,NA,NA,NA,-6.7,-9.3,2.67,94.8
1973-01-24,NA,NA,NA,-2.1,-5.8,3.86,43.0
1973-01-25,NA,NA,NA,2.4,-2.3,2.02,43.0
1973-01-26,NA,NA,NA,-0.2,-3.1,0.70,43.0
1973-01-27,NA,NA,NA,-3.2,-4.6,6.96,100.0
1973-01-28,NA,NA,NA,-9.7,-13.4,5.51,84.9
1973-01-29,NA,NA,NA,-10.7,-18.0,1.46,60.3
