Daily data for a single station.
StationID:,727450-14913
StationName:,"DULUTH INTERNATIONAL AIRP"
Lat&Long:,46.837,-92.180
Elevation:,-999.900
Starts(YMD):,1948-01-01
Ends(YMD):,2024-10-22
Date,AirTempMax,AirTempMin,Precipitation,AirTemp,Dewpoint,WindSpeed,CloudCover
YYYY-MM-DD,Celsius,Celsius,Millimeters,Celsius,Celsius,MetersPerSecond,Percent
1948-01-01,NA,NA,NA,-7.3,-9.3,4.95,98.8
1948-01-02,NA,NA,NA,-4.9,-7.0,3.65,78.6
1948-01-03,NA,NA,NA,-8.2,-10.5,2.87,86.9
1948-01-04,NA,NA,NA,-6.3,-8.8,4.78,12.5
1948-01-05,NA,NA,NA,-2.5,-6.2,7.52,75.0
1948-01-06,NA,NA,NA,-9.2,-13.5,7.61,7.5
1948-01-07,NA,NA,NA,-7.5,-11.5,3.46,88.1
1948-01-08,NA,NA,NA,-3.5,-4.7,2.66,99.4
1948-01-09,NA,NA,NA,-8.9,-10.4,6.17,71.9
1948-01-10,NA,NA,NA,-17.7,-20.2,2.66,0.0
1948-01-11,NA,NA,NA,-6.3,-7.5,6.26,87.5
1948-01-12,NA,NA,NA,-13.1,-15.9,8.59,71.2
1948-01-13,NA,NA,NA,-21.6,-25.5,6.69,50.6
1948-01-14,NA,NA,NA,-23.6,-26.7,5.03,38.1
1948-01-15,NA,NA,NA,-16.0,-18.0,8.18,74.4
1948-01-16,NA,NA,NA,-27.2,-30.8,6.90,30.0
1948-01-17,NA,NA,NA,-27.9,-31.8,3.32,16.9
1948-01-18,NA,NA,NA,-21.4,-23.8,3.69,62.5
1948-01-19,NA,NA,NA,-19.6,-23.5,4.78,46.9
1948-01-20,NA,NA,NA,-10.7,-12.2,7.00,100.0
1948-01-21,NA,NA,NA,-20.4,-23.0,9.25,58.6
1948-01-22,NA,NA,NA,-26.2,-29.8,7.90,21.9
1948-01-23,NA,NA,NA,-26.5,-29.6,3.64,0.0
1948-01-24,NA,NA,NA,-21.4,-25.0,3.57,31.9
1948-01-25,NA,NA,NA,-15.8,-18.3,3.82,100.0
1948-01-26,NA,NA,NA,-21.8,-24.9,7.52,40.6
1948-01-27,NA,NA,NA,-25.7,-29.1,7.23,3.8
1948-01-28,NA,NA,NA,-17.3,-20.6,8.85,61.9
1948-01-29,NA,NA,NA,-10.9,-13.0,4.24,65.0
1948-01-30,NA,NA,NA,-11.0,-12.7,4.72,50.0
1948-01-31,NA,NA,NA,-13.2,-16.2,4.14,43.8
1948-02-01,NA,NA,NA,-9.3,-12.4,7.45,55.0
1948-02-02,NA,NA,NA,-21.7,-26.1,7.78,0.0
1948-02-03,NA,NA,NA,-25.3,-28.6,2.82,25.0
1948-02-04,NA,NA,NA,-20.0,-24.3,2.40,0.0
1948-02-05,NA,NA,NA,-14.9,-18.7,3.07,67.5
1948-02-06,NA,NA,NA,-17.4,-21.5,4.47,40.6
1948-02-07,NA,NA,NA,-17.7,-20.6,7.95,37.5
1948-02-08,NA,NA,NA,-25.4,-30.3,5.45,36.2
1948-02-09,NA,NA,NA,-21.4,-26.6,2.57,25.0
1948-02-10,NA,NA,NA,-19.9,-23.9,1.65,71.9
1948-02-11,NA,NA,NA,-15.3,-18.9,4.97,31.2
1948-02-12,NA,NA,NA,-16.1,-20.1,5.47,0.0
1948-02-13,NA,NA,NA,-10.2,-14.3,5.92,30.0
1948-02-14,NA,NA,NA,-15.6,-20.0,8.56,45.0
1948-02-15,NA,NA,NA,-13.0,-15.5,6.09,100.0
1948-02-16,NA,NA,NA,-1.1,-5.2,7.85,32.5
1948-02-17,NA,NA,NA,-4.3,-8.6,4.52,52.5
1948-02-18,NA,NA,NA,-8.7,-11.3,8.33,98.8
1948-02-19,NA,NA,NA,-14.5,-16.9,12.37,78.1
1948-02-20,NA,NA,NA,-21.3,-25.9,5.38,0.0
1948-02-21,NA,NA,NA,-20.0,-25.0,2.71,50.0
1948-02-22,NA,NA,NA,-10.4,-13.9,6.00,100.0
1948-02-23,NA,NA,NA,-4.4,-6.5,6.80,100.0
1948-02-24,NA,NA,NA,-0.4,-1.3,5.71,99.4
1948-02-25,NA,NA,NA,-6.7,-9.5,4.12,88.8
1948-02-26,NA,NA,NA,-3.4,-6.7,5.74,75.0
1948-02-27,NA,NA,NA,-5.0,-5.5,16.75,100.0
1948-02-28,NA,NA,NA,-6.8,-8.2,13.30,100.0
1948-02-29,NA,NA,NA,-10.0,-12.0,6.55,100.0
1948-03-01,NA,NA,NA,-8.1,-9.7,2.25,88.8
1948-03-02,NA,NA,NA,-6.0,-8.2,6.00,98.8
1948-03-03,NA,NA,NA,-9.2,-11.1,5.15,75.0
1948-03-04,NA,NA,NA,-13.9,-17.2,2.82,3.8
1948-03-05,NA,NA,NA,-12.9,-17.1,3.03,11.9
1948-03-06,NA,NA,NA,-6.1,-8.6,9.52,100.0
1948-03-07,NA,NA,NA,-4.2,-4.9,6.72,100.0
1948-03-08,NA,NA,NA,-9.7,-12.2,7.77,75.6
1948-03-09,NA,NA,NA,-20.2,-23.5,9.45,9.4
1948-03-10,NA,NA,NA,-24.5,-29.2,7.40,0.0
1948-03-11,NA,NA,NA,-21.8,-27.1,7.37,9.4
1948-03-12,NA,NA,NA,-14.0,-18.4,5.97,0.0
1948-03-13,NA,NA,NA,-8.7,-12.2,4.11,28.1
1948-03-14,NA,NA,NA,-2.1,-4.7,3.50,84.4
1948-03-15,NA,NA,NA,-1.2,-3.4,2.83,84.4
1948-03-16,NA,NA,NA,-1.1,-6.2,6.28,26.9
1948-03-17,NA,NA,NA,-6.5,-8.7,6.00,56.9
1948-03-18,NA,NA,NA,-3.7,-4.4,6.78,100.0
1948-03-19,NA,NA,NA,2.7,-0.0,5.66,68.1
1948-03-20,NA,NA,NA,-1.1,-2.4,7.33,67.5
1948-03-21,NA,NA,NA,0.4,-0.5,4.83,96.2
1948-03-22,NA,NA,NA,0.1,-5.3,4.64,34.4
1948-03-23,NA,NA,NA,4.8,-2.5,6.79,45.6
1948-03-24,NA,NA,NA,-1.4,-4.9,7.82,72.5
1948-03-25,NA,NA,NA,-0.2,-2.6,10.62,80.6
1948-03-26,NA,NA,NA,-2.4,-3.1,7.94,96.9
1948-03-27,NA,NA,NA,-6.8,-10.9,6.90,37.5
1948-03-28,NA,NA,NA,-1.4,-5.4,7.09,85.6
1948-03-29,NA,NA,NA,-4.5,-9.1,8.87,37.5
1948-03-30,NA,NA,NA,-4.6,-6.7,6.15,87.5
1948-03-31,NA,NA,NA,-0.2,-1.4,6.77,100.0
1948-04-01,NA,NA,NA,-1.7,-6.3,7.55,77.8
1948-04-02,NA,NA,NA,-3.6,-8.9,6.16,24.2
