Daily data for a single station.
StationID:,743700-14715
StationName:,"WHEELER-SACK AAF AIRPORT"
Lat&Long:,44.050,-75.730
Elevation:,-999.900
Starts(YMD):,2006-01-01
Ends(YMD):,2024-10-22
Date,AirTempMax,AirTempMin,Precipitation,AirTemp,Dewpoint,WindSpeed,CloudCover
YYYY-MM-DD,Celsius,Celsius,Millimeters,Celsius,Celsius,MetersPerSecond,Percent
2006-01-01,NA,NA,NA,NA,NA,1.03,100.0
2006-01-02,NA,NA,NA,NA,NA,2.83,100.0
2006-01-03,NA,NA,NA,NA,NA,2.95,66.5
2006-01-04,NA,NA,NA,NA,NA,4.37,82.0
2006-01-05,NA,NA,NA,NA,NA,3.69,100.0
2006-01-06,NA,NA,NA,NA,NA,2.24,95.9
2006-01-07,NA,NA,NA,NA,NA,2.85,73.0
2006-01-08,NA,NA,NA,NA,NA,3.22,95.6
2006-01-09,NA,NA,NA,NA,NA,5.28,99.5
2006-01-10,NA,NA,NA,NA,NA,2.82,86.9
2006-01-11,NA,NA,NA,NA,NA,4.91,99.6
2006-01-12,NA,NA,NA,NA,NA,4.36,74.7
2006-01-13,NA,NA,NA,NA,NA,5.85,66.1
2006-01-14,NA,NA,NA,NA,NA,4.50,99.2
2006-01-15,NA,NA,NA,NA,NA,3.66,50.8
2006-01-16,NA,NA,NA,NA,NA,1.02,64.2
2006-01-17,NA,NA,NA,NA,NA,7.23,89.6
2006-01-18,NA,NA,NA,NA,NA,9.51,100.0
2006-01-19,NA,NA,NA,NA,NA,5.73,81.7
2006-01-20,NA,NA,NA,NA,NA,4.12,98.5
2006-01-21,NA,NA,NA,NA,NA,4.34,95.2
2006-01-22,NA,NA,NA,NA,NA,2.59,83.3
2006-01-23,NA,NA,NA,NA,NA,3.70,83.3
2006-01-24,NA,NA,NA,NA,NA,4.87,98.5
2006-01-25,NA,NA,NA,NA,NA,2.85,100.0
2006-01-26,NA,NA,NA,NA,NA,2.39,69.5
2006-01-27,NA,NA,NA,NA,NA,4.22,62.4
2006-01-28,NA,NA,NA,NA,NA,4.31,59.6
2006-01-29,NA,NA,NA,NA,NA,3.31,98.8
2006-01-30,NA,NA,NA,NA,NA,2.87,97.7
2006-01-31,NA,NA,NA,NA,NA,2.47,98.9
